START-OF-LOG: 2.0
 <ux0zx@mail.ru>
ARRL-SECTION: DX
CONTEST: CQ-WW-CW
CREATED-BY: AALog contest module v.1.0 beta
CALLSIGN: UX0ZX
CATEGORY: SINGLE-OP 20M LOW CW
CLAIMED-SCORE: 242700
OPERATORS: 
CLUB: 
NAME: NIK  PISMENYUK
SOAPBOX: NEXT  IN  2006 !  VERY  GOOD CONTEST !
QSO: 14000 CW 2005-11-26 0420 UX0ZX         599 16     3B8/OM3PC     599 39     0
QSO: 14000 CW 2005-11-26 0421 UX0ZX         599 16     JT1CO         599 23     0
QSO: 14000 CW 2005-11-26 0423 UX0ZX         599 16     UA9MFB        599 17     0
QSO: 14000 CW 2005-11-26 0424 UX0ZX         599 16     JA5BJC        599 25     0
QSO: 14000 CW 2005-11-26 0426 UX0ZX         599 16     UA0SAD        599 18     0
QSO: 14000 CW 2005-11-26 0428 UX0ZX         599 16     UA0ABB        599 18     0
QSO: 14000 CW 2005-11-26 0430 UX0ZX         599 16     5Z4LS         599 37     0
QSO: 14000 CW 2005-11-26 0430 UX0ZX         599 16     JE4VVM        599 25     0
QSO: 14000 CW 2005-11-26 0431 UX0ZX         599 16     UA0AGI        599 18     0
QSO: 14000 CW 2005-11-26 0431 UX0ZX         599 16     RK9UE         599 18     0
QSO: 14000 CW 2005-11-26 0433 UX0ZX         599 16     EX2A          599 17     0
QSO: 14000 CW 2005-11-26 0433 UX0ZX         599 16     UN0L          599 17     0
QSO: 14000 CW 2005-11-26 0434 UX0ZX         599 16     JA8RWU        599 25     0
QSO: 14000 CW 2005-11-26 0439 UX0ZX         599 16     UN6T          599 17     0
QSO: 14000 CW 2005-11-26 0439 UX0ZX         599 16     RA9SG         599 17     0
QSO: 14000 CW 2005-11-26 0441 UX0ZX         599 16     UP1G          599 17     0
QSO: 14000 CW 2005-11-26 0442 UX0ZX         599 16     3DA0NW        599 38     0
QSO: 14000 CW 2005-11-26 0443 UX0ZX         599 16     RV9JE         599 17     0
QSO: 14000 CW 2005-11-26 0444 UX0ZX         599 16     ZL1CT/MM      599 34     0
QSO: 14000 CW 2005-11-26 0445 UX0ZX         599 16     RK9QWZ        599 17     0
QSO: 14000 CW 2005-11-26 0448 UX0ZX         599 16     RA0QD         599 19     0
QSO: 14000 CW 2005-11-26 0453 UX0ZX         599 16     RX0QA         599 19     0
QSO: 14000 CW 2005-11-26 0455 UX0ZX         599 16     5Z1A          599 37     0
QSO: 14000 CW 2005-11-26 0456 UX0ZX         599 16     UN2E          599 17     0
QSO: 14000 CW 2005-11-26 0500 UX0ZX         599 16     UA0CA         599 19     0
QSO: 14000 CW 2005-11-26 0501 UX0ZX         599 16     JK3GWT        599 25     0
QSO: 14000 CW 2005-11-26 0502 UX0ZX         599 16     JH3AIU        599 25     0
QSO: 14000 CW 2005-11-26 0502 UX0ZX         599 16     SU8BHI        599 34     0
QSO: 14000 CW 2005-11-26 0504 UX0ZX         599 16     RA0AA         599 18     0
QSO: 14000 CW 2005-11-26 0505 UX0ZX         599 16     UA9SP         599 16     0
QSO: 14000 CW 2005-11-26 0506 UX0ZX         599 16     UA9TO         599 17     0
QSO: 14000 CW 2005-11-26 0506 UX0ZX         599 16     UA0QBR        599 19     0
QSO: 14000 CW 2005-11-26 0507 UX0ZX         599 16     UA9TF         599 17     0
QSO: 14000 CW 2005-11-26 0510 UX0ZX         599 16     RU0AE         599 18     0
QSO: 14000 CW 2005-11-26 0512 UX0ZX         599 16     4X0G          599 20     0
QSO: 14000 CW 2005-11-26 0513 UX0ZX         599 16     UA9OG         599 18     0
QSO: 14000 CW 2005-11-26 0514 UX0ZX         599 16     RA9KM         599 17     0
QSO: 14000 CW 2005-11-26 0514 UX0ZX         599 16     ST0RM         599 34     0
QSO: 14000 CW 2005-11-26 0515 UX0ZX         599 16     RZ9IB         599 18     0
QSO: 14000 CW 2005-11-26 0519 UX0ZX         599 16     UA9AFZ        599 17     0
QSO: 14000 CW 2005-11-26 0522 UX0ZX         599 16     JJ0JML        599 25     0
QSO: 14000 CW 2005-11-26 0523 UX0ZX         599 16     JR8OXT        599 25     0
QSO: 14000 CW 2005-11-26 0524 UX0ZX         599 16     UA0AZ         599 18     0
QSO: 14000 CW 2005-11-26 0526 UX0ZX         599 16     UA0AWW        599 18     0
QSO: 14000 CW 2005-11-26 0527 UX0ZX         599 16     RA9XU         599 17     0
QSO: 14000 CW 2005-11-26 0529 UX0ZX         599 16     RU4WE         599 16     0
QSO: 14000 CW 2005-11-26 0530 UX0ZX         599 16     RK0UT         599 18     0
QSO: 14000 CW 2005-11-26 0532 UX0ZX         599 16     RT9W          599 16     0
QSO: 14000 CW 2005-11-26 0533 UX0ZX         599 16     JF2SKV        599 25     0
QSO: 14000 CW 2005-11-26 0536 UX0ZX         599 16     UN3M          599 17     0
QSO: 14000 CW 2005-11-26 0540 UX0ZX         599 16     9A3B          599 15     0
QSO: 14000 CW 2005-11-26 0545 UX0ZX         599 16     RW9CW         599 17     0
QSO: 14000 CW 2005-11-26 0546 UX0ZX         599 16     UA9KJ         599 17     0
QSO: 14000 CW 2005-11-26 0548 UX0ZX         599 16     RU9WZ         599 17     0
QSO: 14000 CW 2005-11-26 0549 UX0ZX         599 16     RA9SO         599 17     0
QSO: 14000 CW 2005-11-26 0557 UX0ZX         599 16     5B/AJ2O       599 20     0
QSO: 14000 CW 2005-11-26 0558 UX0ZX         599 16     RO4M          599 16     0
QSO: 14000 CW 2005-11-26 0559 UX0ZX         599 16     UA4PN         599 16     0
QSO: 14000 CW 2005-11-26 0602 UX0ZX         599 16     JA7YAA        599 25     0
QSO: 14000 CW 2005-11-26 0604 UX0ZX         599 16     RZ9OJ         599 18     0
QSO: 14000 CW 2005-11-26 0609 UX0ZX         599 16     A52CDX        599 22     0
QSO: 14000 CW 2005-11-26 0609 UX0ZX         599 16     RW0BG         599 18     0
QSO: 14000 CW 2005-11-26 0611 UX0ZX         599 16     DF0CG         599 14     0
QSO: 14000 CW 2005-11-26 0614 UX0ZX         599 16     BA4RF         599 24     0
QSO: 14000 CW 2005-11-26 0615 UX0ZX         599 16     OH6KN         599 15     0
QSO: 14000 CW 2005-11-26 0617 UX0ZX         599 16     RZ9SWR        599 17     0
QSO: 14000 CW 2005-11-26 0622 UX0ZX         599 16     UA4SU         599 16     0
QSO: 14000 CW 2005-11-26 0623 UX0ZX         599 16     RK4WWA        599 16     0
QSO: 14000 CW 2005-11-26 0624 UX0ZX         599 16     RK9AXX        599 17     0
QSO: 14000 CW 2005-11-26 0627 UX0ZX         599 16     JJ3YBB        599 25     0
QSO: 14000 CW 2005-11-26 0631 UX0ZX         599 16     IK2SND        599 15     0
QSO: 14000 CW 2005-11-26 0632 UX0ZX         599 16     IH9P          599 33     0
QSO: 14000 CW 2005-11-26 0636 UX0ZX         599 16     DQ0Q          599 14     0
QSO: 14000 CW 2005-11-26 0638 UX0ZX         599 16     IK4PKM        599 15     0
QSO: 14000 CW 2005-11-26 0639 UX0ZX         599 16     DL4IW         599 14     0
QSO: 14000 CW 2005-11-26 0640 UX0ZX         599 16     F2YT          599 14     0
QSO: 14000 CW 2005-11-26 0643 UX0ZX         599 16     RA1OK         599 16     0
QSO: 14000 CW 2005-11-26 0644 UX0ZX         599 16     UA1OMX        599 16     0
QSO: 14000 CW 2005-11-26 0644 UX0ZX         599 16     OH5B          599 15     0
QSO: 14000 CW 2005-11-26 0645 UX0ZX         599 16     DP4T          599 14     0
QSO: 14000 CW 2005-11-26 0646 UX0ZX         599 16     DQ4W          599 14     0
QSO: 14000 CW 2005-11-26 0647 UX0ZX         599 16     OH6GAW        599 15     0
QSO: 14000 CW 2005-11-26 0649 UX0ZX         599 16     RX4HZ         599 16     0
QSO: 14000 CW 2005-11-26 0650 UX0ZX         599 16     S53EO         599 15     0
QSO: 14000 CW 2005-11-26 0652 UX0ZX         599 16     OE50CWL       599 15     0
QSO: 14000 CW 2005-11-26 0653 UX0ZX         599 16     OH6XX         599 15     0
QSO: 14000 CW 2005-11-26 0654 UX0ZX         599 16     OE3GSA        599 15     0
QSO: 14000 CW 2005-11-26 0654 UX0ZX         599 16     HB9EP         599 14     0
QSO: 14000 CW 2005-11-26 0655 UX0ZX         599 16     RN4WA         599 16     0
QSO: 14000 CW 2005-11-26 0657 UX0ZX         599 16     ER4DX         599 16     0
QSO: 14000 CW 2005-11-26 0657 UX0ZX         599 16     DK5QN         599 14     0
QSO: 14000 CW 2005-11-26 0659 UX0ZX         599 16     OH7M          599 15     0
QSO: 14000 CW 2005-11-26 0659 UX0ZX         599 16     IU2R          599 15     0
QSO: 14000 CW 2005-11-26 0700 UX0ZX         599 16     DL5CF         599 14     0
QSO: 14000 CW 2005-11-26 0700 UX0ZX         599 16     SZ1A          599 20     0
QSO: 14000 CW 2005-11-26 0701 UX0ZX         599 16     OH6AC         599 15     0
QSO: 14000 CW 2005-11-26 0702 UX0ZX         599 16     HB9ARF        599 14     0
QSO: 14000 CW 2005-11-26 0704 UX0ZX         599 16     7X0RY         599 33     0
QSO: 14000 CW 2005-11-26 0705 UX0ZX         599 16     JF2QNM        599 25     0
QSO: 14000 CW 2005-11-26 0706 UX0ZX         599 16     RK9CZO        599 17     0
QSO: 14000 CW 2005-11-26 0707 UX0ZX         599 16     OH6OS         599 15     0
QSO: 14000 CW 2005-11-26 0708 UX0ZX         599 16     RT3T          599 16     0
QSO: 14000 CW 2005-11-26 0711 UX0ZX         599 16     IK8TEO        599 15     0
QSO: 14000 CW 2005-11-26 0712 UX0ZX         599 16     RU1A          599 16     0
QSO: 14000 CW 2005-11-26 0713 UX0ZX         599 16     S50R          599 15     0
QSO: 14000 CW 2005-11-26 0714 UX0ZX         599 16     HB9DCM        599 14     0
QSO: 14000 CW 2005-11-26 0714 UX0ZX         599 16     LX7I          599 14     0
QSO: 14000 CW 2005-11-26 0715 UX0ZX         599 16     F6CEL         599 14     0
QSO: 14000 CW 2005-11-26 0716 UX0ZX         599 16     S53XX         599 15     0
QSO: 14000 CW 2005-11-26 0716 UX0ZX         599 16     SN5M          599 15     0
QSO: 14000 CW 2005-11-26 0717 UX0ZX         599 16     OH6AH         599 15     0
QSO: 14000 CW 2005-11-26 0718 UX0ZX         599 16     S57AL         599 15     0
QSO: 14000 CW 2005-11-26 0719 UX0ZX         599 16     OL7R          599 15     0
QSO: 14000 CW 2005-11-26 0723 UX0ZX         599 16     J43J          599 20     0
QSO: 14000 CW 2005-11-26 0724 UX0ZX         599 16     F8KGH         599 14     0
QSO: 14000 CW 2005-11-26 0725 UX0ZX         599 16     DJ3WE         599 14     0
QSO: 14000 CW 2005-11-26 0725 UX0ZX         599 16     RL3A          599 16     0
QSO: 14000 CW 2005-11-26 0726 UX0ZX         599 16     HG1R          599 15     0
QSO: 14000 CW 2005-11-26 0726 UX0ZX         599 16     IK4VLO        599 15     0
QSO: 14000 CW 2005-11-26 0727 UX0ZX         599 16     S59N          599 15     0
QSO: 14000 CW 2005-11-26 0728 UX0ZX         599 16     RK9CXM        599 17     0
QSO: 14000 CW 2005-11-26 0728 UX0ZX         599 16     DF3CB         599 14     0
QSO: 14000 CW 2005-11-26 0729 UX0ZX         599 16     J43F          599 20     0
QSO: 14000 CW 2005-11-26 0730 UX0ZX         599 16     OK1FDR        599 15     0
QSO: 14000 CW 2005-11-26 0731 UX0ZX         599 16     PA1T          599 14     0
QSO: 14000 CW 2005-11-26 0731 UX0ZX         599 16     CT6A          599 14     0
QSO: 14000 CW 2005-11-26 0732 UX0ZX         599 16     9H1ZA         599 15     0
QSO: 14000 CW 2005-11-26 0735 UX0ZX         599 16     EA7RCT        599 14     0
QSO: 14000 CW 2005-11-26 0740 UX0ZX         599 16     A61Q          599 21     0
QSO: 14000 CW 2005-11-26 0744 UX0ZX         599 16     SK2T          599 14     0
QSO: 14000 CW 2005-11-26 0747 UX0ZX         599 16     R1MVC         599 16     0
QSO: 14000 CW 2005-11-26 0753 UX0ZX         599 16     3V5A          599 33     0
QSO: 14000 CW 2005-11-26 0754 UX0ZX         599 16     DL0CS         599 14     0
QSO: 14000 CW 2005-11-26 0756 UX0ZX         599 16     G4RCG         599 14     0
QSO: 14000 CW 2005-11-26 0757 UX0ZX         599 16     CT8T          599 14     0
QSO: 14000 CW 2005-11-26 0757 UX0ZX         599 16     RG9A          599 17     0
QSO: 14000 CW 2005-11-26 0758 UX0ZX         599 16     F6HKA         599 14     0
QSO: 14000 CW 2005-11-26 0759 UX0ZX         599 16     DR5Z          599 14     0
QSO: 14000 CW 2005-11-26 0802 UX0ZX         599 16     IT9ZAU        599 15     0
QSO: 14000 CW 2005-11-26 0803 UX0ZX         599 16     IR4X          599 15     0
QSO: 14000 CW 2005-11-26 0804 UX0ZX         599 16     4L2M          599 21     0
QSO: 14000 CW 2005-11-26 0805 UX0ZX         599 16     DK3GI         599 14     0
QSO: 14000 CW 2005-11-26 0805 UX0ZX         599 16     S57DX         599 15     0
QSO: 14000 CW 2005-11-26 0806 UX0ZX         599 16     SN8F          599 15     0
QSO: 14000 CW 2005-11-26 0808 UX0ZX         599 16     CW5T          599 13     0
QSO: 14000 CW 2005-11-26 0809 UX0ZX         599 16     SK6M          599 14     0
QSO: 14000 CW 2005-11-26 0810 UX0ZX         599 16     ZD8A          599 36     0
QSO: 14000 CW 2005-11-26 0811 UX0ZX         599 16     OK5W          599 15     0
QSO: 14000 CW 2005-11-26 0812 UX0ZX         599 16     S53M          599 15     0
QSO: 14000 CW 2005-11-26 0813 UX0ZX         599 16     OT5G          599 14     0
QSO: 14000 CW 2005-11-26 0814 UX0ZX         599 16     R3R           599 16     0
QSO: 14000 CW 2005-11-26 0815 UX0ZX         599 16     G5W           599 14     0
QSO: 14000 CW 2005-11-26 0816 UX0ZX         599 16     S51DX         599 15     0
QSO: 14000 CW 2005-11-26 0819 UX0ZX         599 16     CN2WW         599 33     0
QSO: 14000 CW 2005-11-26 0820 UX0ZX         599 16     9A5K          599 15     0
QSO: 14000 CW 2005-11-26 0821 UX0ZX         599 16     DL2DXA        599 14     0
QSO: 14000 CW 2005-11-26 0821 UX0ZX         599 16     SK6QW         599 14     0
QSO: 14000 CW 2005-11-26 0822 UX0ZX         599 16     EA6IB         599 14     0
QSO: 14000 CW 2005-11-26 0824 UX0ZX         599 16     IT9ORA        599 15     0
QSO: 14000 CW 2005-11-26 0824 UX0ZX         599 16     SP3ASN        599 15     0
QSO: 14000 CW 2005-11-26 0825 UX0ZX         599 16     EA8/DJ1OJ     599 33     0
QSO: 14000 CW 2005-11-26 0826 UX0ZX         599 16     UA1CEC        599 16     0
QSO: 14000 CW 2005-11-26 0827 UX0ZX         599 16     SV0XAI/9      599 20     0
QSO: 14000 CW 2005-11-26 0830 UX0ZX         599 16     B4EG          599 24     0
QSO: 14000 CW 2005-11-26 0830 UX0ZX         599 16     UA0AKY        599 18     0
QSO: 14000 CW 2005-11-26 0832 UX0ZX         599 16     G0WKW         599 14     0
QSO: 14000 CW 2005-11-26 0833 UX0ZX         599 16     PA3AAV        599 14     0
QSO: 14000 CW 2005-11-26 0834 UX0ZX         599 16     OL200BA       599 15     0
QSO: 14000 CW 2005-11-26 0837 UX0ZX         599 16     OT5P          599 14     0
QSO: 14000 CW 2005-11-26 0837 UX0ZX         599 16     LY7Z          599 15     0
QSO: 14000 CW 2005-11-26 0839 UX0ZX         599 16     RA4HVX        599 16     0
QSO: 14000 CW 2005-11-26 0840 UX0ZX         599 16     OT5B          599 14     0
QSO: 14000 CW 2005-11-26 0841 UX0ZX         599 16     EA8EW         599 33     0
QSO: 14000 CW 2005-11-26 0842 UX0ZX         599 16     HB9DHG        599 14     0
QSO: 14000 CW 2005-11-26 0843 UX0ZX         599 16     M8C           599 14     0
QSO: 14000 CW 2005-11-26 0844 UX0ZX         599 16     IQ1SM         599 15     0
QSO: 14000 CW 2005-11-26 0846 UX0ZX         599 16     OH4A          599 15     0
QSO: 14000 CW 2005-11-26 0846 UX0ZX         599 16     LY2TE         599 15     0
QSO: 14000 CW 2005-11-26 0848 UX0ZX         599 16     RZ3AZ         599 16     0
QSO: 14000 CW 2005-11-26 0849 UX0ZX         599 16     RW4FZ         599 16     0
QSO: 14000 CW 2005-11-26 0850 UX0ZX         599 16     9A7T          599 15     0
QSO: 14000 CW 2005-11-26 0851 UX0ZX         599 16     YL2KO         599 15     0
QSO: 14000 CW 2005-11-26 0852 UX0ZX         599 16     ES5JR         599 15     0
QSO: 14000 CW 2005-11-26 0853 UX0ZX         599 16     OJ0B          599 15     0
QSO: 14000 CW 2005-11-26 0854 UX0ZX         599 16     DJ1CW         599 14     0
QSO: 14000 CW 2005-11-26 0854 UX0ZX         599 16     SQ6Z          599 15     0
QSO: 14000 CW 2005-11-26 0855 UX0ZX         599 16     G6M           599 14     0
QSO: 14000 CW 2005-11-26 0856 UX0ZX         599 16     EA1CS         599 14     0
QSO: 14000 CW 2005-11-26 0903 UX0ZX         599 16     DL3ALI        599 14     0
QSO: 14000 CW 2005-11-26 0904 UX0ZX         599 16     TM6X          599 14     0
QSO: 14000 CW 2005-11-26 0912 UX0ZX         599 16     HG4I          599 15     0
QSO: 14000 CW 2005-11-26 0913 UX0ZX         599 16     RK9KWI        599 17     0
QSO: 14000 CW 2005-11-26 0913 UX0ZX         599 16     ES1A          599 15     0
QSO: 14000 CW 2005-11-26 0914 UX0ZX         599 16     OE4A          599 15     0
QSO: 14000 CW 2005-11-26 0915 UX0ZX         599 16     OM5M          599 15     0
QSO: 14000 CW 2005-11-26 0916 UX0ZX         599 16     YU7C          599 15     0
QSO: 14000 CW 2005-11-26 0916 UX0ZX         599 16     PA0JNH        599 14     0
QSO: 14000 CW 2005-11-26 0917 UX0ZX         599 16     DL3DTH        599 14     0
QSO: 14000 CW 2005-11-26 0918 UX0ZX         599 16     DL0DYW        599 14     0
QSO: 14000 CW 2005-11-26 0919 UX0ZX         599 16     OH1EB         599 15     0
QSO: 14000 CW 2005-11-26 0922 UX0ZX         599 16     OT5L          599 14     0
QSO: 14000 CW 2005-11-26 0923 UX0ZX         599 16     OK2ZC         599 15     0
QSO: 14000 CW 2005-11-26 0923 UX0ZX         599 16     YL6W          599 15     0
QSO: 14000 CW 2005-11-26 0925 UX0ZX         599 16     RN1NU         599 16     0
QSO: 14000 CW 2005-11-26 0926 UX0ZX         599 16     OK1EW         599 15     0
QSO: 14000 CW 2005-11-26 0927 UX0ZX         599 16     HA1ZH         599 15     0
QSO: 14000 CW 2005-11-26 0928 UX0ZX         599 16     SM5INC        599 14     0
QSO: 14000 CW 2005-11-26 0929 UX0ZX         599 16     RX9JW         599 17     0
QSO: 14000 CW 2005-11-26 0929 UX0ZX         599 16     OL1C          599 15     0
QSO: 14000 CW 2005-11-26 0931 UX0ZX         599 16     DK1MAX        599 14     0
QSO: 14000 CW 2005-11-26 0931 UX0ZX         599 16     T92D          599 15     0
QSO: 14000 CW 2005-11-26 0932 UX0ZX         599 16     DL7BY         599 14     0
QSO: 14000 CW 2005-11-26 0932 UX0ZX         599 16     TM6Q          599 14     0
QSO: 14000 CW 2005-11-26 0935 UX0ZX         599 16     RD4WA         599 16     0
QSO: 14000 CW 2005-11-26 0936 UX0ZX         599 16     S52GO         599 15     0
QSO: 14000 CW 2005-11-26 0938 UX0ZX         599 16     TM4Q          599 14     0
QSO: 14000 CW 2005-11-26 0938 UX0ZX         599 16     H2G           599 20     0
QSO: 14000 CW 2005-11-26 0939 UX0ZX         599 16     DR4A          599 14     0
QSO: 14000 CW 2005-11-26 0940 UX0ZX         599 16     YT6A          599 15     0
QSO: 14000 CW 2005-11-26 0940 UX0ZX         599 16     OK1DWF        599 15     0
QSO: 14000 CW 2005-11-26 0942 UX0ZX         599 16     EI7M          599 14     0
QSO: 14000 CW 2005-11-26 0944 UX0ZX         599 16     SN2K          599 15     0
QSO: 14000 CW 2005-11-26 0946 UX0ZX         599 16     OL2U          599 15     0
QSO: 14000 CW 2005-11-26 0946 UX0ZX         599 16     RW2F          599 15     0
QSO: 14000 CW 2005-11-26 0949 UX0ZX         599 16     GD6IA         599 14     0
QSO: 14000 CW 2005-11-26 0950 UX0ZX         599 16     S59ABC        599 15     0
QSO: 14000 CW 2005-11-26 0951 UX0ZX         599 16     F8PDR         599 14     0
QSO: 14000 CW 2005-11-26 0952 UX0ZX         599 16     RZ9OO         599 18     0
QSO: 14000 CW 2005-11-26 0952 UX0ZX         599 16     UA1ANA        599 16     0
QSO: 14000 CW 2005-11-26 0953 UX0ZX         599 16     CT9A          599 33     0
QSO: 14000 CW 2005-11-26 0955 UX0ZX         599 16     G8D           599 14     0
QSO: 14000 CW 2005-11-26 0955 UX0ZX         599 16     RW4FO         599 16     0
QSO: 14000 CW 2005-11-26 0956 UX0ZX         599 16     9A1P          599 15     0
QSO: 14000 CW 2005-11-26 0957 UX0ZX         599 16     EA6DD         599 14     0
QSO: 14000 CW 2005-11-26 0959 UX0ZX         599 16     JU1DX         599 23     0
QSO: 14000 CW 2005-11-26 1000 UX0ZX         599 16     RA3FD         599 16     0
QSO: 14000 CW 2005-11-26 1001 UX0ZX         599 16     4N7N          599 15     0
QSO: 14000 CW 2005-11-26 1002 UX0ZX         599 16     SQ3RX         599 15     0
QSO: 14000 CW 2005-11-26 1003 UX0ZX         599 16     S52OP         599 15     0
QSO: 14000 CW 2005-11-26 1003 UX0ZX         599 16     DK5WL         599 14     0
QSO: 14000 CW 2005-11-26 1004 UX0ZX         599 16     LA8OM         599 14     0
QSO: 14000 CW 2005-11-26 1005 UX0ZX         599 16     GW0GEI        599 14     0
QSO: 14000 CW 2005-11-26 1006 UX0ZX         599 16     LR2F          599 13     0
QSO: 14000 CW 2005-11-26 1007 UX0ZX         599 16     LN8W          599 14     0
QSO: 14000 CW 2005-11-26 1009 UX0ZX         599 16     DP9A          599 14     0
QSO: 14000 CW 2005-11-26 1010 UX0ZX         599 16     RK3DXZ        599 16     0
QSO: 14000 CW 2005-11-26 1012 UX0ZX         599 16     SM7YEA        599 14     0
QSO: 14000 CW 2005-11-26 1015 UX0ZX         599 16     HA3MQ         599 15     0
QSO: 14000 CW 2005-11-26 1016 UX0ZX         599 16     PI4D          599 14     0
QSO: 14000 CW 2005-11-26 1027 UX0ZX         599 16     GM0F          599 14     0
QSO: 14000 CW 2005-11-26 1029 UX0ZX         599 16     DD5M          599 14     0
QSO: 14000 CW 2005-11-26 1030 UX0ZX         599 16     LY9A          599 15     0
QSO: 14000 CW 2005-11-26 1031 UX0ZX         599 16     AH2R          599 27     0
QSO: 14000 CW 2005-11-26 1032 UX0ZX         599 16     G0OPB         599 14     0
QSO: 14000 CW 2005-11-26 1035 UX0ZX         599 16     RA9XF         599 17     0
QSO: 14000 CW 2005-11-26 1035 UX0ZX         599 16     F5PRH         599 14     0
QSO: 14000 CW 2005-11-26 1042 UX0ZX         599 16     GM3WUX        599 14     0
QSO: 14000 CW 2005-11-26 1043 UX0ZX         599 16     OK1GI         599 15     0
QSO: 14000 CW 2005-11-26 1044 UX0ZX         599 16     PS2T          599 11     0
QSO: 14000 CW 2005-11-26 1045 UX0ZX         599 16     9Y4AA         599 09     0
QSO: 14000 CW 2005-11-26 1045 UX0ZX         599 16     RA3AUM        599 16     0
QSO: 14000 CW 2005-11-26 1046 UX0ZX         599 16     DL4WA         599 14     0
QSO: 14000 CW 2005-11-26 1048 UX0ZX         599 16     UA3DPM        599 16     0
QSO: 14000 CW 2005-11-26 1049 UX0ZX         599 16     DL5DXS        599 14     0
QSO: 14000 CW 2005-11-26 1049 UX0ZX         599 16     EI8JF         599 14     0
QSO: 14000 CW 2005-11-26 1050 UX0ZX         599 16     SN6F          599 15     0
QSO: 14000 CW 2005-11-26 1052 UX0ZX         599 16     OZ4RT         599 14     0
QSO: 14000 CW 2005-11-26 1055 UX0ZX         599 16     IK3OBX        599 15     0
QSO: 14000 CW 2005-11-26 1056 UX0ZX         599 16     G0MTN         599 14     0
QSO: 14000 CW 2005-11-26 1059 UX0ZX         599 16     VP2E          599 08     0
QSO: 14000 CW 2005-11-26 1100 UX0ZX         599 16     SP2AVE        599 15     0
QSO: 14000 CW 2005-11-26 1101 UX0ZX         599 16     DJ0IF         599 14     0
QSO: 14000 CW 2005-11-26 1105 UX0ZX         599 16     DJ2YA         599 14     0
QSO: 14000 CW 2005-11-26 1106 UX0ZX         599 16     TF3CW         599 40     0
QSO: 14000 CW 2005-11-26 1106 UX0ZX         599 16     OH2RA         599 15     0
QSO: 14000 CW 2005-11-26 1110 UX0ZX         599 16     VY2TT         599 05     0
QSO: 14000 CW 2005-11-26 1112 UX0ZX         599 16     KP3Z          599 08     0
QSO: 14000 CW 2005-11-26 1115 UX0ZX         599 16     OM7DX         599 15     0
QSO: 14000 CW 2005-11-26 1117 UX0ZX         599 16     DL3YM         599 14     0
QSO: 14000 CW 2005-11-26 1117 UX0ZX         599 16     G0ORH         599 14     0
QSO: 14000 CW 2005-11-26 1123 UX0ZX         599 16     CX7BY         599 13     0
QSO: 14000 CW 2005-11-26 1124 UX0ZX         599 16     OH2K          599 15     0
QSO: 14000 CW 2005-11-26 1125 UX0ZX         599 16     HB9MM         599 14     0
QSO: 14000 CW 2005-11-26 1126 UX0ZX         599 16     ZF1A          599 08     0
QSO: 14000 CW 2005-11-26 1128 UX0ZX         599 16     EA6AFF        599 14     0
QSO: 14000 CW 2005-11-26 1130 UX0ZX         599 16     PA4A          599 14     0
