START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-CW
CALLSIGN: N9ZI
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: N9ZI
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-CW CQWPX/cw/2009.
QSO:  7009 CW 2009-05-30 0208 N9ZI          599 K3MJW         599 166
QSO:  7028 CW 2009-05-30 1237 N9ZI          599 036 KT0R          599 252
QSO:  7000 CW 2009-05-30 1240 N9ZI          599 37 K9NW          599 699
QSO:  7000 CW 2009-05-30 1241 N9ZI          599 38 N0BUI         599 94
QSO:  7046 CW 2009-05-30 1244 N9ZI          599 0039 WE3C          599 1030
QSO:  7070 CW 2009-05-30 1247 N9ZI          599 0040 NY3B          599 0129
QSO:  7018 CW 2009-05-30 1252 N9ZI          599 0041 NN5J          599 0758
QSO: 21030 CW 2009-05-30 1354 N9ZI          599 042 NM5M          599 0437
QSO: 21000 CW 2009-05-30 1401 N9ZI          599 43 WW4E          599 290
QSO: 21051 CW 2009-05-30 1405 N9ZI          599 44 8P5A          599 925
QSO: 21036 CW 2009-05-30 1407 N9ZI          599 0045 AD4ES         599 0128
QSO: 21033 CW 2009-05-30 1408 N9ZI          599 46 NQ5D          599 407
QSO: 21026 CW 2009-05-30 1409 N9ZI          599 047 K4BAI         599 0656
QSO: 21023 CW 2009-05-30 1412 N9ZI          599 48 KK5I          599 747
QSO: 21000 CW 2009-05-30 1414 N9ZI          599 049 KZ5J          599 173
QSO: 21045 CW 2009-05-30 1415 N9ZI          599 0050 NM5O          599 0547
QSO: 21013 CW 2009-05-30 1517 N9ZI          599 51 AK1W          599 1278
QSO: 21008 CW 2009-05-30 1519 N9ZI          599 52 N5QQ          599 416
QSO: 21026 CW 2009-05-30 1519 N9ZI          599 0053 NN5J          599 0192
QSO: 21048 CW 2009-05-30 1523 N9ZI          599 054 WB4TDH        599 250
QSO: 21053 CW 2009-05-30 1524 N9ZI          599 0055 WD4AHZ        599 0558
QSO: 28022 CW 2009-05-30 1627 N9ZI          599 0056 WN1GIV        599 0465
QSO: 28034 CW 2009-05-30 1629 N9ZI          599 0057 NM5O          599 0755
QSO: 28000 CW 2009-05-30 1633 N9ZI          599 0058 K4MF          599 0202
QSO: 28036 CW 2009-05-30 1636 N9ZI          599 0059 WD5K          599 0488
QSO: 28025 CW 2009-05-30 1638 N9ZI          599 0060 K4PV          599 0762
QSO: 14035 CW 2009-05-30 1642 N9ZI          599 061 KK5I          599 939
QSO: 14043 CW 2009-05-30 1642 N9ZI          599 62 NK7U          599 638
QSO: 14026 CW 2009-05-30 1648 N9ZI          599 0063 VA2WDQ        599 0717
QSO: 14016 CW 2009-05-30 1649 N9ZI          599 0064 NN3L          599 0509
QSO: 14004 CW 2009-05-30 1650 N9ZI          599 0065 NG3R          599 0798
QSO: 14036 CW 2009-05-30 1654 N9ZI          599 066 NR5M          599 0877
QSO: 14000 CW 2009-05-30 1659 N9ZI          599 67 W7SW          599 299
QSO: 14033 CW 2009-05-30 1701 N9ZI          599 0068 NN5J          599 0956
QSO: 14042 CW 2009-05-30 1705 N9ZI          599 069 NQ2F          599 558
QSO: 14050 CW 2009-05-30 1706 N9ZI          599 0070 WE3C          599 1172
QSO: 14054 CW 2009-05-30 1707 N9ZI          599 0071 NM5O          599 0786
QSO: 14057 CW 2009-05-30 1709 N9ZI          599 0072 OH8L          599 1413
QSO: 14060 CW 2009-05-30 2015 N9ZI          599 0073 W1FJ          599 0493
QSO: 14062 CW 2009-05-30 2016 N9ZI          599 0074 KM4M          599 0924
QSO: 14016 CW 2009-05-30 2021 N9ZI          599 75 WW2DX         599 1118
QSO: 14019 CW 2009-05-30 2023 N9ZI          599 0076 WJ9B          599 0819
QSO: 14021 CW 2009-05-30 2024 N9ZI          599 0077 W3FW          599 0196
QSO: 14039 CW 2009-05-30 2024 N9ZI          599 0078 NM7D          599 0651
QSO: 14000 CW 2009-05-30 2030 N9ZI          599 0081 WQ2N          599 0400
QSO: 14047 CW 2009-05-30 2033 N9ZI          599 79 TI5N          599 589
QSO: 14000 CW 2009-05-30 2035 N9ZI          599 82 N7TT          599 909
QSO: 14000 CW 2009-05-30 2037 N9ZI          599 83 NV1N          599 1042
QSO: 14014 CW 2009-05-30 2038 N9ZI          599 0084 AB7E          599 0579
QSO: 14048 CW 2009-05-30 2041 N9ZI          599 0085 KM4MK         599 0645
QSO: 14000 CW 2009-05-30 2043 N9ZI          599 87 AB3CX         599 805
QSO: 14000 CW 2009-05-30 2043 N9ZI          599 86 WW4E          599 830
QSO: 14000 CW 2009-05-30 2049 N9ZI          599 089 K1BV          599 275
QSO:  7032 CW 2009-05-30 2052 N9ZI          599 0090 VE3UTT        599 0982
QSO:  7046 CW 2009-05-30 2055 N9ZI          599 0091 K3MQ          599 0205
QSO:  7029 CW 2009-05-30 2057 N9ZI          599 0093 N2WQ/VE3      599 0530
QSO:  7041 CW 2009-05-30 2100 N9ZI          599 0095 KM4M          599 0965
QSO: 14000 CW 2009-05-30 2107 N9ZI          599 96 K7ZZ          599 904
QSO: 14000 CW 2009-05-30 2108 N9ZI          599 097 WA6KHK        599 398
QSO: 14063 CW 2009-05-30 2114 N9ZI          599 0099 WV7Q          599 0666
QSO: 14060 CW 2009-05-30 2115 N9ZI          599 0100 W1EBI         599 0430
QSO: 14034 CW 2009-05-30 2120 N9ZI          599 101 EF8M          599 1998
QSO: 14044 CW 2009-05-30 2123 N9ZI          599 103 F5IN          599 0808
QSO: 14000 CW 2009-05-30 2127 N9ZI          599 102 HG1S          599 0808
QSO:  7033 CW 2009-05-31 0101 N9ZI          599 014 9A8A          599 1205
QSO:  7037 CW 2009-05-31 0113 N9ZI          599 0108 WW4E          599 0689
QSO:  7043 CW 2009-05-31 0113 N9ZI          599 0107 WW4R          599 0995
QSO:  7000 CW 2009-05-31 0118 N9ZI          599 109 N3UM          599 798
QSO:  7013 CW 2009-05-31 0120 N9ZI          599 111 WW2DX         599 1511
QSO:  7014 CW 2009-05-31 0120 N9ZI          599 110 NR4M          599 1157
QSO:  7012 CW 2009-05-31 0122 N9ZI          599 0112 K4RO          599 1570
QSO:  7010 CW 2009-05-31 0123 N9ZI          599 111 VE3EJ         599 1862
QSO:  7000 CW 2009-05-31 0125 N9ZI          599 114 K3ZO          599 1224
QSO:  7018 CW 2009-05-31 0129 N9ZI          599 0115 N3KS          599 1636
QSO: 14000 CW 2009-05-31 1420 N9ZI          599 116 NN1N          599 447
QSO: 14018 CW 2009-05-31 1422 N9ZI          599 0117 WK1Q          599 1796
QSO: 14028 CW 2009-05-31 1423 N9ZI          599 0118 NZ1U          599 1524
QSO: 14000 CW 2009-05-31 1425 N9ZI          599 119 WC5T          599 2091
QSO: 14033 CW 2009-05-31 1425 N9ZI          599 120 AA3B          599 2427
QSO: 14050 CW 2009-05-31 1427 N9ZI          599 0121 N8OO          599 1838
QSO: 14057 CW 2009-05-31 1428 N9ZI          599 122 K3WW          599 1776
QSO: 14080 CW 2009-05-31 1432 N9ZI          599 0123 N2MM          599 0794
QSO: 14075 CW 2009-05-31 1433 N9ZI          599 0224 K7QQ          599 1404
QSO: 14040 CW 2009-05-31 1438 N9ZI          599 126 VY2TT         599 3109
QSO: 14052 CW 2009-05-31 1438 N9ZI          599 0125 NN7ZZ         599 0613
QSO: 14000 CW 2009-05-31 1439 N9ZI          599 127 WA6O          599 2007
QSO: 14013 CW 2009-05-31 1440 N9ZI          599 128 W4KAZ         599 478
QSO: 14000 CW 2009-05-31 1448 N9ZI          599 129 KR4Z          599 1822
QSO:  7031 CW 2009-05-31 1453 N9ZI          599 130 K0RU          599 0992
QSO:  7000 CW 2009-05-31 1455 N9ZI          599 131 K7CS          599 905
QSO:  7039 CW 2009-05-31 1459 N9ZI          599 0132 NO3M          599 0992
QSO:  7037 CW 2009-05-31 1502 N9ZI          599 0133 N4DW          599 0654
QSO: 21012 CW 2009-05-31 1507 N9ZI          599 0134 KM9P          599 2129
QSO: 21000 CW 2009-05-31 1513 N9ZI          599 136 AD4J          599 2151
QSO: 21011 CW 2009-05-31 1515 N9ZI          599 0138 KM4MK         599 1108
QSO: 21000 CW 2009-05-31 1518 N9ZI          599 138 KR4Z          599 1849
QSO: 21050 CW 2009-05-31 1519 N9ZI          599 0139 N8OO          599 1881
QSO: 21045 CW 2009-05-31 1522 N9ZI          599 0140 NY4A          599 2476
QSO: 21015 CW 2009-05-31 1526 N9ZI          599 141 W5WMU         599 1577
QSO: 21041 CW 2009-05-31 1527 N9ZI          599 142 NR3X          599 1255
QSO: 14049 CW 2009-05-31 1529 N9ZI          599 0133 K5KA          599 0598
QSO: 14034 CW 2009-05-31 1531 N9ZI          599 144 N0AT          599 745
QSO: 14024 CW 2009-05-31 1532 N9ZI          599 0146 K7HP          599 0818
QSO: 14030 CW 2009-05-31 1532 N9ZI          599 145 AB1HZ         599 1984
QSO: 14007 CW 2009-05-31 1536 N9ZI          599 147 WA1FCN        599 938
QSO: 14033 CW 2009-05-31 1538 N9ZI          599 149 KT0R          599 578
QSO: 14000 CW 2009-05-31 1540 N9ZI          599 150 KG4CUY        599 353
QSO: 14048 CW 2009-05-31 1541 N9ZI          599 0151 WD5K          599 1094
QSO: 14050 CW 2009-05-31 2050 N9ZI          599 152 KL7Z          599 1494
QSO: 14040 CW 2009-05-31 2054 N9ZI          599 153 UU7J          599 2488
QSO: 14000 CW 2009-05-31 2058 N9ZI          599 0154 XE2S          599 0894
QSO: 14028 CW 2009-05-31 2108 N9ZI          599 0157 ZY7C          599 1811
QSO: 14035 CW 2009-05-31 2109 N9ZI          599 158 WX5S          599 1384
QSO: 14064 CW 2009-05-31 2112 N9ZI          599 159 W0UA          599 1790
QSO: 14054 CW 2009-05-31 2118 N9ZI          599 160 KC0MO         599 1514
QSO: 14021 CW 2009-05-31 2122 N9ZI          599 161 NF6A          599 1936
QSO: 14051 CW 2009-05-31 2130 N9ZI          599 162 EA5CW         599 1221
QSO: 14036 CW 2009-05-31 2132 N9ZI          599 163 G5O           599 1169
QSO: 14029 CW 2009-05-31 2134 N9ZI          599 0196 S52ZW         599 1557
QSO: 14000 CW 2009-05-31 2139 N9ZI          599 166 HG8R          599 2488
QSO: 14032 CW 2009-05-31 2141 N9ZI          599 167 OL0W          599 2082
QSO: 14054 CW 2009-05-31 2151 N9ZI          599 0169 WK2G          599 1427
QSO: 14055 CW 2009-05-31 2152 N9ZI          599 0170 UZ2M          599 1854
QSO:  7037 CW 2009-05-31 2159 N9ZI          599 0171 K4CZ          599 0251
QSO:  7021 CW 2009-05-31 2202 N9ZI          599 0172 VA2WDQ        599 1651
QSO:  7026 CW 2009-05-31 2202 N9ZI          599 0173 KR4F          599 0918
QSO:  7030 CW 2009-05-31 2205 N9ZI          599 0175 W3JK          599 0217
QSO:  7000 CW 2009-05-31 2207 N9ZI          599 176 K9MUG         599 392
QSO:  7000 CW 2009-05-31 2209 N9ZI          599 178 KN6DV         599 1401
QSO:  7051 CW 2009-05-31 2209 N9ZI          599 0177 K1TR          599 0348
QSO:  7032 CW 2009-05-31 2210 N9ZI          599 0179 N1WR          599 1232
QSO:  7000 CW 2009-05-31 2214 N9ZI          599 180 NR3X          599 1476
QSO:  7022 CW 2009-05-31 2216 N9ZI          599 0181 NG3R          599 0960
QSO:  7045 CW 2009-05-31 2344 N9ZI          599 0182 W9WI          599 0875
QSO:  7000 CW 2009-05-31 2345 N9ZI          599 183 K0DEQ         599 1152
QSO:  7000 CW 2009-05-31 2346 N9ZI          599 184 K8GL          599 1823
QSO:  7048 CW 2009-05-31 2350 N9ZI          599 185 W1CU          599 1199
QSO:  7041 CW 2009-05-31 2351 N9ZI          599 0186 WA0MHJ        599 0153
QSO:  7025 CW 2009-05-31 2353 N9ZI          599 187 CT1JLZ        599 1972
QSO:  7024 CW 2009-05-31 2355 N9ZI          599 0188 CN3A          599 3679
QSO:  7030 CW 2009-05-31 2357 N9ZI          599 189 TI5N          599 1342
QSO:  7042 CW 2009-05-31 2358 N9ZI          599 0190 VE3DZ/VP9     599 2643
END-OF-LOG:
