START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-CW
CALLSIGN: K1SND
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: K1SND
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-CW CQWPX/cw/2015.
QSO: 14036 CW 2015-05-30 0147 K1SND         599 K8MP          599 0184
QSO: 14067 CW 2015-05-30 0225 K1SND         599 0030 CE3CT         599 0140
QSO: 14063 CW 2015-05-30 0227 K1SND         599 31 KG9N          599 11
QSO: 14048 CW 2015-05-30 0230 K1SND         599 0032 UW5Q          599 0224
QSO: 14042 CW 2015-05-30 0232 K1SND         599 033 D4C           599 0404
QSO:  7025 CW 2015-05-30 0235 K1SND         599 034 G9W           599 0330
QSO:  7029 CW 2015-05-30 0236 K1SND         599 0035 TC3D          599 0223
QSO:  7028 CW 2015-05-30 0237 K1SND         599 036 OL4A          599 0245
QSO:  7030 CW 2015-05-30 0238 K1SND         599 037 9A9R          599 0159
QSO:  7033 CW 2015-05-30 0238 K1SND         599 0038 OL1C          599 0132
QSO:  7038 CW 2015-05-30 0239 K1SND         599 039 9A73A         599 0321
QSO:  7044 CW 2015-05-30 0241 K1SND         599 0040 AA3B          599 0338
QSO:  7047 CW 2015-05-30 0241 K1SND         599 042 OE3K          599 0388
QSO:  7047 CW 2015-05-30 0242 K1SND         599 0041 YT4RA         599 0168
QSO:  7048 CW 2015-05-30 0242 K1SND         599 043 K1AR          599 0301
QSO:  7050 CW 2015-05-30 0249 K1SND         599 044 S55M          599 0082
QSO:  7051 CW 2015-05-30 0250 K1SND         599 045 TM2Y          599 0305
QSO:  7053 CW 2015-05-30 0253 K1SND         599 0046 TO5Y          599 0316
QSO:  7053 CW 2015-05-30 0254 K1SND         599 0047 NF2RS         599 0138
QSO:  7054 CW 2015-05-30 0255 K1SND         599 0048 EI1Y          599 0353
QSO:  7054 CW 2015-05-30 0256 K1SND         599 0049 WE4M          599 0262
QSO:  7058 CW 2015-05-30 0257 K1SND         599 050 YU5R          599 0137
QSO:  7059 CW 2015-05-30 0258 K1SND         599 051 G4A           599 0204
QSO:  7062 CW 2015-05-30 0258 K1SND         599 0052 LZ8E          599 0305
QSO:  7066 CW 2015-05-30 0259 K1SND         599 0053 NO7R          599 0287
QSO:  7067 CW 2015-05-30 0300 K1SND         599 0055 9A5K          599 0323
QSO:  7067 CW 2015-05-30 0300 K1SND         599 54 PJ2T          599 298
QSO:  7058 CW 2015-05-30 0303 K1SND         599 0057 LZ2JR         599 0266
QSO:  7064 CW 2015-05-30 0303 K1SND         599 056 OM7RU         599 0263
QSO:  7051 CW 2015-05-30 0304 K1SND         599 0059 N3QE          599 0244
QSO:  7052 CW 2015-05-30 0304 K1SND         599 058 SZ1A          558 408
QSO:  7050 CW 2015-05-30 0305 K1SND         599 060 II3W          599 229
QSO:  7046 CW 2015-05-30 0306 K1SND         599 061 YT9X          599 0391
QSO:  7037 CW 2015-05-30 0309 K1SND         599 63 S50A          599 296
QSO:  7038 CW 2015-05-30 0309 K1SND         599 0062 4U5F          599 0361
QSO:  7036 CW 2015-05-30 0310 K1SND         599 064 SN3A          599 0332
QSO:  7033 CW 2015-05-30 0311 K1SND         599 0065 KP2M          599 0371
QSO: 14029 CW 2015-05-30 0939 K1SND         599 0066 SC0N          599 0554
QSO: 14030 CW 2015-05-30 0941 K1SND         599 0067 5K4R          599 0707
QSO: 14033 CW 2015-05-30 0942 K1SND         599 0068 DD1A          599 0623
QSO: 14034 CW 2015-05-30 0944 K1SND         599 69 EU6AF         599 615
QSO: 14035 CW 2015-05-30 0944 K1SND         599 070 G5W           599 0731
QSO: 14000 CW 2015-05-30 0945 K1SND         599 0071 Z63MED        599 0480
QSO: 14046 CW 2015-05-30 0948 K1SND         599 0072 YT4RA         599 0671
QSO: 14046 CW 2015-05-30 0950 K1SND         599 0073 LZ7A          599 0445
QSO: 14050 CW 2015-05-30 0952 K1SND         599 0074 NS1S          599 0663
QSO: 14053 CW 2015-05-30 0955 K1SND         599 076 LY2K          599 0503
QSO: 14057 CW 2015-05-30 0956 K1SND         599 077 OL4A          599 0720
QSO: 14031 CW 2015-05-30 1000 K1SND         599 078 6Y6N          599 1060
QSO: 14036 CW 2015-05-30 1004 K1SND         599 71 RW4W          599 794
QSO: 14000 CW 2015-05-30 1006 K1SND         599 80 DJ0SP         599 483
QSO: 14043 CW 2015-05-30 1008 K1SND         599 0081 VP2MDG        599 0965
QSO: 14044 CW 2015-05-30 1009 K1SND         599 082 CS2C          599 968
QSO: 14049 CW 2015-05-30 1012 K1SND         599 083 DR4A          599 0363
QSO: 14064 CW 2015-05-30 1013 K1SND         599 084 K1KI          599 0785
QSO: 14032 CW 2015-05-30 1015 K1SND         599 085 LY7Z          599 0710
QSO: 14000 CW 2015-05-30 1018 K1SND         599 86 7N4SJX        599 052
QSO: 14035 CW 2015-05-30 1020 K1SND         599 0087 VK7CW         599 0090
QSO: 14000 CW 2015-05-30 1025 K1SND         599 089 IK3UNA/1      599 275
QSO: 14046 CW 2015-05-30 1027 K1SND         599 090 DL65DARC      599 0318
QSO: 14051 CW 2015-05-30 1028 K1SND         599 091 MJ5Z          599 0523
QSO: 14053 CW 2015-05-30 1029 K1SND         599 093 AD4TR         599 0389
QSO: 14060 CW 2015-05-30 1032 K1SND         599 0094 SA6G          599 0423
QSO: 14000 CW 2015-05-30 1040 K1SND         599 0097 CO8CY         599 0261
QSO: 14030 CW 2015-05-30 1040 K1SND         599 096 OH9W          599 0507
QSO: 14032 CW 2015-05-30 1043 K1SND         599 0098 YL9T          599 0837
QSO: 14045 CW 2015-05-30 1045 K1SND         599 099 VP9/DL3YM     599 0495
QSO: 14048 CW 2015-05-30 1046 K1SND         599 0100 JN4MMO        599 0201
QSO: 14026 CW 2015-05-30 1050 K1SND         599 0101 JA1ZGO        599 0460
QSO: 14029 CW 2015-05-30 1051 K1SND         599 0102 R0QA          599 0327
QSO: 14035 CW 2015-05-30 1055 K1SND         599 0103 TO5Y          599 0713
QSO: 21028 CW 2015-05-30 2329 K1SND         599 104 TM5Y          599 2202
QSO: 21031 CW 2015-05-30 2330 K1SND         599 105 LA3S          599 1052
QSO: 21043 CW 2015-05-30 2331 K1SND         599 0106 WH7M          599 1561
QSO: 21044 CW 2015-05-30 2332 K1SND         599 107 NF6A          599 1856
QSO: 21046 CW 2015-05-30 2333 K1SND         599 0108 N6RK          599 0241
QSO: 21043 CW 2015-05-30 2334 K1SND         599 109 ZM2IO         599 1398
QSO: 21040 CW 2015-05-30 2336 K1SND         599 0110 OH1F          599 2115
QSO: 21034 CW 2015-05-30 2337 K1SND         599 111 SN5X          599 1265
QSO: 21033 CW 2015-05-30 2338 K1SND         599 0112 PY4YY         599 0700
QSO: 21043 CW 2015-05-30 2339 K1SND         599 113 ES9C          599 3076
QSO: 21050 CW 2015-05-30 2340 K1SND         599 0114 IB9T          599 2231
QSO: 21052 CW 2015-05-30 2341 K1SND         599 0115 SJ2W          599 1982
QSO: 14026 CW 2015-05-30 2343 K1SND         599 0116 S50R          599 1506
QSO: 14032 CW 2015-05-30 2344 K1SND         599 117 D44AC         599 2338
QSO: 14041 CW 2015-05-30 2345 K1SND         599 117 SK3W          599 1390
QSO: 14044 CW 2015-05-30 2347 K1SND         599 120 SN7Q          599 2080
QSO: 14049 CW 2015-05-30 2348 K1SND         599 0121 SO4M          599 1536
QSO: 14050 CW 2015-05-30 2349 K1SND         599 122 IK8UND        599 0692
QSO: 14062 CW 2015-05-30 2351 K1SND         599 0024 A42A          599 1725
QSO: 14069 CW 2015-05-30 2352 K1SND         599 0125 KP3Z          599 1904
QSO: 14069 CW 2015-05-30 2355 K1SND         599 126 FY5FY         599 1246
QSO: 14029 CW 2015-05-30 2356 K1SND         599 127 P33W          599 4285
QSO: 14034 CW 2015-05-30 2356 K1SND         599 0128 E7DX          599 2372
QSO: 14044 CW 2015-05-30 2359 K1SND         599 129 OM5ZW         599 1748
QSO: 14048 CW 2015-05-30 2359 K1SND         599 130 II3W          599 1229
QSO: 14049 CW 2015-05-31 0000 K1SND         599 131 SZ1A          599 2396
QSO: 14055 CW 2015-05-31 0001 K1SND         599 0132 IO2X          599 1451
QSO: 14058 CW 2015-05-31 0002 K1SND         599 133 CT9/R9DX      599 2417
QSO: 14065 CW 2015-05-31 0004 K1SND         599 134 OM2VL         599 1710
QSO: 14029 CW 2015-05-31 0005 K1SND         599 135 DM9K          599 1233
QSO:  7042 CW 2015-05-31 0007 K1SND         599 0136 VP2MDG        599 2415
QSO:  7043 CW 2015-05-31 0007 K1SND         599 137 LX7I          599 2494
QSO: 14049 CW 2015-05-31 0012 K1SND         599 138 HG7T          599 1162
QSO: 14053 CW 2015-05-31 0012 K1SND         599 0139 VA7ST         599 0656
QSO: 14064 CW 2015-05-31 0013 K1SND         599 0140 OH1F          599 2158
QSO: 21027 CW 2015-05-31 0015 K1SND         599 141 OZ5E          599 1657
QSO: 21033 CW 2015-05-31 0016 K1SND         599 0142 CU4DX         599 2347
QSO: 21038 CW 2015-05-31 0018 K1SND         599 0143 LU9MDH        599 0100
QSO: 21048 CW 2015-05-31 0019 K1SND         599 144 VP9/DL3YM     599 1178
QSO: 21062 CW 2015-05-31 0022 K1SND         599 0146 VE7JKZ        599 0250
QSO: 21032 CW 2015-05-31 0036 K1SND         599 0147 DD0CC         599 1013
QSO:  7028 CW 2015-05-31 0039 K1SND         599 149 4O90A         599 1985
QSO:  7030 CW 2015-05-31 0041 K1SND         599 0151 PR7DX         599 0589
QSO:  7032 CW 2015-05-31 0041 K1SND         599 0152 AB3CV         599 0830
QSO:  7033 CW 2015-05-31 0042 K1SND         599 153 DL65DARC      599 0456
QSO:  7035 CW 2015-05-31 0044 K1SND         599 0154 LY2W          599 0703
QSO:  7039 CW 2015-05-31 0046 K1SND         599 156 VP9/DL3YM     599 1202
QSO:  7043 CW 2015-05-31 0047 K1SND         599 0157 DL/KU1CW      599 1330
QSO:  7045 CW 2015-05-31 0047 K1SND         599 0158 EU1A          599 1428
QSO:  7059 CW 2015-05-31 0049 K1SND         599 0159 K3AJ          599 1035
QSO:  7037 CW 2015-05-31 0050 K1SND         599 0160 LY4A          599 0723
QSO:  7025 CW 2015-05-31 0052 K1SND         599 161 9A1A          599 1147
QSO:  7038 CW 2015-05-31 0053 K1SND         599 0162 HA4XH         599 0675
QSO:  7049 CW 2015-05-31 0054 K1SND         599 163 EC2DX         599 0818
QSO:  7055 CW 2015-05-31 0055 K1SND         599 0164 WA3AAN        599 0353
QSO: 14026 CW 2015-05-31 0057 K1SND         599 0165 OK7Z          599 1466
QSO: 14026 CW 2015-05-31 0057 K1SND         599 166 TM5Y          599 2358
QSO:  7027 CW 2015-05-31 1017 K1SND         599 0001 ZF1A          599 3658
QSO:  7028 CW 2015-05-31 1024 K1SND         599 168 VE3MGY        599 0513
QSO: 14035 CW 2015-05-31 1030 K1SND         599 0170 PY2NY         599 0977
QSO: 14036 CW 2015-05-31 1031 K1SND         599 0171 JA1BJI        599 1032
QSO: 14037 CW 2015-05-31 1031 K1SND         599 0172 G9V           599 0630
QSO: 14049 CW 2015-05-31 1035 K1SND         599 174 F5VLY         599 0352
QSO: 14000 CW 2015-05-31 1036 K1SND         599 175 LZ2HR         599 654
QSO: 14066 CW 2015-05-31 1039 K1SND         599 176 OH2KM         599 0366
QSO: 14060 CW 2015-05-31 1040 K1SND         599 0177 9A3TY         599 0508
QSO: 14058 CW 2015-05-31 1041 K1SND         599 178 UZ0U          599 963
QSO: 14000 CW 2015-05-31 1042 K1SND         599 0179 CO2RQ         599 0473
QSO: 14000 CW 2015-05-31 1044 K1SND         599 180 IZ8EFD        599 841
QSO: 14043 CW 2015-05-31 1046 K1SND         599 181 OL6P          599 1822
QSO: 14036 CW 2015-05-31 1049 K1SND         599 0182 JA1BJI        599 1045
QSO: 14034 CW 2015-05-31 1050 K1SND         599 182 9A5D          599 2667
QSO: 14029 CW 2015-05-31 1051 K1SND         599 183 HA8JV         599 1562
QSO: 14027 CW 2015-05-31 1052 K1SND         599 184 OL7C          599 2620
QSO: 14025 CW 2015-05-31 1053 K1SND         599 186 EI7M          599 2366
QSO: 14028 CW 2015-05-31 1053 K1SND         599 0185 JA7BME        599 0686
QSO: 14037 CW 2015-05-31 1056 K1SND         599 0187 G9V           599 0655
QSO: 14032 CW 2015-05-31 1058 K1SND         599 188 JT5DX         599 2420
QSO: 21029 CW 2015-05-31 1110 K1SND         599 0191 DD1A          599 0776
QSO: 21029 CW 2015-05-31 1112 K1SND         599 192 SK3W          599 1416
QSO: 21032 CW 2015-05-31 1113 K1SND         599 0193 YL9T          599 1999
QSO: 21046 CW 2015-05-31 1117 K1SND         599 194 YU5R          599 1578
QSO: 21049 CW 2015-05-31 1118 K1SND         599 195 T48K          599 0902
QSO: 21056 CW 2015-05-31 1119 K1SND         599 196 DL5YM         599 1441
QSO: 21059 CW 2015-05-31 1120 K1SND         599 197 E73W          599 1903
QSO: 21065 CW 2015-05-31 1122 K1SND         599 199 DM6V          599 1395
QSO: 21057 CW 2015-05-31 1123 K1SND         599 200 YU1EW         599 1815
END-OF-LOG:
