START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-DX-CW
CALLSIGN: PA3EYC
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: PA3EYC
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-DX-CW ARRL/arrl_international_dx_cw_contest/2026.
QSO: 14001 CW 2026-02-21 1138 PA3EYC        599 100 AA1K          599 DE
QSO: 21007 CW 2026-02-22 1227 PA3EYC        599 100 WF4DX         599 FL
QSO: 21030 CW 2026-02-22 1227 PA3EYC        599 100 W4RM          599 NC
QSO: 21016 CW 2026-02-22 1228 PA3EYC        599 100 K1RX          599 NH
QSO: 21020 CW 2026-02-22 1229 PA3EYC        599 100 WA3A          599 PA
QSO: 21034 CW 2026-02-22 1230 PA3EYC        599 100 N2ZX          599 NY
QSO: 21070 CW 2026-02-22 1230 PA3EYC        599 100 N2MM          599 NJ
QSO: 21023 CW 2026-02-22 1231 PA3EYC        599 100 VA2WA         599 QC
QSO: 21048 CW 2026-02-22 1231 PA3EYC        599 100 K1JB          599 ME
QSO: 21053 CW 2026-02-22 1232 PA3EYC        599 100 KU2C          599 PA
QSO: 21006 CW 2026-02-22 1233 PA3EYC        599 100 K1TZQ         599 RI
QSO: 21001 CW 2026-02-22 1234 PA3EYC        599 100 K7SV          599 VA
QSO: 21072 CW 2026-02-22 1234 PA3EYC        599 100 K1BX          599 NH
QSO: 21005 CW 2026-02-22 1235 PA3EYC        599 100 K1KI          599 CT
QSO: 21014 CW 2026-02-22 1237 PA3EYC        599 100 N6AR          599 FL
QSO: 21045 CW 2026-02-22 1239 PA3EYC        599 100 N1TO          599 FL
END-OF-LOG:
