START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-CW
CALLSIGN: N8RY
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: N8RY
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-CW CQWPX/cw/2018.
QSO: 14050 CW 2018-05-26 1053 N8RY          599 8P5A          599 1370
QSO: 14036 CW 2018-05-27 0252 N8RY          599 0044 W6SX          599 1002
QSO: 14036 CW 2018-05-27 0254 N8RY          599 0045 KA6BIM        599 0693
QSO: 14000 CW 2018-05-27 0258 N8RY          599 46 NN5P          599 1633
QSO: 14035 CW 2018-05-27 0300 N8RY          599 047 RA3CW         599 1780
QSO: 14036 CW 2018-05-27 0302 N8RY          599 0048 WK7S          599 1458
QSO: 14000 CW 2018-05-27 0303 N8RY          599 049 K6CSL         599 039
QSO: 14036 CW 2018-05-27 0306 N8RY          599 0051 N1TO          599 0215
QSO:  7034 CW 2018-05-27 1114 N8RY          599 0055 VE3UTT        599 0949
QSO:  7003 CW 2018-05-27 1116 N8RY          599 0056 KN7NV         599 0995
QSO:  7019 CW 2018-05-27 1118 N8RY          599 0057 VA7DX         599 1507
QSO:  7022 CW 2018-05-27 1119 N8RY          599 058 NY6N          599 1060
QSO:  7031 CW 2018-05-27 1121 N8RY          599 0059 VE3DZ         599 1920
QSO:  7032 CW 2018-05-27 1123 N8RY          599 0060 NA6O          599 0968
QSO:  7032 CW 2018-05-27 1129 N8RY          599 61 N3BB          599 32
QSO:  7035 CW 2018-05-27 1130 N8RY          599 0062 AA3B          599 2497
QSO:  7000 CW 2018-05-27 1132 N8RY          599 0063 VK3FY         599 1013
QSO:  7045 CW 2018-05-27 1133 N8RY          599 0064 VE3NNT        599 1321
QSO:  7050 CW 2018-05-27 1135 N8RY          599 65 N2WK          599 562
QSO: 14005 CW 2018-05-27 1138 N8RY          599 0066 KO7SS         599 1729
QSO: 14006 CW 2018-05-27 1139 N8RY          599 0067 S57DX         599 1554
QSO: 14007 CW 2018-05-27 1140 N8RY          599 0068 LY2XW         599 2062
QSO: 14010 CW 2018-05-27 1142 N8RY          599 069 W3EP          599 0904
QSO: 14012 CW 2018-05-27 1143 N8RY          599 0070 RT5G          599 1730
QSO: 14013 CW 2018-05-27 1144 N8RY          599 0071 LZ5R          599 4133
QSO: 14019 CW 2018-05-27 1147 N8RY          599 0072 LA5UF         599 0760
END-OF-LOG:
