START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WW-SSB
CALLSIGN: JH6QFJ
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: JH6QFJ
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WW-SSB CQWW/ph/2025.
QSO: 21441 PH 2025-10-25 0949 JH6QFJ        59 25 D4Z           59 35
QSO: 28337 PH 2025-10-26 0924 JH6QFJ        59 25 ED2R          59 14
QSO: 28337 PH 2025-10-26 0925 JH6QFJ        59 25 LX5M          59 14
QSO: 28338 PH 2025-10-26 0925 JH6QFJ        59 25 IU7IGI        59 15
QSO: 28337 PH 2025-10-26 0926 JH6QFJ        59 25 F5NBX         59 14
QSO: 28338 PH 2025-10-26 0926 JH6QFJ        59 25 RC8SC         59 16
QSO: 28337 PH 2025-10-26 0927 JH6QFJ        59 25 DL3LAB        59 14
QSO: 28337 PH 2025-10-26 0927 JH6QFJ        59 25 OL9Z          59 15
QSO: 28338 PH 2025-10-26 0927 JH6QFJ        59 25 SN2M          59 15
QSO: 28337 PH 2025-10-26 0928 JH6QFJ        59 25 US4EX         59 16
QSO: 28337 PH 2025-10-26 0929 JH6QFJ        59 25 F6KOP         59 14
QSO: 28337 PH 2025-10-26 0929 JH6QFJ        59 25 LZ5R          59 20
QSO: 28337 PH 2025-10-26 0929 JH6QFJ        59 25 RG2Y          59 16
QSO: 28000 PH 2025-10-26 0930 JH6QFJ        59 25 EA5IGO        59 14
QSO: 28337 PH 2025-10-26 0931 JH6QFJ        59 25 DQ5T          59 14
QSO: 28337 PH 2025-10-26 0931 JH6QFJ        59 25 HG7T          59 15
QSO: 28337 PH 2025-10-26 0931 JH6QFJ        59 25 HG9X          59 15
QSO: 28337 PH 2025-10-26 0931 JH6QFJ        59 25 TM3P          59 14
QSO: 28337 PH 2025-10-26 0932 JH6QFJ        59 25 OK1DO         59 15
QSO: 28338 PH 2025-10-26 0932 JH6QFJ        59 25 IO7T          59 15
QSO: 28338 PH 2025-10-26 0932 JH6QFJ        59 25 SV1ABB        59 20
QSO: 28337 PH 2025-10-26 0933 JH6QFJ        59 25 IP4X          59 15
QSO: 28337 PH 2025-10-26 0933 JH6QFJ        59 25 RG5A          59 16
QSO: 28338 PH 2025-10-26 0933 JH6QFJ        59 25 UY5LW         59 16
QSO: 28337 PH 2025-10-26 0934 JH6QFJ        59 25 IB9R          59 15
QSO: 28338 PH 2025-10-26 0934 JH6QFJ        59 25 IR3Z          59 15
QSO: 28338 PH 2025-10-26 0935 JH6QFJ        59 25 EA3KN         59 14
QSO: 28338 PH 2025-10-26 0935 JH6QFJ        59 25 HB9H          59 14
QSO: 28000 PH 2025-10-26 0936 JH6QFJ        59 25 SP8IMG        59 15
QSO: 28337 PH 2025-10-26 0936 JH6QFJ        59 25 DL1ATZ        59 14
QSO: 28337 PH 2025-10-26 0936 JH6QFJ        59 25 F4EQN         59 14
QSO: 28337 PH 2025-10-26 0937 JH6QFJ        59 25 EW8R          59 16
QSO: 28337 PH 2025-10-26 0937 JH6QFJ        59 25 RL3A          59 16
QSO: 28338 PH 2025-10-26 0937 JH6QFJ        59 25 UA2FZ         59 15
QSO: 28338 PH 2025-10-26 0938 JH6QFJ        59 25 EV1R          59 16
QSO: 28338 PH 2025-10-26 0938 JH6QFJ        59 25 F4HRG         59 14
QSO: 28000 PH 2025-10-26 0939 JH6QFJ        59 25 YE9EEY        59 28
QSO: 28337 PH 2025-10-26 0939 JH6QFJ        59 25 DF0HQ         59 14
QSO: 28338 PH 2025-10-26 0939 JH6QFJ        59 25 HA4A          59 15
QSO: 28338 PH 2025-10-26 0939 JH6QFJ        59 25 VK3XA         59 30
QSO: 28338 PH 2025-10-26 0940 JH6QFJ        59 25 G4ATH         59 14
QSO: 28338 PH 2025-10-26 0941 JH6QFJ        59 25 BA7MT         59 24
QSO: 28338 PH 2025-10-26 0941 JH6QFJ        59 25 G1D           59 14
QSO: 28337 PH 2025-10-26 0942 JH6QFJ        59 25 G5O           59 14
QSO: 28337 PH 2025-10-26 0942 JH6QFJ        59 25 RU1A          59 16
QSO: 28338 PH 2025-10-26 0942 JH6QFJ        59 25 F8KHN         59 14
QSO: 28337 PH 2025-10-26 0945 JH6QFJ        59 25 M6T           59 14
QSO: 28337 PH 2025-10-26 0946 JH6QFJ        59 25 SJ2W          59 14
QSO: 28337 PH 2025-10-26 0949 JH6QFJ        59 25 RX9YM         59 18
QSO: 28337 PH 2025-10-26 0950 JH6QFJ        59 25 DR1D          59 14
QSO: 28338 PH 2025-10-26 0950 JH6QFJ        59 25 9M2J          59 28
QSO: 28000 PH 2025-10-26 0951 JH6QFJ        59 25 YB1AAW        59 28
QSO: 28000 PH 2025-10-26 0951 JH6QFJ        59 25 YB1CYO        59 28
QSO: 28338 PH 2025-10-26 0952 JH6QFJ        59 25 UT3UZ         59 16
QSO: 28337 PH 2025-10-26 0953 JH6QFJ        59 25 GM5DX         59 14
QSO: 28337 PH 2025-10-26 0953 JH6QFJ        59 25 M0ABR         59 14
QSO: 28000 PH 2025-10-26 0954 JH6QFJ        59 25 DH1PAL        59 14
QSO: 28337 PH 2025-10-26 0954 JH6QFJ        59 25 GM6NX         59 14
QSO: 28563 PH 2025-10-26 0958 JH6QFJ        59 25 CR3A          59 33
END-OF-LOG:
