START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-CW
CALLSIGN: G0WHO
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: G0WHO
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-CW CQWPX/cw/2010.
QSO: 21063 CW 2010-05-29 0821 G0WHO         599 UA8AA/5       599 198
QSO: 14047 CW 2010-05-30 1655 G0WHO         599 0099 UZ7U          599 1437
QSO: 14048 CW 2010-05-30 1657 G0WHO         599 101 OM6A          599 1687
QSO: 14174 CW 2010-05-30 1659 G0WHO         599 102 LY7A          599 1611
QSO: 14050 CW 2010-05-30 1701 G0WHO         599 0103 PI4TUE        599 2249
QSO: 14050 CW 2010-05-30 1703 G0WHO         599 104 CT1JLZ        599 2225
QSO: 14051 CW 2010-05-30 1703 G0WHO         599 105 DL3TD         599 2196
QSO: 14054 CW 2010-05-30 1708 G0WHO         599 108 DQ4W          599 1388
QSO: 14055 CW 2010-05-30 1710 G0WHO         599 109 OG0I          599 2581
QSO: 14056 CW 2010-05-30 1710 G0WHO         599 111 G0MTN         599 0995
QSO: 14056 CW 2010-05-30 1710 G0WHO         599 0110 SM6EQO        599 0970
QSO: 14057 CW 2010-05-30 1713 G0WHO         599 112 UA3KA         599 1291
QSO: 14058 CW 2010-05-30 1714 G0WHO         599 113 4U10NPT       599 0664
QSO: 14024 CW 2010-05-30 1719 G0WHO         599 115 SN2K          599 0876
QSO: 14000 CW 2010-05-30 1720 G0WHO         599 116 W5MPC         599 544
QSO: 14000 CW 2010-05-30 1723 G0WHO         599 117 Z35F          599 0721
QSO: 14064 CW 2010-05-30 1723 G0WHO         599 0118 LZ3FN         599 2650
QSO: 14000 CW 2010-05-30 1725 G0WHO         599 119 OL8M          599 1458
QSO: 14000 CW 2010-05-30 1726 G0WHO         599 120 S51NZ         599 1595
QSO: 14066 CW 2010-05-30 1726 G0WHO         599 121 DL8SCG        599 1116
QSO: 14000 CW 2010-05-30 1730 G0WHO         599 122 UR5ZVJ        599 520
QSO: 14085 CW 2010-05-30 1730 G0WHO         599 0123 S58MU         599 1447
QSO: 14001 CW 2010-05-30 1844 G0WHO         599 0124 WX3B          599 0943
QSO: 14002 CW 2010-05-30 1845 G0WHO         599 124 NR4M          599 1377
QSO: 14005 CW 2010-05-30 1857 G0WHO         599 125 K3WW          599 1518
QSO: 14013 CW 2010-05-30 1914 G0WHO         599 001 7Z1HB         599 0651
QSO:  7000 CW 2010-05-30 1958 G0WHO         599 128 DL7ON         599 1988
QSO:  7001 CW 2010-05-30 1959 G0WHO         599 129 RU1A          599 4075
QSO:  7000 CW 2010-05-30 2001 G0WHO         599 130 SN8C          599 874
QSO:  7002 CW 2010-05-30 2002 G0WHO         599 0131 9A3XV         599 0669
QSO:  7003 CW 2010-05-30 2005 G0WHO         599 132 3V8CB         599 2152
QSO:  7008 CW 2010-05-30 2013 G0WHO         599 134 S52OP         599 2402
END-OF-LOG:
