START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-RTTY
CALLSIGN: K7RF
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: K7RF
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-RTTY CQWPXRTTY/2022.
QSO: 21079 RY 2022-02-12 0006 K7RF          599 KH6TU         599 8
QSO: 21104 RY 2022-02-12 2316 K7RF          599 0039 WB0TEV        599 0464
QSO: 21121 RY 2022-02-12 2321 K7RF          599 0040 WW7E          599 0659
QSO: 21123 RY 2022-02-12 2322 K7RF          599 0041 K7BVT         599 0183
QSO: 21107 RY 2022-02-12 2324 K7RF          599 042 JR3NZC        599 271
QSO: 21095 RY 2022-02-12 2327 K7RF          599 0043 WZ8T          599 0287
QSO: 21094 RY 2022-02-12 2328 K7RF          599 0044 W0MB          599 0456
QSO: 21093 RY 2022-02-12 2329 K7RF          599 0045 N0XR          599 0408
QSO: 21093 RY 2022-02-12 2330 K7RF          599 0046 W9ILY         599 0416
QSO: 21000 RY 2022-02-12 2332 K7RF          599 0047 JE5JHZ        599 0107
QSO: 21127 RY 2022-02-12 2333 K7RF          599 0048 K7VIT         599 0185
QSO: 21115 RY 2022-02-12 2338 K7RF          599 0049 JA1CSN        599 0531
QSO: 21099 RY 2022-02-12 2340 K7RF          599 0050 JA6ZPR        599 0434
QSO: 21130 RY 2022-02-12 2359 K7RF          599 0052 JN1THL        599 0360
QSO: 21130 RY 2022-02-13 0000 K7RF          599 0053 WN6W          599 0151
QSO: 21000 RY 2022-02-13 0001 K7RF          599 0054 K0ITC         599 0071
QSO: 21120 RY 2022-02-13 0012 K7RF          599 0055 JR1NHD        599 0149
QSO: 21093 RY 2022-02-13 0015 K7RF          599 056 JH7QXJ        599 394
QSO: 21081 RY 2022-02-13 0020 K7RF          599 0057 WV6I          599 0621
QSO:  7085 RY 2022-02-13 0418 K7RF          599 0058 AA9L          599 0202
QSO:  7032 RY 2022-02-13 1323 K7RF          599 59 JR4OZR        599 1292
QSO:  7035 RY 2022-02-13 1325 K7RF          599 73 KY0W          599 1732
QSO:  7043 RY 2022-02-13 1326 K7RF          599 0061 WX5S          599 0653
QSO:  7055 RY 2022-02-13 1327 K7RF          599 0626 JA2AXB        599 0459
QSO:  7056 RY 2022-02-13 1328 K7RF          599 0063 JA1CSN        599 0804
QSO:  7000 RY 2022-02-13 1334 K7RF          599 064 DY1T          599 0518
QSO:  7037 RY 2022-02-13 1343 K7RF          599 0065 W7GES         599 1009
QSO:  7078 RY 2022-02-13 1347 K7RF          599 0066 AA0FO         599 0379
QSO:  7038 RY 2022-02-13 1355 K7RF          599 0067 WE6Z          599 0741
QSO:  7042 RY 2022-02-13 1410 K7RF          599 0068 VL3V          599 0807
QSO:  7043 RY 2022-02-13 1411 K7RF          599 69 WK6I/7        599 2021
QSO: 14095 RY 2022-02-13 1654 K7RF          599 0070 K8KI          599 0385
QSO: 21085 RY 2022-02-13 1659 K7RF          599 0071 WA8Y          599 0667
QSO: 21105 RY 2022-02-13 1704 K7RF          599 0072 N6AR          599 1448
QSO: 21090 RY 2022-02-13 1709 K7RF          599 0073 NY2DX         599 0633
QSO: 21121 RY 2022-02-13 1711 K7RF          599 0074 K9CT          599 0644
QSO: 14088 RY 2022-02-13 1939 K7RF          599 0075 K3WJV         599 1108
QSO: 14105 RY 2022-02-13 1941 K7RF          599 0076 WQ6K          599 1220
QSO: 14119 RY 2022-02-13 1942 K7RF          599 77 AG1RL         599 1031
QSO: 14092 RY 2022-02-13 1945 K7RF          599 0078 N4ZZ          599 1013
QSO: 14132 RY 2022-02-13 1951 K7RF          599 81 AA1SE         599 1072
QSO: 14136 RY 2022-02-13 1952 K7RF          599 0082 VE3KTB        599 0565
QSO: 14090 RY 2022-02-13 1955 K7RF          599 0083 KX8AA         599 0394
QSO: 14103 RY 2022-02-13 1957 K7RF          599 0084 W2MKM         599 0456
QSO: 14106 RY 2022-02-13 1957 K7RF          599 85 VE5CPU        599 721
QSO: 14112 RY 2022-02-13 1959 K7RF          599 0086 VE4VT         599 0867
QSO: 14114 RY 2022-02-13 2000 K7RF          599 0087 KS9W          599 0585
QSO: 14120 RY 2022-02-13 2001 K7RF          599 0088 NW8S          599 0579
QSO: 14122 RY 2022-02-13 2002 K7RF          599 089 VE3EY         599 1246
QSO: 21080 RY 2022-02-13 2006 K7RF          599 0090 W3IDT         599 0086
QSO: 21000 RY 2022-02-13 2008 K7RF          599 0091 CO2XK         599 0494
QSO: 21083 RY 2022-02-13 2009 K7RF          599 0092 W1HS          599 0586
QSO: 21089 RY 2022-02-13 2010 K7RF          599 0093 N2HMM         599 0716
QSO: 21093 RY 2022-02-13 2010 K7RF          599 0094 KV1J          599 0547
QSO: 21098 RY 2022-02-13 2011 K7RF          599 0095 K1DBO         599 0897
QSO: 21097 RY 2022-02-13 2012 K7RF          599 0092 AD8IG         599 1188
QSO: 21102 RY 2022-02-13 2014 K7RF          599 0096 ZM4T          599 1235
QSO: 21104 RY 2022-02-13 2016 K7RF          599 0097 AA8R          599 0636
QSO: 21116 RY 2022-02-13 2017 K7RF          599 0098 K0FJ          599 0174
QSO: 28089 RY 2022-02-13 2019 K7RF          599 0099 KT7E          599 0300
QSO: 28097 RY 2022-02-13 2022 K7RF          599 0100 KH6CJJ        599 0728
QSO: 28103 RY 2022-02-13 2022 K7RF          599 0101 WZ8T          599 0638
QSO: 21102 RY 2022-02-13 2032 K7RF          599 0102 WU5K          599 0110
QSO: 21108 RY 2022-02-13 2034 K7RF          599 0103 W4PK          599 1252
QSO: 14089 RY 2022-02-13 2041 K7RF          599 0104 NG1M          599 1087
QSO: 14091 RY 2022-02-13 2042 K7RF          599 105 NO0L          599 312
QSO: 14092 RY 2022-02-13 2043 K7RF          599 0106 KE1S          599 0267
QSO: 14107 RY 2022-02-13 2046 K7RF          599 0107 NS2N          599 0473
QSO: 14098 RY 2022-02-13 2052 K7RF          599 108 N8CWU         599 921
QSO: 14103 RY 2022-02-13 2053 K7RF          599 0109 AA9L          599 0439
QSO: 14105 RY 2022-02-13 2054 K7RF          599 0110 AC4CA         599 1423
QSO: 14117 RY 2022-02-13 2057 K7RF          599 0111 AC0C          599 1941
QSO: 14127 RY 2022-02-13 2058 K7RF          599 0112 N3QE          599 1699
QSO: 14082 RY 2022-02-13 2101 K7RF          599 0113 WT3K          599 0353
QSO: 14083 RY 2022-02-13 2102 K7RF          599 114 VE2RYY        599 847
QSO: 14082 RY 2022-02-13 2106 K7RF          599 0115 VE1ANU        599 0450
QSO: 21098 RY 2022-02-13 2113 K7RF          599 0116 AA3B          599 2558
QSO: 21107 RY 2022-02-13 2115 K7RF          599 0117 WH7T          599 0432
QSO: 21088 RY 2022-02-13 2117 K7RF          599 0118 KH6CJJ        599 0770
QSO: 21094 RY 2022-02-13 2121 K7RF          599 0119 XE2SSN        599 0228
QSO: 21122 RY 2022-02-13 2123 K7RF          599 0120 AC0C          599 1966
QSO: 14093 RY 2022-02-13 2125 K7RF          599 0121 NG1R          599 0903
QSO: 14102 RY 2022-02-13 2126 K7RF          599 0122 N0TA          599 0826
QSO: 14106 RY 2022-02-13 2126 K7RF          599 0123 WS6X          599 0742
QSO: 14112 RY 2022-02-13 2129 K7RF          599 0124 AG0MN         599 0499
QSO: 14110 RY 2022-02-13 2136 K7RF          599 0125 NT5V          599 1083
END-OF-LOG:
