START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WW-SSB
CALLSIGN: W6DCC
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: W6DCC
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WW-SSB CQWW/ph/2008.
QSO:  7214 PH 2008-10-25 0418 W6DCC         59 03 HK3O          59 09
QSO:  7204 PH 2008-10-25 0430 W6DCC         59 03 FY5KE         59 09
QSO: 21201 PH 2008-10-25 2204 W6DCC         59 03 K3LR          59 5
QSO: 21311 PH 2008-10-25 2233 W6DCC         59 03 HQ3Z          59 07
QSO: 21295 PH 2008-10-25 2237 W6DCC         59 03 YV4A          59 9
QSO: 21000 PH 2008-10-25 2238 W6DCC         59 3 PY2YU         59 11
QSO: 21000 PH 2008-10-25 2242 W6DCC         59 03 NH6P          59 31
QSO: 21232 PH 2008-10-25 2243 W6DCC         59 03 JA6ZPR        59 25
QSO: 21318 PH 2008-10-25 2248 W6DCC         59 03 KH6FI         59 31
QSO: 21258 PH 2008-10-25 2249 W6DCC         59 03 YY1MTX        59 9
QSO: 21000 PH 2008-10-25 2250 W6DCC         59 3 KH6MB         59 31
QSO: 21328 PH 2008-10-25 2254 W6DCC         59 3 CE3BFZ        59 12
QSO: 21000 PH 2008-10-25 2257 W6DCC         59 03 JI2ZJS        59 25
QSO: 21339 PH 2008-10-25 2259 W6DCC         59 03 PW2D          59 11
QSO: 21224 PH 2008-10-25 2302 W6DCC         59 03 LV6D          59 13
QSO: 28418 PH 2008-10-25 2307 W6DCC         59 3 LU1HF         59 13
QSO: 21000 PH 2008-10-25 2310 W6DCC         59 3 JH4UYB        59 25
QSO: 21000 PH 2008-10-25 2319 W6DCC         59 03 CV5D          59 13
QSO: 21300 PH 2008-10-25 2321 W6DCC         59 03 LU1NDC        59 13
QSO: 21287 PH 2008-10-25 2322 W6DCC         59 3 P40A          59 9
QSO: 21200 PH 2008-10-25 2324 W6DCC         59 03 LW1HR         59 13
QSO: 21250 PH 2008-10-25 2325 W6DCC         59 03 LU8EOT        59 13
QSO: 21000 PH 2008-10-25 2340 W6DCC         59 03 JF2QNM        59 25
QSO: 21000 PH 2008-10-25 2342 W6DCC         59 3 JA1LZR        59 25
QSO: 21000 PH 2008-10-25 2343 W6DCC         59 03 JA3YKC        59 25
QSO: 21271 PH 2008-10-25 2348 W6DCC         59 3 XE1KK         59 06
QSO: 21295 PH 2008-10-25 2351 W6DCC         59 3 TI1R          59 7
QSO: 21297 PH 2008-10-25 2355 W6DCC         59 03 AH0BT         59 27
QSO: 21000 PH 2008-10-25 2358 W6DCC         59 3 JA7YRR        59 25
QSO: 21000 PH 2008-10-26 0008 W6DCC         59 3 7K4XNN        59 25
QSO: 21000 PH 2008-10-26 0013 W6DCC         59 03 JS3CTQ        59 25
QSO: 21000 PH 2008-10-26 0020 W6DCC         59 03 LW5ET         59 13
QSO: 21224 PH 2008-10-26 0020 W6DCC         59 3 T32CXX        59 31
QSO: 21218 PH 2008-10-26 0021 W6DCC         59 03 JA2ZJW        59 25
QSO: 21258 PH 2008-10-26 0022 W6DCC         59 3 VR2C          59 24
QSO: 21266 PH 2008-10-26 0024 W6DCC         59 03 LR2F          59 13
QSO: 21205 PH 2008-10-26 0028 W6DCC         59 03 JA1YPA        59 25
QSO: 21331 PH 2008-10-26 0030 W6DCC         59 3 KH7U          59 31
QSO: 21000 PH 2008-10-26 0031 W6DCC         59 3 JH7XMO        59 25
QSO: 21259 PH 2008-10-26 0049 W6DCC         59 03 VK1CC         59 30
QSO: 21212 PH 2008-10-26 0051 W6DCC         59 3 VK2CA         59 30
QSO: 21238 PH 2008-10-26 0052 W6DCC         59 03 VK7ZE         59 30
QSO: 21200 PH 2008-10-26 1719 W6DCC         59 03 PP5AR         59 11
QSO: 21255 PH 2008-10-26 1722 W6DCC         59 03 HC8A          59 10
QSO: 21280 PH 2008-10-26 1724 W6DCC         59 03 XE3N          59 06
QSO: 21419 PH 2008-10-26 1726 W6DCC         59 03 CN3A          59 33
QSO: 21365 PH 2008-10-26 1730 W6DCC         59 03 CU2X          59 14
QSO: 21346 PH 2008-10-26 1738 W6DCC         59 03 HK3RA         59 9
QSO: 21000 PH 2008-10-26 1750 W6DCC         59 03 LS1D          59 13
QSO: 21312 PH 2008-10-26 1754 W6DCC         59 03 LP1H          59 13
QSO: 21200 PH 2008-10-26 1758 W6DCC         59 03 OA4SS         59 10
QSO: 21255 PH 2008-10-26 1801 W6DCC         59 03 LU8YE         59 13
QSO: 21234 PH 2008-10-26 1837 W6DCC         59 03 VE3EJ         59 04
QSO: 21307 PH 2008-10-26 1842 W6DCC         59 3 ZW5B          59 11
QSO: 21360 PH 2008-10-26 1847 W6DCC         59 03 HD5J          59 10
QSO: 21367 PH 2008-10-26 1847 W6DCC         59 3 VP5DX         59 08
QSO: 21377 PH 2008-10-26 1847 W6DCC         59 03 NL7Z          59 01
QSO: 21373 PH 2008-10-26 1848 W6DCC         59 03 VE3KZ         59 4
QSO: 21409 PH 2008-10-26 1852 W6DCC         59 3 V26B          59 8
QSO: 21240 PH 2008-10-26 1854 W6DCC         59 03 6W1RY         59 35
QSO: 21000 PH 2008-10-26 1856 W6DCC         59 03 VP5T          59 8
QSO: 21304 PH 2008-10-26 1903 W6DCC         59 03 V48M          59 8
QSO: 21000 PH 2008-10-26 1947 W6DCC         59 03 VP2V/SP7VC    59 08
QSO: 21411 PH 2008-10-26 1950 W6DCC         59 03 PJ4E          59 9
QSO: 21208 PH 2008-10-26 1953 W6DCC         59 03 FY5KE         59 09
QSO: 21000 PH 2008-10-26 2239 W6DCC         59 3 PY2EJ         59 11
QSO: 21000 PH 2008-10-26 2240 W6DCC         59 03 LU1HLH        59 13
QSO: 21232 PH 2008-10-26 2242 W6DCC         59 3 PY1KN         59 11
QSO: 21246 PH 2008-10-26 2244 W6DCC         59 03 LT5H          59 13
QSO: 21288 PH 2008-10-26 2248 W6DCC         59 03 LW6DW         59 13
QSO: 21298 PH 2008-10-26 2250 W6DCC         59 03 OA4WW         59 10
QSO: 21300 PH 2008-10-26 2251 W6DCC         59 03 PY5JO         59 11
QSO: 21000 PH 2008-10-26 2255 W6DCC         59 03 VK4WR         59 30
QSO: 21000 PH 2008-10-26 2256 W6DCC         59 03 VK4CZ         59 30
QSO: 21342 PH 2008-10-26 2259 W6DCC         59 03 JA3YBK        59 25
QSO: 21000 PH 2008-10-26 2301 W6DCC         59 3 JA0FVU        59 25
QSO: 21000 PH 2008-10-26 2303 W6DCC         59 3 JH9KVF        59 25
QSO: 21000 PH 2008-10-26 2311 W6DCC         59 03 YC9MDX        59 28
QSO: 21322 PH 2008-10-26 2318 W6DCC         59 03 XE1CT         59 6
QSO: 21000 PH 2008-10-26 2320 W6DCC         59 03 JN1NDY        59 25
QSO: 21333 PH 2008-10-26 2320 W6DCC         59 03 AH2R          59 27
QSO: 21000 PH 2008-10-26 2322 W6DCC         59 03 JI2ZEY        59 25
QSO: 21243 PH 2008-10-26 2340 W6DCC         59 03 CE3PG         59 12
QSO: 21322 PH 2008-10-26 2346 W6DCC         59 03 KG6DX         59 27
QSO: 21397 PH 2008-10-26 2351 W6DCC         59 03 CE3DNP        59 12
QSO: 21212 PH 2008-10-26 2354 W6DCC         59 03 LR4E          59 13
END-OF-LOG:
