START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: WAE CW
CALLSIGN: OH2KW
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: OH2KW
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for WAE CW WAE/CW/2022.
QSO:  7032 CW 2022-08-13 0204 OH2KW         599 NA8V          599 122
QSO: 21045 CW 2022-08-13 0851 OH2KW         599 0137 JA6WFM        599 0062
QSO: 21045 CW 2022-08-13 0852 OH2KW         599 0138 HZ7C          599 0179
QSO: 21040 CW 2022-08-13 0853 OH2KW         599 0140 JR2SCJ        599 0095
QSO: 21000 CW 2022-08-13 0856 OH2KW         599 141 4L2M          599 416
QSO: 21034 CW 2022-08-13 0858 OH2KW         599 0143 HS8NKB        599 0052
QSO: 21027 CW 2022-08-13 0859 OH2KW         599 144 RA0AY         599 103
QSO: 21026 CW 2022-08-13 0900 OH2KW         599 0145 9M2U          599 0052
QSO: 21025 CW 2022-08-13 0902 OH2KW         599 146 UN9L          599 500
QSO: 21002 CW 2022-08-13 0907 OH2KW         599 0147 JH6WHN        599 0036
QSO: 21019 CW 2022-08-13 0937 OH2KW         599 0148 YB1AYO        599 0011
QSO: 21029 CW 2022-08-13 0938 OH2KW         599 149 CT9ABV        599 732
QSO: 21021 CW 2022-08-13 0939 OH2KW         599 150 RA9MX         599 063
QSO: 21000 CW 2022-08-13 0941 OH2KW         599 0151 4Z5AF         599 0058
QSO: 21020 CW 2022-08-13 0941 OH2KW         599 0152 K9RS          599 0584
QSO: 21020 CW 2022-08-13 0943 OH2KW         599 154 K1LZ          599 650
QSO: 21020 CW 2022-08-13 0943 OH2KW         599 153 UP5B          599 007
QSO: 21020 CW 2022-08-13 0944 OH2KW         599 0155 BI8CZM        599 0043
QSO: 21020 CW 2022-08-13 0944 OH2KW         599 0155 PY2KC         599 0029
QSO: 21020 CW 2022-08-13 0948 OH2KW         599 0157 UP4L          599 0507
QSO: 21008 CW 2022-08-13 1017 OH2KW         599 0158 BI4SSB        599 0029
QSO: 21005 CW 2022-08-13 1018 OH2KW         599 159 VK1A          599 0206
QSO: 21015 CW 2022-08-13 1019 OH2KW         599 0160 BG1HGS        599 0075
QSO: 21020 CW 2022-08-13 1026 OH2KW         599 0161 PU2UAF        599 0018
QSO: 14024 CW 2022-08-13 1032 OH2KW         599 0162 VE3CT         599 0018
QSO: 14024 CW 2022-08-13 1033 OH2KW         599 0163 KG4W          599 0047
QSO: 14023 CW 2022-08-13 1034 OH2KW         599 0164 K3UL          599 0108
QSO: 14021 CW 2022-08-13 1035 OH2KW         599 0165 K1ZZ          599 0177
QSO: 14020 CW 2022-08-13 1036 OH2KW         599 0166 NB1N          599 0176
QSO: 14019 CW 2022-08-13 1038 OH2KW         599 0168 K3RA          599 0006
QSO: 14025 CW 2022-08-13 1956 OH2KW         599 0169 JA0FVU        599 0278
QSO: 14024 CW 2022-08-13 1957 OH2KW         599 0170 W9ILY         599 0290
QSO: 14025 CW 2022-08-13 1957 OH2KW         599 0171 NS4X          599 0063
QSO: 14025 CW 2022-08-13 1959 OH2KW         599 0172 WA3AAN        599 0060
QSO: 14024 CW 2022-08-13 2001 OH2KW         599 0175 VE3DZ         599 0339
QSO: 14025 CW 2022-08-13 2001 OH2KW         599 0176 W1WBB         599 0116
QSO: 14024 CW 2022-08-13 2005 OH2KW         599 0177 K9OM          599 0333
QSO: 14025 CW 2022-08-13 2005 OH2KW         599 0178 W3FIZ         599 0295
QSO: 14025 CW 2022-08-13 2006 OH2KW         599 0179 KC3M          599 0051
QSO: 14025 CW 2022-08-13 2007 OH2KW         599 0180 PY2KC         599 0192
QSO:  3525 CW 2022-08-13 2013 OH2KW         599 0181 A60A          599 1328
QSO:  3500 CW 2022-08-13 2027 OH2KW         599 182 UN7LDR        599 319
QSO:  3519 CW 2022-08-13 2027 OH2KW         599 0183 UN4L          599 0864
QSO: 14025 CW 2022-08-13 2030 OH2KW         599 0184 N8II          599 0076
QSO: 14034 CW 2022-08-13 2031 OH2KW         599 0185 N2RC          599 0043
QSO: 14034 CW 2022-08-13 2032 OH2KW         599 0196 PY4RGS        599 0147
QSO: 14034 CW 2022-08-13 2033 OH2KW         599 0187 K3ZU          599 0237
QSO: 14034 CW 2022-08-13 2034 OH2KW         599 0188 N1API         599 0106
QSO: 14034 CW 2022-08-13 2035 OH2KW         599 0189 VE3NZ         599 0399
QSO: 14034 CW 2022-08-13 2036 OH2KW         599 0190 AZ1A          599 0035
QSO: 14000 CW 2022-08-13 2039 OH2KW         599 191 PY4ARS        599 122
QSO: 14025 CW 2022-08-13 2041 OH2KW         599 0193 PY3LX         599 0010
QSO: 14034 CW 2022-08-13 2042 OH2KW         599 0194 VE9AA         599 0671
QSO: 14034 CW 2022-08-13 2044 OH2KW         599 0196 KU1CW         599 0166
QSO: 14034 CW 2022-08-13 2044 OH2KW         599 0195 W3LL          599 0506
QSO: 14014 CW 2022-08-13 2047 OH2KW         599 0197 AA3B          599 1112
QSO: 14000 CW 2022-08-13 2049 OH2KW         599 199 LW2DOD        599 0260
QSO: 14000 CW 2022-08-13 2057 OH2KW         599 201 TI2OY         599 203
QSO: 14019 CW 2022-08-13 2057 OH2KW         599 0202 XQ3SK         599 0071
QSO: 14000 CW 2022-08-13 2103 OH2KW         599 203 VY2ZM         599 1182
QSO: 14029 CW 2022-08-13 2103 OH2KW         599 0204 K1ESE         599 0357
QSO: 14029 CW 2022-08-13 2105 OH2KW         599 0205 NP2X          599 0397
QSO: 14013 CW 2022-08-13 2107 OH2KW         599 0206 PV2K          599 0635
QSO: 14025 CW 2022-08-13 2108 OH2KW         599 0207 LU8QT         599 0089
QSO: 14008 CW 2022-08-13 2109 OH2KW         599 0209 PR2E          599 0593
QSO:  3521 CW 2022-08-13 2111 OH2KW         599 0210 RV9UP         599 0457
QSO:  7039 CW 2022-08-13 2113 OH2KW         599 213 R8WF          599 340
QSO:  7000 CW 2022-08-13 2115 OH2KW         599 212 4L2M          599 992
QSO: 14023 CW 2022-08-13 2121 OH2KW         599 0214 PY1FI         599 0012
QSO: 14023 CW 2022-08-13 2122 OH2KW         599 0210 ZV2F          599 0022
QSO: 14054 CW 2022-08-13 2135 OH2KW         599 217 PY4BZ         599 632
QSO: 14050 CW 2022-08-13 2136 OH2KW         599 0218 XR3W          599 0235
QSO: 14032 CW 2022-08-13 2137 OH2KW         599 219 KP3N          599 333
QSO:  7040 CW 2022-08-13 2144 OH2KW         599 0220 R8TT          599 0729
QSO: 14035 CW 2022-08-13 2145 OH2KW         599 0221 VE6RST        599 0036
QSO: 14035 CW 2022-08-13 2146 OH2KW         599 0222 PY4LH         599 0039
QSO: 14037 CW 2022-08-13 2149 OH2KW         599 0223 XQ3WD         599 0241
QSO: 14024 CW 2022-08-14 0730 OH2KW         599 224 ZD7BG         599 363
QSO: 14032 CW 2022-08-14 0731 OH2KW         599 0225 AD4EB         599 0910
QSO: 14040 CW 2022-08-14 0733 OH2KW         599 226 W6YX          599 67
QSO: 14028 CW 2022-08-14 0734 OH2KW         599 0227 N5XZ          599 0176
QSO: 14025 CW 2022-08-14 0735 OH2KW         599 0229 R8TT          599 0896
QSO: 14028 CW 2022-08-14 0735 OH2KW         599 0228 WQ6X          599 0258
QSO: 14020 CW 2022-08-14 0736 OH2KW         599 0230 K0VBU         599 0136
QSO: 14019 CW 2022-08-14 0737 OH2KW         599 231 K8MP          599 0165
QSO: 14000 CW 2022-08-14 0739 OH2KW         599 232 N6AA          599 179
QSO: 14017 CW 2022-08-14 0739 OH2KW         599 0233 KA6BIM        599 0194
QSO: 21033 CW 2022-08-14 0748 OH2KW         599 0235 JE4MHL        599 0248
QSO: 21031 CW 2022-08-14 0759 OH2KW         599 0237 UN0LM         599 0722
QSO: 21031 CW 2022-08-14 0800 OH2KW         599 0238 UN4L          599 1089
QSO: 21024 CW 2022-08-14 0807 OH2KW         599 0239 RQ9O          599 0144
QSO: 21013 CW 2022-08-14 0811 OH2KW         599 0240 RG9A          599 0742
QSO: 21004 CW 2022-08-14 0815 OH2KW         599 0241 JA1BJI        599 0407
QSO: 21014 CW 2022-08-14 0816 OH2KW         599 0242 JH0NEC        599 0075
QSO: 21013 CW 2022-08-14 0817 OH2KW         599 0344 4X1ST         599 0308
QSO: 21013 CW 2022-08-14 0817 OH2KW         599 243 UP7L          599 874
QSO: 21014 CW 2022-08-14 0819 OH2KW         599 0246 BG4CMI        599 0020
QSO: 21014 CW 2022-08-14 0819 OH2KW         599 0247 RA9AP         599 0623
QSO: 21014 CW 2022-08-14 0824 OH2KW         599 0248 BI4MPH        599 0036
QSO: 21014 CW 2022-08-14 0824 OH2KW         599 0249 JR4VEV        599 0016
QSO: 21013 CW 2022-08-14 0825 OH2KW         599 250 JO7KMB        599 071
QSO: 21014 CW 2022-08-14 0827 OH2KW         599 0252 BH6KOK        599 0167
QSO: 21037 CW 2022-08-14 0832 OH2KW         599 253 UC0A          599 194
QSO: 21056 CW 2022-08-14 0833 OH2KW         599 0255 BG7SSK        599 0076
QSO: 21063 CW 2022-08-14 0833 OH2KW         599 0254 E21YDP        599 0184
QSO: 21045 CW 2022-08-14 0835 OH2KW         599 0256 BA3MM         599 0112
QSO: 21014 CW 2022-08-14 0845 OH2KW         599 0257 JE1NVD        599 0172
QSO: 14021 CW 2022-08-14 0853 OH2KW         599 0258 JE1NVD        599 0174
QSO: 14021 CW 2022-08-14 0854 OH2KW         599 0259 JA1BJI        599 0417
QSO: 21002 CW 2022-08-14 0902 OH2KW         599 0260 BD4QA         599 0167
QSO: 21009 CW 2022-08-14 0907 OH2KW         599 0261 RG0A          599 0374
QSO: 21010 CW 2022-08-14 0911 OH2KW         599 262 UN8PT         599 268
QSO: 21017 CW 2022-08-14 0911 OH2KW         599 0263 R8TT          599 0993
QSO: 21028 CW 2022-08-14 0916 OH2KW         599 0264 BD7JNA        599 0107
QSO: 21027 CW 2022-08-14 0917 OH2KW         599 3614 BA3AX         599 0067
QSO: 21024 CW 2022-08-14 0918 OH2KW         599 0266 JA6BZI        599 0023
QSO: 21015 CW 2022-08-14 0923 OH2KW         599 0267 P3X           599 1727
QSO: 21014 CW 2022-08-14 0933 OH2KW         599 0269 BG4NMT        599 0043
QSO: 21036 CW 2022-08-14 1030 OH2KW         599 0271 5T5PA         599 0448
QSO: 21041 CW 2022-08-14 1031 OH2KW         599 272 ZD7BG         599 470
QSO: 21012 CW 2022-08-14 1033 OH2KW         599 0273 PY5AMF        599 0517
QSO: 21024 CW 2022-08-14 1036 OH2KW         599 0274 PY2NY         599 0447
QSO: 21028 CW 2022-08-14 1037 OH2KW         599 0275 ED8M          599 0010
QSO: 21006 CW 2022-08-14 1040 OH2KW         599 0277 VU2TMP        599 0121
QSO: 14001 CW 2022-08-14 1047 OH2KW         599 0278 K7SV          599 0645
QSO: 14015 CW 2022-08-14 1049 OH2KW         599 0279 K0EJ          599 1057
QSO: 14014 CW 2022-08-14 1103 OH2KW         599 0282 RG0A          599 0425
QSO: 14042 CW 2022-08-14 1252 OH2KW         599 0283 NM5M          599 0255
QSO: 14053 CW 2022-08-14 1254 OH2KW         599 0284 JR2SCJ        599 0656
QSO: 14036 CW 2022-08-14 1257 OH2KW         599 0285 JH4RHF        599 0547
QSO: 14018 CW 2022-08-14 1301 OH2KW         599 0286 BG1HGS        599 0441
QSO: 14021 CW 2022-08-14 1305 OH2KW         599 0287 BI8CZM        599 0141
QSO: 14021 CW 2022-08-14 1307 OH2KW         599 0288 JJ1RJR        599 0010
QSO: 14057 CW 2022-08-14 1313 OH2KW         599 289 JL1LNC        599 026
QSO: 14000 CW 2022-08-14 1315 OH2KW         599 292 7K1MAG/2      599 018
QSO: 14021 CW 2022-08-14 1316 OH2KW         599 0293 BH6KOK        599 0174
QSO: 21025 CW 2022-08-14 1324 OH2KW         599 0295 PY3TD         599 0219
QSO: 21010 CW 2022-08-14 1326 OH2KW         599 296 FY5KE         599 1453
QSO: 21001 CW 2022-08-14 1333 OH2KW         599 0298 KP2M          599 1352
QSO: 21001 CW 2022-08-14 1340 OH2KW         599 0299 PV2K          599 0877
QSO: 21004 CW 2022-08-14 1341 OH2KW         599 300 L33M          599 212
QSO: 21026 CW 2022-08-14 1348 OH2KW         599 301 D4L           599 1685
QSO: 21023 CW 2022-08-14 1350 OH2KW         599 0302 JJ1XBQ        599 0068
QSO: 21023 CW 2022-08-14 1355 OH2KW         599 0304 PY2QT         599 0024
QSO: 21023 CW 2022-08-14 1356 OH2KW         599 0305 JA2AXB        599 0073
QSO: 21023 CW 2022-08-14 1358 OH2KW         599 0306 DS3EXT        599 0068
QSO: 14033 CW 2022-08-14 1407 OH2KW         599 0309 JH4UTP        599 0972
QSO: 14027 CW 2022-08-14 1409 OH2KW         599 310 JO7KMB        599 101
QSO: 14027 CW 2022-08-14 1412 OH2KW         599 0312 W3FV          599 0287
QSO: 14000 CW 2022-08-14 1414 OH2KW         599 313 JH7UJU        599 008
QSO: 14028 CW 2022-08-14 1415 OH2KW         599 0314 K3WW          599 0847
QSO: 14027 CW 2022-08-14 1416 OH2KW         599 0315 UP4L          599 1072
QSO: 14027 CW 2022-08-14 1419 OH2KW         599 0317 K5KG          599 0267
QSO: 14027 CW 2022-08-14 1421 OH2KW         599 0319 N1SOH         599 0084
QSO: 14027 CW 2022-08-14 1421 OH2KW         599 0320 N7WY          599 0161
QSO: 14027 CW 2022-08-14 1422 OH2KW         599 0321 NS2N          599 0138
QSO: 14027 CW 2022-08-14 1423 OH2KW         599 0323 WB2PJH        599 0161
QSO: 14027 CW 2022-08-14 1424 OH2KW         599 0424 WB2WPM        599 0054
QSO: 14027 CW 2022-08-14 1425 OH2KW         599 0327 N3KN          599 0072
QSO: 14027 CW 2022-08-14 1425 OH2KW         599 328 UC0A          599 381
QSO: 14027 CW 2022-08-14 1429 OH2KW         599 0330 AA0AW         599 0061
QSO: 14027 CW 2022-08-14 1429 OH2KW         599 329 W1CSM         599 584
QSO: 14028 CW 2022-08-14 1430 OH2KW         599 0332 W8TOM         599 0055
QSO: 14027 CW 2022-08-14 1431 OH2KW         599 333 K1BZ          599 078
QSO: 14027 CW 2022-08-14 1431 OH2KW         599 0334 K5UV          599 0084
QSO: 14028 CW 2022-08-14 1431 OH2KW         599 0335 UA9CTT        599 0406
QSO: 14027 CW 2022-08-14 1437 OH2KW         599 338 NN7CW         599 0251
QSO: 14028 CW 2022-08-14 1438 OH2KW         599 0339 W5GN          599 0222
QSO: 14018 CW 2022-08-14 1638 OH2KW         599 0340 K1IMI         599 0133
QSO: 14007 CW 2022-08-14 1640 OH2KW         599 0341 VU2TMP        599 0192
QSO: 14016 CW 2022-08-14 1641 OH2KW         599 0342 4K6FO         599 0535
QSO: 14002 CW 2022-08-14 1642 OH2KW         599 0344 RV9UP         599 0811
QSO: 14012 CW 2022-08-14 1642 OH2KW         599 0343 VU2XE         599 0236
QSO: 14000 CW 2022-08-14 1649 OH2KW         599 345 4L2M          599 1381
QSO: 14031 CW 2022-08-14 1650 OH2KW         599 0346 YB1RKT        599 0212
QSO: 14045 CW 2022-08-14 1651 OH2KW         599 0347 TA7I          599 0747
QSO: 14001 CW 2022-08-14 1653 OH2KW         599 0348 7Q7EMH        599 0083
QSO: 14002 CW 2022-08-14 1657 OH2KW         599 351 K1XM          599 1010
QSO: 14020 CW 2022-08-14 1702 OH2KW         599 0352 KE2D          599 0375
QSO: 14012 CW 2022-08-14 1709 OH2KW         599 0354 K7QA          599 0147
QSO: 14022 CW 2022-08-14 1710 OH2KW         599 0355 VE2FK         599 0555
QSO: 14031 CW 2022-08-14 1711 OH2KW         599 0356 WA8Y          599 0336
QSO: 14025 CW 2022-08-14 1716 OH2KW         599 0358 KS7T          599 0102
QSO: 14017 CW 2022-08-14 1721 OH2KW         599 0359 E2WRTC        599 0921
QSO: 14017 CW 2022-08-14 1721 OH2KW         599 0361 K3WJV         599 0293
QSO: 14017 CW 2022-08-14 1721 OH2KW         599 360 W2GD          599 0123
QSO: 21017 CW 2022-08-14 1724 OH2KW         599 0362 EG8HKT        599 0666
QSO: 21028 CW 2022-08-14 1949 OH2KW         599 0363 PT2AW         599 0374
QSO: 21029 CW 2022-08-14 1950 OH2KW         599 0364 PY4LH         599 0115
QSO: 21000 CW 2022-08-14 1951 OH2KW         599 0365 PY2NA         599 0206
QSO: 14020 CW 2022-08-14 1958 OH2KW         599 0367 W1ZT          599 0129
QSO: 14000 CW 2022-08-14 1959 OH2KW         599 368 KG1V          599 100
QSO: 14020 CW 2022-08-14 2000 OH2KW         599 0370 NW3Y          599 0617
QSO: 14020 CW 2022-08-14 2004 OH2KW         599 0371 K7ZQ          599 0202
QSO: 14020 CW 2022-08-14 2005 OH2KW         599 0372 N4QS          599 0105
QSO: 14020 CW 2022-08-14 2006 OH2KW         599 0373 PY7ZC         599 0170
QSO: 14020 CW 2022-08-14 2007 OH2KW         599 0375 K2ZR          599 0345
QSO: 14020 CW 2022-08-14 2007 OH2KW         599 0376 K3IE          599 0535
QSO: 14020 CW 2022-08-14 2011 OH2KW         599 0377 K4IU          599 0074
QSO: 14020 CW 2022-08-14 2012 OH2KW         599 0380 PY2NY         599 0600
QSO: 14020 CW 2022-08-14 2012 OH2KW         599 0379 W0VX          599 0193
QSO: 14020 CW 2022-08-14 2015 OH2KW         599 0281 WA3AER        599 0064
QSO: 14020 CW 2022-08-14 2016 OH2KW         599 0383 K2AL          599 0159
QSO: 14000 CW 2022-08-14 2018 OH2KW         599 385 N4IJ          599 233
QSO: 14020 CW 2022-08-14 2018 OH2KW         599 0386 K7RB          599 0053
