START-OF-LOG: 3.0
CALLSIGN: VA3GD
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 38170
NAME: Greg Danylchenko
LOCATION: ON
OPERATORS: VA3GD
CLUB:
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.5966.0
SOAPBOX: Tough conditions, but slow and steady progress was possible.
QSO: 21417 PH 2016-10-29 1930 VA3GD         59  4      KP4RV         59  08
QSO: 28451 PH 2016-10-29 1933 VA3GD         59  4      NP3U          59  08
QSO: 28516 PH 2016-10-29 1935 VA3GD         59  4      WP3C          59  08
QSO: 28560 PH 2016-10-29 1936 VA3GD         59  4      KP2M          59  08
QSO: 21214 PH 2016-10-29 1938 VA3GD         59  4      VP5S          59  08
QSO: 21231 PH 2016-10-29 1940 VA3GD         59  4      YV2CAR        59  09
QSO: 21260 PH 2016-10-29 1947 VA3GD         59  4      W7AT          59  03
QSO: 21284 PH 2016-10-29 2023 VA3GD         59  4      TI5M          59  07
QSO: 21301 PH 2016-10-29 2030 VA3GD         59  4      YV5EN         59  09
QSO: 21328 PH 2016-10-29 2032 VA3GD         59  4      PT2CM         59  11
QSO: 21255 PH 2016-10-29 2035 VA3GD         59  4      TI1T          59  07
QSO: 21212 PH 2016-10-29 2137 VA3GD         59  4      K5TR          59  04
QSO: 21214 PH 2016-10-29 2137 VA3GD         59  4      TI5/W4TTT     59  07
QSO: 21337 PH 2016-10-29 2153 VA3GD         59  4      VP5DX         59  08
QSO: 21206 PH 2016-10-29 2156 VA3GD         59  4      NT5V          59  04
QSO: 21314 PH 2016-10-29 2203 VA3GD         59  4      CO6HLP        59  08
QSO: 14179 PH 2016-10-29 2208 VA3GD         59  4      WP3C          59  08
QSO: 14183 PH 2016-10-29 2210 VA3GD         59  4      TI1T          59  07
QSO: 14187 PH 2016-10-29 2211 VA3GD         59  4      HK1T          59  09
QSO: 14294 PH 2016-10-29 2316 VA3GD         59  4      K3WW          59  05
QSO: 14306 PH 2016-10-29 2317 VA3GD         59  4      K1KI          59  05
QSO: 14318 PH 2016-10-29 2318 VA3GD         59  4      K3ZU          59  05
QSO: 14158 PH 2016-10-29 2321 VA3GD         59  4      WE3C          59  05
QSO: 14175 PH 2016-10-29 2322 VA3GD         59  4      W3LPL         59  05
QSO: 14198 PH 2016-10-29 2323 VA3GD         59  4      TF3CW         59  40
QSO: 14208 PH 2016-10-29 2324 VA3GD         59  4      WX3B          59  05
QSO: 14252 PH 2016-10-29 2326 VA3GD         59  4      VE2DXY        59  02
QSO: 14257 PH 2016-10-29 2327 VA3GD         59  4      VO2NS         59  02
QSO:  7103 PH 2016-10-29 2338 VA3GD         59  4      T48K          59  08
QSO:  7128 PH 2016-10-29 2339 VA3GD         59  4      WE3C          59  05
QSO:  7132 PH 2016-10-29 2340 VA3GD         59  4      NN3W          59  05
QSO:  7136 PH 2016-10-29 2341 VA3GD         59  4      W3LPL         59  05
QSO:  7144 PH 2016-10-29 2344 VA3GD         59  4      W4RM          59  05
QSO:  7146 PH 2016-10-29 2346 VA3GD         59  4      K3ZU          59  05
QSO:  7150 PH 2016-10-29 2347 VA3GD         59  4      WK1Q          59  05
QSO:  7156 PH 2016-10-29 2348 VA3GD         59  4      W3LL          59  05
QSO:  7168 PH 2016-10-29 2349 VA3GD         59  4      K9CT          59  04
QSO:  7170 PH 2016-10-29 2350 VA3GD         59  4      N5DX          59  05
QSO:  7227 PH 2016-10-29 2355 VA3GD         59  4      VP5S          59  08
QSO:  7086 PH 2016-10-29 2357 VA3GD         59  4      KP2XX         59  08
QSO:  7134 PH 2016-10-30 0000 VA3GD         59  4      K3LR          59  05
QSO:  7172 PH 2016-10-30 0001 VA3GD         59  4      N2RJ          59  05
QSO:  7204 PH 2016-10-30 0003 VA3GD         59  4      6Y4V          59  08
QSO:  7235 PH 2016-10-30 0004 VA3GD         59  4      VE9CB         59  05
QSO:  7152 PH 2016-10-30 0045 VA3GD         59  4      VE2GSO        59  05
QSO:  7164 PH 2016-10-30 0059 VA3GD         59  4      HI3K          59  08
QSO:  3711 PH 2016-10-30 0117 VA3GD         59  4      VA3DF         59  04
QSO:  3787 PH 2016-10-30 0120 VA3GD         59  4      K2PM          59  04
QSO:  3802 PH 2016-10-30 0122 VA3GD         59  4      K3LR          59  05
QSO:  3804 PH 2016-10-30 0135 VA3GD         59  4      W3LPL         59  05
QSO:  3739 PH 2016-10-30 0224 VA3GD         59  4      VE2IDX        59  02
QSO:  3769 PH 2016-10-30 0225 VA3GD         59  4      W3BGN         59  05
QSO:  7145 PH 2016-10-30 0248 VA3GD         59  4      WW4LL         59  05
QSO:  7139 PH 2016-10-30 0252 VA3GD         59  4      N5RZ          59  04
QSO:  3638 PH 2016-10-30 0334 VA3GD         59  4      N5RZ          59  04
QSO:  3788 PH 2016-10-30 0415 VA3GD         59  4      T46A          59  08
QSO:  7165 PH 2016-10-30 0807 VA3GD         59  4      K5TR          59  04
QSO:  7193 PH 2016-10-30 0809 VA3GD         59  4      KP3Z          59  08
QSO:  3795 PH 2016-10-30 0819 VA3GD         59  4      ZF1A          59  08
QSO:  3761 PH 2016-10-30 0838 VA3GD         59  4      W1NA          59  05
QSO:  3789 PH 2016-10-30 0841 VA3GD         59  4      NA2U          59  05
QSO:  3746 PH 2016-10-30 0843 VA3GD         59  4      WW4LL         59  05
QSO:  7207 PH 2016-10-30 0923 VA3GD         59  4      PJ4X          59  09
QSO: 21216 PH 2016-10-30 1519 VA3GD         59  4      EF8R          59  33
QSO: 21242 PH 2016-10-30 1521 VA3GD         59  4      AD4Z          59  05
QSO: 21247 PH 2016-10-30 1522 VA3GD         59  4      HK1X          59  09
QSO: 21257 PH 2016-10-30 1524 VA3GD         59  4      ED8W          59  33
QSO: 21268 PH 2016-10-30 1526 VA3GD         59  4      KP2M          59  08
QSO: 21273 PH 2016-10-30 1527 VA3GD         59  4      EE2K          59  14
QSO: 21278 PH 2016-10-30 1530 VA3GD         59  4      EB2AM         59  14
QSO: 21283 PH 2016-10-30 1541 VA3GD         59  4      HI3K          59  08
QSO: 21338 PH 2016-10-30 1544 VA3GD         59  4      CN3A          59  33
QSO: 21346 PH 2016-10-30 1548 VA3GD         59  4      EA7ATX        59  14
QSO: 21385 PH 2016-10-30 1552 VA3GD         59  4      PZ5K          59  09
QSO: 21395 PH 2016-10-30 1552 VA3GD         59  4      ED3V          59  14
QSO: 21427 PH 2016-10-30 1554 VA3GD         59  4      EF1W          59  14
QSO: 21444 PH 2016-10-30 1556 VA3GD         59  4      CR2B          59  14
QSO: 28460 PH 2016-10-30 1649 VA3GD         59  4      V26B          59  08
QSO: 28486 PH 2016-10-30 1651 VA3GD         59  4      T48K          59  08
QSO: 28540 PH 2016-10-30 1652 VA3GD         59  4      PJ7PL         59  08
QSO: 28400 PH 2016-10-30 1700 VA3GD         59  4      PJ4X          59  09
QSO: 28463 PH 2016-10-30 1707 VA3GD         59  4      PW2D          59  11
QSO: 21180 PH 2016-10-30 1708 VA3GD         59  4      FM5DN         59  08
QSO: 21206 PH 2016-10-30 1709 VA3GD         59  4      K5WA          59  04
QSO: 21227 PH 2016-10-30 1710 VA3GD         59  4      N5RZ          59  04
QSO: 21230 PH 2016-10-30 1711 VA3GD         59  4      WD5K          59  04
QSO: 21240 PH 2016-10-30 1712 VA3GD         59  4      T42A          59  08
QSO: 21287 PH 2016-10-30 1714 VA3GD         59  4      CT3MD         59  33
QSO: 21316 PH 2016-10-30 1716 VA3GD         59  4      NF7E          59  03
QSO: 21211 PH 2016-10-30 1820 VA3GD         59  4      EF2A          59  14
QSO: 21236 PH 2016-10-30 1824 VA3GD         59  4      ZY2A          59  11
QSO: 21243 PH 2016-10-30 1825 VA3GD         59  4      PS2T          59  11
QSO: 21278 PH 2016-10-30 1827 VA3GD         59  4      TM6M          59  14
QSO: 21286 PH 2016-10-30 1828 VA3GD         59  4      VC7R          59  03
QSO: 21293 PH 2016-10-30 1830 VA3GD         59  4      VP5S          59  08
QSO: 21408 PH 2016-10-30 1836 VA3GD         59  4      V47T          59  08
QSO: 14224 PH 2016-10-30 1841 VA3GD         59  4      K5TR          59  04
QSO: 14234 PH 2016-10-30 1843 VA3GD         59  4      9Y4D          59  09
QSO: 14251 PH 2016-10-30 1844 VA3GD         59  4      IO5O          59  15
QSO: 14283 PH 2016-10-30 1930 VA3GD         59  4      OH8X          59  15
QSO: 14305 PH 2016-10-30 1931 VA3GD         59  4      VE5PV         59  04
QSO: 21195 PH 2016-10-30 1935 VA3GD         59  4      LP1H          59  13
QSO: 21232 PH 2016-10-30 1937 VA3GD         59  4      ZX5J          59  11
QSO: 21234 PH 2016-10-30 1938 VA3GD         59  4      OA4SS         59  10
QSO: 21300 PH 2016-10-30 1946 VA3GD         59  4      CR6K          59  14
QSO: 21362 PH 2016-10-30 1953 VA3GD         59  4      CR6T          59  14
QSO: 21309 PH 2016-10-30 2024 VA3GD         59  4      YV1YLY        59  09
QSO: 21373 PH 2016-10-30 2029 VA3GD         59  4      PJ4X          59  09
QSO: 21410 PH 2016-10-30 2029 VA3GD         59  4      KP3Z          59  08
QSO: 21416 PH 2016-10-30 2031 VA3GD         59  4      PX2B          59  11
QSO: 21400 PH 2016-10-30 2032 VA3GD         59  4      FY5KE         59  09
QSO: 21437 PH 2016-10-30 2034 VA3GD         59  4      PQ5B          59  11
QSO: 21232 PH 2016-10-30 2043 VA3GD         59  4      K9ES          59  05
QSO: 21327 PH 2016-10-30 2051 VA3GD         59  4      CE5JZO        59  12
QSO: 14203 PH 2016-10-30 2144 VA3GD         59  4      P40L          59  09
QSO: 14212 PH 2016-10-30 2146 VA3GD         59  4      6Y4V          59  08
QSO: 14208 PH 2016-10-30 2149 VA3GD         59  4      K4PV          59  05
QSO: 14234 PH 2016-10-30 2154 VA3GD         59  4      HK3C          59  09
QSO: 14252 PH 2016-10-30 2157 VA3GD         59  4      PJ4X          59  09
QSO: 14261 PH 2016-10-30 2209 VA3GD         59  4      V47T          59  08
QSO: 14272 PH 2016-10-30 2212 VA3GD         59  4      WP4PGY        59  08
QSO: 14290 PH 2016-10-30 2213 VA3GD         59  4      KP3Z          59  08
QSO: 14294 PH 2016-10-30 2213 VA3GD         59  4      PZ5K          59  09
QSO: 14307 PH 2016-10-30 2215 VA3GD         59  4      KP2M          59  08
QSO: 14312 PH 2016-10-30 2216 VA3GD         59  4      V26B          59  08
QSO: 14315 PH 2016-10-30 2219 VA3GD         59  4      YN5Z          59  07
QSO: 14345 PH 2016-10-30 2230 VA3GD         59  4      8P5A          59  08
QSO:  7128 PH 2016-10-30 2242 VA3GD         59  4      WX3B          59  05
QSO:  7179 PH 2016-10-30 2250 VA3GD         59  4      ED8W          59  33
QSO:  7182 PH 2016-10-30 2251 VA3GD         59  4      WP3C          59  08
QSO:  7179 PH 2016-10-30 2322 VA3GD         59  4      EA9LZ         59  33
QSO:  7189 PH 2016-10-30 2324 VA3GD         59  4      KP4BD         59  08
QSO:  3710 PH 2016-10-30 2338 VA3GD         59  4      VE3RCN        59  04
QSO:  3758 PH 2016-10-30 2340 VA3GD         59  4      WA3EKL        59  05
QSO:  7149 PH 2016-10-30 2346 VA3GD         59  4      T42A          59  08
END-OF-LOG:
