START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-CW
CALLSIGN: DL3HAE
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: DL3HAE
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-CW CQWPX/cw/2012.
QSO: 14012 CW 2012-05-26 0718 DL3HAE        599 WC1M          599 801
QSO: 14030 CW 2012-05-27 1315 DL3HAE        599 118 R8MC          599 501
QSO: 14035 CW 2012-05-27 1318 DL3HAE        599 119 RT4RO         599 2355
QSO: 14044 CW 2012-05-27 1324 DL3HAE        599 0121 MM3T          599 0576
QSO: 14046 CW 2012-05-27 1325 DL3HAE        599 122 S53MM         599 2751
QSO: 28014 CW 2012-05-27 1332 DL3HAE        599 0123 PW5D          599 1757
QSO: 28027 CW 2012-05-27 1351 DL3HAE        599 0124 HG7T          599 0545
QSO: 28036 CW 2012-05-27 1353 DL3HAE        599 125 SZ1A          599 2505
QSO: 28000 CW 2012-05-27 1355 DL3HAE        599 126 HG0R          599 778
QSO: 14065 CW 2012-05-27 1402 DL3HAE        599 127 4L0A          599 3316
QSO: 14000 CW 2012-05-27 1404 DL3HAE        599 128 UZ0U          599 914
QSO: 14000 CW 2012-05-27 1406 DL3HAE        599 0129 RY7G          599 1515
QSO: 14057 CW 2012-05-27 1409 DL3HAE        599 0130 RT2M          599 1139
QSO: 14055 CW 2012-05-27 1411 DL3HAE        599 0131 YO3FRI        599 0775
QSO: 14053 CW 2012-05-27 1414 DL3HAE        599 132 OG0Z          599 3026
QSO: 14000 CW 2012-05-27 1418 DL3HAE        599 133 HF3T          599 0559
END-OF-LOG:
