START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-DX-CW
CALLSIGN: W0LPF
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: W0LPF
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-DX-CW ARRL/arrl_international_dx_cw_contest/2025.
QSO: 28049 CW 2025-02-15 1504 W0LPF         599 MO KP2B          599 73
QSO: 28034 CW 2025-02-15 1537 W0LPF         599 MO EF6T          599 K
QSO: 28036 CW 2025-02-15 1543 W0LPF         599 MO KP2M          599 KW
QSO: 28037 CW 2025-02-15 1545 W0LPF         599 MO CN3A          599 KW
QSO: 28038 CW 2025-02-15 1553 W0LPF         599 MO IO5O          599 500
QSO: 28041 CW 2025-02-15 1556 W0LPF         599 MO HK1A          599 100
QSO: 28044 CW 2025-02-15 1602 W0LPF         599 MO TO4A          599 KW
QSO: 28000 CW 2025-02-15 1608 W0LPF         599 MO CT7BJG        599 100
QSO: 28050 CW 2025-02-15 1611 W0LPF         599 MO PA3AAV        599 400
QSO: 28053 CW 2025-02-15 1615 W0LPF         599 MO PA4M          599 400
QSO: 28053 CW 2025-02-15 1617 W0LPF         599 MO II9P          599 500
QSO: 28054 CW 2025-02-15 1621 W0LPF         599 MO VP5K          599 500
QSO: 28056 CW 2025-02-15 1625 W0LPF         599 MO PJ4A          599 K
QSO: 28058 CW 2025-02-15 1628 W0LPF         599 MO ZF5T          599 KW
QSO: 28058 CW 2025-02-15 1630 W0LPF         599 MO MD0CCE        599 KW
QSO: 28082 CW 2025-02-15 1639 W0LPF         599 MO PJ2T          599 K
QSO: 28002 CW 2025-02-15 1642 W0LPF         599 MO CR3DX         599 K
QSO: 28064 CW 2025-02-15 1653 W0LPF         599 MO VP9I          599 100
QSO: 21052 CW 2025-02-15 1702 W0LPF         599 MO ZF5T          599 KW
QSO: 21050 CW 2025-02-15 1706 W0LPF         599 MO ED8X          599 KW
QSO: 21048 CW 2025-02-15 1709 W0LPF         599 MO ED7W          599 KW
QSO: 21048 CW 2025-02-15 1710 W0LPF         599 MO HB9FAP        599 KW
QSO: 21042 CW 2025-02-15 1712 W0LPF         599 MO HC8M          599 1000
QSO: 21041 CW 2025-02-15 1716 W0LPF         599 MO SN1W          599 KW
QSO: 21040 CW 2025-02-15 1717 W0LPF         599 MO 9A9R          599 KW
QSO: 21040 CW 2025-02-15 1720 W0LPF         599 MO CR3W          599 K
QSO: 21038 CW 2025-02-15 1724 W0LPF         599 MO MD4K          599 1000
QSO: 21038 CW 2025-02-15 1725 W0LPF         599 MO S53M          599 KW
QSO: 21037 CW 2025-02-15 1728 W0LPF         599 MO EA1CS         599 100
QSO: 21037 CW 2025-02-15 1730 W0LPF         599 MO MM1E          599 K
QSO: 21036 CW 2025-02-15 1733 W0LPF         599 MO WH7T          599 KW
QSO: 21035 CW 2025-02-15 1740 W0LPF         599 MO EA3DZ         599 99
QSO: 21034 CW 2025-02-15 1741 W0LPF         599 MO HG6N          599 K
QSO: 21034 CW 2025-02-15 1742 W0LPF         599 MO HA5JI         599 KW
QSO: 21032 CW 2025-02-15 1746 W0LPF         599 MO 9A1A          599 KW
QSO: 21000 CW 2025-02-15 1747 W0LPF         599 MO F6ARC         599 KW
QSO: 21031 CW 2025-02-15 1748 W0LPF         599 MO E77EA         599 KW
QSO: 21031 CW 2025-02-15 1749 W0LPF         599 MO II8K          599 500
QSO: 21029 CW 2025-02-15 1750 W0LPF         599 MO OL3Z          599 KW
QSO: 21029 CW 2025-02-15 1751 W0LPF         599 MO OM2VL         599 KW
QSO: 21000 CW 2025-02-15 1752 W0LPF         599 MO 9A4W          599 KW
QSO: 21028 CW 2025-02-15 1754 W0LPF         599 MO SN3A          599 KW
QSO: 21027 CW 2025-02-15 1755 W0LPF         599 MO TM6M          599 KW
QSO: 21028 CW 2025-02-15 1755 W0LPF         599 MO IO3T          599 500
QSO: 21027 CW 2025-02-15 1758 W0LPF         599 MO DL5JS         599 700
QSO: 21026 CW 2025-02-15 1800 W0LPF         599 MO SC3A          599 1000
QSO: 21026 CW 2025-02-15 1801 W0LPF         599 MO PA4M          599 400
QSO: 28007 CW 2025-02-16 1611 W0LPF         599 MO DL9EE         599 KW
QSO: 28007 CW 2025-02-16 1615 W0LPF         599 MO SN5Y          599 K
QSO: 28008 CW 2025-02-16 1616 W0LPF         599 MO 9A5Y          599 KW
QSO: 28010 CW 2025-02-16 1619 W0LPF         599 MO YU7WW         599 1000
QSO: 28011 CW 2025-02-16 1620 W0LPF         599 MO II2Q          599 500
QSO: 28000 CW 2025-02-16 1623 W0LPF         599 MO DJ0MDR        599 700
QSO: 28011 CW 2025-02-16 1629 W0LPF         599 MO G3P           599 500
QSO: 28012 CW 2025-02-16 1632 W0LPF         599 MO EA5GX         599 100
QSO: 28014 CW 2025-02-16 1634 W0LPF         599 MO EA3AR         599 KW
QSO: 28017 CW 2025-02-16 1638 W0LPF         599 MO DJ5MO         599 K
QSO: 28018 CW 2025-02-16 1639 W0LPF         599 MO HA3DX         599 KW
QSO: 28017 CW 2025-02-16 1641 W0LPF         599 MO ED7W          599 KW
QSO: 28021 CW 2025-02-16 1647 W0LPF         599 MO GM5X          599 1000
QSO: 28024 CW 2025-02-16 1651 W0LPF         599 MO 9A4WY         599 800
QSO: 28028 CW 2025-02-16 1657 W0LPF         599 MO F5NBX         599 200
QSO: 28144 CW 2025-02-16 1701 W0LPF         599 MO HC8M          599 1000
QSO: 28045 CW 2025-02-16 1702 W0LPF         599 MO OK7W          599 KW
QSO: 28029 CW 2025-02-16 1707 W0LPF         599 MO GM5A          599 KW
QSO: 28031 CW 2025-02-16 1713 W0LPF         599 MO PW2E          599 K
QSO: 28032 CW 2025-02-16 1715 W0LPF         599 MO YU5R          599 KW
QSO: 28031 CW 2025-02-16 1721 W0LPF         599 MO KH7M          599 KW
QSO: 28033 CW 2025-02-16 1725 W0LPF         599 MO ZF1A          599 K
QSO: 28035 CW 2025-02-16 1729 W0LPF         599 MO C6ANM         599 NN
QSO: 28038 CW 2025-02-16 1734 W0LPF         599 MO F6KOP         599 500
QSO: 28049 CW 2025-02-16 1750 W0LPF         599 MO OL3Z          599 KW
QSO: 28050 CW 2025-02-16 1751 W0LPF         599 MO F5MUX         599 KW
QSO: 28000 CW 2025-02-16 1756 W0LPF         599 MO CT7BJG        599 100
QSO: 28056 CW 2025-02-16 1801 W0LPF         599 MO S50C          599 KW
QSO: 28058 CW 2025-02-16 1803 W0LPF         599 MO DD2D          599 KW
QSO: 28058 CW 2025-02-16 1805 W0LPF         599 MO E70T          599 1000
QSO: 21056 CW 2025-02-16 1826 W0LPF         599 MO CR3DX         599 K
END-OF-LOG:
