START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: VA3DVW
LOCATION: ON
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: FIXED
CATEGORY-OVERLAY:
GRID-LOCATOR: FN04DJ
CLAIMED-SCORE: 5115
NAME: David Williams
OPERATORS: VA3DVW
CREATED-BY: N3FJP's CQ WW DX Contest Log 6.0.6
QSO:   28304 PH 2025-10-25 1400 VA3DVW           59  04    9A7A             59   15       
QSO:   28310 PH 2025-10-25 1401 VA3DVW           59  04    9A5Y             59   15       
QSO:   28350 PH 2025-10-25 1405 VA3DVW           59  04    R2QA             59   16       
QSO:   28371 PH 2025-10-25 1409 VA3DVW           59  04    9A1P             59   15       
QSO:   28376 PH 2025-10-25 1412 VA3DVW           59  04    RK4FD            59   16       
QSO:   28452 PH 2025-10-25 1420 VA3DVW           59  04    IQ5PJ            59   15       
QSO:   28470 PH 2025-10-25 1422 VA3DVW           59  04    IB1D             59   15       
QSO:   28486 PH 2025-10-25 1428 VA3DVW           59  04    RA3OA            59   16       
QSO:   28578 PH 2025-10-25 1433 VA3DVW           59  04    CR6P             59   14       
QSO:   28578 PH 2025-10-25 1436 VA3DVW           59  04    9A5M             59   15       
QSO:   28606 PH 2025-10-25 1441 VA3DVW           59  04    KY7M             59   03       
QSO:   28850 PH 2025-10-25 1443 VA3DVW           59  04    SP9N             59   15       
QSO:   28345 PH 2025-10-25 1453 VA3DVW           59  04    SP8R             59   15       
QSO:   28413 PH 2025-10-25 1458 VA3DVW           59  04    RZ3B             59   16       
QSO:   28433 PH 2025-10-25 1459 VA3DVW           59  04    ED3X             59   14       
QSO:   28636 PH 2025-10-25 1515 VA3DVW           59  04    TM0DX            59   14       
QSO:   28734 PH 2025-10-25 1518 VA3DVW           59  04    RL3A             59   16       
QSO:   28771 PH 2025-10-25 1519 VA3DVW           59  04    S57K             59   15       
QSO:   28797 PH 2025-10-25 1521 VA3DVW           59  04    DG1E             59   14       
QSO:   28814 PH 2025-10-25 1524 VA3DVW           59  04    F5RAG            59   14       
QSO:   28916 PH 2025-10-25 1525 VA3DVW           59  04    DR4A             59   14       
QSO:   28978 PH 2025-10-25 1528 VA3DVW           59  04    EA3AR            59   14       
QSO:   28400 PH 2025-10-25 1541 VA3DVW           59  04    CR6K             59   14       
QSO:   28000 PH 2025-10-26 1747 VA3DVW           59  04    W0PSY            59   04      0
QSO:   28000 PH 2025-10-26 1755 VA3DVW           59  04    ZF2AA            59   08      0
QSO:   28000 PH 2025-10-26 1805 VA3DVW           59  04    TI7W             59   07      0
QSO:   28000 PH 2025-10-26 1808 VA3DVW           59  04    D4C              59   35      0
QSO:   21000 PH 2025-10-26 1817 VA3DVW           59  04    K3PA             59   04      0
QSO:   21000 PH 2025-10-26 1821 VA3DVW           59  04    RU1A             59   16      0
QSO:   28000 PH 2025-10-26 1834 VA3DVW           59  04    EF8R             59   33      0
QSO:   28000 PH 2025-10-26 2022 VA3DVW           59  04    V31VP            59   07      0
QSO:   21000 PH 2025-10-26 2028 VA3DVW           59  04    PJ4G             59   09      0
QSO:   14000 PH 2025-10-26 2120 VA3DVW           59  04    K4OV             59   05      0
QSO:   14000 PH 2025-10-26 2232 VA3DVW           59  04    K9PPY            59   04      0
QSO:   14000 PH 2025-10-26 2235 VA3DVW           59  04    W4ATL            59   05      0
QSO:   14000 PH 2025-10-26 2239 VA3DVW           59  04    TO2M             59   08      0
QSO:    7000 PH 2025-10-26 2308 VA3DVW           59  04    K3LR             59   05      0
END-OF-LOG:
