START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: IARU-HF
CALLSIGN: OM5R
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: OM5R
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for IARU-HF ARRL/iaru_hf_world_championship/2024.
QSO: 28049 CW 2024-07-13 1202 OM5R          599 28 ZS4B          599 57
QSO: 21059 CW 2024-07-13 1400 OM5R          599 28 HG6N          599 28
QSO: 21061 CW 2024-07-13 1400 OM5R          599 28 EA8RM         599 36
QSO: 21064 CW 2024-07-13 1401 OM5R          599 28 VY2TT         599 9
QSO: 21065 CW 2024-07-13 1401 OM5R          599 28 RL5A          599 29
QSO: 21069 CW 2024-07-13 1402 OM5R          599 28 SM6F          599 18
QSO: 21069 CW 2024-07-13 1402 OM5R          599 28 UB7K          599 29
QSO: 21066 CW 2024-07-13 1403 OM5R          599 28 N0AV          599 07
QSO: 21215 PH 2024-07-13 1410 OM5R          59 28 TO7K          59 53
QSO: 21216 PH 2024-07-13 1411 OM5R          59 28 NN7CW         59 8
QSO: 21230 PH 2024-07-13 1415 OM5R          59 28 K9RS          59 08
QSO: 21246 PH 2024-07-13 1416 OM5R          59 28 RM3DA         59 29
QSO: 21228 PH 2024-07-13 1446 OM5R          59 28 RA3OA         59 29
QSO: 21222 PH 2024-07-13 1448 OM5R          59 28 SO4R          59 28
QSO: 21201 PH 2024-07-13 1450 OM5R          59 28 VE2CSM        59 04
QSO: 21000 PH 2024-07-13 1451 OM5R          59 28 ER7HQ         59 ARM
QSO: 21259 PH 2024-07-13 1453 OM5R          59 28 4Z1MS         59 39
QSO: 21261 PH 2024-07-13 1454 OM5R          59 28 RA9P          59 31
QSO: 21282 PH 2024-07-13 1454 OM5R          59 28 TM93OG        59 27
QSO: 21287 PH 2024-07-13 1455 OM5R          59 28 R4GM          59 29
QSO: 21306 PH 2024-07-13 1457 OM5R          59 28 R3RZ          59 29
QSO: 21317 PH 2024-07-13 1458 OM5R          59 28 SK9HQ         59 SSA
QSO: 21338 PH 2024-07-13 1459 OM5R          59 28 EI0HQ         59 IRTS
QSO: 21372 PH 2024-07-13 1500 OM5R          59 28 GR2HQ         59 RSGB
QSO: 14000 CW 2024-07-13 1507 OM5R          599 28 UT5NC         599 29
QSO: 14030 CW 2024-07-13 1507 OM5R          599 28 RT4M          599 29
QSO: 14000 CW 2024-07-13 1508 OM5R          599 028 EA3WX         599 37
QSO: 14030 CW 2024-07-13 1508 OM5R          599 28 SQ2IIQ        599 28
QSO: 14030 CW 2024-07-13 1509 OM5R          599 28 G9F           599 27
QSO: 14030 CW 2024-07-13 1512 OM5R          599 28 M3AWD         599 27
QSO: 14030 CW 2024-07-13 1512 OM5R          599 28 RW9DX         599 30
QSO: 14030 CW 2024-07-13 1514 OM5R          599 28 LY2CO         599 29
QSO: 14030 CW 2024-07-13 1514 OM5R          599 28 SP1AEN        599 28
QSO: 14030 CW 2024-07-13 1515 OM5R          599 28 UW1M          599 29
QSO: 14028 CW 2024-07-13 1518 OM5R          599 28 SE5V          599 18
QSO: 14027 CW 2024-07-13 1519 OM5R          599 28 OH2KW         599 18
QSO: 14026 CW 2024-07-13 1520 OM5R          599 28 II4HQ         599 ARI
QSO: 14024 CW 2024-07-13 1521 OM5R          599 28 LZ0HQ         599 BFRA
QSO: 14022 CW 2024-07-13 1523 OM5R          599 28 SF0A          599 18
QSO: 14021 CW 2024-07-13 1524 OM5R          599 28 SE5T          599 18
QSO: 14020 CW 2024-07-13 1525 OM5R          599 28 UB7K          599 29
QSO: 14012 CW 2024-07-13 1529 OM5R          599 28 SK9HQ         599 SSA
QSO: 14018 CW 2024-07-13 1529 OM5R          599 28 UT3EV         599 29
QSO: 14010 CW 2024-07-13 1530 OM5R          599 28 RA9AP         599 30
QSO: 14009 CW 2024-07-13 1531 OM5R          599 28 RA3DS         599 29
QSO: 14008 CW 2024-07-13 1532 OM5R          599 28 EA8RM         599 36
QSO: 14008 CW 2024-07-13 1533 OM5R          599 28 EA8RM         599 36
QSO: 14003 CW 2024-07-13 1534 OM5R          599 28 LZ2SX         599 28
QSO: 14004 CW 2024-07-13 1534 OM5R          599 28 HG6N          599 28
QSO: 14006 CW 2024-07-13 1534 OM5R          599 28 OG3B          599 18
QSO: 14001 CW 2024-07-13 1535 OM5R          599 28 RN4HAB        599 30
QSO: 14000 CW 2024-07-13 1536 OM5R          599 28 4Z4AK         599 39
QSO: 14000 CW 2024-07-13 1537 OM5R          599 28 Z30HQ         599 RSM
QSO: 14022 CW 2024-07-13 1537 OM5R          599 28 YL3JD         599 29
QSO: 14023 CW 2024-07-13 1540 OM5R          599 28 IP9R          599 28
QSO: 14028 CW 2024-07-13 1544 OM5R          599 28 RT0F          599 34
QSO: 14032 CW 2024-07-13 1548 OM5R          599 28 DA0HQ         599 DARC
QSO: 14032 CW 2024-07-13 1548 OM5R          599 28 UN9L          599 30
QSO: 14034 CW 2024-07-13 1548 OM5R          599 28 DR7W          599 28
QSO: 14037 CW 2024-07-13 1550 OM5R          599 28 YR0HQ         599 FRR
QSO: 14038 CW 2024-07-13 1551 OM5R          599 28 RU9AC         599 30
QSO: 14038 CW 2024-07-13 1551 OM5R          599 28 VL2A          599 55
QSO: 14044 CW 2024-07-13 1552 OM5R          599 28 LX7I          599 27
QSO: 14045 CW 2024-07-13 1553 OM5R          599 28 TM93OG        599 27
QSO: 14045 CW 2024-07-13 1554 OM5R          599 28 PA6HQ         599 VERON
QSO: 14053 CW 2024-07-13 1555 OM5R          599 28 UP7L          599 30
QSO: 14060 CW 2024-07-13 1556 OM5R          599 28 M0NDZ         599 27
QSO: 14061 CW 2024-07-13 1556 OM5R          599 38 R4HQ          599 SRR
QSO: 14036 CW 2024-07-13 1559 OM5R          599 28 UN4Q          599 31
QSO: 14000 CW 2024-07-13 1601 OM5R          599 28 IK8PGM        599 28
QSO: 14036 CW 2024-07-13 1602 OM5R          599 28 IZ4OSH        599 28
QSO: 14000 CW 2024-07-13 1603 OM5R          599 28 F6JOE         599 27
QSO: 14035 CW 2024-07-13 1603 OM5R          599 28 ES9C          599 29
QSO: 14035 CW 2024-07-13 1603 OM5R          599 28 R8WO          599 30
QSO: 14035 CW 2024-07-13 1604 OM5R          599 28 RJ3F          599 29
QSO: 14036 CW 2024-07-13 1605 OM5R          599 28 DL1EFW        599 28
QSO: 14035 CW 2024-07-13 1607 OM5R          599 28 UI3A          599 29
QSO: 14174 PH 2024-07-13 1613 OM5R          59 28 LZ0HQ         59 BFRA
QSO: 14203 PH 2024-07-13 1616 OM5R          59 28 YT0HQ         59 SRS
QSO: 14217 PH 2024-07-13 1617 OM5R          59 28 GR2HQ         59 RSGB
QSO: 14226 PH 2024-07-13 1618 OM5R          59 28 E2HQ          59 RAST
QSO: 14233 PH 2024-07-13 1619 OM5R          59 28 C37HQ         59 URA
QSO: 14244 PH 2024-07-13 1620 OM5R          59 28 RA3OA         59 29
QSO: 14257 PH 2024-07-13 1622 OM5R          59 28 EF4HQ         59 URE
QSO: 14000 PH 2024-07-13 1623 OM5R          59 28 UT1KWA        59 29
QSO: 14000 PH 2024-07-13 1624 OM5R          59 28 ER7HQ         59 ARM
QSO: 14305 PH 2024-07-13 1637 OM5R          59 28 R4GM          59 29
QSO: 14338 PH 2024-07-13 1640 OM5R          59 28 PA6Z          59 27
QSO: 14257 PH 2024-07-13 1641 OM5R          59 28 TM9C          59 27
QSO:  7021 CW 2024-07-13 1644 OM5R          599 28 E7HQ          599 ARABH
QSO:  7018 CW 2024-07-13 1646 OM5R          599 28 SP3VT         599 28
QSO:  7017 CW 2024-07-13 1647 OM5R          599 28 DL2NBY        599 28
QSO:  7017 CW 2024-07-13 1648 OM5R          599 28 HA9A          599 28
QSO:  7025 CW 2024-07-13 1650 OM5R          599 28 OM7AT         599 28
QSO:  7017 CW 2024-07-13 1652 OM5R          599 28 II2HQ         599 ARI
QSO: 28020 CW 2024-07-13 1655 OM5R          599 28 UA6GO         599 29
QSO: 28020 CW 2024-07-13 1656 OM5R          599 28 UW1M          599 29
QSO: 28014 CW 2024-07-13 1659 OM5R          599 28 GR2HQ         599 RSGB
QSO: 28015 CW 2024-07-13 1659 OM5R          599 28 UA6LCN        599 29
QSO: 28013 CW 2024-07-13 1700 OM5R          599 28 CE3CT         599 14
QSO: 28007 CW 2024-07-13 1701 OM5R          599 28 E2A           599 49
QSO: 28005 CW 2024-07-13 1702 OM5R          599 28 PR1T          599 15
QSO: 28001 CW 2024-07-13 1703 OM5R          599 28 HG6N          599 28
QSO: 28044 CW 2024-07-13 1707 OM5R          599 28 ZD7BG         599 66
QSO: 28046 CW 2024-07-13 1708 OM5R          599 28 PT2AW         599 13
QSO: 28040 CW 2024-07-13 1711 OM5R          599 28 II9HQ         599 ARI
QSO: 28041 CW 2024-07-13 1711 OM5R          599 28 E29TGW        599 49
QSO: 28029 CW 2024-07-13 1714 OM5R          599 28 PA4M          599 27
QSO: 28032 CW 2024-07-13 1714 OM5R          599 28 PA6HQ         599 VERON
QSO: 28026 CW 2024-07-13 1715 OM5R          599 28 UC7A          599 29
QSO: 28025 CW 2024-07-13 1716 OM5R          599 28 Z60HQ         599 SHRAK
QSO: 28024 CW 2024-07-13 1717 OM5R          599 28 EI0HQ         599 IRTS
QSO: 28015 CW 2024-07-13 1723 OM5R          599 28 OP0HQ         599 UBA
QSO: 28010 CW 2024-07-13 1727 OM5R          599 28 UB7K          599 29
QSO: 28047 CW 2024-07-13 1733 OM5R          599 28 PG2AA         599 27
QSO: 28041 CW 2024-07-13 1734 OM5R          599 28 DL5JS         599 28
QSO: 28037 CW 2024-07-13 1735 OM5R          599 28 ON4ZD         599 27
QSO: 28036 CW 2024-07-13 1736 OM5R          599 28 PW2F          599 15
QSO: 28035 CW 2024-07-13 1737 OM5R          599 28 CX9AU         599 14
QSO: 28027 CW 2024-07-13 1740 OM5R          599 28 LT4RCA        599 RCA
QSO: 28021 CW 2024-07-13 1746 OM5R          599 28 HA6P          599 28
QSO: 28016 CW 2024-07-13 1747 OM5R          599 28 HB9ON         599 28
QSO: 28011 CW 2024-07-13 1748 OM5R          599 28 MW4R          599 27
QSO: 28010 CW 2024-07-13 1749 OM5R          599 28 RN3AC         599 29
QSO: 28008 CW 2024-07-13 1751 OM5R          599 28 LP1H          599 14
QSO: 28004 CW 2024-07-13 1752 OM5R          599 28 VU2TMP        599 41
QSO: 21427 PH 2024-07-13 1803 OM5R          59 28 A42K          59 39
QSO: 21397 PH 2024-07-13 1804 OM5R          59 28 IT9VCE        59 28
QSO: 21389 PH 2024-07-13 1806 OM5R          59 28 M1T           59 27
QSO: 21376 PH 2024-07-13 1807 OM5R          59 28 EA2ELS        59 37
QSO: 21354 PH 2024-07-13 1809 OM5R          59 28 M1B           59 27
QSO: 21348 PH 2024-07-13 1810 OM5R          59 28 II9HQ         59 ARI
QSO: 21321 PH 2024-07-13 1812 OM5R          59 28 EW5A          59 29
QSO: 21330 PH 2024-07-13 1812 OM5R          59 28 IK0PHY        59 28
QSO: 21300 PH 2024-07-13 1813 OM5R          59 28 CR6K          59 37
QSO: 21294 PH 2024-07-13 1814 OM5R          59 28 IO9J          59 28
QSO: 21274 PH 2024-07-13 1816 OM5R          59 28 LZ0HQ         59 BFRA
QSO: 21282 PH 2024-07-13 1816 OM5R          59 28 OR5R          59 27
QSO: 21267 PH 2024-07-13 1818 OM5R          59 28 YB1DX         59 54
QSO: 21243 PH 2024-07-13 1821 OM5R          59 28 B7HQ          59 CRAC
QSO: 21239 PH 2024-07-13 1822 OM5R          59 28 BA7OLK        59 44
QSO: 21202 PH 2024-07-13 1825 OM5R          59 28 K3LR          59 8
QSO: 21191 PH 2024-07-13 1826 OM5R          59 28 ZW2N          59 15
QSO: 21375 PH 2024-07-13 1826 OM5R          59 28 IZ0DHC        59 28
QSO: 21368 PH 2024-07-13 1827 OM5R          59 28 M3P           59 27
QSO: 21373 PH 2024-07-13 1827 OM5R          59 28 F5LIW         59 27
QSO: 21326 PH 2024-07-13 1829 OM5R          59 28 OR1X          59 27
QSO: 21000 PH 2024-07-13 1832 OM5R          59 28 TC3HQ         59 TRAC
QSO: 21292 PH 2024-07-13 1832 OM5R          59 28 PY4JW         59 15
QSO: 21000 PH 2024-07-13 1835 OM5R          59 28 YM0KAD        59 39
QSO: 21000 PH 2024-07-13 1844 OM5R          59 28 IT9PHU        59 28
QSO: 21266 PH 2024-07-13 1848 OM5R          59 28 IO6A          59 28
QSO: 21256 PH 2024-07-13 1857 OM5R          59 28 BD4VGZ        59 44
QSO: 21247 PH 2024-07-13 1858 OM5R          59 28 IU8RIA        59 28
QSO: 21238 PH 2024-07-13 1902 OM5R          59 28 PX2A          59 15
QSO: 21200 PH 2024-07-13 1913 OM5R          59 28 K1LZ          59 8
QSO: 21035 CW 2024-07-13 1916 OM5R          599 28 ED3Z          599 37
QSO: 21035 CW 2024-07-13 1919 OM5R          599 28 JH1JNJ        599 45
QSO: 21035 CW 2024-07-13 1920 OM5R          599 28 W2CCC         599 08
QSO: 21035 CW 2024-07-13 1921 OM5R          599 28 BG8PN         599 43
QSO: 21035 CW 2024-07-13 1921 OM5R          599 28 UW1M          599 29
QSO: 21035 CW 2024-07-13 1923 OM5R          599 28 PY1BAB        599 15
QSO: 21035 CW 2024-07-13 1923 OM5R          599 28 R2AA          599 29
QSO: 21035 CW 2024-07-13 1927 OM5R          599 28 K2NV          599 08
QSO: 21000 CW 2024-07-13 1928 OM5R          599 28 DL9ZP         599 28
QSO: 21033 CW 2024-07-13 1933 OM5R          599 28 AT1HQ         599 ARSI
QSO: 21030 CW 2024-07-13 1934 OM5R          599 28 DM3ZM         599 28
QSO: 21030 CW 2024-07-13 1934 OM5R          599 28 W3GM          599 08
QSO: 21031 CW 2024-07-13 1938 OM5R          599 28 IZ1PKV        599 28
QSO: 21030 CW 2024-07-13 1940 OM5R          599 28 LW3DC         599 14
QSO: 14194 PH 2024-07-13 1944 OM5R          59 28 SX0HQ         59 RAAG
QSO: 14182 PH 2024-07-13 1949 OM5R          59 28 TK4TH         59 28
QSO: 14177 PH 2024-07-13 1950 OM5R          59 28 HG0HQ         59 MRASZ
QSO: 14167 PH 2024-07-13 1951 OM5R          59 28 RW4W          59 30
QSO: 14151 PH 2024-07-13 1953 OM5R          59 28 EA2ELS        59 37
QSO: 14339 PH 2024-07-13 1955 OM5R          59 28 SV3RPQ        59 28
QSO: 14329 PH 2024-07-13 1957 OM5R          59 28 RW9LL         59 30
QSO: 14323 PH 2024-07-13 1958 OM5R          59 28 LZ2YO         59 28
QSO: 14316 PH 2024-07-13 1959 OM5R          59 28 E7HQ          59 ARABH
QSO: 14309 PH 2024-07-13 2001 OM5R          59 28 EX9HQ         59 ARUKR
QSO: 14286 PH 2024-07-13 2006 OM5R          59 28 EI7M          59 27
QSO: 14282 PH 2024-07-13 2007 OM5R          59 28 SK9HQ         59 SSA
QSO: 14274 PH 2024-07-13 2008 OM5R          59 28 R4HQ          59 SRR
QSO: 14265 PH 2024-07-13 2010 OM5R          59 28 DA0HQ         59 DARC
QSO: 14000 PH 2024-07-13 2013 OM5R          59 28 S50HQ         59 ZRS
QSO: 14242 PH 2024-07-13 2014 OM5R          59 28 R3RZ          59 29
QSO: 14000 PH 2024-07-13 2015 OM5R          59 28 TM0QSM        59 27
QSO: 14215 PH 2024-07-13 2022 OM5R          59 28 4Z1MS         59 39
QSO: 14210 PH 2024-07-13 2025 OM5R          59 28 PY5QW         59 15
QSO: 14000 PH 2024-07-13 2026 OM5R          59 28 LZ1DM         59 28
QSO: 14207 PH 2024-07-13 2026 OM5R          59 28 PR2N          59 15
QSO: 14185 PH 2024-07-13 2029 OM5R          59 28 4X1DX         59 39
QSO: 14166 PH 2024-07-13 2031 OM5R          59 28 EA3DVP        59 37
QSO: 14000 PH 2024-07-13 2033 OM5R          59 28 M0PLX/M       59 27
QSO:  7032 CW 2024-07-13 2037 OM5R          599 28 S50HQ         599 ZRS
QSO:  7032 CW 2024-07-13 2039 OM5R          599 28 HB9HTF        599 28
QSO:  7031 CW 2024-07-13 2040 OM5R          599 28 DL8WAA        599 28
QSO:  7032 CW 2024-07-13 2040 OM5R          599 28 YU9YAU        599 28
QSO:  1833 CW 2024-07-13 2041 OM5R          599 28 II2HQ         599 ARI
QSO:  7000 CW 2024-07-13 2041 OM5R          599 28 R1QE          599 29
QSO:  7032 CW 2024-07-13 2041 OM5R          599 28 LZ1BP         599 28
QSO:  7032 CW 2024-07-13 2042 OM5R          599 28 UI3A          599 29
QSO:  7031 CW 2024-07-13 2043 OM5R          599 28 HG6O          599 28
QSO:  7031 CW 2024-07-13 2043 OM5R          599 28 SO7NA         599 28
QSO:  7032 CW 2024-07-13 2043 OM5R          599 28 DJ9SN         599 28
QSO:  7000 CW 2024-07-13 2044 OM5R          599 28 9A2EY         599 28
QSO:  7032 CW 2024-07-13 2044 OM5R          599 28 RC9X          599 20
QSO:  7032 CW 2024-07-13 2045 OM5R          599 28 UW5Y          599 29
QSO:  7031 CW 2024-07-13 2046 OM5R          599 28 DK2OY         599 28
QSO:  7031 CW 2024-07-13 2047 OM5R          599 28 EU6RO         599 29
QSO:  7031 CW 2024-07-13 2047 OM5R          599 28 OM7K          599 28
QSO:  7032 CW 2024-07-13 2048 OM5R          599 28 PA2TA         599 27
QSO:  7031 CW 2024-07-13 2050 OM5R          599 28 RG2Y          599 29
QSO: 21040 CW 2024-07-13 2101 OM5R          599 28 IK1JJM        599 28
QSO: 21055 CW 2024-07-13 2102 OM5R          599 28 JA0FVU        599 45
QSO: 21064 CW 2024-07-13 2103 OM5R          599 28 II8K          599 28
QSO: 21053 CW 2024-07-13 2104 OM5R          599 28 II9HQ         599 ARI
QSO: 21043 CW 2024-07-13 2108 OM5R          599 28 JE5HTN        599 45
QSO: 21042 CW 2024-07-13 2110 OM5R          599 28 N2YO          599 08
QSO: 21038 CW 2024-07-13 2111 OM5R          599 28 SN0HQ         599 PZK
QSO: 21041 CW 2024-07-13 2111 OM5R          599 28 E7DX          599 28
QSO: 21036 CW 2024-07-13 2114 OM5R          599 28 KP4JA         599 11
QSO: 21028 CW 2024-07-13 2116 OM5R          599 28 EC3A          599 37
QSO: 21026 CW 2024-07-13 2117 OM5R          599 28 NP2X          599 11
QSO: 21025 CW 2024-07-13 2118 OM5R          599 28 W1WEF         599 08
QSO: 21019 CW 2024-07-13 2119 OM5R          599 28 IO0A          599 28
QSO: 21021 CW 2024-07-13 2119 OM5R          599 28 K9RS          599 08
QSO: 21016 CW 2024-07-13 2120 OM5R          599 28 JE6RPM        599 45
QSO: 21012 CW 2024-07-13 2121 OM5R          599 28 NN7CW         599 8
QSO: 21015 CW 2024-07-13 2121 OM5R          599 28 D90M          599 44
QSO: 21002 CW 2024-07-13 2126 OM5R          599 28 B5HQ          599 CRAC
END-OF-LOG:
