START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: IARU-HF
CALLSIGN: I2XIP
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: I2XIP
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for IARU-HF ARRL/iaru_hf_world_championship/2024.
QSO: 21220 PH 2024-07-13 1836 I2XIP         59 28 N7DX          59 06
QSO: 14063 CW 2024-07-13 2244 I2XIP         599 28 WM9C          599 08
QSO: 14060 CW 2024-07-13 2245 I2XIP         599 28 N4KH          599 8
QSO: 14058 CW 2024-07-13 2246 I2XIP         599 28 TI7W          599 11
QSO: 14059 CW 2024-07-13 2246 I2XIP         599 28 K4AB          599 08
QSO: 14058 CW 2024-07-13 2249 I2XIP         599 28 NN7CW         599 8
QSO: 14057 CW 2024-07-13 2250 I2XIP         599 28 K3MD          599 08
QSO: 14050 CW 2024-07-13 2254 I2XIP         599 28 W4IPC         599 08
QSO: 14049 CW 2024-07-13 2255 I2XIP         599 28 TF3D          599 17
QSO: 14048 CW 2024-07-13 2256 I2XIP         599 28 CR6K          599 37
QSO: 14043 CW 2024-07-13 2259 I2XIP         599 28 W5ZN          599 AC
QSO: 14039 CW 2024-07-13 2301 I2XIP         599 28 VA1MM         599 09
QSO: 14039 CW 2024-07-13 2302 I2XIP         599 28 VE3EJ         599 04
QSO: 14038 CW 2024-07-13 2303 I2XIP         599 28 E2A           599 49
QSO: 14028 CW 2024-07-14 0556 I2XIP         599 28 VL2G          599 59
QSO: 14023 CW 2024-07-14 0559 I2XIP         599 28 NP4Z          599 11
QSO: 14022 CW 2024-07-14 0601 I2XIP         599 28 N5EE          599 07
QSO: 14021 CW 2024-07-14 0605 I2XIP         599 28 N5RZ          599 07
QSO: 14019 CW 2024-07-14 0607 I2XIP         599 28 K5GN          599 7
QSO: 14018 CW 2024-07-14 0608 I2XIP         599 28 TF3W          599 17
QSO: 14015 CW 2024-07-14 0611 I2XIP         599 28 N2MF          599 08
QSO: 14012 CW 2024-07-14 0612 I2XIP         599 28 AA1K          599 08
QSO: 14011 CW 2024-07-14 0613 I2XIP         599 28 N9RV          599 6
QSO: 14010 CW 2024-07-14 0615 I2XIP         599 28 NE9U          599 07
QSO: 14006 CW 2024-07-14 0622 I2XIP         599 28 NT6Q          599 06
QSO: 14004 CW 2024-07-14 0624 I2XIP         599 28 VE7ZO         599 02
QSO: 14003 CW 2024-07-14 0625 I2XIP         599 28 VA2WA         599 04
QSO: 14002 CW 2024-07-14 0627 I2XIP         599 28 VE3EJ         599 04
QSO: 14000 CW 2024-07-14 0629 I2XIP         599 28 VE3JM         599 4
QSO: 14001 CW 2024-07-14 0629 I2XIP         599 28 N7DX          599 06
QSO: 14000 CW 2024-07-14 0643 I2XIP         599 28 K1LZ          599 8
QSO: 21005 CW 2024-07-14 0647 I2XIP         599 28 WH7T          599 61
QSO: 14000 CW 2024-07-14 0649 I2XIP         599 28 KB7G/KH6      599 61
QSO: 14058 CW 2024-07-14 0651 I2XIP         599 28 WN7S          599 08
QSO: 14046 CW 2024-07-14 0652 I2XIP         599 28 VE7LWW        599 02
QSO: 14014 CW 2024-07-14 0655 I2XIP         599 28 KL5DX         599 01
QSO: 21021 CW 2024-07-14 0657 I2XIP         599 28 KL5DX         599 01
QSO: 21195 PH 2024-07-14 0701 I2XIP         59 28 CN8SG         59 37
QSO: 21303 PH 2024-07-14 0704 I2XIP         59 28 NN7CW         59 8
END-OF-LOG:
