START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: IARU-HF
CALLSIGN: HG5E
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: HG5E
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for IARU-HF ARRL/iaru_hf_world_championship/2024.
QSO: 14274 PH 2024-07-13 1941 HG5E          59 28 EX9HQ         59 ARUKR
QSO: 14060 CW 2024-07-14 0711 HG5E          599 28 RX7T          599 29
QSO: 14059 CW 2024-07-14 0712 HG5E          599 28 UA6LCJ        599 29
QSO: 14058 CW 2024-07-14 0727 HG5E          599 28 HG6O          599 28
QSO: 14058 CW 2024-07-14 0727 HG5E          599 28 RM2U          599 29
QSO: 14000 CW 2024-07-14 0728 HG5E          599 28 OH2BN         599 18
QSO: 14058 CW 2024-07-14 0728 HG5E          599 28 AC5XK         599 08
QSO: 14058 CW 2024-07-14 0729 HG5E          599 28 9A0HQ         599 HRS
QSO: 14058 CW 2024-07-14 0729 HG5E          599 28 G4IIY         599 27
QSO: 14058 CW 2024-07-14 0729 HG5E          599 28 RA3DS         599 29
QSO: 14058 CW 2024-07-14 0731 HG5E          599 28 4X1DX         599 39
QSO: 14058 CW 2024-07-14 0731 HG5E          599 28 EW2ZC         599 29
QSO: 14058 CW 2024-07-14 0731 HG5E          599 28 LY2MM         599 29
QSO: 14058 CW 2024-07-14 0732 HG5E          599 28 E7HQ          599 ARABH
QSO: 14058 CW 2024-07-14 0732 HG5E          599 28 ZL4YY         599 60
QSO: 14058 CW 2024-07-14 0733 HG5E          599 28 DF1MM         599 28
QSO: 14058 CW 2024-07-14 0733 HG5E          599 28 LZ8E          599 28
QSO: 14058 CW 2024-07-14 0733 HG5E          599 28 YL5T          599 29
QSO: 14058 CW 2024-07-14 0734 HG5E          599 28 EW8DX         599 29
QSO: 14058 CW 2024-07-14 0734 HG5E          599 28 G3YMC         599 27
QSO: 14058 CW 2024-07-14 0734 HG5E          599 28 OM0RX         599 28
QSO: 14058 CW 2024-07-14 0735 HG5E          599 28 N5JJ          599 07
QSO: 14058 CW 2024-07-14 0735 HG5E          599 28 OM5NL         599 28
QSO: 14058 CW 2024-07-14 0735 HG5E          599 28 WN4AFP        599 08
QSO: 14058 CW 2024-07-14 0736 HG5E          599 28 AA1K          599 08
QSO: 14058 CW 2024-07-14 0736 HG5E          599 28 G0MTN         599 27
QSO: 14000 CW 2024-07-14 0737 HG5E          599 28 UA4FDL        599 29
QSO: 14058 CW 2024-07-14 0737 HG5E          599 28 SP1R          599 28
QSO: 14058 CW 2024-07-14 0737 HG5E          599 28 YO3HEX        599 28
QSO: 14000 CW 2024-07-14 0738 HG5E          599 28 R1AT          599 19
QSO: 14058 CW 2024-07-14 0738 HG5E          599 28 R8CT          599 30
QSO: 14058 CW 2024-07-14 0738 HG5E          599 28 UA3AP         599 29
QSO: 14000 CW 2024-07-14 0739 HG5E          599 28 F5ICC         599 27
QSO: 14000 CW 2024-07-14 0740 HG5E          599 28 LY2LF         599 29
QSO: 14058 CW 2024-07-14 0740 HG5E          599 28 RM9I          599 31
QSO: 14058 CW 2024-07-14 0741 HG5E          599 28 UA9CNX        599 30
QSO: 14058 CW 2024-07-14 0742 HG5E          599 28 PA0RDT        599 27
QSO: 14058 CW 2024-07-14 0744 HG5E          599 28 N7VM          599 06
QSO: 14058 CW 2024-07-14 0744 HG5E          599 28 YL2NK         599 29
QSO: 14058 CW 2024-07-14 0745 HG5E          599 28 UA3XFO        599 29
QSO: 14000 CW 2024-07-14 0746 HG5E          599 28 UR5FEO        599 29
QSO: 14058 CW 2024-07-14 0746 HG5E          599 28 II4HQ         599 ARI
QSO: 14058 CW 2024-07-14 0746 HG5E          599 28 K8CN          599 08
QSO: 14058 CW 2024-07-14 0747 HG5E          599 28 OE0HQ         599 OV
QSO: 14342 PH 2024-07-14 0813 HG5E          59 28 G1WVK         59 27
QSO: 14342 PH 2024-07-14 0814 HG5E          59 28 F4BPO         59 27
QSO: 14000 PH 2024-07-14 0817 HG5E          59 28 LC5C          59 18
QSO: 14252 PH 2024-07-14 0817 HG5E          59 28 G0UUS         59 27
QSO: 14252 PH 2024-07-14 0817 HG5E          59 28 M0SQC         59 27
QSO: 14252 PH 2024-07-14 0818 HG5E          59 28 R6DCS         59 29
QSO: 14252 PH 2024-07-14 0821 HG5E          59 28 ED4A          59 37
QSO: 14252 PH 2024-07-14 0821 HG5E          59 28 R4HQ          59 SRR
QSO: 14252 PH 2024-07-14 0821 HG5E          59 28 UA6GO         59 29
QSO: 14000 PH 2024-07-14 0822 HG5E          59 28 PG1N          59 27
QSO: 14252 PH 2024-07-14 0822 HG5E          59 28 K8LG          59 08
QSO: 14252 PH 2024-07-14 0822 HG5E          59 28 PA2LO         59 27
QSO: 14252 PH 2024-07-14 0822 HG5E          59 28 R3IBZ         59 29
QSO: 14000 PH 2024-07-14 0823 HG5E          59 28 EA3HAB        59 37
QSO: 14252 PH 2024-07-14 0823 HG5E          59 28 LZ5T          59 28
QSO: 14252 PH 2024-07-14 0823 HG5E          59 28 R1MJ          59 29
QSO: 14252 PH 2024-07-14 0823 HG5E          59 28 SM6MVE        59 18
QSO: 14150 PH 2024-07-14 0824 HG5E          59 28 UA3ZTY        59 29
QSO: 14195 PH 2024-07-14 0824 HG5E          59 28 R1BAC         59 19
QSO: 14252 PH 2024-07-14 0824 HG5E          59 28 F4KMI/P       59 27
QSO: 14252 PH 2024-07-14 0824 HG5E          59 28 UX4AA         59 29
QSO: 14252 PH 2024-07-14 0824 HG5E          59 28 W4KFC         59 08
QSO: 14000 PH 2024-07-14 0825 HG5E          59 28 F4ADZ         59 27
QSO: 14252 PH 2024-07-14 0825 HG5E          59 28 IK2UME        59 28
QSO: 14252 PH 2024-07-14 0826 HG5E          59 28 G0DDZ         59 27
QSO: 14252 PH 2024-07-14 0826 HG5E          59 28 OP0HQ         59 UBA
QSO: 14252 PH 2024-07-14 0826 HG5E          59 28 SP4SHD        59 28
QSO: 14000 PH 2024-07-14 0827 HG5E          59 28 DD5AJ         59 28
QSO: 14000 PH 2024-07-14 0827 HG5E          59 28 K9LOE         59 08
QSO: 14252 PH 2024-07-14 0827 HG5E          59 28 K4RM          59 08
QSO: 14252 PH 2024-07-14 0827 HG5E          59 28 S50HQ         59 ZRS
QSO: 14252 PH 2024-07-14 0827 HG5E          59 28 SP5GNI        59 28
QSO: 14000 PH 2024-07-14 0828 HG5E          59 28 PA3CGJ        59 27
QSO: 14252 PH 2024-07-14 0828 HG5E          59 28 ER3CT         59 29
QSO: 14252 PH 2024-07-14 0828 HG5E          59 28 PA6HQ         59 VERON
QSO: 14252 PH 2024-07-14 0828 HG5E          59 28 PA8KW         59 27
QSO: 14252 PH 2024-07-14 0828 HG5E          59 28 R3OM          59 29
QSO: 14252 PH 2024-07-14 0828 HG5E          59 28 SO4R          59 28
QSO: 14252 PH 2024-07-14 0829 HG5E          59 28 EA4HRU        59 37
QSO: 14252 PH 2024-07-14 0829 HG5E          59 28 F4DPW         59 27
QSO: 14252 PH 2024-07-14 0829 HG5E          59 28 PD2GSP        59 27
QSO: 14252 PH 2024-07-14 0830 HG5E          59 28 IW2JWG        59 28
QSO: 14252 PH 2024-07-14 0830 HG5E          59 28 LY2GN         59 29
QSO: 14252 PH 2024-07-14 0830 HG5E          59 28 PA1PAT        59 27
QSO: 14252 PH 2024-07-14 0830 HG5E          59 28 RM3F          59 29
QSO: 14252 PH 2024-07-14 0831 HG5E          59 28 DD3JN         59 28
QSO: 14252 PH 2024-07-14 0831 HG5E          59 28 OR4T/P        59 27
QSO: 14000 PH 2024-07-14 0832 HG5E          59 28 F4IVC         59 27
QSO: 14000 PH 2024-07-14 0832 HG5E          59 28 M6EAM         59 27
QSO: 14203 PH 2024-07-14 0832 HG5E          59 28 YT0HQ         59 SRS
QSO: 14252 PH 2024-07-14 0832 HG5E          59 28 TA5O          59 39
QSO: 14219 PH 2024-07-14 0833 HG5E          59 28 DK4VW         59 28
QSO: 14252 PH 2024-07-14 0833 HG5E          59 28 DL4DBM        59 28
QSO: 14252 PH 2024-07-14 0833 HG5E          59 28 EF4HQ         59 URE
QSO: 14252 PH 2024-07-14 0834 HG5E          59 28 DG4O          59 28
QSO: 14252 PH 2024-07-14 0834 HG5E          59 28 F4EYU         59 27
QSO: 14252 PH 2024-07-14 0834 HG5E          59 28 SQ1R          59 28
QSO: 14252 PH 2024-07-14 0835 HG5E          59 28 PD8MD         59 27
QSO: 14252 PH 2024-07-14 0835 HG5E          59 28 SN0HQ         59 PZK
QSO: 14000 PH 2024-07-14 0836 HG5E          59 28 IW2HFU        59 28
QSO: 14000 PH 2024-07-14 0836 HG5E          59 28 OE3DMA        59 28
QSO: 14252 PH 2024-07-14 0836 HG5E          59 28 PA4GDR        59 27
QSO: 14000 PH 2024-07-14 0837 HG5E          59 28 F1GKS         59 27
QSO: 14000 PH 2024-07-14 0837 HG5E          59 28 MM0INH        59 27
QSO: 14252 PH 2024-07-14 0838 HG5E          59 28 EA1GAR        59 37
QSO: 14252 PH 2024-07-14 0838 HG5E          59 28 OZ1KKH        59 18
QSO: 14252 PH 2024-07-14 0838 HG5E          59 28 PE1EWR        59 27
QSO: 14252 PH 2024-07-14 0838 HG5E          59 28 PG7M          59 27
QSO: 14000 PH 2024-07-14 0839 HG5E          59 28 4X6DK         59 39
QSO: 14000 PH 2024-07-14 0839 HG5E          59 28 HB2C          59 28
QSO: 14252 PH 2024-07-14 0839 HG5E          59 28 EA3IPX        59 37
QSO: 14252 PH 2024-07-14 0839 HG5E          59 28 F1PNJ         59 27
QSO: 14000 PH 2024-07-14 0840 HG5E          59 28 DD1SB         59 28
QSO: 14000 PH 2024-07-14 0840 HG5E          59 28 F/DL7BC/P     59 27
QSO: 14252 PH 2024-07-14 0840 HG5E          59 28 M0KIW         59 27
QSO: 14252 PH 2024-07-14 0841 HG5E          59 28 F5NIB         59 27
QSO: 14000 PH 2024-07-14 0843 HG5E          59 28 HD1QRC93      59 12
QSO: 14252 PH 2024-07-14 0843 HG5E          59 28 ED7O          59 37
QSO: 14252 PH 2024-07-14 0843 HG5E          59 28 WW4XX         59 08
QSO: 14252 PH 2024-07-14 0844 HG5E          59 28 HA1KHJ        59 28
END-OF-LOG:
