START-OF-LOG: 3.0
CONTEST: IARU-HF
LOCATION: DX
CALLSIGN: R0HQ
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-POWER: HIGH
CREATED-BY: RLOG32W VER-0.1.4.132
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-STATION: HQ
CATEGORY-TRANSMITTER: UNLIMITED
OPERATORS: UA0DM, UA0CDX, R0CDA, R0IAA, R0CY, R0CT, R0CM, RU0LM, R0NN,
QSO: 14007 CW 2021-07-10 1211 R0HQ 599 SRR 8N3HQ 599 JARL
QSO: 14060 CW 2021-07-10 1211 R0HQ 599 SRR R8OM 599 31
QSO: 7100 PH 2021-07-10 1211 R0HQ 59 SRR JH3LCX 59 45
QSO: 3523 CW 2021-07-10 1212 R0HQ 599 SRR UA0CA 599 34
QSO: 14225 PH 2021-07-10 1212 R0HQ 59 SRR YO7SR 59 28
QSO: 1812 CW 2021-07-10 1212 R0HQ 599 SRR JA9FHB 599 45
QSO: 7023 CW 2021-07-10 1212 R0HQ 599 SRR BD7JNA 599 44
QSO: 14060 CW 2021-07-10 1212 R0HQ 599 SRR BG8TFN 599 43
QSO: 14060 CW 2021-07-10 1212 R0HQ 599 SRR SN0HQ 599 PZK
QSO: 14060 CW 2021-07-10 1212 R0HQ 599 SRR R4II 599 29
QSO: 7100 PH 2021-07-10 1212 R0HQ 59 SRR JA9NEJ 59 45
QSO: 7100 PH 2021-07-10 1212 R0HQ 59 SRR JR1MRG 59 45
QSO: 3523 CW 2021-07-10 1213 R0HQ 599 SRR B1HQ 599 CARC
QSO: 3523 CW 2021-07-10 1213 R0HQ 599 SRR JA1GQC 599 45
QSO: 7023 CW 2021-07-10 1213 R0HQ 599 SRR JR8QFG 599 45
QSO: 7023 CW 2021-07-10 1213 R0HQ 599 SRR N7XM 599 6
QSO: 14060 CW 2021-07-10 1213 R0HQ 599 SRR RX6CB 599 29
QSO: 14033 CW 2021-07-10 1213 R0HQ 599 SRR IO5HQ 599 ARI
QSO: 14060 CW 2021-07-10 1213 R0HQ 599 SRR JE2HCJ 599 45
QSO: 14060 CW 2021-07-10 1213 R0HQ 599 SRR RA9YUI 599 31
QSO: 21050 CW 2021-07-10 1213 R0HQ 599 SRR JQ3BUC 599 45
QSO: 7100 PH 2021-07-10 1213 R0HQ 59 SRR JH5PXG 59 45
QSO: 7100 PH 2021-07-10 1213 R0HQ 59 SRR JA1IHD 59 45
QSO: 7023 CW 2021-07-10 1214 R0HQ 599 SRR W7RM 599 6
QSO: 1812 CW 2021-07-10 1214 R0HQ 599 SRR JJ2CJB 599 45
QSO: 7023 CW 2021-07-10 1214 R0HQ 599 SRR VE7JKZ 599 2
QSO: 14225 PH 2021-07-10 1214 R0HQ 59 SRR JO7BTV 59 45
QSO: 14060 CW 2021-07-10 1214 R0HQ 599 SRR RU1A 599 29
QSO: 14060 CW 2021-07-10 1214 R0HQ 599 SRR UA4S 599 29
QSO: 14046 CW 2021-07-10 1214 R0HQ 599 SRR RA0QD 599 23
QSO: 14060 CW 2021-07-10 1214 R0HQ 599 SRR 7K4VPV 599 45
QSO: 21050 CW 2021-07-10 1214 R0HQ 599 SRR UC0A 599 32
QSO: 7100 PH 2021-07-10 1214 R0HQ 59 SRR JE6RBL 59 45
QSO: 3505 CW 2021-07-10 1215 R0HQ 599 SRR ND7K 599 06
QSO: 14060 CW 2021-07-10 1215 R0HQ 599 SRR JA1KPF 599 45
QSO: 14060 CW 2021-07-10 1215 R0HQ 599 SRR RG5A 599 29
QSO: 14060 CW 2021-07-10 1215 R0HQ 599 SRR JR5CAG 599 45
QSO: 7100 PH 2021-07-10 1215 R0HQ 59 SRR JH1VOV 59 45
QSO: 7100 PH 2021-07-10 1215 R0HQ 59 SRR JA3JOT 59 45
QSO: 1812 CW 2021-07-10 1216 R0HQ 599 SRR JI1FXS 599 45
QSO: 7023 CW 2021-07-10 1216 R0HQ 599 SRR KM5G 599 7
QSO: 14060 CW 2021-07-10 1216 R0HQ 599 SRR JH0RNN 599 45
QSO: 14060 CW 2021-07-10 1216 R0HQ 599 SRR DL3JAN 599 28
QSO: 14060 CW 2021-07-10 1216 R0HQ 599 SRR RA9MX 599 30
QSO: 7100 PH 2021-07-10 1216 R0HQ 59 SRR JJ0USR 59 45
QSO: 7100 PH 2021-07-10 1216 R0HQ 59 SRR JR7WUI 59 45
QSO: 21050 CW 2021-07-10 1216 R0HQ 599 SRR JA4TUJ 599 45
QSO: 14235 PH 2021-07-10 1217 R0HQ 59 SRR JG2KNZ 59 45
QSO: 7023 CW 2021-07-10 1217 R0HQ 599 SRR K6WSC 599 6
QSO: 1812 CW 2021-07-10 1217 R0HQ 599 SRR UA0CA 599 34
QSO: 14060 CW 2021-07-10 1217 R0HQ 599 SRR JA6FOF 599 45
QSO: 14054 CW 2021-07-10 1217 R0HQ 599 SRR UN1HQ 599 KFRR
QSO: 14060 CW 2021-07-10 1217 R0HQ 599 SRR R8CT 599 30
QSO: 7100 PH 2021-07-10 1217 R0HQ 59 SRR JI1AUO 59 45
QSO: 7100 PH 2021-07-10 1217 R0HQ 59 SRR JH4SAQ 59 45
QSO: 1812 CW 2021-07-10 1218 R0HQ 599 SRR JA8EKM 599 45
QSO: 7023 CW 2021-07-10 1218 R0HQ 599 SRR KI7Y 599 6
QSO: 7023 CW 2021-07-10 1218 R0HQ 599 SRR KA7T 599 6
QSO: 14060 CW 2021-07-10 1218 R0HQ 599 SRR R0RG 599 32
QSO: 14060 CW 2021-07-10 1218 R0HQ 599 SRR RA4WE 599 30
QSO: 7100 PH 2021-07-10 1218 R0HQ 59 SRR JP3XAL 59 45
QSO: 3516 CW 2021-07-10 1219 R0HQ 599 SRR W1AW/KL7 599 ARRL
QSO: 7023 CW 2021-07-10 1219 R0HQ 599 SRR HL3AMO 599 44
QSO: 14060 CW 2021-07-10 1219 R0HQ 599 SRR JA1CJP 599 R3
QSO: 14060 CW 2021-07-10 1219 R0HQ 599 SRR UA0UV 599 33
QSO: 21050 CW 2021-07-10 1219 R0HQ 599 SRR RM9A 599 30
QSO: 7100 PH 2021-07-10 1219 R0HQ 59 SRR JR1JXQ 59 45
QSO: 7100 PH 2021-07-10 1219 R0HQ 59 SRR JR3WPX 59 45
QSO: 14235 PH 2021-07-10 1220 R0HQ 59 SRR JA8TGD 59 45
QSO: 7023 CW 2021-07-10 1220 R0HQ 599 SRR VR2CC 599 44
QSO: 14060 CW 2021-07-10 1220 R0HQ 599 SRR R9XAL 599 20
QSO: 14060 CW 2021-07-10 1220 R0HQ 599 SRR R3SM 599 29
QSO: 7100 PH 2021-07-10 1220 R0HQ 59 SRR JG7QUQ 59 45
QSO: 1812 CW 2021-07-10 1221 R0HQ 599 SRR JF1SQC 599 45
QSO: 14235 PH 2021-07-10 1221 R0HQ 59 SRR RX9CCJ 59 20
QSO: 14036 CW 2021-07-10 1221 R0HQ 599 SRR E2HQ 599 RAST
QSO: 14060 CW 2021-07-10 1221 R0HQ 599 SRR JH7OUW 599 45
QSO: 14060 CW 2021-07-10 1221 R0HQ 599 SRR RX9SN 599 30
QSO: 14060 CW 2021-07-10 1221 R0HQ 599 SRR UN7FW 599 31
QSO: 14060 CW 2021-07-10 1221 R0HQ 599 SRR JQ3ALW 599 45
QSO: 7100 PH 2021-07-10 1221 R0HQ 59 SRR JK2UYX 59 45
QSO: 7100 PH 2021-07-10 1221 R0HQ 59 SRR JA2MWV 59 45
QSO: 3523 CW 2021-07-10 1222 R0HQ 599 SRR W6TK 599 06
QSO: 14235 PH 2021-07-10 1222 R0HQ 59 SRR JA8IJI 59 45
QSO: 14060 CW 2021-07-10 1222 R0HQ 599 SRR JJ1XBQ 599 45
QSO: 14060 CW 2021-07-10 1222 R0HQ 599 SRR R4FBG 599 29
QSO: 14060 CW 2021-07-10 1222 R0HQ 599 SRR JH7RTQ 599 45
QSO: 7100 PH 2021-07-10 1222 R0HQ 59 SRR JA9QOY 59 45
QSO: 3523 CW 2021-07-10 1223 R0HQ 599 SRR N6MA 599 06
QSO: 7023 CW 2021-07-10 1223 R0HQ 599 SRR JQ1NGT 599 45
QSO: 7023 CW 2021-07-10 1223 R0HQ 599 SRR JH4UTP 599 45
QSO: 7023 CW 2021-07-10 1223 R0HQ 599 SRR BH4UTT 599 44
QSO: 1812 CW 2021-07-10 1223 R0HQ 599 SRR JE1SPY 599 45
QSO: 14060 CW 2021-07-10 1223 R0HQ 599 SRR JR1AQI 599 45
QSO: 14060 CW 2021-07-10 1223 R0HQ 599 SRR JS2GYN 599 45
QSO: 7100 PH 2021-07-10 1223 R0HQ 59 SRR JI4OHV 59 45
QSO: 3715 PH 2021-07-10 1224 R0HQ 59 SRR JG2CNZ 59 45
QSO: 7023 CW 2021-07-10 1224 R0HQ 599 SRR JE7MAY 599 45
QSO: 14235 PH 2021-07-10 1224 R0HQ 59 SRR BG0AVI 59 44
QSO: 14060 CW 2021-07-10 1224 R0HQ 599 SRR JR2RIA 599 45
QSO: 14060 CW 2021-07-10 1224 R0HQ 599 SRR UD8A 599 30
QSO: 7100 PH 2021-07-10 1224 R0HQ 59 SRR JA6FEG 59 45
QSO: 7100 PH 2021-07-10 1224 R0HQ 59 SRR JG3GIX 59 45
QSO: 7023 CW 2021-07-10 1225 R0HQ 599 SRR WH6R 599 61
QSO: 14014 CW 2021-07-10 1225 R0HQ 599 SRR 9M4CPS 599 54
QSO: 14060 CW 2021-07-10 1225 R0HQ 599 SRR UA3EDQ 599 29
QSO: 14060 CW 2021-07-10 1225 R0HQ 599 SRR YR0HQ 599 FRR
QSO: 7100 PH 2021-07-10 1225 R0HQ 59 SRR JJ7VXN 59 45
QSO: 3523 CW 2021-07-10 1226 R0HQ 599 SRR N6AA 599 06
QSO: 7023 CW 2021-07-10 1226 R0HQ 599 SRR JH7VHZ 599 45
QSO: 14235 PH 2021-07-10 1226 R0HQ 59 SRR UI5R 59 29
QSO: 14235 PH 2021-07-10 1226 R0HQ 59 SRR R1IO 59 20
QSO: 7023 CW 2021-07-10 1226 R0HQ 599 SRR N7RK 599 6
QSO: 14060 CW 2021-07-10 1226 R0HQ 599 SRR UA1F 599 19
QSO: 14029 CW 2021-07-10 1226 R0HQ 599 SRR BY1OK 599 44
QSO: 14060 CW 2021-07-10 1226 R0HQ 599 SRR DP7D 599 28
QSO: 14037 CW 2021-07-10 1226 R0HQ 599 SRR 9M2A 599 MARTS
QSO: 7100 PH 2021-07-10 1226 R0HQ 59 SRR JA6TWU 59 45
QSO: 7100 PH 2021-07-10 1226 R0HQ 59 SRR JH6MLX 59 45
QSO: 14235 PH 2021-07-10 1227 R0HQ 59 SRR RZ9CM 59 30
QSO: 7023 CW 2021-07-10 1227 R0HQ 599 SRR KI6IT 599 6
QSO: 14060 CW 2021-07-10 1227 R0HQ 599 SRR OL3A 599 28
QSO: 14060 CW 2021-07-10 1227 R0HQ 599 SRR JJ1VFE 599 45
QSO: 7100 PH 2021-07-10 1227 R0HQ 59 SRR JH4SDM 59 45
QSO: 7100 PH 2021-07-10 1227 R0HQ 59 SRR JJ1MBU 59 45
QSO: 3510 CW 2021-07-10 1228 R0HQ 599 SRR AK6W 599 06
QSO: 7023 CW 2021-07-10 1228 R0HQ 599 SRR N7UJJ 599 6
QSO: 7023 CW 2021-07-10 1228 R0HQ 599 SRR JH1GTU 599 45
QSO: 14060 CW 2021-07-10 1228 R0HQ 599 SRR HL2IDT 599 44
QSO: 14042 CW 2021-07-10 1228 R0HQ 599 SRR DX0HQ 599 PARA
QSO: 14060 CW 2021-07-10 1228 R0HQ 599 SRR JJ1BMD 599 45
QSO: 7100 PH 2021-07-10 1228 R0HQ 59 SRR JH3TGI 59 45
QSO: 7100 PH 2021-07-10 1228 R0HQ 59 SRR JJ1ATA 59 45
QSO: 7100 PH 2021-07-10 1228 R0HQ 59 SRR JJ1GID 59 45
QSO: 3523 CW 2021-07-10 1229 R0HQ 599 SRR JK2VOC 599 45
QSO: 14235 PH 2021-07-10 1229 R0HQ 59 SRR UF0B 59 32
QSO: 7023 CW 2021-07-10 1229 R0HQ 599 SRR JR3AAZ 599 45
QSO: 14235 PH 2021-07-10 1229 R0HQ 59 SRR UA4M 59 29
QSO: 7023 CW 2021-07-10 1229 R0HQ 599 SRR WA0WWW 599 6
QSO: 14060 CW 2021-07-10 1229 R0HQ 599 SRR JA2JWH 599 45
QSO: 14060 CW 2021-07-10 1229 R0HQ 599 SRR LY4A 599 29
QSO: 14060 CW 2021-07-10 1229 R0HQ 599 SRR OK1DOL 599 28
QSO: 14060 CW 2021-07-10 1229 R0HQ 599 SRR RW0AJ 599 32
QSO: 21050 CW 2021-07-10 1229 R0HQ 599 SRR OL1HQ 599 CRC
QSO: 3523 CW 2021-07-10 1230 R0HQ 599 SRR JA8RWU 599 45
QSO: 7023 CW 2021-07-10 1230 R0HQ 599 SRR JH6QIL 599 45
QSO: 14060 CW 2021-07-10 1230 R0HQ 599 SRR JK3HFN 599 45
QSO: 7100 PH 2021-07-10 1230 R0HQ 59 SRR JR9SLX 59 45
QSO: 21050 CW 2021-07-10 1230 R0HQ 599 SRR UN1HQ 599 KFRR
QSO: 7100 PH 2021-07-10 1230 R0HQ 59 SRR JJ3TTH 59 45
QSO: 3523 CW 2021-07-10 1231 R0HQ 599 SRR KH6CJJ 599 61
QSO: 3523 CW 2021-07-10 1231 R0HQ 599 SRR N6TV 599 06
QSO: 3523 CW 2021-07-10 1231 R0HQ 599 SRR N6RK 599 06
QSO: 1812 CW 2021-07-10 1231 R0HQ 599 SRR JL1MUT 599 45
QSO: 14235 PH 2021-07-10 1231 R0HQ 59 SRR RC7LK 59 29
QSO: 7023 CW 2021-07-10 1231 R0HQ 599 SRR AI6Z 599 6
QSO: 14060 CW 2021-07-10 1231 R0HQ 599 SRR BD2RJ 599 44
QSO: 14060 CW 2021-07-10 1231 R0HQ 599 SRR HA6PJ 599 28
QSO: 7100 PH 2021-07-10 1231 R0HQ 59 SRR JJ0UZO 59 45
QSO: 7100 PH 2021-07-10 1231 R0HQ 59 SRR DU1JM 59 50
QSO: 3715 PH 2021-07-10 1232 R0HQ 59 SRR JH7QXJ 59 45
QSO: 3523 CW 2021-07-10 1232 R0HQ 599 SRR W7YAQ 599 06
QSO: 3523 CW 2021-07-10 1232 R0HQ 599 SRR JA7ZFN 599 45
QSO: 14235 PH 2021-07-10 1232 R0HQ 59 SRR EM5HQ 59 UARL
QSO: 14235 PH 2021-07-10 1232 R0HQ 59 SRR RC5Z 59 29
QSO: 7023 CW 2021-07-10 1232 R0HQ 599 SRR JI1RXQ 599 45
QSO: 1812 CW 2021-07-10 1232 R0HQ 599 SRR JI1DCW 599 45
QSO: 14060 CW 2021-07-10 1232 R0HQ 599 SRR NA3M 599 08
QSO: 14010 CW 2021-07-10 1232 R0HQ 599 SRR 9V1ZV 599 54
QSO: 7100 PH 2021-07-10 1232 R0HQ 59 SRR JA8CLS 59 45
QSO: 7100 PH 2021-07-10 1232 R0HQ 59 SRR JE6QQN 59 45
QSO: 1812 CW 2021-07-10 1233 R0HQ 599 SRR JF3BFS 599 45
QSO: 14235 PH 2021-07-10 1233 R0HQ 59 SRR R8IZ 59 31
QSO: 7023 CW 2021-07-10 1233 R0HQ 599 SRR JK1AKA 599 45
QSO: 14235 PH 2021-07-10 1233 R0HQ 59 SRR UA1AOS 59 19
QSO: 14060 CW 2021-07-10 1233 R0HQ 599 SRR RZ3DY 599 29
QSO: 14060 CW 2021-07-10 1233 R0HQ 599 SRR R7KX 599 29
QSO: 7100 PH 2021-07-10 1233 R0HQ 59 SRR DU1R 59 50
QSO: 7023 CW 2021-07-10 1234 R0HQ 599 SRR AH6KM 599 61
QSO: 14060 CW 2021-07-10 1234 R0HQ 599 SRR JA5KJD/1 599 45
QSO: 14060 CW 2021-07-10 1234 R0HQ 599 SRR JI1PBK 599 45
QSO: 14060 CW 2021-07-10 1234 R0HQ 599 SRR JH6QIL 599 45
QSO: 7100 PH 2021-07-10 1234 R0HQ 59 SRR JA9DCF 59 45
QSO: 3507 CW 2021-07-10 1235 R0HQ 599 SRR DX0HQ 599 PARA
QSO: 7023 CW 2021-07-10 1235 R0HQ 599 SRR W6SX 599 6
QSO: 7023 CW 2021-07-10 1235 R0HQ 599 SRR JG4KEZ/1 599 45
QSO: 14235 PH 2021-07-10 1235 R0HQ 59 SRR ON8AH 59 27
QSO: 14060 CW 2021-07-10 1235 R0HQ 599 SRR JR0ECQ 599 45
QSO: 14060 CW 2021-07-10 1235 R0HQ 599 SRR US0HZ 599 29
QSO: 7100 PH 2021-07-10 1235 R0HQ 59 SRR JR4NUN 59 45
QSO: 21050 CW 2021-07-10 1235 R0HQ 599 SRR OM1HQ 599 SARA
QSO: 7100 PH 2021-07-10 1235 R0HQ 59 SRR JA1CCH 59 45
QSO: 14235 PH 2021-07-10 1236 R0HQ 59 SRR RW1CW 59 29
QSO: 7023 CW 2021-07-10 1236 R0HQ 599 SRR NN7A 599 7
QSO: 1812 CW 2021-07-10 1236 R0HQ 599 SRR JJ1JVC 599 45
QSO: 14235 PH 2021-07-10 1236 R0HQ 59 SRR RW3RN 59 29
QSO: 14235 PH 2021-07-10 1236 R0HQ 59 SRR SQ7OTK 59 28
QSO: 7023 CW 2021-07-10 1236 R0HQ 599 SRR VE7CC 599 2
QSO: 7023 CW 2021-07-10 1236 R0HQ 599 SRR UA0CA 599 34
QSO: 14060 CW 2021-07-10 1236 R0HQ 599 SRR UY2UZ 599 29
QSO: 14060 CW 2021-07-10 1236 R0HQ 599 SRR SP2HMT 599 28
QSO: 14060 CW 2021-07-10 1236 R0HQ 599 SRR UA4C 599 29
QSO: 7100 PH 2021-07-10 1236 R0HQ 59 SRR JA6PTH/6 59 45
QSO: 7100 PH 2021-07-10 1236 R0HQ 59 SRR JA7KED 59 45
QSO: 3523 CW 2021-07-10 1237 R0HQ 599 SRR BA4WR 599 44
QSO: 14235 PH 2021-07-10 1237 R0HQ 59 SRR BG9TFN 59 43
QSO: 7023 CW 2021-07-10 1237 R0HQ 599 SRR AA6XX 599 6
QSO: 7023 CW 2021-07-10 1237 R0HQ 599 SRR JH1EAQ 599 45
QSO: 1812 CW 2021-07-10 1237 R0HQ 599 SRR JA8RWU 599 45
QSO: 14060 CW 2021-07-10 1237 R0HQ 599 SRR SP2LNW 599 28
QSO: 14060 CW 2021-07-10 1237 R0HQ 599 SRR S50HQ 599 ZRS
QSO: 7100 PH 2021-07-10 1237 R0HQ 59 SRR JS6UGC 59 45
QSO: 7100 PH 2021-07-10 1237 R0HQ 59 SRR JK3UFY 59 45
QSO: 3523 CW 2021-07-10 1238 R0HQ 599 SRR BH4TQX 599 44
QSO: 7023 CW 2021-07-10 1238 R0HQ 599 SRR JA2KKA 599 45
QSO: 7023 CW 2021-07-10 1238 R0HQ 599 SRR JF2MBF 599 45
QSO: 14235 PH 2021-07-10 1238 R0HQ 59 SRR RA4WE 59 30
QSO: 14060 CW 2021-07-10 1238 R0HQ 599 SRR JH1WOY 599 45
QSO: 14060 CW 2021-07-10 1238 R0HQ 599 SRR YL7A 599 29
QSO: 7100 PH 2021-07-10 1238 R0HQ 59 SRR BU2EV 59 44
QSO: 3715 PH 2021-07-10 1240 R0HQ 59 SRR JA9BCV 59 45
QSO: 1812 CW 2021-07-10 1239 R0HQ 599 SRR RA0LE 599 34
QSO: 14235 PH 2021-07-10 1239 R0HQ 59 SRR UT6EE 59 29
