START-OF-LOG: 3.0
CONTEST: CQ-WPX-CW
CALLSIGN: OE1XTU
LOCATION: DX
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR: JN88EE
CLAIMED-SCORE: 62037
NAME: Radio Amateur Club of the TU Wien
OPERATORS: OE1TKW OE1OMA OE1VMC OE1BQH
CREATED-BY: N1MM Logger+ 1.0.8418.0
SOAPBOX: RIG YAESU FTDX-5000
SOAPBOX: ANT Inverted-V for 40m
SOAPBOX: ANT SteppIR DB-36 Yagi at 40m AGL and 213m ASL
QSO: 28011 CW 2020-05-31 1118 OE1XTU        599 0080   EC3A          599 1406   0
QSO: 28016 CW 2020-05-31 1119 OE1XTU        599 0081   EF1A          599 1018   0
QSO: 28018 CW 2020-05-31 1123 OE1XTU        599 0082   II9P          599 2902   0
QSO: 28026 CW 2020-05-31 1124 OE1XTU        599 0083   G5W           599 2927   0
QSO: 28037 CW 2020-05-31 1126 OE1XTU        599 0084   ED5N          599 0959   0
QSO: 28038 CW 2020-05-31 1127 OE1XTU        599 0085   EB5A          599 3222   0
QSO: 28042 CW 2020-05-31 1127 OE1XTU        599 0086   SA5BJM        599 0050   0
QSO: 28043 CW 2020-05-31 1128 OE1XTU        599 0087   SV9DJO        599 0799   0
QSO: 28051 CW 2020-05-31 1128 OE1XTU        599 0088   DL2OM         599 0140   0
QSO: 28052 CW 2020-05-31 1129 OE1XTU        599 0089   ED4T          599 1064   0
QSO: 28053 CW 2020-05-31 1130 OE1XTU        599 0090   SX2I          599 1031   0
QSO: 28047 CW 2020-05-31 1131 OE1XTU        599 0091   UF5D          599 2803   0
QSO: 28036 CW 2020-05-31 1133 OE1XTU        599 0092   F5NZY         599 0496   0
QSO: 28035 CW 2020-05-31 1134 OE1XTU        599 0093   MM3T          599 0917   0
QSO: 28033 CW 2020-05-31 1135 OE1XTU        599 0094   G4DRS         599 0555   0
QSO: 28026 CW 2020-05-31 1136 OE1XTU        599 0095   M5D           599 0877   0
QSO: 28019 CW 2020-05-31 1137 OE1XTU        599 0096   PA3AAV        599 2433   0
QSO: 28009 CW 2020-05-31 1138 OE1XTU        599 0097   M5W           599 0293   0
QSO: 28014 CW 2020-05-31 1139 OE1XTU        599 0098   RK3ER         599 0883   0
QSO: 28029 CW 2020-05-31 1141 OE1XTU        599 0099   F6HJO         599 0708   0
QSO: 28040 CW 2020-05-31 1143 OE1XTU        599 0100   MM2N          599 0632   0
QSO: 28034 CW 2020-05-31 1144 OE1XTU        599 0101   DJ0SP         599 1690   0
QSO: 28030 CW 2020-05-31 1146 OE1XTU        599 0102   DK5QN         599 0973   0
QSO: 28040 CW 2020-05-31 1147 OE1XTU        599 0103   2E0CVN        599 0764   0
QSO: 28040 CW 2020-05-31 1148 OE1XTU        599 0104   DK2OY         599 1800   0
QSO: 28048 CW 2020-05-31 1149 OE1XTU        599 0105   DQ4Q          599 2090   0
QSO: 28025 CW 2020-05-31 1153 OE1XTU        599 0106   ON5JT         599 1315   0
QSO: 28024 CW 2020-05-31 1154 OE1XTU        599 0107   EI0W          599 1782   0
QSO: 28023 CW 2020-05-31 1155 OE1XTU        599 0108   YO5OHO        599 0756   0
QSO: 28013 CW 2020-05-31 1157 OE1XTU        599 0109   OQ5M          599 2279   0
QSO: 28004 CW 2020-05-31 1158 OE1XTU        599 0110   DL6ZBN        599 1136   0
QSO: 28015 CW 2020-05-31 1200 OE1XTU        599 0111   GW4OKT        599 0383   0
QSO: 28015 CW 2020-05-31 1201 OE1XTU        599 0112   F2YT          599 0221   0
QSO: 28018 CW 2020-05-31 1202 OE1XTU        599 0113   M2L           599 1240   0
QSO: 28020 CW 2020-05-31 1203 OE1XTU        599 0114   GX7C          599 0238   0
QSO: 28022 CW 2020-05-31 1204 OE1XTU        599 0115   DR7T          599 1142   0
QSO: 28027 CW 2020-05-31 1205 OE1XTU        599 0116   LZ9W          599 1178   0
QSO: 28028 CW 2020-05-31 1206 OE1XTU        599 0117   9A7A          599 4116   0
QSO: 28034 CW 2020-05-31 1207 OE1XTU        599 0118   HB9ARF        599 1039   0
QSO: 28038 CW 2020-05-31 1208 OE1XTU        599 0119   LZ9A          599 1101   0
QSO: 28047 CW 2020-05-31 1210 OE1XTU        599 0120   OO9O          599 0894   0
QSO: 28039 CW 2020-05-31 1213 OE1XTU        599 0121   OL3Z          599 3270   0
QSO: 28042 CW 2020-05-31 1215 OE1XTU        599 0122   EA3M          599 0153   0
QSO: 28037 CW 2020-05-31 1216 OE1XTU        599 0123   G4BVY         599 0278   0
QSO: 28035 CW 2020-05-31 1217 OE1XTU        599 0124   SD1A          599 0557   0
QSO: 28033 CW 2020-05-31 1218 OE1XTU        599 0125   YU7EE         599 1142   0
QSO: 28031 CW 2020-05-31 1219 OE1XTU        599 0126   OP6A          599 0780   0
QSO: 28030 CW 2020-05-31 1224 OE1XTU        599 0127   4Z5LY         599 1235   0
QSO: 28019 CW 2020-05-31 1226 OE1XTU        599 0128   MC2I          599 0666   0
QSO: 28012 CW 2020-05-31 1228 OE1XTU        599 0129   LZ0M          599 1347   0
QSO: 28008 CW 2020-05-31 1230 OE1XTU        599 0130   F6IRA         599 0197   0
QSO: 28006 CW 2020-05-31 1231 OE1XTU        599 0131   DH8BQA        599 1249   0
QSO: 28007 CW 2020-05-31 1232 OE1XTU        599 0132   M6O           599 1293   0
QSO: 28008 CW 2020-05-31 1233 OE1XTU        599 0133   TM73E         599 1259   0
QSO: 28014 CW 2020-05-31 1234 OE1XTU        599 0134   TM2Y          599 3204   0
QSO: 28016 CW 2020-05-31 1235 OE1XTU        599 0135   C4W           599 1910   0
QSO: 28028 CW 2020-05-31 1240 OE1XTU        599 0136   ON6FC         599 0509   0
QSO: 21010 CW 2020-05-31 1243 OE1XTU        599 0137   P33W          599 3855   0
QSO: 21015 CW 2020-05-31 1244 OE1XTU        599 0138   LZ1MS         599 1081   0
QSO: 21016 CW 2020-05-31 1245 OE1XTU        599 0139   4X2M          599 0955   0
QSO: 21019 CW 2020-05-31 1303 OE1XTU        599 0140   PB8DX         599 0961   0
QSO: 21013 CW 2020-05-31 1304 OE1XTU        599 0141   M1GEO         599 0656   0
QSO: 21018 CW 2020-05-31 1305 OE1XTU        599 0142   KW8N          599 0696   0
QSO: 21023 CW 2020-05-31 1307 OE1XTU        599 0143   G5W           599 3083   0
QSO: 21026 CW 2020-05-31 1309 OE1XTU        599 0144   HA8A          599 2281   0
QSO: 21028 CW 2020-05-31 1310 OE1XTU        599 0145   LZ5R          599 4290   0
QSO: 21029 CW 2020-05-31 1311 OE1XTU        599 0146   HG7T          599 0861   0
QSO: 21031 CW 2020-05-31 1312 OE1XTU        599 0147   LA8HGA        599 1306   0
QSO: 21032 CW 2020-05-31 1312 OE1XTU        599 0148   NM1JY         599 0912   0
QSO: 21032 CW 2020-05-31 1313 OE1XTU        599 0149   WK2G          599 1437   0
QSO: 21033 CW 2020-05-31 1313 OE1XTU        599 0150   NG1R          599 0906   0
QSO: 21034 CW 2020-05-31 1315 OE1XTU        599 0151   EB5A          599 3414   0
QSO: 21035 CW 2020-05-31 1316 OE1XTU        599 0152   CR6K          599 3464   0
QSO: 21038 CW 2020-05-31 1317 OE1XTU        599 0153   DL6FBL        599 3228   0
QSO: 21039 CW 2020-05-31 1318 OE1XTU        599 0154   PA3AAV        599 2580   0
QSO: 21040 CW 2020-05-31 1318 OE1XTU        599 0155   9A5W          599 1754   0
QSO: 21044 CW 2020-05-31 1320 OE1XTU        599 0156   EC5K          599 1280   0
QSO: 21044 CW 2020-05-31 1320 OE1XTU        599 0157   AA3B          599 3232   0
QSO: 21047 CW 2020-05-31 1322 OE1XTU        599 0158   9A4W          599 1483   0
QSO: 21047 CW 2020-05-31 1323 OE1XTU        599 0159   MX7DX         599 2538   0
QSO: 21048 CW 2020-05-31 1323 OE1XTU        599 0160   K3WW          599 1750   0
QSO: 21050 CW 2020-05-31 1324 OE1XTU        599 0161   DL5AXX        599 2667   0
QSO: 21060 CW 2020-05-31 1327 OE1XTU        599 0162   S58MU         599 1949   0
QSO: 21066 CW 2020-05-31 1328 OE1XTU        599 0163   PC3T          599 1569   0
QSO: 21012 CW 2020-05-31 1329 OE1XTU        599 0164   LZ9W          599 1700   0
QSO: 21010 CW 2020-05-31 1330 OE1XTU        599 0165   OP5T          599 0934   0
QSO: 21009 CW 2020-05-31 1331 OE1XTU        599 0166   VE9CB         599 1811   0
QSO: 21002 CW 2020-05-31 1333 OE1XTU        599 0167   WW1X          599 1099   0
QSO: 21001 CW 2020-05-31 1333 OE1XTU        599 0168   KM1W          599 1818   0
QSO: 21004 CW 2020-05-31 1334 OE1XTU        599 0169   F5PAL         599 1241   0
QSO: 21006 CW 2020-05-31 1335 OE1XTU        599 0170   AK1W          599 3287   0
QSO: 21006 CW 2020-05-31 1336 OE1XTU        599 0171   KQ2M          599 1756   0
QSO: 21006 CW 2020-05-31 1337 OE1XTU        599 0172   KC1XX         599 3621   0
QSO: 21007 CW 2020-05-31 1338 OE1XTU        599 0173   CF2T          599 2690   0
QSO: 21009 CW 2020-05-31 1339 OE1XTU        599 0174   YL2SM         599 2521   0
QSO: 21012 CW 2020-05-31 1340 OE1XTU        599 0175   OM3BH         599 2696   0
QSO: 21018 CW 2020-05-31 1342 OE1XTU        599 0176   F5OHM         599 0761   0
QSO: 21025 CW 2020-05-31 1345 OE1XTU        599 0177   LZ5KW         599 1703   0
QSO: 21028 CW 2020-05-31 1347 OE1XTU        599 0178   WR1ST         599 0387   0
QSO: 21022 CW 2020-05-31 1348 OE1XTU        599 0179   M2E           599 0307   0
QSO: 21030 CW 2020-05-31 1349 OE1XTU        599 0180   ON6NL         599 1760   0
QSO: 21033 CW 2020-05-31 1351 OE1XTU        599 0181   LX20I         599 0997   0
QSO: 21035 CW 2020-05-31 1352 OE1XTU        599 0182   DL0DX         599 1730   0
QSO: 21037 CW 2020-05-31 1353 OE1XTU        599 0183   MU2K          599 2500   0
QSO: 21043 CW 2020-05-31 1355 OE1XTU        599 0184   DK7A          599 1326   0
QSO: 21044 CW 2020-05-31 1356 OE1XTU        599 0185   IQ8SN         599 2618   0
QSO: 21044 CW 2020-05-31 1357 OE1XTU        599 0186   HA0HV         599 1228   0
QSO: 21046 CW 2020-05-31 1358 OE1XTU        599 0187   P3AA          599 1639   0
QSO: 21045 CW 2020-05-31 1551 OE1XTU        599 0188   R5WW          599 1166   0
QSO: 21047 CW 2020-05-31 1555 OE1XTU        599 0189   UT7QF         599 0064   0
QSO: 21048 CW 2020-05-31 1557 OE1XTU        599 0190   TM2Y          599 3525   0
QSO: 21049 CW 2020-05-31 1559 OE1XTU        599 0191   HG8Z          599 1261   0
QSO: 21051 CW 2020-05-31 1603 OE1XTU        599 0192   DL9SEV        599 0176   0
QSO: 21007 CW 2020-05-31 1604 OE1XTU        599 0193   RT8U          599 2717   0
QSO: 21010 CW 2020-05-31 1608 OE1XTU        599 0194   RL3A          599 2759   0
QSO: 21014 CW 2020-05-31 1611 OE1XTU        599 0195   HG1S          599 1476   0
QSO: 21014 CW 2020-05-31 1612 OE1XTU        599 0196   SP4Z          599 0920   0
QSO: 21021 CW 2020-05-31 1619 OE1XTU        599 0197   9A0AA         599 3146   0
QSO: 21021 CW 2020-05-31 1621 OE1XTU        599 0198   HB9DQL        599 2006   0
QSO: 21026 CW 2020-05-31 1625 OE1XTU        599 0199   OE3K          599 2920   0
QSO: 14009 CW 2020-05-31 1630 OE1XTU        599 0200   HB9ARF        599 1224   0
QSO: 14010 CW 2020-05-31 1632 OE1XTU        599 0201   HA8M          599 1965   0
QSO: 14011 CW 2020-05-31 1634 OE1XTU        599 0202   UT5NR         599 0953   0
QSO: 14012 CW 2020-05-31 1635 OE1XTU        599 0203   DK9VZ         599 0720   0
QSO: 14012 CW 2020-05-31 1637 OE1XTU        599 0204   HB9ON         599 2088   0
QSO: 14015 CW 2020-05-31 1645 OE1XTU        599 0205   4X6FR         599 2883   0
QSO: 14015 CW 2020-05-31 1647 OE1XTU        599 0206   IR2Q          599 3360   0
QSO: 14015 CW 2020-05-31 1650 OE1XTU        599 0207   IZ3NYG        599 1501   0
QSO: 14019 CW 2020-05-31 1655 OE1XTU        599 0208   LA8HGA        599 1429   0
QSO: 14019 CW 2020-05-31 1656 OE1XTU        599 0209   SO4M          599 2191   0
QSO: 14021 CW 2020-05-31 1700 OE1XTU        599 0210   HG0Y          599 2009   0
QSO: 14025 CW 2020-05-31 1703 OE1XTU        599 0211   HG8R          599 2211   0
QSO: 14026 CW 2020-05-31 1707 OE1XTU        599 0212   E2A           599 1396   0
QSO: 14026 CW 2020-05-31 1708 OE1XTU        599 0213   UA5C          599 3225   0
QSO: 14028 CW 2020-05-31 1715 OE1XTU        599 0214   II2S          599 3157   0
QSO: 14030 CW 2020-05-31 1718 OE1XTU        599 0215   R2ZA          599 0191   0
QSO: 14030 CW 2020-05-31 1720 OE1XTU        599 0216   ES7GM         599 2985   0
QSO: 14031 CW 2020-05-31 1724 OE1XTU        599 0217   9A5D          599 3451   0
QSO: 14032 CW 2020-05-31 1728 OE1XTU        599 0218   WR3O          599 2962   0
QSO: 14033 CW 2020-05-31 1729 OE1XTU        599 0219   K9CT          599 2828   0
QSO: 14033 CW 2020-05-31 1731 OE1XTU        599 0220   9A9A          599 2948   0
QSO: 14034 CW 2020-05-31 1735 OE1XTU        599 0221   YT3X          599 2494   0
QSO: 14034 CW 2020-05-31 1737 OE1XTU        599 0222   LZ5R          599 4845   0
QSO: 14036 CW 2020-05-31 1740 OE1XTU        599 0223   NB1N          599 1255   0
QSO: 14037 CW 2020-05-31 1742 OE1XTU        599 0224   K9NW          599 2273   0
QSO: 14039 CW 2020-05-31 1748 OE1XTU        599 0225   PA4O          599 2387   0
QSO: 14039 CW 2020-05-31 1750 OE1XTU        599 0226   K3EL          599 1611   0
QSO: 14039 CW 2020-05-31 1754 OE1XTU        599 0227   DK5KK         599 2098   0
QSO: 14041 CW 2020-05-31 1803 OE1XTU        599 0228   LN8W          599 1668   0
QSO: 14041 CW 2020-05-31 1806 OE1XTU        599 0229   EA1WH         599 1096   0
QSO: 14045 CW 2020-05-31 1811 OE1XTU        599 0230   PA8AD         599 0864   0
END-OF-LOG:
