START-OF-LOG: 3.0
CONTEST: ARRL-DX-CW
LOCATION: CT
CALLSIGN: K1LHO
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-POWER: LOW
CREATED-BY: N3FJP'S ARRL INTERNATIONAL DX CONTEST LOG 5.1.1
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-TIME: 12-HOURS
CLUB: Meriden ARC
OPERATORS: K1LHO
HQ-CATEGORY: Single Operator Unlimited, Low Power
HQ-GRID-LOCATOR: FN31om
QSO: 7000 CW 2022-02-19 0016 K1LHO 599 CT 9A1A 599 1000
QSO: 7000 CW 2022-02-19 0020 K1LHO 599 CT DZ9W 599 1000
QSO: 7000 CW 2022-02-19 0027 K1LHO 599 CT VE3JM 599 1000
QSO: 7000 CW 2022-02-19 0028 K1LHO 599 CT VE3EJ 599 1000
QSO: 7000 CW 2022-02-19 0031 K1LHO 599 CT CR3DX 599 1000
QSO: 7000 CW 2022-02-19 0038 K1LHO 599 CT II2S 599 1000
QSO: 7000 CW 2022-02-19 0040 K1LHO 599 CT IR2K 599 1000
QSO: 7000 CW 2022-02-19 0045 K1LHO 599 CT 9A7V 599 1000
QSO: 7000 CW 2022-02-19 0047 K1LHO 599 CT LZ9W 599 1000
QSO: 7000 CW 2022-02-19 0052 K1LHO 599 CT IO5O 599 1000
QSO: 7000 CW 2022-02-19 0058 K1LHO 599 CT S53K 599 1000
QSO: 7000 CW 2022-02-19 0101 K1LHO 599 CT CR3W 599 1000
QSO: 7000 CW 2022-02-19 0102 K1LHO 599 CT HD8R 599 1000
QSO: 7000 CW 2022-02-19 0104 K1LHO 599 CT E7CW 599 1000
QSO: 7000 CW 2022-02-19 0231 K1LHO 599 CT KP2M 599 1000
QSO: 7000 CW 2022-02-19 0240 K1LHO 599 CT HG8R 599 1000
QSO: 7000 CW 2022-02-19 0246 K1LHO 599 CT EF7NUC 599 1000
QSO: 21000 CW 2022-02-19 1556 K1LHO 599 CT OE2S 599 1000
QSO: 14078 CW 2022-02-19 1949 K1LHO 599 CT UA2FZ 599 1000 0
QSO: 14031 CW 2022-02-19 1951 K1LHO 599 CT LN8W 599 1000 0
QSO: 14050 CW 2022-02-19 1958 K1LHO 599 CT F6ARC 599 1000 0
QSO: 14039 CW 2022-02-19 2001 K1LHO 599 CT SD6M 599 500 0
QSO: 14040 CW 2022-02-19 2003 K1LHO 599 CT ED1R 599 1000 0
QSO: 14043 CW 2022-02-19 2003 K1LHO 599 CT OX7AM 599 1000 0
QSO: 14044 CW 2022-02-19 2004 K1LHO 599 CT EA6FO 599 1000 0
QSO: 28002 CW 2022-02-19 2009 K1LHO 599 CT P44W 599 100 0
QSO: 28020 CW 2022-02-19 2013 K1LHO 599 CT ZF5T 599 200 0
QSO: 28030 CW 2022-02-19 2021 K1LHO 599 CT OA4SS 599 1000 0
QSO: 28033 CW 2022-02-19 2021 K1LHO 599 CT ZF1A 599 500 0
QSO: 28045 CW 2022-02-19 2029 K1LHO 599 CT PY5AMF 599 1000 0
QSO: 28018 CW 2022-02-19 2033 K1LHO 599 CT CE3CT 599 1000 0
QSO: 28019 CW 2022-02-19 2036 K1LHO 599 CT PP5RT 599 1000 0
QSO: 28034 CW 2022-02-19 2040 K1LHO 599 CT PJ2T 599 1000 0
QSO: 28036 CW 2022-02-19 2042 K1LHO 599 CT LW8DQ 599 1000 0
QSO: 28037 CW 2022-02-19 2045 K1LHO 599 CT CE2ML 599 1000 0
QSO: 21025 CW 2022-02-19 2049 K1LHO 599 CT KP2B 599 1000 0
QSO: 21033 CW 2022-02-19 2056 K1LHO 599 CT TO1A 599 100 0
QSO: 21033 CW 2022-02-19 2057 K1LHO 599 CT CX2BR 599 1000 0
QSO: 21036 CW 2022-02-19 2059 K1LHO 599 CT KH6LC 599 1000 0
QSO: 7025 CW 2022-02-19 2216 K1LHO 599 CT YT3D 599 1000 0
QSO: 7025 CW 2022-02-19 2217 K1LHO 599 CT NP2J 599 1000 0
QSO: 7037 CW 2022-02-19 2221 K1LHO 599 CT OM7RU 599 1000 0
QSO: 7040 CW 2022-02-19 2224 K1LHO 599 CT TM2Y 599 1000 0
QSO: 7041 CW 2022-02-19 2226 K1LHO 599 CT EF7N 599 1000 0
QSO: 7045 CW 2022-02-19 2227 K1LHO 599 CT EA6FO 599 1000 0
QSO: 7028 CW 2022-02-19 2234 K1LHO 599 CT IR2Q 599 500 0
QSO: 7038 CW 2022-02-19 2236 K1LHO 599 CT IR1N 599 1000 0
QSO: 7044 CW 2022-02-19 2240 K1LHO 599 CT YU7WW 599 1000 0
QSO: 7027 CW 2022-02-19 2250 K1LHO 599 CT IR2R 599 500 0
QSO: 7028 CW 2022-02-19 2251 K1LHO 599 CT EA1DAV 599 1000 0
QSO: 7029 CW 2022-02-19 2251 K1LHO 599 CT V3X 599 1000 0
QSO: 7036 CW 2022-02-19 2254 K1LHO 599 CT IK3UNA 599 1000 0
QSO: 7036 CW 2022-02-19 2255 K1LHO 599 CT G6XX 599 400 0
QSO: 7052 CW 2022-02-19 2300 K1LHO 599 CT RK4FD 599 1000 0
QSO: 7031 CW 2022-02-20 0020 K1LHO 599 CT DD2D 599 1000 0
QSO: 7034 CW 2022-02-20 0021 K1LHO 599 CT ED7W 599 1000 0
QSO: 7036 CW 2022-02-20 0022 K1LHO 599 CT F6ARC 599 1000 0
QSO: 7047 CW 2022-02-20 0026 K1LHO 599 CT EA4KD 599 1000 0
QSO: 7054 CW 2022-02-20 0027 K1LHO 599 CT ED4T 599 1000 0
QSO: 14045 CW 2022-02-20 0041 K1LHO 599 CT NP4DX 599 1000 0
QSO: 14060 CW 2022-02-20 0043 K1LHO 599 CT PY2FRQ 599 1000 0
QSO: 14000 CW 2022-02-20 0044 K1LHO 599 CT LT6M 599 1000 0
QSO: 14031 CW 2022-02-20 0046 K1LHO 599 CT ZF1A 599 500 0
QSO: 3538 CW 2022-02-20 0051 K1LHO 599 CT EA6FO 599 1000 0
QSO: 3528 CW 2022-02-20 0104 K1LHO 599 CT CR6K 599 1000 0
QSO: 7028 CW 2022-02-20 0114 K1LHO 599 CT ED1R 599 1000 0
QSO: 7031 CW 2022-02-20 0116 K1LHO 599 CT CR6K 599 1000 0
QSO: 7031 CW 2022-02-20 0117 K1LHO 599 CT IO4T 599 1000 0
QSO: 7033 CW 2022-02-20 0118 K1LHO 599 CT ZF1A 599 500 0
QSO: 7034 CW 2022-02-20 0119 K1LHO 599 CT ED6W 599 1000 0
QSO: 7031 CW 2022-02-20 0326 K1LHO 599 CT CO6RD 599 100 0
QSO: 7038 CW 2022-02-20 0328 K1LHO 599 CT HG3R 599 1000 0
QSO: 7047 CW 2022-02-20 0330 K1LHO 599 CT HK3RD 599 1000 0
QSO: 3526 CW 2022-02-20 0332 K1LHO 599 CT TM6M 599 1000 0
QSO: 3528 CW 2022-02-20 0334 K1LHO 599 CT XE2X 599 1000 0
QSO: 14028 CW 2022-02-20 1224 K1LHO 599 CT UY5ZZ 599 1000 0
QSO: 14037 CW 2022-02-20 1225 K1LHO 599 CT EM5K 599 1000 0
QSO: 14040 CW 2022-02-20 1225 K1LHO 599 CT TO4A 599 1000 0
QSO: 14044 CW 2022-02-20 1226 K1LHO 599 CT EU4E 599 1000 0
QSO: 14045 CW 2022-02-20 1227 K1LHO 599 CT M7K 599 400 0
QSO: 14048 CW 2022-02-20 1228 K1LHO 599 CT PJ2T 599 1000 0
QSO: 14048 CW 2022-02-20 1228 K1LHO 599 CT RW1A 599 1000 0
QSO: 14069 CW 2022-02-20 1229 K1LHO 599 CT LC7A 599 500 0
QSO: 14080 CW 2022-02-20 1231 K1LHO 599 CT YO9HP 599 1000 0
QSO: 7033 CW 2022-02-20 1236 K1LHO 599 CT HB9BAB/P 599 1000 0
QSO: 7058 CW 2022-02-20 1239 K1LHO 599 CT HR9/AD8J 599 1000 0
QSO: 7023 CW 2022-02-20 1241 K1LHO 599 CT KL7SB 599 1000 0
QSO: 7047 CW 2022-02-20 1245 K1LHO 599 CT NP4Z 599 1000 0
QSO: 21026 CW 2022-02-20 1251 K1LHO 599 CT MI5I 599 100 0
QSO: 21027 CW 2022-02-20 1252 K1LHO 599 CT M4T 599 400 0
QSO: 21028 CW 2022-02-20 1252 K1LHO 599 CT EA8FO 599 1000 0
QSO: 21031 CW 2022-02-20 1255 K1LHO 599 CT UX7IW 599 1000 0
QSO: 21066 CW 2022-02-20 1301 K1LHO 599 CT OH2BAH 599 1000 0
QSO: 14024 CW 2022-02-20 1306 K1LHO 599 CT OH8L 599 1000 0
QSO: 14026 CW 2022-02-20 1307 K1LHO 599 CT YL2SM 599 1000 0
QSO: 14013 CW 2022-02-20 1315 K1LHO 599 CT UT7CR 599 1000 0
QSO: 14027 CW 2022-02-20 1317 K1LHO 599 CT 9A1A 599 1000 0
QSO: 14043 CW 2022-02-20 1319 K1LHO 599 CT OH0Z 599 1000 0
QSO: 14022 CW 2022-02-20 1327 K1LHO 599 CT IK1JJM 599 1000 0
QSO: 14027 CW 2022-02-20 1328 K1LHO 599 CT HG8R 599 1000 0
QSO: 14030 CW 2022-02-20 1329 K1LHO 599 CT 9A5D 599 1000 0
QSO: 14046 CW 2022-02-20 1334 K1LHO 599 CT SP1NY 599 1000 0
QSO: 14047 CW 2022-02-20 1335 K1LHO 599 CT 9A4W 599 1000 0
QSO: 14048 CW 2022-02-20 1336 K1LHO 599 CT LZ5R 599 1000 0
QSO: 14055 CW 2022-02-20 1341 K1LHO 599 CT P3X 599 1000 0
QSO: 14062 CW 2022-02-20 1343 K1LHO 599 CT LY2XW 599 1000 0
QSO: 21018 CW 2022-02-20 1459 K1LHO 599 CT 9A9R 599 1000 0
QSO: 21030 CW 2022-02-20 1513 K1LHO 599 CT IQ8SN 599 1000 0
QSO: 21024 CW 2022-02-20 1518 K1LHO 599 CT OK2D 599 1000 0
QSO: 21031 CW 2022-02-20 1522 K1LHO 599 CT EF7N 599 1000 0
QSO: 21035 CW 2022-02-20 1524 K1LHO 599 CT S50R 599 1000 0
QSO: 21035 CW 2022-02-20 1524 K1LHO 599 CT 9A4W 599 1000 0
QSO: 21035 CW 2022-02-20 1526 K1LHO 599 CT IR2Q 599 500 0
QSO: 14053 CW 2022-02-20 1534 K1LHO 599 CT HB7X 599 1000 0
QSO: 14055 CW 2022-02-20 1535 K1LHO 599 CT RL4A 599 1000 0
QSO: 21025 CW 2022-02-20 1541 K1LHO 599 CT LZ9W 599 1000 0
QSO: 21034 CW 2022-02-20 1549 K1LHO 599 CT IK3UNA 599 1000 0
QSO: 21042 CW 2022-02-20 1553 K1LHO 599 CT PJ2T 599 1000 0
QSO: 21046 CW 2022-02-20 1556 K1LHO 599 CT TM2Y 599 1000 0
QSO: 21051 CW 2022-02-20 1558 K1LHO 599 CT DJ5MW 599 1000 0
QSO: 21053 CW 2022-02-20 1559 K1LHO 599 CT MD2C 599 1000 0
QSO: 21065 CW 2022-02-20 1622 K1LHO 599 CT S53A 599 1000 0
QSO: 21078 CW 2022-02-20 1623 K1LHO 599 CT DH8BQA 599 1000 0
QSO: 21040 CW 2022-02-20 1628 K1LHO 599 CT SN2B 599 1000 0
QSO: 21069 CW 2022-02-20 1633 K1LHO 599 CT OK5Z 599 1000 0
QSO: 21005 CW 2022-02-20 1635 K1LHO 599 CT S53F 599 1000 0
QSO: 21013 CW 2022-02-20 1638 K1LHO 599 CT SH7AL 599 1000 0
QSO: 21015 CW 2022-02-20 1639 K1LHO 599 CT 9A3TR 599 1000 0
QSO: 28007 CW 2022-02-20 1645 K1LHO 599 CT PY2PT 599 1000 0
QSO: 14004 CW 2022-02-20 1750 K1LHO 599 CT OE2S 599 1000 0
QSO: 21026 CW 2022-02-20 1758 K1LHO 599 CT TM6M 599 1000 0
QSO: 14028 CW 2022-02-20 1816 K1LHO 599 CT 9A5X 599 1000 0
QSO: 14029 CW 2022-02-20 1820 K1LHO 599 CT EA6NB 599 500 0
QSO: 14029 CW 2022-02-20 1820 K1LHO 599 CT SP8R 599 1000 0
QSO: 14030 CW 2022-02-20 1821 K1LHO 599 CT DL3DXX 599 1000 0
QSO: 14031 CW 2022-02-20 1823 K1LHO 599 CT GM4Z 599 400 0
QSO: 14032 CW 2022-02-20 1824 K1LHO 599 CT YT3X 599 1000 0
QSO: 14033 CW 2022-02-20 1824 K1LHO 599 CT SQ2A 599 1000 0
QSO: 14034 CW 2022-02-20 1826 K1LHO 599 CT SH0K 599 1000 0
QSO: 14034 CW 2022-02-20 1827 K1LHO 599 CT S5OK 599 1000 0
QSO: 14035 CW 2022-02-20 1828 K1LHO 599 CT IR2Q 599 500 0
QSO: 14036 CW 2022-02-20 1830 K1LHO 599 CT OM4MW 599 1000 0
QSO: 14037 CW 2022-02-20 1831 K1LHO 599 CT HG3R 599 1000 0
QSO: 14038 CW 2022-02-20 1831 K1LHO 599 CT 9A8M 599 1000 0
QSO: 14041 CW 2022-02-20 1833 K1LHO 599 CT LZ9W 599 1000 0
QSO: 14042 CW 2022-02-20 1837 K1LHO 599 CT OT1T 599 1000 0
QSO: 14043 CW 2022-02-20 1838 K1LHO 599 CT S53A 599 1000 0
QSO: 14044 CW 2022-02-20 1838 K1LHO 599 CT HG6Y 599 1000 0
QSO: 14048 CW 2022-02-20 1840 K1LHO 599 CT HA1DAI 599 1000 0
QSO: 14051 CW 2022-02-20 1845 K1LHO 599 CT OH1F 599 1000 0
QSO: 14052 CW 2022-02-20 1845 K1LHO 599 CT CR6K 599 1000 0
QSO: 14026 CW 2022-02-20 1848 K1LHO 599 CT S53K 599 1000 0
QSO: 14034 CW 2022-02-20 2049 K1LHO 599 CT MI5I 599 100 0
QSO: 14041 CW 2022-02-20 2053 K1LHO 599 CT 5Z4VJ 599 500 0
QSO: 14046 CW 2022-02-20 2055 K1LHO 599 CT EA1G 599 500 0
QSO: 14050 CW 2022-02-20 2058 K1LHO 599 CT PT7WM 599 1000 0
QSO: 14052 CW 2022-02-20 2058 K1LHO 599 CT EF7N 599 1000 0
QSO: 14057 CW 2022-02-20 2059 K1LHO 599 CT CR3W 599 500 0
QSO: 7038 CW 2022-02-20 2104 K1LHO 599 CT YL7X 599 1000 0
QSO: 21025 CW 2022-02-20 2110 K1LHO 599 CT ZF5T 599 100 0
QSO: 21026 CW 2022-02-20 2113 K1LHO 599 CT PJ4NG 599 500 0
QSO: 21029 CW 2022-02-20 2116 K1LHO 599 CT OA4SS 599 1000 0
QSO: 21029 CW 2022-02-20 2117 K1LHO 599 CT VK2IA 599 1000 0
QSO: 14034 CW 2022-02-20 2125 K1LHO 599 CT P45W 599 100 0
QSO: 14034 CW 2022-02-20 2138 K1LHO 599 CT P44W 599 100 0
QSO: 7025 CW 2022-02-20 2143 K1LHO 599 CT LZ5R 599 1000 0
QSO: 7027 CW 2022-02-20 2144 K1LHO 599 CT OM4MW 599 1000 0
QSO: 7028 CW 2022-02-20 2145 K1LHO 599 CT OK5Z 599 1000 0
QSO: 7032 CW 2022-02-20 2146 K1LHO 599 CT I2IFT 599 1000 0
QSO: 7032 CW 2022-02-20 2146 K1LHO 599 CT SP8R 599 1000 0
QSO: 7034 CW 2022-02-20 2147 K1LHO 599 CT E77X 599 1000 0
QSO: 7054 CW 2022-02-20 2153 K1LHO 599 CT PJ2T 599 1000 0
QSO: 7055 CW 2022-02-20 2211 K1LHO 599 CT TF3SG 599 1000 0
QSO: 7031 CW 2022-02-20 2243 K1LHO 599 CT OM2VL 599 1000 0
QSO: 7033 CW 2022-02-20 2245 K1LHO 599 CT SP9R 599 1000 0
QSO: 7034 CW 2022-02-20 2245 K1LHO 599 CT TM4Q 599 1000 0
QSO: 7034 CW 2022-02-20 2247 K1LHO 599 CT E7DX 599 1000 0
QSO: 7044 CW 2022-02-20 2249 K1LHO 599 CT HA7RY 599 1000 0
QSO: 7064 CW 2022-02-20 2256 K1LHO 599 CT YU7KW 599 1000 0
QSO: 7021 CW 2022-02-20 2315 K1LHO 599 CT S57QZ 599 1000 0
QSO: 7026 CW 2022-02-20 2319 K1LHO 599 CT TM6M 599 1000 0
QSO: 7028 CW 2022-02-20 2322 K1LHO 599 CT HA3OU 599 1000 0
QSO: 7035 CW 2022-02-20 2325 K1LHO 599 CT EA5RS 599 1000 0
QSO: 7048 CW 2022-02-20 2330 K1LHO 599 CT OK1GK 599 1000 0
QSO: 7055 CW 2022-02-20 2332 K1LHO 599 CT OL5Y 599 1000 0
QSO: 7058 CW 2022-02-20 2333 K1LHO 599 CT FY5KEZ 599 1000 0
QSO: 3542 CW 2022-02-20 2340 K1LHO 599 CT PJ2T 599 1000 0
QSO: 3534 CW 2022-02-20 2344 K1LHO 599 CT LZ9W 599 1000 0
QSO: 14047 CW 2022-02-20 2350 K1LHO 599 CT PY5AMF 599 1000 0
QSO: 14069 CW 2022-02-20 2352 K1LHO 599 CT PY1NX 599 1000 0
END-OF-LOG:
