START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: M4A
LOCATION: DX
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: FIXED
CATEGORY-OVERLAY:
GRID-LOCATOR: JO02AF
CLAIMED-SCORE: 3986950
NAME: Dominic Smith
OPERATORS: M0WJE, M0WUT, M0ZCJ, M7BBR
CREATED-BY: DXLog.net v2.5.24
SOAPBOX: Entry from Cambridge University Wireless Society. Thanks for the QSOs
QSO:  3704 PH 2021-10-30 0115 M4A    59   14 OQ4Q   59   14 0
QSO:  3704 PH 2021-10-30 0117 M4A    59   14 IB8A   59   15 0
QSO:  3704 PH 2021-10-30 0117 M4A    59   14 OL7R   59   15 0
QSO:  3704 PH 2021-10-30 0117 M4A    59   14 OF5Z   59   15 0
QSO:  3704 PH 2021-10-30 0118 M4A    59   14 AB3CX  59   05 0
QSO:  3704 PH 2021-10-30 0118 M4A    59   14 DL7URH 59   14 0
QSO:  3704 PH 2021-10-30 0119 M4A    59   14 PA6X   59   14 0
QSO:  3704 PH 2021-10-30 0120 M4A    59   14 IQ4FA  59   15 0
QSO:  3704 PH 2021-10-30 0120 M4A    59   14 F8KCF  59   14 0
QSO:  3704 PH 2021-10-30 0121 M4A    59   14 EA1EMB 59   14 0
QSO:  3704 PH 2021-10-30 0121 M4A    59   14 EE5T   59   14 0
QSO:  3704 PH 2021-10-30 0121 M4A    59   14 N1UR   59   05 0
QSO:  3704 PH 2021-10-30 0121 M4A    59   14 LY2TS  59   15 0
QSO:  3704 PH 2021-10-30 0122 M4A    59   14 SJ2W   59   14 0
QSO:  3704 PH 2021-10-30 0123 M4A    59   14 R9YBW  59   18 0
QSO:  3704 PH 2021-10-30 0123 M4A    59   14 UC4L   59   16 0
QSO:  3704 PH 2021-10-30 0124 M4A    59   14 PA4WM  59   14 0
QSO:  3704 PH 2021-10-30 0126 M4A    59   14 DA2X   59   14 0
QSO:  3704 PH 2021-10-30 0126 M4A    59   14 2M0KIE 59   14 0
QSO:  3704 PH 2021-10-30 0127 M4A    59   14 GM0V   59   14 0
QSO:  7057 PH 2021-10-30 0128 M4A    59   14 TC3A   59   20 1
QSO:  3704 PH 2021-10-30 0128 M4A    59   14 DL1NKS 59   14 0
QSO:  3704 PH 2021-10-30 0130 M4A    59   14 LN1B   59   14 0
QSO:  3704 PH 2021-10-30 0131 M4A    59   14 W3NO   59   05 0
QSO:  7127 PH 2021-10-30 0131 M4A    59   14 PJ2G   59   09 1
QSO:  7042 PH 2021-10-30 0133 M4A    59   14 9G5FI  59   35 1
QSO:  3704 PH 2021-10-30 0133 M4A    59   14 G0DTX  59   14 0
QSO:  3704 PH 2021-10-30 0134 M4A    59   14 DF1MM  59   14 0
QSO:  3704 PH 2021-10-30 0135 M4A    59   14 HA3OU  59   15 0
QSO:  3704 PH 2021-10-30 0136 M4A    59   14 MM1BXF 59   14 0
QSO:  7112 PH 2021-10-30 0137 M4A    59   14 RA9Y   59   18 1
QSO:  3704 PH 2021-10-30 0137 M4A    59   14 PI4RS  59   14 0
QSO:  3704 PH 2021-10-30 0138 M4A    59   14 SM6MVE 59   14 0
QSO:  3704 PH 2021-10-30 0139 M4A    59   14 OZ1KVM 59   14 0
QSO:  3704 PH 2021-10-30 0140 M4A    59   14 S59MA  59   15 0
QSO:  3704 PH 2021-10-30 0141 M4A    59   14 LA6ZP  59   14 0
QSO:  3704 PH 2021-10-30 0142 M4A    59   14 ON/PD5S 59   14 0
QSO:  3704 PH 2021-10-30 0143 M4A    59   14 OV5TC  59   14 0
QSO:  3615 PH 2021-10-30 0145 M4A    59   14 TM2Y   59   14 0
QSO:  3617 PH 2021-10-30 0145 M4A    59   14 S53OQ  59   15 0
QSO:  3632 PH 2021-10-30 0147 M4A    59   14 E73AA  59   15 0
QSO:  3665 PH 2021-10-30 0148 M4A    59   14 IO1C   59   15 0
QSO:  3673 PH 2021-10-30 0149 M4A    59   14 HG6N   59   15 0
QSO:  3679 PH 2021-10-30 0149 M4A    59   14 DM6V   59   14 0
QSO:  3688 PH 2021-10-30 0149 M4A    59   14 EA3QP  59   14 0
QSO:  3702 PH 2021-10-30 0151 M4A    59   14 S53BB  59   15 0
QSO:  3729 PH 2021-10-30 0152 M4A    59   14 9A7A   59   15 0
QSO:  3750 PH 2021-10-30 0152 M4A    59   14 II8K   59   15 0
QSO:  3768 PH 2021-10-30 0153 M4A    59   14 IO3C   59   15 0
QSO:  3765 PH 2021-10-30 0153 M4A    59   14 OM5M   59   15 0
QSO:  3777 PH 2021-10-30 0154 M4A    59   14 EE7L   59   14 0
QSO:  3790 PH 2021-10-30 0154 M4A    59   14 ISO/OM2TW 59   15 0
QSO:  7091 PH 2021-10-30 0158 M4A    59   14 A61BR  59   21 1
QSO:  7115 PH 2021-10-30 0159 M4A    59   14 HZ1TT  59   21 1
QSO:  7068 PH 2021-10-30 0203 M4A    59   14 RT2C   59   16 0
QSO:  3620 PH 2021-10-30 0203 M4A    59   14 YO4NF  59   20 1
QSO:  7074 PH 2021-10-30 0204 M4A    59   14 RG9A   59   17 0
QSO:  3629 PH 2021-10-30 0204 M4A    59   14 A73A   59   21 1
QSO:  7085 PH 2021-10-30 0205 M4A    59   14 RT6A   59   16 0
QSO:  7095 PH 2021-10-30 0205 M4A    59   14 HG7T   59   15 0
QSO:  7097 PH 2021-10-30 0206 M4A    59   14 9K9C   59   21 0
QSO:  7108 PH 2021-10-30 0206 M4A    59   14 RC7KY  59   16 0
QSO:  7115 PH 2021-10-30 0207 M4A    59   14 TO7O   59   08 0
QSO:  7131 PH 2021-10-30 0208 M4A    59   14 RM9I   59   18 0
QSO:  3649 PH 2021-10-30 0208 M4A    59   14 CR2M   59   14 1
QSO:  3692 PH 2021-10-30 0208 M4A    59   14 YL7X   59   15 1
QSO:  7157 PH 2021-10-30 0211 M4A    59   14 J42L   59   20 0
QSO:  7158 PH 2021-10-30 0211 M4A    59   14 EW5A   59   16 0
QSO:  7160 PH 2021-10-30 0212 M4A    59   14 IO6A   59   15 0
QSO:  3747 PH 2021-10-30 0212 M4A    59   14 IB9A   59   15 1
QSO:  7172 PH 2021-10-30 0212 M4A    59   14 IB8A   59   15 0
QSO:  7174 PH 2021-10-30 0213 M4A    59   14 YT0W   59   15 0
QSO:  7175 PH 2021-10-30 0213 M4A    59   14 KC1XX  59   05 0
QSO:  3723 PH 2021-10-30 0214 M4A    59   14 CF3A   59   04 1
QSO:  7182 PH 2021-10-30 0219 M4A    59   14 OM0R   59   15 0
QSO:  3702 PH 2021-10-30 0220 M4A    59   14 OE6Z   59   15 1
QSO:  7148 PH 2021-10-30 0224 M4A    59   14 ED7R   59   14 0
QSO:  7139 PH 2021-10-30 0224 M4A    59   14 S57AL  59   15 0
QSO:  7137 PH 2021-10-30 0224 M4A    59   14 K1KI   59   05 0
QSO:  7136 PH 2021-10-30 0225 M4A    59   14 K1DG   59   05 0
QSO:  3635 PH 2021-10-30 0226 M4A    59   14 SX2I   59   20 1
QSO:  7126 PH 2021-10-30 0227 M4A    59   14 S53MR  59   15 0
QSO:  7126 PH 2021-10-30 0228 M4A    59   14 N4PSE  59   05 0
QSO:  7126 PH 2021-10-30 0229 M4A    59   14 LY2WR  59   15 0
QSO:  7126 PH 2021-10-30 0230 M4A    59   14 VE9MWA 59   05 0
QSO:  7055 PH 2021-10-30 0234 M4A    59   14 Z35U   59   15 0
QSO:  3638 PH 2021-10-30 0235 M4A    59   14 VE2IM  59   02 1
QSO:  7064 PH 2021-10-30 0236 M4A    59   14 YU1UO  59   15 0
QSO:  7062 PH 2021-10-30 0236 M4A    59   14 9A5BVT 59   15 0
QSO:  7071 PH 2021-10-30 0236 M4A    59   14 SQ6H   59   15 0
QSO:  3690 PH 2021-10-30 0237 M4A    59   14 3A3A   59   14 1
QSO:  7081 PH 2021-10-30 0237 M4A    59   14 E7CW   59   15 0
QSO:  7110 PH 2021-10-30 0238 M4A    59   14 SZ1A   59   20 0
QSO:  7130 PH 2021-10-30 0239 M4A    59   14 UW5ZM  59   16 0
QSO:  1823 PH 2021-10-30 0242 M4A    59   14 IB2C   59   15 1
QSO:  7129 PH 2021-10-30 0242 M4A    59   14 KU8E   59   05 0
QSO:  1845 PH 2021-10-30 0243 M4A    59   14 OT5A   59   14 1
QSO:  1852 PH 2021-10-30 0243 M4A    59   14 MM2N   59   14 1
QSO:  1855 PH 2021-10-30 0244 M4A    59   14 M6T    59   14 1
QSO:  1865 PH 2021-10-30 0244 M4A    59   14 DF0HQ  59   14 1
QSO:  7129 PH 2021-10-30 0245 M4A    59   14 K3DNE  59   05 0
QSO:  1867 PH 2021-10-30 0245 M4A    59   14 S53F   59   15 1
QSO:  7129 PH 2021-10-30 0246 M4A    59   14 K1TTT  59   05 0
QSO:  7129 PH 2021-10-30 0246 M4A    59   14 K5GN   59   04 0
QSO:  7129 PH 2021-10-30 0246 M4A    59   14 RU1A   59   16 0
QSO:  1869 PH 2021-10-30 0246 M4A    59   14 OK1LRD 59   15 1
QSO:  7129 PH 2021-10-30 0246 M4A    59   14 N3MN   59   05 0
QSO:  7129 PH 2021-10-30 0246 M4A    59   14 W8FJ   59   05 0
QSO:  7129 PH 2021-10-30 0247 M4A    59   14 W8MJ   59   04 0
QSO:  1881 PH 2021-10-30 0247 M4A    59   14 YT7B   59   15 1
QSO:  7129 PH 2021-10-30 0247 M4A    59   14 NO3E   59   05 0
QSO:  7129 PH 2021-10-30 0247 M4A    59   14 WA3C   59   04 0
QSO:  7129 PH 2021-10-30 0247 M4A    59   14 S53MM  59   15 0
QSO:  7129 PH 2021-10-30 0248 M4A    59   14 NO3E   59   05 0
QSO:  7129 PH 2021-10-30 0248 M4A    59   14 KA2K   59   05 0
QSO:  1888 PH 2021-10-30 0248 M4A    59   14 SN7R   59   15 1
QSO:  7129 PH 2021-10-30 0248 M4A    59   14 KC2TN  59   05 0
QSO:  1897 PH 2021-10-30 0249 M4A    59   14 EW5A   59   16 1
QSO:  7129 PH 2021-10-30 0249 M4A    59   14 N1RR   59   05 0
QSO:  1904 PH 2021-10-30 0249 M4A    59   14 HB9CVQ 59   14 1
QSO:  1908 PH 2021-10-30 0250 M4A    59   14 LX/ON4EI 59   14 1
QSO:  7129 PH 2021-10-30 0251 M4A    59   14 K1BX   59   05 0
QSO:  7129 PH 2021-10-30 0251 M4A    59   14 N4RA   59   05 0
QSO:  7129 PH 2021-10-30 0251 M4A    59   14 AA4VT  59   05 0
QSO:  1915 PH 2021-10-30 0252 M4A    59   14 OV5TC  59   14 1
QSO:  7129 PH 2021-10-30 0252 M4A    59   14 N8BI   59   04 0
QSO:  7129 PH 2021-10-30 0252 M4A    59   14 K2LE   59   05 0
QSO:  1929 PH 2021-10-30 0253 M4A    59   14 YO8PS  59   20 1
QSO:  7129 PH 2021-10-30 0253 M4A    59   14 N6AR   59   05 0
QSO:  1839 PH 2021-10-30 0253 M4A    59   14 SJ2W   59   14 1
QSO:  7129 PH 2021-10-30 0254 M4A    59   14 K2REB  59   05 0
QSO:  7129 PH 2021-10-30 0255 M4A    59   14 KE1IH  59   05 0
QSO:  7129 PH 2021-10-30 0255 M4A    59   14 AF4E   59   05 0
QSO:  7129 PH 2021-10-30 0255 M4A    59   14 K1CC   59   05 0
QSO:  7129 PH 2021-10-30 0256 M4A    59   14 K3ND   59   05 0
QSO:  1837 PH 2021-10-30 0256 M4A    59   14 LZ9W   59   20 1
QSO:  7129 PH 2021-10-30 0258 M4A    59   14 K2CJ   59   05 0
QSO:  7129 PH 2021-10-30 0259 M4A    59   14 K3WW   59   05 0
QSO:  7129 PH 2021-10-30 0300 M4A    59   14 K8LX   59   04 0
QSO:  1867 PH 2021-10-30 0300 M4A    59   14 HA8A   59   15 1
QSO:  7129 PH 2021-10-30 0301 M4A    59   14 W1SRG  59   05 0
QSO:  1877 PH 2021-10-30 0301 M4A    59   14 OH6RX  59   15 1
QSO:  7129 PH 2021-10-30 0301 M4A    59   14 KU2C   59   05 0
QSO:  7129 PH 2021-10-30 0302 M4A    59   14 N2SR   59   05 0
QSO:  7129 PH 2021-10-30 0302 M4A    59   14 K9RS   59   05 0
QSO:  1828 PH 2021-10-30 0302 M4A    59   14 UT6UD  59   16 1
QSO:  7129 PH 2021-10-30 0302 M4A    59   14 W3LPL  59   05 0
QSO:  7129 PH 2021-10-30 0303 M4A    59   14 K2AX   59   05 0
QSO:  7129 PH 2021-10-30 0303 M4A    59   14 K3ZO   59   05 0
QSO:  7129 PH 2021-10-30 0305 M4A    59   14 K1KA   59   05 0
QSO:  7129 PH 2021-10-30 0305 M4A    59   14 K8MP   59   04 0
QSO:  7129 PH 2021-10-30 0307 M4A    59   14 K2NV   59   05 0
QSO:  7129 PH 2021-10-30 0307 M4A    59   14 W6KW   59   05 0
QSO:  7129 PH 2021-10-30 0308 M4A    59   14 W1QK   59   05 0
QSO:  7129 PH 2021-10-30 0308 M4A    59   14 W2GDJ  59   05 0
QSO:  7129 PH 2021-10-30 0309 M4A    59   14 K4IE   59   04 0
QSO:  7129 PH 2021-10-30 0309 M4A    59   14 W1GD   59   05 0
QSO:  7129 PH 2021-10-30 0310 M4A    59   14 K4RM   59   05 0
QSO:  7129 PH 2021-10-30 0311 M4A    59   14 EE5T   59   14 0
QSO:  7129 PH 2021-10-30 0313 M4A    59   14 WO2T   59   05 0
QSO:  7129 PH 2021-10-30 0313 M4A    59   14 KQ3F   59   05 0
QSO:  7129 PH 2021-10-30 0313 M4A    59   14 N1JTK  59   05 0
QSO:  7129 PH 2021-10-30 0313 M4A    59   14 R5DC   59   16 0
QSO:  7129 PH 2021-10-30 0314 M4A    59   14 N5GF   59   05 0
QSO:  7129 PH 2021-10-30 0314 M4A    59   14 K3FMQ  59   05 0
QSO:  7129 PH 2021-10-30 0314 M4A    59   14 N1SV   59   05 0
QSO:  7129 PH 2021-10-30 0315 M4A    59   14 KA3YJM 59   05 0
QSO:  7129 PH 2021-10-30 0315 M4A    59   14 SQ7BFC 59   15 0
QSO:  7129 PH 2021-10-30 0315 M4A    59   14 K9OM   59   04 0
QSO:  7129 PH 2021-10-30 0316 M4A    59   14 W8UF   59   04 0
QSO:  7129 PH 2021-10-30 0317 M4A    59   14 ND3L   59   05 0
QSO:  7129 PH 2021-10-30 0317 M4A    59   14 KE5MMT 59   04 0
QSO:  7129 PH 2021-10-30 0318 M4A    59   14 NN3Q   59   05 0
QSO:  7129 PH 2021-10-30 0318 M4A    59   14 N3RS   59   05 0
QSO:  7129 PH 2021-10-30 0319 M4A    59   14 N2SQW  59   05 0
QSO:  7129 PH 2021-10-30 0320 M4A    59   14 OE5TXF 59   15 0
QSO:  7129 PH 2021-10-30 0320 M4A    59   14 VA2EBI 59   05 0
QSO:  7129 PH 2021-10-30 0321 M4A    59   14 W4UEF  59   05 0
QSO:  7129 PH 2021-10-30 0322 M4A    59   14 K4DG   59   04 0
QSO:  7129 PH 2021-10-30 0323 M4A    59   14 W2TT   59   05 0
QSO:  7129 PH 2021-10-30 0323 M4A    59   14 NB1N   59   05 0
QSO:  7129 PH 2021-10-30 0325 M4A    59   14 NV9L   59   04 0
QSO:  7129 PH 2021-10-30 0325 M4A    59   14 RM3DA  59   16 0
QSO:  7129 PH 2021-10-30 0326 M4A    59   14 W8BI   59   04 0
QSO:  7129 PH 2021-10-30 0327 M4A    59   14 N4TZ   59   04 0
QSO:  7129 PH 2021-10-30 0327 M4A    59   14 WK4LR  59   05 0
QSO:  7129 PH 2021-10-30 0328 M4A    59   14 WR2G   59   05 0
QSO:  7129 PH 2021-10-30 0329 M4A    59   14 N1GF   59   05 0
QSO:  7129 PH 2021-10-30 0329 M4A    59   14 WA3EKL 59   05 0
QSO:  7129 PH 2021-10-30 0329 M4A    59   14 KX2T   59   05 0
QSO:  7129 PH 2021-10-30 0330 M4A    59   14 W4RM   59   05 0
QSO:  7129 PH 2021-10-30 0330 M4A    59   14 IQ3RK  59   15 0
QSO:  7129 PH 2021-10-30 0331 M4A    59   14 LY4A   59   15 0
QSO:  7129 PH 2021-10-30 0331 M4A    59   14 AA1UI  59   05 0
QSO:  7129 PH 2021-10-30 0331 M4A    59   14 K8VG   59   04 0
QSO:  7129 PH 2021-10-30 0332 M4A    59   14 K4UU   59   04 0
QSO:  7129 PH 2021-10-30 0334 M4A    59   14 N2KA   59   05 0
QSO:  7129 PH 2021-10-30 0334 M4A    59   14 NY6DX  59   05 0
QSO:  7129 PH 2021-10-30 0335 M4A    59   14 KC1SQ  59   05 0
QSO:  7129 PH 2021-10-30 0336 M4A    59   14 K3IB   59   05 0
QSO:  7129 PH 2021-10-30 0337 M4A    59   14 WA2CNV 59   05 0
QSO:  7129 PH 2021-10-30 0339 M4A    59   14 W1JGM  59   05 0
QSO:  7129 PH 2021-10-30 0339 M4A    59   14 K3PA   59   04 0
QSO:  7129 PH 2021-10-30 0340 M4A    59   14 K5RX   59   04 0
QSO:  7129 PH 2021-10-30 0341 M4A    59   14 W3GQ   59   05 0
QSO:  7129 PH 2021-10-30 0341 M4A    59   14 N4SS   59   04 0
QSO:  7129 PH 2021-10-30 0344 M4A    59   14 RC5Z   59   16 0
QSO:  7129 PH 2021-10-30 0345 M4A    59   14 W2A    59   05 0
QSO:  7129 PH 2021-10-30 0356 M4A    59   14 OE1HHB 59   15 0
QSO:  7129 PH 2021-10-30 0357 M4A    59   14 AB2E   59   05 0
QSO:  7129 PH 2021-10-30 0400 M4A    59   14 K3ZU   59   05 0
QSO:  7046 PH 2021-10-30 0401 M4A    59   14 ZF5T   59   08 0
QSO:  3769 PH 2021-10-30 0406 M4A    59   14 R4NET  59   16 0
QSO:  3769 PH 2021-10-30 0406 M4A    59   14 OK6T   59   15 0
QSO:  3769 PH 2021-10-30 0407 M4A    59   14 DO4JS  59   14 0
QSO:  3769 PH 2021-10-30 0408 M4A    59   14 EA4HKF 59   14 0
QSO:  3769 PH 2021-10-30 0408 M4A    59   14 DP5P   59   14 0
QSO:  3769 PH 2021-10-30 0409 M4A    59   14 UT7CR  59   16 0
QSO:  3769 PH 2021-10-30 0409 M4A    59   14 DL9UP  59   14 0
QSO:  3769 PH 2021-10-30 0409 M4A    59   14 K3ZO   59   05 0
QSO:  3769 PH 2021-10-30 0412 M4A    59   14 SD6D   59   14 0
QSO:  3769 PH 2021-10-30 0412 M4A    59   14 DK5TX  59   14 0
QSO:  3769 PH 2021-10-30 0413 M4A    59   14 K3LR   59   05 0
QSO:  3769 PH 2021-10-30 0413 M4A    59   14 KC1XX  59   05 0
QSO:  3769 PH 2021-10-30 0414 M4A    59   14 DO8ABS 59   14 0
QSO:  3769 PH 2021-10-30 0414 M4A    59   14 K1CC   59   05 0
QSO:  3769 PH 2021-10-30 0414 M4A    59   14 TM2F   59   14 0
QSO:  3769 PH 2021-10-30 0414 M4A    59   14 UR1HR  59   16 0
