START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: W2JC
LOCATION: NNJ
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR: fn20xw
CLAIMED-SCORE: 28320
NAME: Jim Cooper
OPERATORS: W2JC
CLUB: Frankford Radio Club
CREATED-BY: N1MM Logger+ 1.0.7971.0
SOAPBOX: First contest using my recently acquired Flex 6600M ...  love it !!
SOAPBOX: (even though I'm not much fond of voice contests ...)
QSO:  3759 PH 2019-10-27 0748 W2JC          59  5      K7RL          59  03
QSO:  3753 PH 2019-10-27 0752 W2JC          59  5      EF8R          59  33
QSO:  3751 PH 2019-10-27 0802 W2JC          59  5      YV5KG         59  09
QSO:  3770 PH 2019-10-27 0807 W2JC          59  5      V3A           59  07
QSO:  1856 PH 2019-10-27 0820 W2JC          59  5      K3LR          59  05
QSO:  1837 PH 2019-10-27 0824 W2JC          59  5      K8AZ          59  04
QSO:  7193 PH 2019-10-27 0831 W2JC          59  5      V26B          59  08
QSO:  7152 PH 2019-10-27 0838 W2JC          59  5      ZW5B          59  11
QSO:  7170 PH 2019-10-27 0842 W2JC          59  5      D4C           59  35
QSO:  7196 PH 2019-10-27 0846 W2JC          59  5      EF8R          59  33
QSO: 21333 PH 2019-10-27 1703 W2JC          59  5      ZF1A          59  08
QSO: 21304 PH 2019-10-27 1708 W2JC          59  5      V26B          59  08
QSO: 21293 PH 2019-10-27 1710 W2JC          59  5      N4WW          59  05
QSO: 21250 PH 2019-10-27 1714 W2JC          59  5      ZF9CW         59  08
QSO: 21202 PH 2019-10-27 1722 W2JC          59  5      V3M           59  07
QSO: 21288 PH 2019-10-27 1726 W2JC          59  5      PQ5B          59  11
QSO: 21297 PH 2019-10-27 1729 W2JC          59  5      HI3LT         59  08
QSO: 21264 PH 2019-10-27 1730 W2JC          59  5      CN3A          59  33
QSO: 21327 PH 2019-10-27 1733 W2JC          59  5      NP2P          59  08
QSO: 21358 PH 2019-10-27 1736 W2JC          59  5      V47T          59  08
QSO: 21372 PH 2019-10-27 1739 W2JC          59  5      VP2MSW        59  08
QSO: 21410 PH 2019-10-27 1741 W2JC          59  5      5K0K          59  07
QSO: 21374 PH 2019-10-27 1744 W2JC          59  5      KP4RV         59  08
QSO: 21368 PH 2019-10-27 1745 W2JC          59  5      EF8R          59  33
QSO: 21262 PH 2019-10-27 1753 W2JC          59  5      FY5KE         59  09
QSO: 21208 PH 2019-10-27 1757 W2JC          59  5      K5TR          59  04
QSO: 28404 PH 2019-10-27 1802 W2JC          59  5      LU2DX         59  13
QSO: 28410 PH 2019-10-27 1804 W2JC          59  5      PJ4K          59  09
QSO: 28362 PH 2019-10-27 1807 W2JC          59  5      CA4PSH        59  12
QSO: 28478 PH 2019-10-27 1813 W2JC          59  5      PZ5K          59  09
QSO: 28455 PH 2019-10-27 1820 W2JC          59  5      LU7HN         59  13
QSO: 28398 PH 2019-10-27 1830 W2JC          59  5      WR2G          59  05
QSO: 21229 PH 2019-10-27 1835 W2JC          59  5      PY9GC         59  11
QSO: 21244 PH 2019-10-27 1836 W2JC          59  5      PT5J          59  11
QSO: 21252 PH 2019-10-27 1837 W2JC          59  5      D4C           59  35
QSO: 21276 PH 2019-10-27 1846 W2JC          59  5      KP2M          59  08
QSO: 21273 PH 2019-10-27 1847 W2JC          59  5      KP3Z          59  08
QSO: 21258 PH 2019-10-27 1859 W2JC          59  5      K5GN          59  04
QSO: 21289 PH 2019-10-27 1900 W2JC          59  5      KP3MM         59  08
QSO: 21300 PH 2019-10-27 1921 W2JC          59  5      HR9/N3AD      59  07
QSO: 21313 PH 2019-10-27 2002 W2JC          59  5      PJ4K          59  09
QSO: 21346 PH 2019-10-27 2007 W2JC          59  5      OA4O          59  10
QSO: 21392 PH 2019-10-27 2011 W2JC          59  5      WP4SK         59  08
QSO: 21409 PH 2019-10-27 2012 W2JC          59  5      P40T          59  09
QSO: 21298 PH 2019-10-27 2047 W2JC          59  5      CO2RQ         59  08
QSO: 21215 PH 2019-10-27 2050 W2JC          59  5      PJ2T          59  09
QSO: 14185 PH 2019-10-27 2057 W2JC          59  5      PJ4NG         59  09
QSO: 14197 PH 2019-10-27 2103 W2JC          59  5      KP2M          59  08
QSO: 14188 PH 2019-10-27 2110 W2JC          59  5      K3K/19        59  05
QSO: 14236 PH 2019-10-27 2125 W2JC          59  5      TM6M          59  14
QSO: 14266 PH 2019-10-27 2128 W2JC          59  5      PR4T          59  11
QSO: 14278 PH 2019-10-27 2129 W2JC          59  5      V47T          59  08
QSO: 14283 PH 2019-10-27 2130 W2JC          59  5      OX7A          59  40
QSO: 14293 PH 2019-10-27 2138 W2JC          59  5      FY5KE         59  09
QSO: 14298 PH 2019-10-27 2143 W2JC          59  5      VP5W          59  08
QSO: 14301 PH 2019-10-27 2143 W2JC          59  5      J68GD         59  08
QSO: 14305 PH 2019-10-27 2145 W2JC          59  5      8P5A          59  08
QSO: 14345 PH 2019-10-27 2206 W2JC          59  5      NP2P          59  08
QSO: 14323 PH 2019-10-27 2209 W2JC          59  5      WP4SK         59  08
QSO: 14294 PH 2019-10-27 2220 W2JC          59  5      TI1T          59  07
QSO: 14270 PH 2019-10-27 2222 W2JC          59  5      TI7W          59  07
QSO: 14168 PH 2019-10-27 2244 W2JC          59  5      TO1J          59  08
QSO:  7177 PH 2019-10-27 2252 W2JC          59  5      VE2IDX        59  02
QSO:  7181 PH 2019-10-27 2254 W2JC          59  5      VE2GSO        59  05
QSO:  7209 PH 2019-10-27 2259 W2JC          59  5      VO2NS         59  02
QSO:  7214 PH 2019-10-27 2300 W2JC          59  5      VE4VT         59  04
QSO:  7184 PH 2019-10-27 2302 W2JC          59  5      IR4X          59  15
QSO:  7142 PH 2019-10-27 2306 W2JC          59  5      VE3SOO        59  04
QSO:  3770 PH 2019-10-27 2313 W2JC          59  5      XL3A          59  04
QSO:  3695 PH 2019-10-27 2320 W2JC          59  5      W3LL          59  05
QSO:  3706 PH 2019-10-27 2322 W2JC          59  5      VA2WA         59  05
QSO:  3729 PH 2019-10-27 2326 W2JC          59  5      K1TTT         59  05
QSO:  3738 PH 2019-10-27 2327 W2JC          59  5      VE3VN         59  04
QSO:  3742 PH 2019-10-27 2329 W2JC          59  5      VE3DC         59  04
QSO:  3767 PH 2019-10-27 2332 W2JC          59  5      NE4EI         59  05
QSO:  3786 PH 2019-10-27 2333 W2JC          59  5      VA3SZ         59  04
QSO:  3797 PH 2019-10-27 2334 W2JC          59  5      N8YXR         59  04
QSO:  3808 PH 2019-10-27 2336 W2JC          59  5      VE1RY         59  05
QSO:  3800 PH 2019-10-27 2338 W2JC          59  5      CN3A          59  33
QSO:  3732 PH 2019-10-27 2343 W2JC          59  5      VA2EW         59  05
QSO:  3692 PH 2019-10-27 2345 W2JC          59  5      NY6DX         59  05
QSO:  3622 PH 2019-10-27 2348 W2JC          55  5      KP2M          59  08
QSO:  1854 PH 2019-10-27 2353 W2JC          59  5      VE3RZ         59  04
END-OF-LOG:
