START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-CW
CALLSIGN: KG5VK
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: KG5VK
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-CW CQWPX/cw/2019.
QSO: 14000 CW 2019-05-25 0219 KG5VK         599 KH7M          599 209
QSO: 14051 CW 2019-05-26 2104 KG5VK         599 0110 KS9K          599 1589
QSO: 14055 CW 2019-05-26 2107 KG5VK         599 0111 K8AJS         599 0900
QSO: 14060 CW 2019-05-26 2109 KG5VK         599 112 AD4TR         599 2085
QSO: 14061 CW 2019-05-26 2110 KG5VK         599 0113 S57DX         599 1968
QSO: 14008 CW 2019-05-26 2113 KG5VK         599 0114 OM3BH         599 3405
QSO: 14009 CW 2019-05-26 2114 KG5VK         599 0115 KW1K          599 1016
QSO: 14012 CW 2019-05-26 2115 KG5VK         599 0116 WF9A          599 1946
QSO: 14014 CW 2019-05-26 2117 KG5VK         599 0117 N7TU          599 0654
QSO: 14025 CW 2019-05-26 2120 KG5VK         599 0118 N6AR          599 1515
QSO: 14031 CW 2019-05-26 2123 KG5VK         599 0119 WD9CIR        599 0484
QSO: 14034 CW 2019-05-26 2244 KG5VK         599 0120 YU5R          599 3997
QSO: 14035 CW 2019-05-26 2245 KG5VK         599 121 TM6M          599 3716
QSO: 14032 CW 2019-05-26 2247 KG5VK         599 0122 SP8R          599 2226
QSO: 14030 CW 2019-05-26 2249 KG5VK         599 0123 NP4AW         599 0636
QSO: 14031 CW 2019-05-26 2251 KG5VK         599 0124 LT1F          599 1884
QSO: 14032 CW 2019-05-26 2252 KG5VK         599 125 DP6A          599 2677
END-OF-LOG:
