START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WW-RTTY
CALLSIGN: N3EN
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: N3EN
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WW-RTTY CQWWRTTY/2011.
QSO: 14000 RY 2011-09-24 0047 N3EN          599 05 MD WY4Y          599 05 GA
QSO: 21139 RY 2011-09-24 1913 N3EN          599 05 MD N4WW          599 05 FL
QSO: 21140 RY 2011-09-24 1913 N3EN          599 05 MD DL8OH         599 59 DX
QSO: 21144 RY 2011-09-24 1915 N3EN          599 05 MD DL6MHW        599 14 DX
QSO: 21000 RY 2011-09-24 1919 N3EN          599 05 MD DJ3IW         599 14 DX
QSO: 21000 RY 2011-09-24 1920 N3EN          599 05 MD SN2B          599 15 DX
QSO: 21086 RY 2011-09-24 1922 N3EN          599 05 MA PA3EVY        599 14 DX
QSO: 21087 RY 2011-09-24 1923 N3EN          599 05 MD KK7PR         599 03 OR
QSO: 21089 RY 2011-09-24 1924 N3EN          599 05 MD PA3GCV        599 14 DX
QSO: 21095 RY 2011-09-24 1928 N3EN          599 05 MD PA0LOU        599 14 DX
QSO: 21090 RY 2011-09-24 1929 N3EN          599 05 MD EE2K          599 14 DX
QSO: 21110 RY 2011-09-24 2011 N3EN          599 05 MD LX7I          599 14 DX
QSO: 21120 RY 2011-09-24 2012 N3EN          599 05 MD ER4A          599 16 DX
QSO: 21112 RY 2011-09-24 2017 N3EN          599 05 MD OE2E          599 15 DX
QSO: 21099 RY 2011-09-24 2018 N3EN          599 05 MD CR6K          599 14 DX
QSO: 21099 RY 2011-09-24 2020 N3EN          599 05 MD IT9BLB        599 15 DX
QSO: 21065 RY 2011-09-24 2024 N3EN          599 05 MD VE5MX         599 04 SK
QSO: 21069 RY 2011-09-24 2025 N3EN          599 5 MD LY5E          599 15 DX
QSO: 21069 RY 2011-09-24 2025 N3EN          599 05 MD SM5FQQ        599 14 DX
QSO: 21078 RY 2011-09-24 2026 N3EN          599 05 MD 9A4WY         599 15 DX
QSO: 21098 RY 2011-09-24 2031 N3EN          599 05 MD IQ1RY         599 15 DX
QSO: 21094 RY 2011-09-24 2032 N3EN          599 05 MD TM6M          599 14 DX
QSO: 21105 RY 2011-09-24 2035 N3EN          599 05 MD K6MMM         599 03 CA
QSO: 21110 RY 2011-09-24 2037 N3EN          599 05 MD IV3TMV        599 15 DX
QSO: 21073 RY 2011-09-24 2047 N3EN          599 05 MD KK5JY         599 4 OK
QSO: 21081 RY 2011-09-24 2053 N3EN          599 05 MD YT7W          599 15 DX
QSO: 21080 RY 2011-09-24 2105 N3EN          599 05 MD IK2SGF        599 15 DX
QSO: 21129 RY 2011-09-24 2109 N3EN          599 05 MD DJ8EW         599 14 DX
QSO: 21134 RY 2011-09-24 2110 N3EN          599 05 MD DL5JS         599 14 DX
QSO: 21000 RY 2011-09-24 2111 N3EN          599 05 MD PG7V          599 14 DX
QSO: 21139 RY 2011-09-24 2113 N3EN          599 05 MD DD1JN         599 14 DX
QSO: 21141 RY 2011-09-24 2114 N3EN          599 5 MD W6YX          599 3 CA
QSO: 21143 RY 2011-09-24 2116 N3EN          599 05 MD F6HRP         599 14 DX
QSO: 21000 RY 2011-09-24 2117 N3EN          599 05 MD DF2LH         599 14 DX
QSO: 21153 RY 2011-09-24 2118 N3EN          599 05 MD DL1MAJ        599 14 DX
QSO: 21080 RY 2011-09-24 2119 N3EN          599 05 MD IZ1PKV        599 15 DX
QSO: 21084 RY 2011-09-24 2121 N3EN          599 05 MD DF7ZS         599 14 DX
QSO: 21085 RY 2011-09-24 2122 N3EN          599 5 MD W0LSD         599 4 CO
QSO: 21105 RY 2011-09-24 2158 N3EN          599 05 ON DL8CA         599 14 DX
QSO: 21000 RY 2011-09-24 2239 N3EN          599 5 MD JF1NHD        599 25 DX
QSO: 21130 RY 2011-09-24 2241 N3EN          599 05 MD KC5YPU        599 04 TX
QSO: 21132 RY 2011-09-24 2242 N3EN          599 05 MD KN5O          599 04 LA
QSO: 21077 RY 2011-09-24 2243 N3EN          599 05 MD 6Y6U          599 08 DX
QSO: 21082 RY 2011-09-24 2245 N3EN          599 05 MD N6BM          599 03 CA
QSO: 14092 RY 2011-09-24 2300 N3EN          599 05 MD TM0T          599 14 14
QSO: 14095 RY 2011-09-24 2302 N3EN          599 05 MD PI4COM        599 14 DX
QSO: 14096 RY 2011-09-24 2305 N3EN          599 5 MD LN5O          599 14 DX
QSO: 14098 RY 2011-09-24 2308 N3EN          599 05 MD EE2K          599 14 DX
QSO: 14111 RY 2011-09-24 2308 N3EN          599 05 MD T77NM         599 15 DX
QSO: 14116 RY 2011-09-24 2358 N3EN          599 05 MD CR6K          599 14 DX
QSO: 14127 RY 2011-09-25 0000 N3EN          599 05 MD N0BUI         599 04 MN
QSO: 14083 RY 2011-09-25 0001 N3EN          599 05 MD N4ZZ          599 04 TN
QSO: 14094 RY 2011-09-25 0004 N3EN          599 05 MD EF8M          599 33 33
QSO: 14100 RY 2011-09-25 0006 N3EN          599 05 MD OH3I          599 15 DX
QSO: 14080 RY 2011-09-25 0008 N3EN          599 05 MD CO2VE         599 08 DX
QSO: 14101 RY 2011-09-25 0008 N3EN          599 5 MD WA5ZUP        599 4 NM
QSO: 14107 RY 2011-09-25 0009 N3EN          599 05 MD SM3VAC        599 14 DX
QSO: 14114 RY 2011-09-25 0011 N3EN          599 05 NJ VE7SV         599 03 BC
QSO: 14120 RY 2011-09-25 0013 N3EN          599 05 MD SK2T          599 14 DX
QSO: 14000 RY 2011-09-25 0056 N3EN          599 05 MD OX4OK         599 40 DX
QSO: 14111 RY 2011-09-25 0057 N3EN          599 5 MD AD1C          599 4 CO
QSO: 28100 RY 2011-09-25 1227 N3EN          599 05 MD F4ERS         599 14 DX
QSO: 28084 RY 2011-09-25 1229 N3EN          599 05 MD EA4KD         599 14 DX
QSO: 28080 RY 2011-09-25 1251 N3EN          599 5 MD OP7B          599 14 DX
QSO: 28086 RY 2011-09-25 1252 N3EN          599 5 MD P49X          599 9 DX
QSO: 28094 RY 2011-09-25 1254 N3EN          599 05 MD TM0T          599 14 14
QSO: 28096 RY 2011-09-25 1255 N3EN          599 05 MD PI4DX         599 14 DX
QSO: 28103 RY 2011-09-25 1258 N3EN          599 05 MD YT2T          599 15 DX
QSO: 28101 RY 2011-09-25 1310 N3EN          599 09 DX EE2K          599 14 DX
QSO: 28099 RY 2011-09-25 1319 N3EN          599 05 MD IQ1RY         599 15 DX
QSO: 28080 RY 2011-09-25 1335 N3EN          599 05 MD WA7LNW        599 03 UT
QSO: 28079 RY 2011-09-25 1336 N3EN          599 05 MD 9A4WY         599 15 DX
QSO: 28086 RY 2011-09-25 1337 N3EN          599 05 MD 9A6B          599 15 DX
QSO: 28097 RY 2011-09-25 1340 N3EN          599 05 MD OL3A          599 15 DX
QSO: 28098 RY 2011-09-25 1341 N3EN          599 05 MD 6Y6U          599 08 DX
QSO: 28081 RY 2011-09-25 1359 N3EN          599 05 MD LX7I          599 14 DX
QSO: 28079 RY 2011-09-25 1401 N3EN          599 5 MD UA5F          599 16 DX
QSO: 28000 RY 2011-09-25 1402 N3EN          599 05 MD PT7CG         599 11 DX
QSO: 28094 RY 2011-09-25 1404 N3EN          599 05 MD IT9BLB        599 15 DX
QSO: 28103 RY 2011-09-25 1405 N3EN          599 05 MD DL1IAO        599 14 DX
QSO: 28093 RY 2011-09-25 1410 N3EN          599 05 VT OE9R          599 15 DX
QSO: 28000 RY 2011-09-25 1418 N3EN          599 05 MD DL1LH         599 14 dx
QSO: 28118 RY 2011-09-25 1419 N3EN          599 05 MD XE2X          599 06 DX
QSO: 28000 RY 2011-09-25 1444 N3EN          599 05 MD EA7ISH        599 14 DX
QSO: 28070 RY 2011-09-25 1445 N3EN          599 05 MD DL3BQA        599 14 DX
QSO: 28096 RY 2011-09-25 1448 N3EN          599 05 MD OL7M          599 15 DX
QSO: 28101 RY 2011-09-25 1448 N3EN          599 05 MD OZ5NJ         599 14 DX
QSO: 28000 RY 2011-09-25 1451 N3EN          599 05 MD SN2B          599 15 DX
QSO: 28071 RY 2011-09-25 1455 N3EN          599 05 MD DD2ML         599 14 DX
QSO: 28115 RY 2011-09-25 1642 N3EN          599 05 MD EF8M          599 33 33
QSO: 28127 RY 2011-09-25 1644 N3EN          599 05 MD CR6K          599 14 DX
QSO: 28086 RY 2011-09-25 1656 N3EN          599 05 MD SP9LJD        599 15 DX
QSO: 28102 RY 2011-09-25 1708 N3EN          599 05 MD ED1R          599 14 DX
QSO: 28000 RY 2011-09-25 1709 N3EN          599 05 MD HG1S          599 15 DX
QSO: 28108 RY 2011-09-25 1748 N3EN          599 5 MD W7RN          599 03 NV
QSO: 21111 RY 2011-09-25 1808 N3EN          599 05 MD M7T           599 14 DX
QSO: 21119 RY 2011-09-25 1809 N3EN          599 05 MD UR5WCQ        599 16 DX
QSO: 21121 RY 2011-09-25 1809 N3EN          599 05 MD AD5CA         599 04 TX
QSO: 21127 RY 2011-09-25 1811 N3EN          599 05 MD N7AT          599 03 AZ
QSO: 21000 RY 2011-09-25 1812 N3EN          599 05 MD G3TXF         599 14 DX
QSO: 21132 RY 2011-09-25 1814 N3EN          599 05 MD DF5MA         599 14 14
QSO: 21135 RY 2011-09-25 1814 N3EN          599 05 MD DL2IAN        599 14 DX
QSO: 21138 RY 2011-09-25 1815 N3EN          599 05 MD DH0GHU        599 14 DX
QSO: 21000 RY 2011-09-25 1817 N3EN          599 00 MD EC8CQ         599 33 DX
QSO: 21140 RY 2011-09-25 1819 N3EN          599 05 MD DQ4W          599 14 DX
QSO: 21144 RY 2011-09-25 1822 N3EN          599 05 MD N7TT          599 03 WA
QSO: 21145 RY 2011-09-25 1823 N3EN          599 5 MD SZ1A          599 20 SV
QSO: 21000 RY 2011-09-25 1827 N3EN          599 05 MD HI3TEJ        599 08 DX
QSO: 21000 RY 2011-09-25 1828 N3EN          599 05 MD XE2FGC        599 6 DX
QSO: 21080 RY 2011-09-25 1829 N3EN          599 05 MD UZ7HO         599 16 DX
QSO: 21076 RY 2011-09-25 1831 N3EN          599 05 MD DL8OBQ        599 14 DX
QSO: 21084 RY 2011-09-25 1838 N3EN          599 05 MD OL7M          599 15 DX
QSO: 21085 RY 2011-09-25 1840 N3EN          599 05 MD AB0LR         599 04 CO
QSO: 21084 RY 2011-09-25 1841 N3EN          599 05 MD OM3RRC        599 15 DX
QSO: 21108 RY 2011-09-25 1842 N3EN          599 05 MD 9A8W          599 15 DX
QSO: 21094 RY 2011-09-25 1843 N3EN          599 05 MD M2G           599 14 DX
QSO: 21125 RY 2011-09-25 1847 N3EN          599 05 MD OH2BCK        599 15 DX
QSO: 21129 RY 2011-09-25 1848 N3EN          599 05 MD NP4BM         599 08 DX
QSO: 21130 RY 2011-09-25 1850 N3EN          599 05 MD LX4A          599 14 DX
QSO: 21000 RY 2011-09-25 1852 N3EN          599 05 MD W EI4DW         599 14 IRE
QSO: 21132 RY 2011-09-25 1853 N3EN          599 05 MD VA5LF         599 04 SK
QSO: 21000 RY 2011-09-25 1854 N3EN          599 05 MD CO6LP         599 08 DX
QSO: 21141 RY 2011-09-25 1857 N3EN          599 05 MD OJ0X          599 15 DX
QSO: 21146 RY 2011-09-25 1901 N3EN          599 05 PA FM1HN         599 08 DX
QSO: 21000 RY 2011-09-25 1902 N3EN          599 5 MD YV5AAX        599 09 DX
QSO: 28000 RY 2011-09-25 1930 N3EN          599 05 MD EA3CCN        599 14 DX
QSO: 28115 RY 2011-09-25 1932 N3EN          599 05 MD DL/KE9I       599 14 DX
QSO: 28125 RY 2011-09-25 1936 N3EN          599 05 MD TM38O         599 14 DX
QSO: 28140 RY 2011-09-25 1938 N3EN          599 05 MD 9A7R          599 15 DX
QSO: 28000 RY 2011-09-25 1944 N3EN          599 5 MD PX2V          599 11 DX
QSO: 28091 RY 2011-09-25 1947 N3EN          599 05 MD KR7X          599 03 OR
QSO: 28000 RY 2011-09-25 1954 N3EN          599 05 MD HK1T          599 09 DX
QSO: 28081 RY 2011-09-25 1955 N3EN          599 05 MD KV7DX         599 03 AZ
QSO: 28092 RY 2011-09-25 1959 N3EN          599 05 MD PZ5RA         599 09 DX
QSO: 28091 RY 2011-09-25 2000 N3EN          599 05 MD EF7R          599 14 DX
QSO: 28093 RY 2011-09-25 2004 N3EN          599 5 MD LU7HN         599 13 DX
QSO: 28000 RY 2011-09-25 2011 N3EN          599 05 MD HI3TEJ        599 08 DX
QSO: 28107 RY 2011-09-25 2012 N3EN          599 5 MD W6AEA         599 03 WA
QSO: 28131 RY 2011-09-25 2016 N3EN          599 05 MD KA4RRU        599 05 VA
QSO: 28000 RY 2011-09-25 2024 N3EN          599 05 MD CO8TW         599 08 DX
QSO: 28107 RY 2011-09-25 2024 N3EN          599 05 MD PU4LOG        599 11 DX
QSO: 14087 RY 2011-09-25 2028 N3EN          599 05 MD IQ1RY         599 15 DX
QSO: 14074 RY 2011-09-25 2058 N3EN          599 05 MD LX7I          599 14 DX
QSO: 14074 RY 2011-09-25 2059 N3EN          599 05 MD M7T           599 14 DX
QSO: 14071 RY 2011-09-25 2100 N3EN          599 05 ND WJ4N          599 05 FL
QSO: 14106 RY 2011-09-25 2109 N3EN          599 05 MD IZ3GOM        599 15 DX
QSO: 14107 RY 2011-09-25 2110 N3EN          599 05 MD KN5O          599 04 LA
QSO: 14108 RY 2011-09-25 2111 N3EN          599 5 MD IK0CHU        599 15 DX
QSO: 14000 RY 2011-09-25 2112 N3EN          599 05 MD HG1S          599 15 DX
QSO: 14110 RY 2011-09-25 2113 N3EN          599 05 MD UT7L          599 16 DX
QSO: 14116 RY 2011-09-25 2115 N3EN          599 05 MD OL7M          599 15 DX
QSO: 14000 RY 2011-09-25 2118 N3EN          599 05 MD LX8M          599 14 DX
QSO: 14120 RY 2011-09-25 2119 N3EN          599 05 MD UW5U          599 16 DX
QSO: 14121 RY 2011-09-25 2120 N3EN          599 05 MD LA8PDA        599 14 DX
QSO: 14121 RY 2011-09-25 2121 N3EN          599 5 MD GW4SKA        599 14 DX
QSO: 14127 RY 2011-09-25 2124 N3EN          599 05 MD N5RZ          599 04 TX
QSO: 14128 RY 2011-09-25 2124 N3EN          599 05 MD G0MTN         599 14 DX
QSO: 14131 RY 2011-09-25 2126 N3EN          599 05 MD DD2ML         599 14 DX
QSO: 14080 RY 2011-09-25 2128 N3EN          599 05 MD IK2SGF        599 15 DX
QSO: 14000 RY 2011-09-25 2129 N3EN          599 05 MD KD5J          599 04 AR
QSO: 14136 RY 2011-09-25 2129 N3EN          599 5 MD AA5AU         599 4 LA
QSO: 14137 RY 2011-09-25 2129 N3EN          599 05 MD YT2T          599 15 DX
QSO: 14146 RY 2011-09-25 2130 N3EN          599 05 MD AB4GG         599 04 TN
QSO: 14134 RY 2011-09-25 2133 N3EN          599 05 MD S50XX         599 15 DX
QSO: 14077 RY 2011-09-25 2137 N3EN          599 05 MD SN7Q          599 15 DX
QSO: 14094 RY 2011-09-25 2138 N3EN          599 05 MD IK2SND        599 15 DX
QSO: 14073 RY 2011-09-25 2139 N3EN          599 05 MD OJ0X          599 15 DX
QSO: 14079 RY 2011-09-25 2139 N3EN          599 5 MD LY5E          599 15 DX
QSO: 14079 RY 2011-09-25 2140 N3EN          599 05 MD HG7T          599 15 DX
QSO: 14085 RY 2011-09-25 2141 N3EN          599 05 mD EA2TT         599 14 DX
QSO: 14086 RY 2011-09-25 2142 N3EN          599 05 MD IK4MGP        599 15 DX
QSO: 14087 RY 2011-09-25 2144 N3EN          599 05 MD ED3A          599 14 DX
QSO: 14090 RY 2011-09-25 2147 N3EN          599 05 MD ES9C          599 15 DX
QSO: 14098 RY 2011-09-25 2148 N3EN          599 05 MD TM38O         599 14 DX
QSO: 14083 RY 2011-09-25 2150 N3EN          599 05 MD ED2Y          599 14 DX
QSO: 14084 RY 2011-09-25 2151 N3EN          599 05 MD OE9HGV        599 15 DX
QSO: 14111 RY 2011-09-25 2153 N3EN          599 05 MD OM3RRC        599 15 DX
QSO: 14126 RY 2011-09-25 2154 N3EN          599 5 MD AB0RX         599 4 MO
QSO: 14138 RY 2011-09-25 2154 N3EN          599 5 MD LM9L40Y       599 14 DX
QSO: 14078 RY 2011-09-25 2238 N3EN          599 5 MD KI6DY         599 4 KS
QSO: 14080 RY 2011-09-25 2240 N3EN          599 05 MD AA7A          599 03 AZ
QSO: 14080 RY 2011-09-25 2241 N3EN          599 5 MD SO4M          599 15 DX
QSO: 14000 RY 2011-09-25 2243 N3EN          599 05 MD SN2B          599 15 DX
QSO: 14088 RY 2011-09-25 2247 N3EN          599 05 MD ED1R          599 14 DX
QSO: 14094 RY 2011-09-25 2249 N3EN          599 05 MD K7IA          599 04 NM
QSO: 14098 RY 2011-09-25 2251 N3EN          599 05 MD PI4CC         599 14 DX
QSO: 14101 RY 2011-09-25 2252 N3EN          599 05 MD K4CX          599 04 TN
QSO: 14107 RY 2011-09-25 2254 N3EN          599 05 MD EF7R          599 14 DX
QSO: 14108 RY 2011-09-25 2254 N3EN          599 05 MD AC0C          599 04 KS
QSO: 14080 RY 2011-09-25 2256 N3EN          599 05 MD DK3GI         599 14 DX
QSO: 14118 RY 2011-09-25 2257 N3EN          599 05 MD S50W          599 15 DX
QSO: 14119 RY 2011-09-25 2257 N3EN          599 05 MD N7TT          599 03 WA
QSO: 14123 RY 2011-09-25 2259 N3EN          599 05 MD TM4P          599 14 DX
QSO: 14125 RY 2011-09-25 2259 N3EN          599 05 MD AK7AZ         599 03 AZ
QSO: 14124 RY 2011-09-25 2300 N3EN          599 5 MD KP4JRS        599 08 DX
QSO: 14126 RY 2011-09-25 2301 N3EN          599 05 MD K4HAL         599 04 AL
QSO: 14130 RY 2011-09-25 2302 N3EN          599 05 MD AE5E          599 04 MN
QSO: 14135 RY 2011-09-25 2304 N3EN          599 5 MD TF3PPN        599 40 DX
QSO: 14000 RY 2011-09-25 2318 N3EN          599 05 MD 9A4P          599 15 DX
QSO: 14085 RY 2011-09-25 2320 N3EN          599 05 MD OH4A          599 15 DX
QSO: 14086 RY 2011-09-25 2321 N3EN          599 05 MD TG9ANF        599 07 DX
QSO: 14088 RY 2011-09-25 2322 N3EN          599 5 MD K5DU          599 04 TX
QSO: 14089 RY 2011-09-25 2324 N3EN          599 05 MD EI2GLB        599 14 DX
QSO: 14095 RY 2011-09-25 2326 N3EN          599 05 MD PZ5RA         599 09 DX
QSO: 14106 RY 2011-09-25 2330 N3EN          599 05 MD F4ERS         599 14 DX
QSO: 14000 RY 2011-09-25 2331 N3EN          599 05 MD G3TXF         599 14 DX
END-OF-LOG:
