START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WW-CW
CALLSIGN: SP3OCC
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: SP3OCC
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WW-CW CQWW/cw/2022.
QSO: 21031 CW 2022-11-26 1058 SP3OCC        599 15 E2X           599 26
QSO: 21059 CW 2022-11-26 1439 SP3OCC        599 15 HB9FAP        599 14
QSO: 21044 CW 2022-11-26 1443 SP3OCC        599 15 SM6M          599 14
QSO: 21068 CW 2022-11-26 1443 SP3OCC        599 15 P44X          599 09
QSO: 21108 CW 2022-11-26 1446 SP3OCC        599 15 K8PK          599 4
QSO: 21108 CW 2022-11-26 1446 SP3OCC        599 15 PY5AMF        599 11
QSO: 21039 CW 2022-11-26 1448 SP3OCC        599 15 LY4A          599 15
QSO: 21038 CW 2022-11-26 1450 SP3OCC        599 15 EI5KF         599 14
QSO: 21026 CW 2022-11-26 1451 SP3OCC        599 15 OZ5W          599 14
QSO: 21120 CW 2022-11-26 1451 SP3OCC        599 15 K3PH          599 5
QSO: 21021 CW 2022-11-26 1453 SP3OCC        599 15 CE3CT         599 12
QSO: 21003 CW 2022-11-26 1454 SP3OCC        599 15 ES7A          599 15
QSO: 21053 CW 2022-11-26 1455 SP3OCC        599 15 C6AGU         599 8
QSO: 21070 CW 2022-11-27 1044 SP3OCC        599 15 AH2R          599 27
QSO: 21014 CW 2022-11-27 1048 SP3OCC        599 15 VL2A          599 30
QSO: 21007 CW 2022-11-27 1050 SP3OCC        599 15 E7DX          599 15
QSO: 21009 CW 2022-11-27 1056 SP3OCC        599 15 CX5FK         599 13
QSO: 21069 CW 2022-11-27 1057 SP3OCC        599 15 R8OM          599 18
QSO: 21055 CW 2022-11-27 1104 SP3OCC        599 15 9N7AA         599 22
QSO: 21049 CW 2022-11-27 1110 SP3OCC        599 15 OT7T          599 14
QSO: 21067 CW 2022-11-27 1111 SP3OCC        599 15 ZM1A          599 32
QSO: 21037 CW 2022-11-27 1120 SP3OCC        599 15 TK0C          599 15
QSO: 21012 CW 2022-11-27 1122 SP3OCC        599 15 VP2MJA        599 8
QSO: 21032 CW 2022-11-27 1134 SP3OCC        599 15 A71BX         599 21
QSO: 21015 CW 2022-11-27 1136 SP3OCC        599 15 EF6T          599 14
QSO: 21008 CW 2022-11-27 1144 SP3OCC        599 15 ZP5AA         599 11
QSO: 21025 CW 2022-11-27 1149 SP3OCC        599 15 Z35Y          599 15
QSO: 21064 CW 2022-11-27 1151 SP3OCC        599 15 VP5M          599 8
QSO: 21053 CW 2022-11-27 1158 SP3OCC        599 15 PI4COM        599 14
QSO: 21005 CW 2022-11-27 1159 SP3OCC        599 15 M2G           599 14
QSO: 21035 CW 2022-11-27 1200 SP3OCC        599 15 UW5Y          599 16
QSO: 21032 CW 2022-11-27 1204 SP3OCC        599 15 WP4WW         599 08
QSO: 21027 CW 2022-11-27 1211 SP3OCC        599 15 KP3DX         599 08
QSO: 21069 CW 2022-11-27 1213 SP3OCC        599 15 TO5Z          599 8
QSO: 21024 CW 2022-11-27 1215 SP3OCC        599 15 W3LPL         599 5
QSO: 21033 CW 2022-11-27 1216 SP3OCC        599 15 KP2B          599 8
QSO: 21055 CW 2022-11-27 1221 SP3OCC        599 15 VE9AA         599 5
QSO: 21042 CW 2022-11-27 1222 SP3OCC        599 15 CR3W          599 33
QSO: 21054 CW 2022-11-27 1223 SP3OCC        599 15 PR2E          599 11
QSO: 21033 CW 2022-11-27 1224 SP3OCC        599 15 PJ4K          599 9
QSO: 21046 CW 2022-11-27 1229 SP3OCC        599 15 VO1HP         599 5
QSO: 21001 CW 2022-11-27 1230 SP3OCC        599 15 K1LZ          599 05
QSO: 21012 CW 2022-11-27 1230 SP3OCC        599 15 N4AF          599 05
QSO: 21002 CW 2022-11-27 1231 SP3OCC        599 15 K3LR          599 5
QSO: 21056 CW 2022-11-27 1231 SP3OCC        599 15 N4UU          599 05
QSO: 21041 CW 2022-11-27 1232 SP3OCC        599 15 N3AD          599 5
QSO: 21012 CW 2022-11-27 1233 SP3OCC        599 15 N4CW          599 5
QSO: 21027 CW 2022-11-27 1233 SP3OCC        599 15 K2LE          599 5
QSO: 21011 CW 2022-11-27 1234 SP3OCC        599 15 W4NF          599 5
QSO: 21022 CW 2022-11-27 1234 SP3OCC        599 15 K1AR          599 05
QSO: 21023 CW 2022-11-27 1234 SP3OCC        599 15 NN4NN         599 5
QSO: 21057 CW 2022-11-27 1234 SP3OCC        599 15 N4WW          599 5
QSO: 21024 CW 2022-11-27 1235 SP3OCC        599 15 N4BP          599 5
QSO: 21031 CW 2022-11-27 1236 SP3OCC        599 15 W1WEF         599 5
QSO: 21060 CW 2022-11-27 1236 SP3OCC        599 15 HQ9X          599 07
QSO: 21008 CW 2022-11-27 1237 SP3OCC        599 15 P33W          599 20
QSO: 21035 CW 2022-11-27 1237 SP3OCC        599 15 K1RX          599 5
QSO: 21000 CW 2022-11-27 1238 SP3OCC        599 15 KQ2M          599 5
QSO: 21028 CW 2022-11-27 1238 SP3OCC        599 15 W0AAE         599 5
QSO: 21058 CW 2022-11-27 1343 SP3OCC        599 15 OH0Z          599 15
QSO: 21032 CW 2022-11-27 1346 SP3OCC        599 15 SX1T          599 20
QSO: 21028 CW 2022-11-27 1348 SP3OCC        599 15 SX9V          599 20
QSO: 21011 CW 2022-11-27 1351 SP3OCC        599 15 N5DX          599 5
QSO: 21055 CW 2022-11-27 1352 SP3OCC        599 15 W4KZ          599 5
QSO: 21012 CW 2022-11-27 1354 SP3OCC        599 15 VA3SB         599 4
QSO: 21047 CW 2022-11-27 1354 SP3OCC        599 15 N2RC          599 5
QSO: 21045 CW 2022-11-27 1355 SP3OCC        599 15 K1TZQ         599 5
QSO: 21004 CW 2022-11-27 1358 SP3OCC        599 15 K5GN          599 4
QSO: 21010 CW 2022-11-27 1359 SP3OCC        599 15 W2FU          599 5
QSO: 21037 CW 2022-11-27 1400 SP3OCC        599 15 K2AX          599 5
QSO: 21068 CW 2022-11-27 1400 SP3OCC        599 15 V26K          599 8
QSO: 21040 CW 2022-11-27 1401 SP3OCC        599 15 N1TO          599 5
QSO: 21004 CW 2022-11-27 1402 SP3OCC        599 15 K5GN          599 4
QSO: 21021 CW 2022-11-27 1402 SP3OCC        599 15 WA2OAX        599 5
QSO: 21055 CW 2022-11-27 1403 SP3OCC        599 15 K2SX          599 5
QSO: 21015 CW 2022-11-27 1404 SP3OCC        599 15 VE3NZ         599 4
QSO: 21041 CW 2022-11-27 1405 SP3OCC        599 15 HG22TISZA     599 15
QSO: 21013 CW 2022-11-27 1406 SP3OCC        599 15 K1TTT         599 5
QSO: 21002 CW 2022-11-27 1407 SP3OCC        599 15 W4CB          599 05
QSO: 21009 CW 2022-11-27 1407 SP3OCC        599 15 KQ2F          599 05
QSO: 21012 CW 2022-11-27 1407 SP3OCC        599 15 WG3J          599 5
QSO: 21051 CW 2022-11-27 1408 SP3OCC        599 15 KP3N          599 08
QSO: 21013 CW 2022-11-27 1409 SP3OCC        599 15 NY3A          599 5
QSO: 21006 CW 2022-11-27 1410 SP3OCC        599 15 K1RU          599 5
QSO: 21007 CW 2022-11-27 1410 SP3OCC        599 15 N2AA          599 5
QSO: 21009 CW 2022-11-27 1412 SP3OCC        599 15 K3AU          599 5
QSO: 21019 CW 2022-11-27 1415 SP3OCC        599 15 XQ1KZ         599 12
QSO: 21067 CW 2022-11-27 1416 SP3OCC        599 15 CT3KN         599 33
QSO: 21000 CW 2022-11-27 1418 SP3OCC        599 15 TM9C          599 14
QSO: 21002 CW 2022-11-27 1419 SP3OCC        599 15 KB1W          599 5
QSO: 21001 CW 2022-11-27 1422 SP3OCC        599 15 LZ5K          599 20
QSO: 21000 CW 2022-11-27 1431 SP3OCC        599 15 N8II          599 5
QSO: 21047 CW 2022-11-27 1431 SP3OCC        599 15 K8GL          599 04
QSO: 21008 CW 2022-11-27 1432 SP3OCC        599 15 VA2EW         599 5
QSO: 21048 CW 2022-11-27 1436 SP3OCC        599 15 WX0B          599 4
QSO: 21008 CW 2022-11-27 1437 SP3OCC        599 15 4X1MM         599 20
QSO: 21042 CW 2022-11-27 1437 SP3OCC        599 15 W2AA          599 5
QSO: 21025 CW 2022-11-27 1438 SP3OCC        599 15 OM8CW         599 15
QSO: 21057 CW 2022-11-27 1439 SP3OCC        599 15 K3RV          599 5
QSO: 21016 CW 2022-11-27 1440 SP3OCC        599 15 TM6X          599 14
QSO: 21064 CW 2022-11-27 1440 SP3OCC        599 15 LN8W          599 14
QSO: 21043 CW 2022-11-27 1441 SP3OCC        599 15 KT5C          599 4
QSO: 21064 CW 2022-11-27 1445 SP3OCC        599 15 WI9WI         599 4
QSO: 21069 CW 2022-11-27 1446 SP3OCC        599 15 VA2CZ         599 5
QSO: 21052 CW 2022-11-27 1447 SP3OCC        599 15 K0ZR          599 5
QSO: 21040 CW 2022-11-27 1448 SP3OCC        599 15 W2AW          599 5
QSO: 21054 CW 2022-11-27 1449 SP3OCC        599 15 WP3C          599 8
QSO: 21004 CW 2022-11-27 1450 SP3OCC        599 15 K7SV          599 5
QSO: 21125 CW 2022-11-27 1450 SP3OCC        599 15 PZ5CO         599 9
QSO: 21069 CW 2022-11-27 1455 SP3OCC        599 15 TF3SG         599 40
QSO: 21028 CW 2022-11-27 1457 SP3OCC        599 15 N5XZ          599 4
QSO: 21000 CW 2022-11-27 1458 SP3OCC        599 15 F6ARC         599 14
QSO: 21063 CW 2022-11-27 1504 SP3OCC        599 15 IS0AFM        599 15
QSO: 21036 CW 2022-11-27 1540 SP3OCC        599 15 OA4SS         599 10
QSO: 21010 CW 2022-11-27 1550 SP3OCC        599 15 K5ZD          599 05
QSO: 21039 CW 2022-11-27 1554 SP3OCC        599 15 9A7A          599 15
QSO: 21040 CW 2022-11-27 1557 SP3OCC        599 15 OK5Z          599 15
QSO: 21017 CW 2022-11-27 1601 SP3OCC        599 15 DA0T          599 14
END-OF-LOG:
