START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-CW
CALLSIGN: G3RKF
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: G3RKF
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-CW CQWPX/cw/2023.
QSO:  7008 CW 2023-05-27 0536 G3RKF         599 KQ2M          599 698
QSO: 14020 CW 2023-05-27 1858 G3RKF         599 0045 BY8DX         599 1296
QSO: 14017 CW 2023-05-27 2122 G3RKF         599 0046 WK1O          599 1104
QSO: 14034 CW 2023-05-27 2123 G3RKF         599 0047 N4SS          599 0988
QSO: 14047 CW 2023-05-27 2126 G3RKF         599 048 RU1A          599 1315
QSO: 14050 CW 2023-05-27 2126 G3RKF         599 0049 SN7Q          599 1909
QSO: 14053 CW 2023-05-27 2128 G3RKF         599 0050 MM9I          599 1470
QSO: 21017 CW 2023-05-27 2131 G3RKF         599 051 P40W          599 1352
QSO: 21030 CW 2023-05-27 2131 G3RKF         599 0052 KR2Q          599 0929
QSO: 28007 CW 2023-05-27 2135 G3RKF         599 0053 SN0W          599 0224
QSO: 28050 CW 2023-05-27 2139 G3RKF         599 0054 LN8W          599 0508
QSO:  7017 CW 2023-05-28 0549 G3RKF         599 055 KA1IS         599 1073
QSO: 21007 CW 2023-05-28 0558 G3RKF         599 057 UP2L          599 3710
QSO: 21000 CW 2023-05-28 0601 G3RKF         599 57 S50K          599 1719
QSO: 21008 CW 2023-05-28 0716 G3RKF         599 058 CN3A          599 3004
QSO: 28001 CW 2023-05-28 0720 G3RKF         599 59 LY2IJ         599 804
QSO: 21000 CW 2023-05-28 0902 G3RKF         599 060 CT7BJG        599 891
QSO: 21014 CW 2023-05-28 0904 G3RKF         599 061 R0WC          599 668
QSO: 21034 CW 2023-05-28 0917 G3RKF         599 062 OL750HOL      599 2599
QSO: 21017 CW 2023-05-28 0918 G3RKF         599 0063 V26MJ         599 3274
QSO: 28002 CW 2023-05-28 0920 G3RKF         599 064 DA0BCC        599 0426
QSO: 28045 CW 2023-05-28 0923 G3RKF         599 0065 OM4Q          599 2066
QSO: 28058 CW 2023-05-28 0923 G3RKF         599 0066 EA7A          599 0164
QSO: 28023 CW 2023-05-28 1246 G3RKF         599 067 P3C           599 834
QSO: 28030 CW 2023-05-28 1252 G3RKF         599 0009 SX9V          599 0312
QSO: 21066 CW 2023-05-28 1302 G3RKF         599 0069 VE3EJ         599 1595
QSO: 21061 CW 2023-05-28 1303 G3RKF         599 070 TO1A          599 2343
QSO: 21010 CW 2023-05-28 1305 G3RKF         599 0071 SV2JAO        599 0991
QSO: 21001 CW 2023-05-28 1408 G3RKF         599 72 KV2K          599 2306
QSO: 21029 CW 2023-05-28 1412 G3RKF         599 0073 VP5M          599 3059
QSO: 14064 CW 2023-05-28 1557 G3RKF         599 074 UB7K          599 2066
QSO: 14018 CW 2023-05-28 1603 G3RKF         599 0077 EA3X          599 1166
QSO: 21064 CW 2023-05-28 1606 G3RKF         599 0077 SN7O          599 1754
QSO: 21011 CW 2023-05-28 1752 G3RKF         599 0078 WP3X          599 3552
QSO: 21015 CW 2023-05-28 1754 G3RKF         599 079 HG7T          599 1909
QSO: 28010 CW 2023-05-28 1756 G3RKF         599 080 LY7Z          599 0932
QSO: 28042 CW 2023-05-28 1759 G3RKF         599 0081 LA100K        599 0544
QSO: 14026 CW 2023-05-28 1801 G3RKF         599 0082 SP4TKR        599 1658
QSO: 14045 CW 2023-05-28 1803 G3RKF         599 083 NY4A          599 2582
QSO: 14033 CW 2023-05-28 1953 G3RKF         599 084 YT3X          599 2115
QSO: 14003 CW 2023-05-28 2108 G3RKF         599 0085 S57DX         599 2064
QSO: 14042 CW 2023-05-28 2109 G3RKF         599 086 4U29MAY       599 501
QSO: 21003 CW 2023-05-28 2112 G3RKF         599 087 PR2E          599 3559
QSO: 21016 CW 2023-05-28 2114 G3RKF         599 0088 YT9A          599 2156
QSO: 28000 CW 2023-05-28 2116 G3RKF         599 0089 YT1X          599 0801
QSO:  7001 CW 2023-05-28 2118 G3RKF         599 0090 SP3GEM        599 1830
QSO:  7018 CW 2023-05-28 2119 G3RKF         599 091 DL17UBOOT     599 832
QSO:  7024 CW 2023-05-28 2120 G3RKF         599 092 UP0L          599 3390
QSO: 21008 CW 2023-05-28 2123 G3RKF         599 093 NY4A          599 2735
QSO: 21046 CW 2023-05-28 2124 G3RKF         599 0094 YT3D          599 1944
QSO: 21039 CW 2023-05-28 2126 G3RKF         599 0095 PR1T          599 2017
END-OF-LOG:
