START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WW-CW
CALLSIGN: E76WO
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: E76WO
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WW-CW CQWW/cw/2015.
QSO: 14000 CW 2015-11-28 0001 E76WO         599 15 YN2CC         599 7
QSO: 14044 CW 2015-11-28 0235 E76WO         599 54 UA0SR         599 18
QSO: 14039 CW 2015-11-28 0236 E76WO         599 15 RA4LO         599 16
QSO: 14039 CW 2015-11-28 0237 E76WO         599 15 UN9GD         599 17
QSO: 14036 CW 2015-11-28 0238 E76WO         599 15 P40L          599 9
QSO: 14035 CW 2015-11-28 0241 E76WO         599 15 ZF2MJ         599 8
QSO: 14000 CW 2015-11-28 0242 E76WO         599 15 4L2M          599 21
QSO: 14024 CW 2015-11-28 0249 E76WO         599 15 PJ2T          599 09
QSO: 14017 CW 2015-11-28 0250 E76WO         599 15 RM4I          599 16
QSO: 14014 CW 2015-11-28 0251 E76WO         599 15 RT0R          599 18
QSO: 14012 CW 2015-11-28 0252 E76WO         599 15 RW0A          599 18
QSO: 14010 CW 2015-11-28 0253 E76WO         599 15 RT0C          599 19
QSO: 14012 CW 2015-11-28 0253 E76WO         599 15 RK4FF         599 16
QSO: 14008 CW 2015-11-28 0254 E76WO         599 15 VE6JY         599 4
QSO: 14007 CW 2015-11-28 0255 E76WO         599 15 RK0UT         599 18
QSO: 14004 CW 2015-11-28 0256 E76WO         599 15 CR3OO         599 33
QSO: 14033 CW 2015-11-28 0256 E76WO         599 15 HK1R          599 9
QSO: 14047 CW 2015-11-28 0300 E76WO         599 15 FY5KE         599 09
QSO: 14048 CW 2015-11-28 0301 E76WO         599 15 EA8CUU        599 33
QSO: 14000 CW 2015-11-28 0304 E76WO         599 15 C6ARU         599 08
QSO: 14057 CW 2015-11-28 0305 E76WO         599 15 PY1NX         599 11
QSO: 14000 CW 2015-11-28 0308 E76WO         599 15 P40W          599 9
QSO: 14066 CW 2015-11-28 0314 E76WO         599 15 BI4MT         599 24
QSO: 14000 CW 2015-11-28 0319 E76WO         599 15 LV1F          599 13
QSO: 14070 CW 2015-11-28 0324 E76WO         599 15 CO2RQ         599 8
QSO: 14070 CW 2015-11-28 0326 E76WO         599 15 OL3R          599 15
QSO: 14070 CW 2015-11-28 0328 E76WO         599 15 OK6W          599 15
QSO: 14070 CW 2015-11-28 0334 E76WO         599 15 PY2QI         599 11
QSO: 14070 CW 2015-11-28 0337 E76WO         599 15 GW4J          599 14
QSO: 14070 CW 2015-11-28 0338 E76WO         599 15 PY4XX         599 11
QSO: 14070 CW 2015-11-28 0340 E76WO         599 15 CX7ACH        599 13
QSO: 14070 CW 2015-11-28 0340 E76WO         599 15 NQ4I          599 05
QSO: 14070 CW 2015-11-28 0343 E76WO         599 15 YT7W          599 15
QSO: 14070 CW 2015-11-28 0344 E76WO         599 15 N4ZC          599 5
QSO: 14070 CW 2015-11-28 0344 E76WO         599 15 W9SN          599 4
QSO: 14070 CW 2015-11-28 0346 E76WO         599 15 UA2F          599 15
QSO: 14070 CW 2015-11-28 0348 E76WO         599 15 8P2K          599 8
QSO: 14070 CW 2015-11-28 0348 E76WO         599 15 IR4M          599 15
QSO: 14070 CW 2015-11-28 0349 E76WO         599 15 W4CU          599 5
QSO: 14000 CW 2015-11-28 0353 E76WO         599 15 YT1A          599 15
QSO: 14070 CW 2015-11-28 0353 E76WO         599 15 K4LM          599 5
QSO: 14070 CW 2015-11-28 0355 E76WO         599 15 LZ9W          599 20
QSO: 14000 CW 2015-11-28 0359 E76WO         599 15 UY4W          599 16
QSO: 14070 CW 2015-11-28 0400 E76WO         599 15 CR5U          599 14
QSO: 14070 CW 2015-11-28 0403 E76WO         599 15 HA3LN         599 15
QSO: 14070 CW 2015-11-28 0404 E76WO         599 15 ZM4G          599 32
QSO: 14071 CW 2015-11-28 0409 E76WO         599 15 S51F          599 15
QSO: 14070 CW 2015-11-28 0412 E76WO         599 15 WE3C          599 5
QSO: 14057 CW 2015-11-28 0419 E76WO         599 15 PJ6/OH1VR     599 8
QSO: 14055 CW 2015-11-28 0421 E76WO         599 15 WO4O          599 5
QSO: 14044 CW 2015-11-28 0424 E76WO         599 15 PX2V          599 11
QSO: 14031 CW 2015-11-28 0426 E76WO         599 15 PW2D          599 11
QSO: 14025 CW 2015-11-28 0427 E76WO         599 15 PJ2T          599 09
QSO: 14025 CW 2015-11-28 0428 E76WO         599 15 IK0YUT        599 15
QSO: 14032 CW 2015-11-28 0440 E76WO         599 15 LP1H          599 13
QSO: 14000 CW 2015-11-28 0445 E76WO         599 15 ZL4YL         599 32
QSO: 14000 CW 2015-11-28 0453 E76WO         599 15 CB1H          599 12
QSO: 14051 CW 2015-11-28 0501 E76WO         599 15 CT1ELZ        599 14
QSO: 14050 CW 2015-11-28 0504 E76WO         599 15 JY9FC         599 20
QSO: 14047 CW 2015-11-28 0505 E76WO         599 15 RA9Y          599 18
QSO: 14054 CW 2015-11-28 0511 E76WO         599 15 A71EM         599 21
QSO: 14014 CW 2015-11-28 0512 E76WO         599 15 ZM1A          599 32
QSO: 14013 CW 2015-11-28 0513 E76WO         599 15 4X2M          599 20
QSO: 14012 CW 2015-11-28 0516 E76WO         599 15 RC9O          599 18
QSO: 14007 CW 2015-11-28 0517 E76WO         599 15 4X7R          599 20
QSO: 14003 CW 2015-11-28 0519 E76WO         599 15 RA9UN         599 18
QSO: 14067 CW 2015-11-28 0527 E76WO         599 15 RN9RF         599 17
QSO: 14004 CW 2015-11-28 0729 E76WO         599 15 SN1D          599 15
QSO: 14009 CW 2015-11-28 0731 E76WO         599 15 RM9A          599 17
QSO: 14010 CW 2015-11-28 0732 E76WO         599 15 LY6A          599 15
QSO: 14015 CW 2015-11-28 0736 E76WO         599 15 LX7I          599 14
QSO: 14018 CW 2015-11-28 0740 E76WO         599 15 RN1ON         599 16
QSO: 14019 CW 2015-11-28 0741 E76WO         599 15 RT0F          599 19
QSO: 14022 CW 2015-11-28 0742 E76WO         599 15 UX1IL         599 16
QSO: 14022 CW 2015-11-28 0743 E76WO         599 15 RT1O          599 16
QSO: 14023 CW 2015-11-28 0744 E76WO         599 15 EA3FZT        599 14
QSO: 14022 CW 2015-11-28 0745 E76WO         599 15 RA9DZ         599 17
QSO: 14024 CW 2015-11-28 0746 E76WO         599 15 R9XZ          599 17
QSO: 14025 CW 2015-11-28 0747 E76WO         599 15 EW8M          599 16
QSO: 14026 CW 2015-11-28 0748 E76WO         599 15 DR1D          599 14
QSO: 14011 CW 2015-11-28 0749 E76WO         599 15 OH2BAH        599 15
QSO: 14030 CW 2015-11-28 0750 E76WO         599 15 RG6G          599 16
QSO: 14000 CW 2015-11-28 0751 E76WO         599 15 R3OR          599 16
QSO: 14031 CW 2015-11-28 0751 E76WO         599 15 EU1DX         599 16
QSO: 14033 CW 2015-11-28 0753 E76WO         599 15 F5VBT         599 14
QSO: 14035 CW 2015-11-28 0758 E76WO         599 15 EW8EW         599 16
QSO: 14036 CW 2015-11-28 0800 E76WO         599 15 RG3P          599 16
QSO: 14038 CW 2015-11-28 0801 E76WO         599 15 OR3A          599 14
QSO: 14041 CW 2015-11-28 0803 E76WO         599 15 ED1R          599 14
QSO: 14042 CW 2015-11-28 0805 E76WO         599 15 EI7M          599 14
QSO: 14044 CW 2015-11-28 0808 E76WO         599 15 PA6NB         599 14
QSO: 14046 CW 2015-11-28 0809 E76WO         599 15 OZ7A          599 14
QSO: 14048 CW 2015-11-28 0809 E76WO         599 15 SJ2W          599 14
QSO: 14050 CW 2015-11-28 0810 E76WO         599 15 EF2A          599 14
QSO: 14051 CW 2015-11-28 0812 E76WO         599 15 EF8O          599 33
QSO: 14051 CW 2015-11-28 0812 E76WO         599 15 SN0W          599 15
QSO: 14053 CW 2015-11-28 0814 E76WO         599 15 M6T           599 14
QSO: 14057 CW 2015-11-28 0815 E76WO         599 15 RW0A          599 18
QSO: 14062 CW 2015-11-28 0816 E76WO         599 15 OH1F          599 15
QSO: 14000 CW 2015-11-28 0817 E76WO         599 15 A45XR         599 21
QSO: 14064 CW 2015-11-28 0817 E76WO         599 15 EA8RM         599 33
QSO: 14065 CW 2015-11-28 0818 E76WO         599 15 UA7K          599 16
QSO: 14009 CW 2015-11-28 0821 E76WO         599 15 UT8NQ         599 16
QSO: 14000 CW 2015-11-28 0823 E76WO         599 15 DL9ZP         599 14
QSO: 14071 CW 2015-11-28 0824 E76WO         599 15 UX4MX         599 16
QSO: 14071 CW 2015-11-28 0825 E76WO         599 15 UT4UQ         599 16
QSO: 14071 CW 2015-11-28 0827 E76WO         599 15 KE3X          599 5
QSO: 14071 CW 2015-11-28 0827 E76WO         599 15 OZ7BQ         599 14
QSO: 14071 CW 2015-11-28 0830 E76WO         599 15 DL1EFW        599 14
QSO: 14071 CW 2015-11-28 0831 E76WO         599 15 EA4GLJ        599 14
QSO: 14073 CW 2015-11-28 0833 E76WO         599 15 E77AW         599 15
QSO: 14068 CW 2015-11-28 0835 E76WO         599 15 VE6JY         599 4
QSO: 14071 CW 2015-11-28 0837 E76WO         599 15 DL7ALM        599 14
QSO: 14000 CW 2015-11-28 0838 E76WO         599 15 LY2LF         599 15
QSO: 14000 CW 2015-11-28 0839 E76WO         599 15 DL6AG         599 14
QSO: 14071 CW 2015-11-28 0841 E76WO         599 15 SP6NIC        599 15
QSO: 14071 CW 2015-11-28 0842 E76WO         599 15 SP1C          599 15
QSO: 14071 CW 2015-11-28 0843 E76WO         599 15 DF4ZL         599 14
QSO: 14071 CW 2015-11-28 0843 E76WO         599 15 EW6EN         599 16
QSO: 14020 CW 2015-11-28 0845 E76WO         599 15 UW7M          599 16
QSO: 14070 CW 2015-11-28 0845 E76WO         599 15 RW3YA         599 16
QSO: 14071 CW 2015-11-28 0846 E76WO         599 15 PA3AIN        599 14
QSO: 14000 CW 2015-11-28 0848 E76WO         599 15 UX1CL         599 16
QSO: 14071 CW 2015-11-28 0849 E76WO         599 15 N4PD          599 5
QSO: 14000 CW 2015-11-28 0850 E76WO         599 15 EU3A          599 16
QSO: 14071 CW 2015-11-28 0851 E76WO         599 15 W4AAW         599 5
QSO: 14070 CW 2015-11-28 0853 E76WO         599 15 R5AM          599 16
QSO: 14070 CW 2015-11-28 0853 E76WO         599 15 UT4NY         599 16
QSO: 14000 CW 2015-11-28 0854 E76WO         599 15 DL8BV         599 14
QSO: 14000 CW 2015-11-28 0855 E76WO         599 15 F2AR          599 14
QSO: 14000 CW 2015-11-28 0856 E76WO         599 15 EA6ZS         599 14
QSO: 14070 CW 2015-11-28 0856 E76WO         599 15 W3LPL         599 5
QSO: 14071 CW 2015-11-28 0902 E76WO         599 15 EI3KI         599 14
QSO: 14000 CW 2015-11-28 0904 E76WO         599 15 DL6ON         599 14
QSO: 14000 CW 2015-11-28 0907 E76WO         599 15 EA2GM         599 14
QSO: 14027 CW 2015-11-28 0919 E76WO         599 15 F5VV          599 14
QSO: 14010 CW 2015-11-28 0920 E76WO         599 15 UT0CK         599 16
QSO: 14072 CW 2015-11-28 0921 E76WO         599 15 RV3UP         599 16
QSO: 14072 CW 2015-11-28 0922 E76WO         599 15 UT2UB         599 16
QSO: 14072 CW 2015-11-28 0925 E76WO         599 15 YL2CV         599 15
QSO: 14000 CW 2015-11-28 0926 E76WO         599 15 PA3CJP        599 14
QSO: 14000 CW 2015-11-28 0927 E76WO         599 15 UT1QQ         599 16
QSO: 14000 CW 2015-11-28 0928 E76WO         599 15 F5PRH         599 14
QSO: 14071 CW 2015-11-28 0929 E76WO         599 15 RA3NC         599 16
QSO: 14072 CW 2015-11-28 0929 E76WO         599 15 K3ZU          599 5
QSO: 14072 CW 2015-11-28 0929 E76WO         599 15 LZ7M          599 20
QSO: 14000 CW 2015-11-28 0931 E76WO         599 15 ON3ND         599 14
QSO: 14072 CW 2015-11-28 0933 E76WO         599 15 LA2HFA        599 14
QSO: 14072 CW 2015-11-28 0934 E76WO         599 15 R9AX          599 17
QSO: 14072 CW 2015-11-28 0935 E76WO         599 15 RL5D          599 16
QSO: 14000 CW 2015-11-28 0942 E76WO         599 15 TC0A          599 20
QSO: 14005 CW 2015-11-28 0943 E76WO         599 15 RT9J          599 17
QSO: 14006 CW 2015-11-28 0948 E76WO         599 15 C4Z           599 20
QSO: 14080 CW 2015-11-28 0951 E76WO         599 15 K4TCG         599 4
QSO: 14011 CW 2015-11-28 0958 E76WO         599 15 RD3AT         599 16
QSO: 14011 CW 2015-11-28 0958 E76WO         599 15 RT4F          599 16
QSO: 14012 CW 2015-11-28 0958 E76WO         599 15 SK3W          599 14
QSO: 14000 CW 2015-11-28 1023 E76WO         599 15 GU4CHY        599 14
QSO: 14054 CW 2015-11-28 1024 E76WO         599 15 UW2M          599 16
QSO: 14060 CW 2015-11-28 1026 E76WO         599 15 RM3F          599 16
QSO: 14062 CW 2015-11-28 1027 E76WO         599 15 OZ1AA         599 14
QSO: 14082 CW 2015-11-28 1035 E76WO         599 15 R2ZA          599 16
QSO: 14083 CW 2015-11-28 1036 E76WO         599 15 DL1WA         599 14
QSO: 14000 CW 2015-11-28 1037 E76WO         599 15 IK2WXQ        599 15
QSO: 14000 CW 2015-11-28 1216 E76WO         599 15 N3FCP         599 5
QSO: 14072 CW 2015-11-28 1218 E76WO         599 15 UR5FCM        599 16
QSO: 14000 CW 2015-11-28 1219 E76WO         599 15 DL9LM         599 14
QSO: 14070 CW 2015-11-28 1219 E76WO         599 15 RT6A          599 16
QSO: 14070 CW 2015-11-28 1221 E76WO         599 15 SE4E          599 14
QSO: 14070 CW 2015-11-28 1221 E76WO         599 15 UR5LF         599 16
QSO: 14070 CW 2015-11-28 1224 E76WO         599 15 DD1A          599 14
QSO: 14000 CW 2015-11-28 1225 E76WO         599 15 SM5AOG        599 14
QSO: 14070 CW 2015-11-28 1226 E76WO         599 15 G4WGE         599 14
QSO: 14070 CW 2015-11-28 1226 E76WO         599 15 RT4D          599 16
QSO: 14070 CW 2015-11-28 1228 E76WO         599 15 E7DX          599 15
QSO: 14070 CW 2015-11-28 1228 E76WO         599 15 R4SO          599 16
QSO: 14070 CW 2015-11-28 1230 E76WO         599 15 RT4W          599 16
QSO: 14000 CW 2015-11-28 1231 E76WO         599 15 EW2ES         599 16
QSO: 14070 CW 2015-11-28 1231 E76WO         599 15 DJ6OZ         599 14
QSO: 14070 CW 2015-11-28 1232 E76WO         599 15 UA9LAO        599 17
QSO: 14070 CW 2015-11-28 1233 E76WO         599 15 DK5D          599 14
QSO: 14074 CW 2015-11-28 1241 E76WO         599 15 EA5RS         599 14
QSO: 14000 CW 2015-11-28 1244 E76WO         599 15 SP1AEN        599 15
QSO: 14077 CW 2015-11-28 1244 E76WO         599 15 K2UF          599 5
QSO: 14077 CW 2015-11-28 1245 E76WO         599 15 RN4W          599 16
QSO: 14078 CW 2015-11-28 1245 E76WO         599 15 UT4XU         599 16
QSO: 14077 CW 2015-11-28 1246 E76WO         599 15 RT5Z          599 16
QSO: 14081 CW 2015-11-28 1247 E76WO         599 15 N5DX          599 5
QSO: 14000 CW 2015-11-28 1248 E76WO         599 14 UX7QD         599 16
QSO: 14085 CW 2015-11-28 1252 E76WO         599 15 UT7AW         599 16
QSO: 14086 CW 2015-11-28 1252 E76WO         599 15 K4AB          599 4
QSO: 14086 CW 2015-11-28 1253 E76WO         599 15 EA1WX         599 14
QSO: 14090 CW 2015-11-28 1257 E76WO         599 15 PI4COM        599 14
QSO: 14095 CW 2015-11-28 1259 E76WO         599 15 SA4A          599 14
QSO: 14096 CW 2015-11-28 1301 E76WO         599 15 DL4AC         599 14
QSO: 14096 CW 2015-11-28 1302 E76WO         599 15 RT3T          599 16
QSO: 14096 CW 2015-11-28 1302 E76WO         599 15 W2YR          599 5
QSO: 14096 CW 2015-11-28 1303 E76WO         599 15 PA3EEG        599 14
QSO: 14096 CW 2015-11-28 1303 E76WO         599 15 WA3F          599 5
QSO: 14096 CW 2015-11-28 1304 E76WO         599 15 PA3ARM        599 14
QSO: 14000 CW 2015-11-28 1306 E76WO         599 15 N3RJ          599 5
QSO: 14096 CW 2015-11-28 1306 E76WO         599 15 AB4B          599 4
QSO: 14097 CW 2015-11-28 1306 E76WO         599 15 EW6EW         599 16
QSO: 14096 CW 2015-11-28 1307 E76WO         599 15 EA7MT         599 14
QSO: 14095 CW 2015-11-28 1308 E76WO         599 15 OH6E          599 15
QSO: 14096 CW 2015-11-28 1309 E76WO         599 15 N2SQW         599 05
QSO: 14036 CW 2015-11-28 1313 E76WO         599 15 CN8KD         599 33
QSO: 14034 CW 2015-11-28 1314 E76WO         599 15 CR6K          599 14
QSO: 14000 CW 2015-11-28 1316 E76WO         599 15 NR5M          599 04
QSO: 14000 CW 2015-11-28 1317 E76WO         599 15 DL1KWK        599 14
QSO: 14043 CW 2015-11-28 1318 E76WO         599 15 P33W          599 20
QSO: 14045 CW 2015-11-28 1318 E76WO         599 15 DK2DQ         599 14
QSO: 14040 CW 2015-11-28 1320 E76WO         599 15 EI1Y          599 14
END-OF-LOG:
