START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-CW
CALLSIGN: W0IZ
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: W0IZ
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-CW CQWPX/cw/2011.
QSO: 14032 CW 2011-05-28 1454 W0IZ          599 W7YS          599 0318
QSO:  7028 CW 2011-05-28 2210 W0IZ          599 0452 VE3KAO        599 0200
QSO:  7000 CW 2011-05-28 2213 W0IZ          599 0455 N2JDQ         599 0179
QSO:  7028 CW 2011-05-28 2213 W0IZ          599 0454 W1UJ          599 0390
QSO:  7000 CW 2011-05-28 2215 W0IZ          599 456 NJ4I          599 739
QSO:  7028 CW 2011-05-28 2219 W0IZ          599 0457 K0PK          599 0082
QSO:  7028 CW 2011-05-28 2223 W0IZ          599 458 NG5A          599 0625
QSO:  7028 CW 2011-05-28 2226 W0IZ          599 0459 K4PB          599 0239
QSO:  7000 CW 2011-05-28 2227 W0IZ          599 460 KN5S          599 121
QSO:  7028 CW 2011-05-28 2229 W0IZ          599 0462 KN4QD         599 0180
QSO:  7000 CW 2011-05-28 2233 W0IZ          599 464 K4ORD         599 205
QSO:  7000 CW 2011-05-28 2233 W0IZ          599 463 N2JNZ         599 097
QSO:  7028 CW 2011-05-28 2304 W0IZ          599 0465 N9AUG         599 0168
QSO:  7028 CW 2011-05-28 2305 W0IZ          599 0466 VA2WA         599 0906
QSO:  7028 CW 2011-05-28 2306 W0IZ          599 0467 VE3IAE        599 0215
QSO:  7028 CW 2011-05-28 2311 W0IZ          599 0468 KT0R          599 0755
QSO:  7000 CW 2011-05-29 0007 W0IZ          599 0472 NE0S          599 0288
QSO:  7028 CW 2011-05-29 0007 W0IZ          599 471 W1CU          599 446
QSO:  7028 CW 2011-05-29 0012 W0IZ          599 0473 W3DQN         599 0298
QSO:  7028 CW 2011-05-29 0013 W0IZ          599 474 NX0I          599 273
QSO:  7028 CW 2011-05-29 0016 W0IZ          599 0476 VA3SB         599 0404
QSO:  7028 CW 2011-05-29 0019 W0IZ          599 0477 WK1Q          599 1121
QSO:  7028 CW 2011-05-29 0023 W0IZ          599 0479 W4EE          599 0298
QSO:  7028 CW 2011-05-29 0024 W0IZ          599 0480 KU1CW         599 1369
QSO:  7028 CW 2011-05-29 0026 W0IZ          599 481 KQ2F          599 481
QSO:  7000 CW 2011-05-29 0028 W0IZ          599 482 KD5JHE        599 054
QSO:  7028 CW 2011-05-29 0028 W0IZ          599 0483 VE1RGB        599 0345
QSO:  7000 CW 2011-05-29 0029 W0IZ          599 484 K4CNW         599 134
QSO:  7028 CW 2011-05-29 0029 W0IZ          599 0485 K3EL          599 0631
QSO:  7028 CW 2011-05-29 0031 W0IZ          599 0486 NA6E          599 0190
QSO:  7028 CW 2011-05-29 0752 W0IZ          599 0488 VC7M          599 0483
QSO:  7028 CW 2011-05-29 0753 W0IZ          599 0489 N7BV          599 1004
QSO:  7028 CW 2011-05-29 0756 W0IZ          599 0490 KC7V          599 0803
QSO:  7027 CW 2011-05-29 0757 W0IZ          599 491 NQ4I          599 1221
QSO:  7028 CW 2011-05-29 0759 W0IZ          599 0492 HI3TT         599 0357
QSO:  7000 CW 2011-05-29 0803 W0IZ          599 0493 PX2W          599 2591
QSO:  7027 CW 2011-05-29 0803 W0IZ          599 494 ND2T          599 627
QSO:  7027 CW 2011-05-29 0805 W0IZ          599 0495 NI6T          599 1564
QSO:  7000 CW 2011-05-29 0809 W0IZ          599 496 KF7IQ         599 166
QSO:  7028 CW 2011-05-29 0811 W0IZ          599 0497 VA7ST         599 0616
QSO:  7000 CW 2011-05-29 0817 W0IZ          599 499 KT5J          599 1647
QSO:  3538 CW 2011-05-29 0847 W0IZ          599 0501 KC7V          599 0254
QSO:  3538 CW 2011-05-29 0848 W0IZ          599 502 NR4M          599 556
QSO:  3537 CW 2011-05-29 0849 W0IZ          599 505 ND2T          599 280
QSO:  3538 CW 2011-05-29 0849 W0IZ          599 0503 KD4D          599 0235
QSO:  3500 CW 2011-05-29 0850 W0IZ          599 504 KI3O          599 0066
QSO:  3537 CW 2011-05-29 0851 W0IZ          599 0508 WX6V          599 0659
QSO:  3537 CW 2011-05-29 0853 W0IZ          599 0509 N7BV          599 1026
QSO:  3537 CW 2011-05-29 0854 W0IZ          599 510 WQ6X          599 1480
QSO:  3537 CW 2011-05-29 0856 W0IZ          599 0512 NI6T          599 1592
QSO:  3537 CW 2011-05-29 0856 W0IZ          599 511 NQ4I          599 0420
QSO:  3500 CW 2011-05-29 0857 W0IZ          599 0514 KA4R          599 0074
QSO:  3538 CW 2011-05-29 0857 W0IZ          599 0513 VE7SV         599 1563
QSO:  3537 CW 2011-05-29 0858 W0IZ          599 0515 AD7JP         599 0928
QSO:  3537 CW 2011-05-29 0858 W0IZ          599 516 NX5M          599 0405
QSO:  3538 CW 2011-05-29 0859 W0IZ          599 0517 WK5T          599 2091
QSO:  3538 CW 2011-05-29 0902 W0IZ          599 0519 W8AEF         599 0268
QSO:  3538 CW 2011-05-29 0903 W0IZ          599 0520 NR3X          599 0312
QSO:  1821 CW 2011-05-29 0913 W0IZ          599 521 NQ4I          599 0066
QSO:  1821 CW 2011-05-29 0915 W0IZ          599 522 NA4W          599 35
QSO:  1821 CW 2011-05-29 0917 W0IZ          599 038 NR6O          599 0121
QSO:  1821 CW 2011-05-29 0918 W0IZ          599 524 NX5M          599 0072
QSO:  3537 CW 2011-05-29 0927 W0IZ          599 526 NY6N          599 2214
QSO:  3537 CW 2011-05-29 0929 W0IZ          599 527 W7YAQ         599 468
QSO:  3537 CW 2011-05-29 0930 W0IZ          599 0528 NS1S          599 1074
QSO:  7000 CW 2011-05-29 0943 W0IZ          599 530 K3ZO          599 1051
QSO:  3500 CW 2011-05-29 0950 W0IZ          599 532 NE4M          599 307
QSO:  3500 CW 2011-05-29 0951 W0IZ          599 531 NH7A          599 1911
QSO:  3536 CW 2011-05-29 0952 W0IZ          599 0533 N2WN          599 0604
QSO:  3500 CW 2011-05-29 0953 W0IZ          599 535 N8VV          599 409
QSO:  3500 CW 2011-05-29 0954 W0IZ          599 536 N4PSE         599 671
QSO:  3536 CW 2011-05-29 0954 W0IZ          599 0537 NA4K          599 1043
QSO:  3536 CW 2011-05-29 0959 W0IZ          599 0539 NS9I          599 0578
QSO:  7029 CW 2011-05-29 1005 W0IZ          599 0540 WJ9B          599 1275
QSO:  7030 CW 2011-05-29 1006 W0IZ          599 542 AK1W          599 1704
QSO:  7030 CW 2011-05-29 1006 W0IZ          599 541 K1LT          599 712
QSO:  7029 CW 2011-05-29 1010 W0IZ          599 544 K1AR          599 0920
QSO:  7030 CW 2011-05-29 1013 W0IZ          599 0545 N4WW          599 0957
QSO: 14000 CW 2011-05-29 1507 W0IZ          599 546 N5XE          599 087
QSO: 14039 CW 2011-05-29 1509 W0IZ          599 547 K0GEO         599 352
QSO: 14039 CW 2011-05-29 1509 W0IZ          599 548 WN6K          599 713
QSO: 14000 CW 2011-05-29 1514 W0IZ          599 549 NR7DX         599 439
QSO: 14000 CW 2011-05-29 1517 W0IZ          599 551 N8HP          599 155
QSO: 14000 CW 2011-05-29 1517 W0IZ          599 552 VA7RR         599 1168
QSO: 14039 CW 2011-05-29 1517 W0IZ          599 550 W6AEA         599 669
QSO: 14039 CW 2011-05-29 1522 W0IZ          599 0554 KZ5D          599 1459
QSO: 14000 CW 2011-05-29 1523 W0IZ          599 0555 K7ZD          599 0367
QSO: 14039 CW 2011-05-29 1523 W0IZ          599 0556 K7QQ          599 0939
QSO: 14025 CW 2011-05-29 1524 W0IZ          599 557 WA6URY        599 347
QSO: 14000 CW 2011-05-29 1526 W0IZ          599 558 NE8J          599 124
QSO: 14039 CW 2011-05-29 1528 W0IZ          599 0561 N6JV          599 0705
QSO: 14039 CW 2011-05-29 1529 W0IZ          599 0562 NA0N          599 0861
QSO: 14039 CW 2011-05-29 1529 W0IZ          599 563 VE3TG         599 295
QSO: 14039 CW 2011-05-29 1529 W0IZ          599 0560 WJ6O          599 0462
QSO: 14062 CW 2011-05-29 1617 W0IZ          599 564 OK2ZI         599 1564
QSO: 14068 CW 2011-05-29 1618 W0IZ          599 0565 N7XU          599 0380
QSO: 14000 CW 2011-05-29 1958 W0IZ          599 568 C6ABR         599 0464
QSO: 14055 CW 2011-05-29 1959 W0IZ          599 0570 NN6CH         599 0512
QSO: 14050 CW 2011-05-29 2006 W0IZ          599 5573 K0VM          599 0151
QSO: 14000 CW 2011-05-29 2027 W0IZ          599 577 NZ5A          599 093
QSO: 14000 CW 2011-05-29 2027 W0IZ          599 576 W7MTL         599 175
QSO: 14045 CW 2011-05-29 2029 W0IZ          599 0578 KY7M          599 0899
QSO: 14050 CW 2011-05-29 2114 W0IZ          599 0580 VE4EAR        599 0599
QSO: 14000 CW 2011-05-29 2117 W0IZ          599 0581 W9CPI         599 0451
QSO: 14054 CW 2011-05-29 2234 W0IZ          599 583 N5AW          599 1766
QSO: 14000 CW 2011-05-29 2235 W0IZ          599 0584 NE6I          599 0550
QSO: 14054 CW 2011-05-29 2238 W0IZ          599 0586 N5YT          599 0435
QSO: 14000 CW 2011-05-29 2239 W0IZ          599 587 W0BH          599 0931
QSO: 14000 CW 2011-05-29 2240 W0IZ          599 0588 N0GOS         599 0365
QSO: 14054 CW 2011-05-29 2241 W0IZ          599 0589 VA2WA         599 1600
QSO: 14054 CW 2011-05-29 2242 W0IZ          599 0590 W3LJ          599 0458
QSO: 14054 CW 2011-05-29 2243 W0IZ          599 592 NF6A          599 1802
QSO: 14054 CW 2011-05-29 2243 W0IZ          599 0591 S52ZW         599 1493
QSO: 14054 CW 2011-05-29 2244 W0IZ          599 0593 VC7M          599 1236
QSO: 14000 CW 2011-05-29 2245 W0IZ          599 0594 VE5AE         599 0128
QSO: 14054 CW 2011-05-29 2246 W0IZ          599 0595 WS7L          599 0544
QSO: 14054 CW 2011-05-29 2247 W0IZ          599 596 LZ9W          599 2398
QSO: 14000 CW 2011-05-29 2248 W0IZ          599 0598 AB3IC         599 0243
QSO: 14054 CW 2011-05-29 2248 W0IZ          599 0597 WI7N          599 0691
QSO: 14054 CW 2011-05-29 2249 W0IZ          599 59 NN7SS         599 450
QSO: 14054 CW 2011-05-29 2250 W0IZ          599 0601 NI7R          599 0507
QSO: 14054 CW 2011-05-29 2250 W0IZ          599 600 NQ4I          599 1990
QSO: 14000 CW 2011-05-29 2252 W0IZ          599 602 W5RYA         599 1053
QSO: 14054 CW 2011-05-29 2255 W0IZ          599 0603 S53F          599 1864
QSO: 14054 CW 2011-05-29 2257 W0IZ          599 0605 WX7A          599 0380
QSO: 14054 CW 2011-05-29 2259 W0IZ          599 0607 W6QU          599 0580
QSO: 14054 CW 2011-05-29 2303 W0IZ          599 0609 G3RXP         599 1456
QSO: 14054 CW 2011-05-29 2304 W0IZ          599 610 WQ6X          599 1964
QSO: 14054 CW 2011-05-29 2306 W0IZ          599 0611 NK6A          599 0242
QSO: 14059 CW 2011-05-29 2307 W0IZ          599 614 AK7O          599 182
QSO: 14054 CW 2011-05-29 2308 W0IZ          599 613 DR1A          599 2347
QSO: 14054 CW 2011-05-29 2313 W0IZ          599 0618 AE1T          599 0489
QSO: 14054 CW 2011-05-29 2315 W0IZ          599 0619 NO6T          599 0356
QSO: 14000 CW 2011-05-29 2316 W0IZ          599 0621 KS7T          599 0634
QSO: 14054 CW 2011-05-29 2316 W0IZ          599 202 DA0HST        599 1532
QSO: 14054 CW 2011-05-29 2319 W0IZ          599 0623 VE7MID        599 0328
QSO: 14054 CW 2011-05-29 2320 W0IZ          599 0625 N4WO          599 0451
QSO: 14000 CW 2011-05-29 2321 W0IZ          599 0624 N7DOE         599 0201
QSO: 14054 CW 2011-05-29 2324 W0IZ          599 0628 N6MA          599 1323
QSO: 14054 CW 2011-05-29 2324 W0IZ          599 0627 NA0CW         599 1363
QSO: 14054 CW 2011-05-29 2326 W0IZ          599 0630 S50XX         599 1566
QSO: 14054 CW 2011-05-29 2326 W0IZ          599 0629 S57AL         599 2104
QSO: 14054 CW 2011-05-29 2332 W0IZ          599 632 NY6N          599 2808
QSO: 14000 CW 2011-05-29 2335 W0IZ          599 634 W0ETT         599 702
QSO: 14000 CW 2011-05-29 2337 W0IZ          599 635 W0QQG         599 467
QSO: 14054 CW 2011-05-29 2338 W0IZ          599 0636 W6TK          599 1128
QSO: 14000 CW 2011-05-29 2339 W0IZ          599 638 W6CT          599 94
QSO: 14054 CW 2011-05-29 2339 W0IZ          599 0637 W6KY          599 0267
QSO: 14054 CW 2011-05-29 2341 W0IZ          599 0639 IK0YVV        599 1891
QSO: 14000 CW 2011-05-29 2342 W0IZ          599 641 9A6XX         599 3124
QSO: 14054 CW 2011-05-29 2342 W0IZ          599 642 HG3R          599 3041
QSO: 14000 CW 2011-05-29 2344 W0IZ          599 643 WA6KHK        599 984
QSO: 14054 CW 2011-05-29 2344 W0IZ          599 0644 N2MM          599 1265
QSO: 14000 CW 2011-05-29 2345 W0IZ          599 645 S52IC         599 772
QSO: 14054 CW 2011-05-29 2346 W0IZ          599 0646 AD1L          599 0309
QSO: 14054 CW 2011-05-29 2346 W0IZ          599 647 KY0W          599 1524
QSO: 14054 CW 2011-05-29 2347 W0IZ          599 649 N6QQ          599 1095
QSO: 14054 CW 2011-05-29 2347 W0IZ          599 0650 WX6V          599 0929
QSO: 14054 CW 2011-05-29 2348 W0IZ          599 651 VE7GL         599 1748
QSO: 14054 CW 2011-05-29 2348 W0IZ          599 0652 W7IJ          599 0753
QSO: 14000 CW 2011-05-29 2350 W0IZ          599 654 K6CSL         599 195
QSO: 14054 CW 2011-05-29 2352 W0IZ          599 0655 K2BA          599 0560
QSO: 14054 CW 2011-05-29 2352 W0IZ          599 0657 K3MD          599 1024
QSO: 14054 CW 2011-05-29 2352 W0IZ          599 0656 KE1B          599 1101
QSO: 14054 CW 2011-05-29 2353 W0IZ          599 659 NX5M          599 1384
QSO: 14054 CW 2011-05-29 2354 W0IZ          599 0662 K6LRN         599 0263
QSO: 14000 CW 2011-05-29 2355 W0IZ          599 663 M7A           599 1515
QSO: 14054 CW 2011-05-29 2355 W0IZ          599 661 AG6AU         599 1029
QSO: 14000 CW 2011-05-29 2357 W0IZ          599 664 K7ZG          599 341
QSO: 14000 CW 2011-05-29 2357 W0IZ          599 665 W4NJK         599 077
QSO: 14054 CW 2011-05-29 2358 W0IZ          599 666 NC6V          599 504
QSO: 14054 CW 2011-05-29 2359 W0IZ          599 0668 K6AAB         599 0464
END-OF-LOG:
