START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-SSB
CALLSIGN: OM8AA
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: OM8AA
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-SSB CQWPX/ph/2008.
QSO:  7000 PH 2008-03-29 0437 OM8AA         59 EK0B          59 333
QSO: 14000 PH 2008-03-30 2028 OM8AA         59 121 K3ZO          59 1632
QSO: 14273 PH 2008-03-30 2031 OM8AA         59 122 OM8DD         59 1050
QSO: 14344 PH 2008-03-30 2034 OM8AA         59 0124 FG/OM3LA      59 4438
QSO: 14143 PH 2008-03-30 2039 OM8AA         59 0126 VO1MP         59 1558
QSO: 14236 PH 2008-03-30 2039 OM8AA         59 125 KN1DX         59 2577
QSO: 14105 PH 2008-03-30 2041 OM8AA         59 127 VE3RM         59 1253
QSO: 14146 PH 2008-03-30 2043 OM8AA         59 0128 HI3T          59 2415
QSO: 14000 PH 2008-03-30 2047 OM8AA         59 129 VQ59W         59 1957
QSO: 14000 PH 2008-03-30 2050 OM8AA         59 130 VB3E          59 2993
QSO: 14141 PH 2008-03-30 2054 OM8AA         59 0131 HI3C          59 2820
QSO: 14146 PH 2008-03-30 2054 OM8AA         59 132 6Y1V          59 2672
QSO:  7000 PH 2008-03-30 2155 OM8AA         59 134 TC7KA         59 2452
QSO:  1846 PH 2008-03-30 2206 OM8AA         59 135 LY2IJ         59 764
QSO:  1835 PH 2008-03-30 2207 OM8AA         59 136 HG80HQ        59 206
QSO:  1850 PH 2008-03-30 2209 OM8AA         59 0137 9A8M          59 0049
QSO:  1800 PH 2008-03-30 2210 OM8AA         59 138 UT6IS         59 608
QSO:  1855 PH 2008-03-30 2210 OM8AA         59 139 OL7R          59 0116
QSO:  1860 PH 2008-03-30 2211 OM8AA         59 140 OL1X          59 0316
QSO:  1863 PH 2008-03-30 2212 OM8AA         59 141 SO9Q          59 0170
QSO:  1875 PH 2008-03-30 2213 OM8AA         59 0143 9A60A         59 0284
QSO:  1800 PH 2008-03-30 2214 OM8AA         59 142 SP2EXN        59 235
QSO:  1840 PH 2008-03-30 2214 OM8AA         59 144 YT6T          59 503
QSO:  1879 PH 2008-03-30 2215 OM8AA         59 0145 OM3BH         59 2758
QSO:  1800 PH 2008-03-30 2216 OM8AA         59 147 OL6P          59 178
QSO:  1898 PH 2008-03-30 2218 OM8AA         59 149 LY7A          59 413
QSO:  1898 PH 2008-03-30 2218 OM8AA         59 0148 S53M          59 0088
QSO:  1830 PH 2008-03-30 2220 OM8AA         59 0150 S51A          59 0125
QSO:  1852 PH 2008-03-30 2220 OM8AA         59 0151 LZ9W          59 0429
QSO:  1844 PH 2008-03-30 2222 OM8AA         59 0152 YR9P          59 2595
QSO:  1800 PH 2008-03-30 2225 OM8AA         59 153 DL1SWB        59 431
QSO:  3500 PH 2008-03-30 2231 OM8AA         59 156 LY7A          59 861
QSO:  3500 PH 2008-03-30 2231 OM8AA         59 0154 MD0CCE        59 1100
QSO:  3735 PH 2008-03-30 2231 OM8AA         59 155 M6T           59 3493
QSO:  3500 PH 2008-03-30 2233 OM8AA         59 147 DJ8UV         59 529
QSO:  3750 PH 2008-03-30 2234 OM8AA         59 0158 LZ9W          59 1036
QSO:  3500 PH 2008-03-30 2237 OM8AA         59 160 HA6NL         59 1055
QSO:  3766 PH 2008-03-30 2237 OM8AA         59 0169 II1W          59 0259
QSO:  3766 PH 2008-03-30 2238 OM8AA         59 161 9K2HN         59 0404
END-OF-LOG:
