START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WW-RTTY
CALLSIGN: JJ2HCM
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: JJ2HCM
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WW-RTTY CQWWRTTY/2020.
QSO: 14093 RY 2020-09-26 0009 JJ2HCM        599 25 DX VK4SN         599 30 DX
QSO: 14081 RY 2020-09-26 1102 JJ2HCM        599 25 DX YC8MJG        599 28 DX
QSO: 14086 RY 2020-09-26 1110 JJ2HCM        599 25 DX RW4W          599 16 DX
QSO: 14088 RY 2020-09-26 1124 JJ2HCM        599 25 DX OK1KSL        599 15 DX
QSO: 14088 RY 2020-09-26 1128 JJ2HCM        599 25 DX 9A5D          599 15 DX
QSO: 14089 RY 2020-09-26 1130 JJ2HCM        599 25 DX RC5Z          599 16 DX
QSO: 14091 RY 2020-09-26 1132 JJ2HCM        599 25 DX LY9Y          599 15 DX
QSO: 14094 RY 2020-09-26 1133 JJ2HCM        599 25 DX S50W          599 15 DX
QSO: 14100 RY 2020-09-26 1140 JJ2HCM        599 25 DX OK5Z          599 15 DX
QSO: 14101 RY 2020-09-26 1141 JJ2HCM        599 25 DX IQ4FA         599 15 DX
QSO: 14080 RY 2020-09-26 1143 JJ2HCM        599 25 DX 9A6KZH        599 15 DX
QSO: 14111 RY 2020-09-26 1145 JJ2HCM        599 25 DX I5MXX         599 15 DX
QSO: 14116 RY 2020-09-26 1147 JJ2HCM        599 25 DX OM3IAG        599 15 DX
QSO: 14119 RY 2020-09-26 1150 JJ2HCM        599 25 DX HG2DX         599 15 DX
QSO: 14084 RY 2020-09-26 1151 JJ2HCM        599 25 DX 4L8A          599 21 DX
QSO: 14086 RY 2020-09-26 1153 JJ2HCM        599 25 DX UP5B          599 17 DX
QSO: 14095 RY 2020-09-26 1156 JJ2HCM        599 25 DX R7CD          599 16 DX
QSO: 14100 RY 2020-09-26 1159 JJ2HCM        599 25 DX 9A5Y          599 15 DX
QSO: 14081 RY 2020-09-26 1203 JJ2HCM        599 25 DX RG9A          599 17 DX
QSO: 14082 RY 2020-09-26 1205 JJ2HCM        599 25 DX UW1M          599 16 DX
QSO: 14094 RY 2020-09-26 1208 JJ2HCM        599 25 DX UZ2I          599 16 DX
QSO: 14096 RY 2020-09-26 1210 JJ2HCM        599 25 DX RZ9A          599 17 DX
QSO: 14083 RY 2020-09-27 0018 JJ2HCM        599 25 DX KK6P          599 03 CA
QSO: 14093 RY 2020-09-27 0023 JJ2HCM        599 25 DX W7YAQ         599 3 OR
QSO: 14094 RY 2020-09-27 0024 JJ2HCM        599 25 DX N6IE          599 03 CA
QSO: 14091 RY 2020-09-27 0033 JJ2HCM        599 25 DX N6WM          599 03 CA
QSO: 14097 RY 2020-09-27 0035 JJ2HCM        599 25 DX BG2VIA        599 24 DX
QSO: 14000 RY 2020-09-27 0039 JJ2HCM        599 25 DX DU1IVT        599 27 DX
QSO: 14098 RY 2020-09-27 0042 JJ2HCM        599 25 DX YB4FIK        599 28 DX
QSO: 21086 RY 2020-09-27 0045 JJ2HCM        599 25 DX VR2XYL        599 24 DX
QSO: 21000 RY 2020-09-27 0046 JJ2HCM        599 25 DX DU1/N6HPX     599 27 DX
QSO: 21085 RY 2020-09-27 0048 JJ2HCM        599 25 DX YB2VYY        599 28 DX
QSO: 21084 RY 2020-09-27 0049 JJ2HCM        599 25 DX YE9CDL        599 28 DX
QSO: 21086 RY 2020-09-27 0050 JJ2HCM        599 25 DX BU2BE         599 24 DX
QSO: 21090 RY 2020-09-27 0052 JJ2HCM        599 25 DX YC9BHJ        599 28 DX
QSO: 21090 RY 2020-09-27 0055 JJ2HCM        599 25 DX YB0NSI        599 28 DX
QSO: 21094 RY 2020-09-27 0057 JJ2HCM        599 25 DX E25KAE        599 26 DX
QSO: 14083 RY 2020-09-27 0101 JJ2HCM        599 25 DX W7RN          599 3 NV
QSO: 14020 RY 2020-09-27 0104 JJ2HCM        599 25 DX R0CW          599 19 DX
QSO: 14089 RY 2020-09-27 0108 JJ2HCM        599 25 DX BA4TB         599 24 DX
QSO: 14098 RY 2020-09-27 0110 JJ2HCM        599 25 DX UC8U          599 18 DX
QSO: 14080 RY 2020-09-27 0111 JJ2HCM        599 25 DX R0JD          599 19 DX
QSO: 21085 RY 2020-09-27 0442 JJ2HCM        599 25 DX 4D3X          599 27 DX
QSO: 21087 RY 2020-09-27 0443 JJ2HCM        599 25 DX BD7BW         599 24 DX
QSO: 21089 RY 2020-09-27 0843 JJ2HCM        599 25 DX YC1WCK        599 28 DX
QSO: 21097 RY 2020-09-27 0850 JJ2HCM        599 25 DX BV3UF         599 24 DX
QSO: 21000 RY 2020-09-27 0852 JJ2HCM        599 25 DX YC2GBS        599 28 DX
QSO: 21000 RY 2020-09-27 0853 JJ2HCM        599 25 DX DX9EVM        599 27 DX
QSO: 21105 RY 2020-09-27 0854 JJ2HCM        599 25 DX YB1MIG        599 28 DX
QSO: 21000 RY 2020-09-27 0856 JJ2HCM        599 25 DX YC7YGR        599 28 DX
QSO: 21000 RY 2020-09-27 0857 JJ2HCM        599 25 DX YB6IVW        599 28 DX
QSO: 21081 RY 2020-09-27 0857 JJ2HCM        599 25 DX YB1RUS        599 28 DX
QSO: 21083 RY 2020-09-27 0859 JJ2HCM        599 25 DX YC1RQX        599 28 DX
QSO: 14083 RY 2020-09-27 1033 JJ2HCM        599 25 DX RG9A          599 17 DX
QSO: 14086 RY 2020-09-27 1035 JJ2HCM        599 25 DX OM7M          599 15 DX
QSO: 14090 RY 2020-09-27 1038 JJ2HCM        599 25 DX EM0I          599 16 DX
QSO: 14098 RY 2020-09-27 1040 JJ2HCM        599 25 DX RZ6D          599 16 DX
QSO: 14108 RY 2020-09-27 1041 JJ2HCM        599 25 DX UT1AA         599 16 DX
END-OF-LOG:
