START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-CW
CALLSIGN: K8CMO
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: K8CMO
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-CW CQWPX/cw/2020.
QSO: 14000 CW 2020-05-30 1902 K8CMO         599 W8LVN         599 264
QSO:  7000 CW 2020-05-30 2110 K8CMO         599 039 VX3X          599 407
QSO: 14052 CW 2020-05-30 2122 K8CMO         599 0042 K3MD          599 0829
QSO: 14000 CW 2020-05-30 2158 K8CMO         599 0044 KY7M          599 1588
QSO: 14030 CW 2020-05-30 2159 K8CMO         599 0045 WK2G          599 1069
QSO: 14033 CW 2020-05-30 2203 K8CMO         599 046 YT3X          599 1905
QSO: 14045 CW 2020-05-30 2209 K8CMO         599 048 WC6H          599 1194
QSO: 14060 CW 2020-05-30 2214 K8CMO         599 49 CJ3A          599 2116
QSO: 14000 CW 2020-05-30 2216 K8CMO         599 0050 N8II          599 0583
QSO: 14056 CW 2020-05-30 2217 K8CMO         599 0051 CG3T          599 1640
QSO: 14047 CW 2020-05-30 2219 K8CMO         599 0052 WX5S          599 0535
QSO: 14044 CW 2020-05-30 2221 K8CMO         599 53 K4ZW          599 579
QSO: 14000 CW 2020-05-30 2228 K8CMO         599 54 WN7S          599 649
QSO: 14000 CW 2020-05-30 2230 K8CMO         599 0055 K3EW          599 0501
QSO: 14034 CW 2020-05-31 1509 K8CMO         599 056 VA3SY         599 790
QSO: 14038 CW 2020-05-31 1510 K8CMO         599 0057 WD0T          599 2143
QSO: 14038 CW 2020-05-31 1511 K8CMO         599 58 W0AAE         599 570
QSO: 14045 CW 2020-05-31 1514 K8CMO         599 0059 WW2Y          599 3119
QSO: 21055 CW 2020-05-31 1524 K8CMO         599 0060 VE5MX         599 2698
QSO: 21055 CW 2020-05-31 1525 K8CMO         599 0061 AD4TR         599 1748
QSO: 21037 CW 2020-05-31 1528 K8CMO         599 0062 NA5NN         599 0018
QSO: 21000 CW 2020-05-31 1529 K8CMO         599 63 N3BB          599 1446
QSO: 21032 CW 2020-05-31 1530 K8CMO         599 0064 NN5P          599 2515
QSO: 21030 CW 2020-05-31 1532 K8CMO         599 0065 NC1CC         599 1409
QSO: 21036 CW 2020-05-31 1533 K8CMO         599 66 KZ1M          599 1145
QSO: 21042 CW 2020-05-31 1600 K8CMO         599 067 NU5A          599 3850
QSO: 21029 CW 2020-05-31 1601 K8CMO         599 0068 NQ5K          599 2520
QSO: 21063 CW 2020-05-31 1602 K8CMO         599 0069 KG0F          599 0634
QSO: 21022 CW 2020-05-31 1603 K8CMO         599 0070 WN1GIV        599 0911
QSO: 21048 CW 2020-05-31 1605 K8CMO         599 0071 N4WW          599 0707
QSO: 21000 CW 2020-05-31 1625 K8CMO         599 72 WB5VZL        599 875
QSO: 21051 CW 2020-05-31 1626 K8CMO         599 073 NN7CW         599 2791
QSO: 21000 CW 2020-05-31 1629 K8CMO         599 74 N4KS          599 1091
END-OF-LOG:
