START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WW-CW
CALLSIGN: KD2RD
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: KD2RD
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WW-CW CQWW/cw/2010.
QSO: 21002 CW 2010-11-27 1500 KD2RD         599 05 K1AR          599 05
QSO: 14035 CW 2010-11-27 1854 KD2RD         599 05 C4W           599 20
QSO: 14037 CW 2010-11-27 1855 KD2RD         599 05 EA2LU         599 14
QSO: 14038 CW 2010-11-27 1855 KD2RD         599 05 OH8L          599 15
QSO: 14000 CW 2010-11-27 1856 KD2RD         599 05 AN2A          599 14
QSO: 14042 CW 2010-11-27 1857 KD2RD         599 05 TM0R          599 14
QSO: 14044 CW 2010-11-27 1859 KD2RD         599 05 CT1JLZ        599 14
QSO: 14000 CW 2010-11-27 1900 KD2RD         599 05 5H3EE         599 37
QSO: 14050 CW 2010-11-27 1902 KD2RD         599 05 WP3C          599 8
QSO: 14000 CW 2010-11-27 1905 KD2RD         599 05 9L5VT         599 35
QSO: 14052 CW 2010-11-27 1907 KD2RD         599 05 CR3E          599 33
QSO: 14062 CW 2010-11-27 1921 KD2RD         599 5 PJ2T          599 9
QSO: 14064 CW 2010-11-27 1921 KD2RD         599 05 KP2M          599 8
QSO: 14000 CW 2010-11-27 1922 KD2RD         599 05 EA8CUU        599 33
QSO: 14066 CW 2010-11-27 1923 KD2RD         599 05 KL8DX         599 1
QSO: 14073 CW 2010-11-27 1924 KD2RD         599 05 F5MUX         599 14
QSO: 14075 CW 2010-11-27 1924 KD2RD         599 05 EA7TG         599 14
QSO: 14078 CW 2010-11-27 1925 KD2RD         599 05 VE9HF         599 5
QSO: 14059 CW 2010-11-28 1839 KD2RD         599 05 DL1A          599 14
QSO: 14060 CW 2010-11-28 1839 KD2RD         599 05 DQ4W          599 14
QSO: 14060 CW 2010-11-28 1839 KD2RD         599 05 G4DDL         599 14
QSO: 14000 CW 2010-11-28 1840 KD2RD         599 05 YT4W          599 15
QSO: 14059 CW 2010-11-28 1840 KD2RD         599 05 MM3T          599 14
QSO: 14059 CW 2010-11-28 1841 KD2RD         599 05 DK3WW         599 14
QSO: 14000 CW 2010-11-28 1842 KD2RD         599 5 RX6AM         599 16
QSO: 14040 CW 2010-11-28 1842 KD2RD         599 05 HZ1DG         599 21
QSO: 14060 CW 2010-11-28 1843 KD2RD         599 05 DL4SDW        599 14
QSO: 14000 CW 2010-11-28 1844 KD2RD         599 05 G3IAF         599 14
QSO: 14000 CW 2010-11-28 1844 KD2RD         599 05 LZ6W          599 20
QSO: 14059 CW 2010-11-28 1844 KD2RD         599 05 F5RAB         599 14
QSO: 14000 CW 2010-11-28 1845 KD2RD         599 05 EI2KC         599 14
QSO: 14060 CW 2010-11-28 1845 KD2RD         599 05 G4HZV         599 14
QSO: 14000 CW 2010-11-28 1846 KD2RD         599 05 UU2CW         599 16
QSO: 14060 CW 2010-11-28 1846 KD2RD         599 05 DM3MM         599 14
QSO: 14060 CW 2010-11-28 1846 KD2RD         599 05 PA5KT         599 14
QSO: 14059 CW 2010-11-28 1847 KD2RD         599 05 GM7R          599 14
QSO: 14060 CW 2010-11-28 1847 KD2RD         599 05 S57U          599 15
QSO: 14060 CW 2010-11-28 1848 KD2RD         599 05 EA1OS         599 14
QSO: 14000 CW 2010-11-28 1849 KD2RD         599 05 DL4VQ         599 14
QSO: 14059 CW 2010-11-28 1850 KD2RD         599 05 DL5JS         599 14
QSO: 14015 CW 2010-11-28 1949 KD2RD         599 5 SV1DPI        599 20
QSO: 14014 CW 2010-11-28 1950 KD2RD         599 05 F5LCU         599 14
QSO: 14000 CW 2010-11-28 1952 KD2RD         599 05 ON5WL         599 14
QSO: 14062 CW 2010-11-28 1956 KD2RD         599 05 KL5DX         599 1
QSO: 14062 CW 2010-11-28 1956 KD2RD         599 5 VE2LX         599 5
END-OF-LOG:
