START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-SSB
CALLSIGN: JP3XHV
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: JP3XHV
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-SSB CQWPX/ph/2024.
QSO: 21272 PH 2024-03-30 0030 JP3XHV        59 RW0CN         59 20
QSO:  7145 PH 2024-03-30 0926 JP3XHV        59 0048 NT6Q          59 1050
QSO:  7150 PH 2024-03-30 0930 JP3XHV        59 0049 NF6A          59 0636
QSO:  7162 PH 2024-03-30 0936 JP3XHV        59 0050 VK4A          59 0811
QSO: 21000 PH 2024-03-30 0950 JP3XHV        59 051 FK8GM         59 262
QSO: 21000 PH 2024-03-30 0955 JP3XHV        59 0052 DU4DXT        59 0146
QSO: 21201 PH 2024-03-30 1103 JP3XHV        59 053 HG7T          59 0201
QSO: 21236 PH 2024-03-30 1107 JP3XHV        59 054 IK4LZH        59 387
QSO: 21268 PH 2024-03-30 1115 JP3XHV        59 0056 GM5G          59 0495
QSO: 21282 PH 2024-03-30 1125 JP3XHV        59 057 OG8M          59 0911
QSO: 21299 PH 2024-03-30 1128 JP3XHV        59 058 SN3A          59 0468
QSO: 21404 PH 2024-03-30 1140 JP3XHV        59 059 DF7A          59 0602
QSO:  7136 PH 2024-03-30 1157 JP3XHV        59 0060 KR7D          59 0559
QSO: 14000 PH 2024-03-30 2004 JP3XHV        59 0061 BM0QSO        59 0699
QSO: 14144 PH 2024-03-30 2009 JP3XHV        59 062 RM2U          59 098
QSO: 14155 PH 2024-03-30 2013 JP3XHV        59 063 LX1NO         59 1396
QSO: 14238 PH 2024-03-30 2034 JP3XHV        59 065 YT5A          59 1866
QSO: 14248 PH 2024-03-30 2037 JP3XHV        59 0066 HG5E          59 1689
QSO: 14254 PH 2024-03-30 2040 JP3XHV        59 0027 IU3BTY        59 0124
QSO: 14271 PH 2024-03-30 2045 JP3XHV        59 0068 S53M          59 0950
QSO: 14277 PH 2024-03-30 2048 JP3XHV        59 069 LZ9W          59 2165
QSO: 14204 PH 2024-03-30 2212 JP3XHV        59 071 OM0R          59 2407
QSO: 14222 PH 2024-03-30 2214 JP3XHV        59 0072 YT3D          59 0983
QSO: 14228 PH 2024-03-30 2217 JP3XHV        59 0073 OM2VL         59 2366
QSO: 14269 PH 2024-03-30 2226 JP3XHV        59 074 E7DX          59 2802
QSO: 14285 PH 2024-03-30 2229 JP3XHV        59 075 9A44A         59 2552
QSO: 14207 PH 2024-03-30 2302 JP3XHV        59 0077 DS1TUW        59 0147
QSO: 21264 PH 2024-03-30 2319 JP3XHV        59 078 RC0CD         59 345
QSO: 21279 PH 2024-03-30 2322 JP3XHV        59 0079 YB2XVT        59 0444
QSO: 21315 PH 2024-03-30 2325 JP3XHV        59 0080 BA5CW         59 0771
QSO: 21438 PH 2024-03-30 2329 JP3XHV        59 0081 KL5DX         59 2297
QSO: 21282 PH 2024-03-30 2333 JP3XHV        59 082 BA7LOK        59 1266
QSO: 21254 PH 2024-03-30 2337 JP3XHV        59 083 BD4VGZ        59 1226
QSO: 21214 PH 2024-03-30 2340 JP3XHV        59 0084 BI4MPY        59 0156
QSO: 28565 PH 2024-03-30 2354 JP3XHV        59 0085 4G0T          59 0509
QSO: 28532 PH 2024-03-30 2358 JP3XHV        59 0086 YB0BAC        59 0120
QSO: 28525 PH 2024-03-31 0002 JP3XHV        59 0087 BY7WZ         59 0534
QSO: 28513 PH 2024-03-31 0006 JP3XHV        59 0088 BA7JOH        59 0356
QSO: 28495 PH 2024-03-31 0008 JP3XHV        59 0089 YB3KM         59 0752
QSO: 28479 PH 2024-03-31 0009 JP3XHV        59 0090 DX3A          59 0711
QSO: 28405 PH 2024-03-31 0013 JP3XHV        59 0091 BG7SSK        59 0323
QSO: 28000 PH 2024-03-31 0021 JP3XHV        59 0092 VR2T          59 0914
QSO: 28000 PH 2024-03-31 0035 JP3XHV        59 0093 YB0ECT        59 0518
QSO: 28000 PH 2024-03-31 0036 JP3XHV        59 0094 DU1EV         59 0227
QSO: 28530 PH 2024-03-31 0044 JP3XHV        59 0095 KH2JU         59 0105
QSO: 28000 PH 2024-03-31 0049 JP3XHV        59 0096 DX7EVM        59 0531
QSO: 28000 PH 2024-03-31 0052 JP3XHV        59 0097 BV0WPX        59 0527
QSO: 21239 PH 2024-03-31 0109 JP3XHV        59 0098 DX9M          59 0310
QSO: 21000 PH 2024-03-31 0115 JP3XHV        59 0099 9W6AJA        59 0122
QSO: 21285 PH 2024-03-31 0117 JP3XHV        59 0100 YC9FAR        59 0241
QSO: 21227 PH 2024-03-31 0137 JP3XHV        59 101 KM7W          59 2703
QSO: 21241 PH 2024-03-31 0139 JP3XHV        59 0102 N7RQ          59 1240
QSO: 21269 PH 2024-03-31 0143 JP3XHV        59 103 LP1H          59 1396
QSO: 21284 PH 2024-03-31 0149 JP3XHV        59 105 NR7DX         59 1805
QSO: 28000 PH 2024-03-31 0157 JP3XHV        59 106 KT5J          59 3579
QSO: 28421 PH 2024-03-31 0159 JP3XHV        59 0107 KW7MM         59 2250
QSO: 28441 PH 2024-03-31 0202 JP3XHV        59 108 NH6D          59 739
QSO: 28000 PH 2024-03-31 0206 JP3XHV        59 109 WA7NB         59 573
QSO: 28000 PH 2024-03-31 0220 JP3XHV        59 0110 DU7F          59 0248
QSO: 28461 PH 2024-03-31 0225 JP3XHV        59 0111 BA7MT         59 0624
QSO: 21202 PH 2024-03-31 0230 JP3XHV        59 0112 N7DD          59 0929
QSO: 21233 PH 2024-03-31 0235 JP3XHV        59 0113 WK5T          59 2635
QSO: 21290 PH 2024-03-31 0243 JP3XHV        59 0114 KZ1W          59 1764
QSO: 21325 PH 2024-03-31 0245 JP3XHV        59 0115 NH7T          59 1118
QSO: 28530 PH 2024-03-31 0253 JP3XHV        59 116 DU1EG         59 602
QSO: 28577 PH 2024-03-31 0256 JP3XHV        59 0117 DY1T          59 0625
QSO: 28465 PH 2024-03-31 0301 JP3XHV        59 118 DU2W          59 0245
QSO: 21229 PH 2024-03-31 0310 JP3XHV        59 0119 BU2EQ         59 0240
QSO: 21271 PH 2024-03-31 0312 JP3XHV        59 0120 9M8J          59 0164
QSO: 21201 PH 2024-03-31 2221 JP3XHV        59 0121 NF6A          59 2780
END-OF-LOG:
