START-OF-LOG: 3.0
CALLSIGN: HB9GA
CONTEST: EUHFC
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: MIXED
CLAIMED-SCORE: 23165
NAME: Freie Funker Ostschweiz
ADDRESS: Weideggstrasse 14
ADDRESS: Flawil, SG 9230
ADDRESS: SWITZERLAND
ADDRESS-CITY: Flawil
ADDRESS-POSTALCODE: 9230
ADDRESS-COUNTRY: Switzerland
OPERATORS: HB9DXB
EMAIL: hb9dxb@freiefunker.clubdesk.com
CLUB: Bavarian Contest Club
CREATED-BY: N1MM Logger+ 1.0.8501.0
SOAPBOX:LowBands: Home brewed Flagpole with CG 3000 / 100 Watt
QSO:  7009 CW 2025-08-02 2216 HB9GA         599 01     EC3A          599 79       
QSO:  7009 CW 2025-08-02 2217 HB9GA         599 01     YO4LHR        599 88       
QSO:  7009 CW 2025-08-02 2218 HB9GA         599 01     UT3UZ         599 78       
QSO:  7009 CW 2025-08-02 2220 HB9GA         599 01     US6EX         599 77       
QSO:  7009 CW 2025-08-02 2221 HB9GA         599 01     ON6NL         599 75       
QSO:  7009 CW 2025-08-02 2222 HB9GA         599 01     EB5A          599 81       
QSO:  7009 CW 2025-08-02 2223 HB9GA         599 01     YL3GX         599 80       
QSO:  7009 CW 2025-08-02 2224 HB9GA         599 01     LY3G          599 93       
QSO:  3536 CW 2025-08-02 2234 HB9GA         599 01     DK2OY         599 67       
QSO:  7012 CW 2025-08-02 2241 HB9GA         599 01     EA7BEZ        599 83       
QSO:  7010 CW 2025-08-02 2245 HB9GA         599 01     YT9X          599 98       
QSO:  7034 CW 2025-08-02 2247 HB9GA         599 01     UX0LL         599 95       
QSO:  7032 CW 2025-08-02 2250 HB9GA         599 01     OH5ZA         599 71       
QSO:  7032 CW 2025-08-02 2252 HB9GA         599 01     YU1AT         599 77       
QSO:  7032 CW 2025-08-02 2252 HB9GA         599 01     PG7R          599 74       
QSO:  7032 CW 2025-08-02 2254 HB9GA         599 01     9A5Y          599 98       
QSO:  7032 CW 2025-08-02 2256 HB9GA         599 01     IU0DHV        599 90       
QSO:  7032 CW 2025-08-02 2256 HB9GA         599 01     R2AA          599 83       
QSO:  7032 CW 2025-08-02 2258 HB9GA         599 01     LZ2PS         599 87       
QSO:  7032 CW 2025-08-02 2259 HB9GA         599 01     YO6BLU        599 75       
QSO:  7032 CW 2025-08-02 2301 HB9GA         599 01     UW7LL         599 00       
QSO:  7032 CW 2025-08-02 2302 HB9GA         599 01     EW8DX         599 65       
QSO:  7032 CW 2025-08-02 2303 HB9GA         599 01     PA3I          599 77       
QSO:  7032 CW 2025-08-02 2303 HB9GA         599 01     MM9I          599 93       
QSO:  7032 CW 2025-08-02 2304 HB9GA         599 01     EA5GIA        599 88       
QSO:  7032 CW 2025-08-02 2306 HB9GA         599 01     SP4AAZ        599 99       
QSO:  7032 CW 2025-08-02 2306 HB9GA         599 01     G3TXF         599 65       
QSO:  7032 CW 2025-08-02 2307 HB9GA         599 01     SP2QG         599 78       
QSO:  7032 CW 2025-08-02 2308 HB9GA         599 01     F6GCP         599 79       
QSO:  7032 CW 2025-08-02 2314 HB9GA         599 01     DF5BM         599 76
END-OF-LOG:
