START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-10
CALLSIGN: W8MET
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: W8MET
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-10 ARRL/arrl_10_meter_contest/2018.
QSO: 28000 CW 2018-12-08 0257 W8MET         599 OH KV0Q          599 CO
QSO: 28027 CW 2018-12-08 1840 W8MET         599 OH W0AIH         599 WI
QSO: 28057 CW 2018-12-08 1845 W8MET         599 OH K4QS          599 VA
QSO: 28043 CW 2018-12-08 1857 W8MET         599 OH NA2U          599 AZ
QSO: 28497 PH 2018-12-08 1906 W8MET         59 OH TG9ADQ        59 126
QSO: 28000 PH 2018-12-08 1908 W8MET         59 OH XE2JS         59 CHH
QSO: 28049 CW 2018-12-08 1914 W8MET         599 OH XE2CQ         599 BAC
QSO: 28045 CW 2018-12-08 1915 W8MET         599 OH AA3B          599 PA
QSO: 28038 CW 2018-12-08 1917 W8MET         599 OH NA8V          599 MI
QSO: 28040 CW 2018-12-08 1917 W8MET         599 OH N2MM          599 NJ
QSO: 28032 CW 2018-12-08 1920 W8MET         599 OH W6YX          599 CA
QSO: 28022 CW 2018-12-08 1922 W8MET         599 OH N7YK          599 NV
QSO: 28019 CW 2018-12-08 1925 W8MET         599 OH XE2B          599 AGS
QSO: 28018 CW 2018-12-08 1927 W8MET         599 OH WA7AN         599 AZ
QSO: 28018 CW 2018-12-08 1928 W8MET         599 OH AI6O          599 CA
QSO: 28016 CW 2018-12-08 1929 W8MET         599 OH N6KI          599 CA
QSO: 28007 CW 2018-12-08 1931 W8MET         599 OH K6NR          599 CA
QSO: 28027 CW 2018-12-08 1932 W8MET         599 OH W6UE          599 CA
QSO: 28034 CW 2018-12-08 1933 W8MET         599 OH NK6A          599 CA
QSO: 28036 CW 2018-12-08 1936 W8MET         599 OH W6RW          599 AZ
QSO: 28059 CW 2018-12-08 1944 W8MET         599 OH N6NF          599 CA
QSO: 28000 CW 2018-12-08 1945 W8MET         599 OH XE1RZL        599 PUE
QSO: 28031 CW 2018-12-09 1300 W8MET         599 OH N4WW          599 FL
QSO: 28000 CW 2018-12-09 1301 W8MET         599 OH N4OX          599 FL
QSO: 28005 CW 2018-12-09 1302 W8MET         599 OH N4EEB         599 FL
QSO: 28029 CW 2018-12-09 1303 W8MET         599 OH K2PS          599 FL
QSO: 28034 CW 2018-12-09 1305 W8MET         599 OH N4TB          599 FL
QSO: 28036 CW 2018-12-09 1306 W8MET         599 OH K0LUZ         599 FL
QSO: 28017 CW 2018-12-09 1309 W8MET         599 OH K4LQ          599 FL
QSO: 28046 CW 2018-12-09 1332 W8MET         599 OH N1TO          599 FL
QSO: 28000 CW 2018-12-09 1337 W8MET         599 OH N4KS          599 FL
QSO: 28031 CW 2018-12-09 1338 W8MET         599 OH WD5F          599 FL
QSO: 28038 CW 2018-12-09 1341 W8MET         599 OH AA4NP         599 FL
QSO: 28000 CW 2018-12-09 1343 W8MET         599 OH K4EJ          599 FL
QSO: 28007 CW 2018-12-09 1345 W8MET         599 OH K4MM          599 FL
QSO: 28027 CW 2018-12-09 1347 W8MET         599 OH K5KG          599 FL
QSO: 28036 CW 2018-12-09 1353 W8MET         599 OH NN7CW         599 FL
QSO: 28038 CW 2018-12-09 1354 W8MET         599 OH N8LJ          599 MI
QSO: 28020 CW 2018-12-09 1402 W8MET         599 OH NN4X          599 FL
QSO: 28026 CW 2018-12-09 1411 W8MET         599 OH WO4O          599 FL
QSO: 28046 CW 2018-12-09 1415 W8MET         599 OH WB4TDH        599 FL
QSO: 28031 CW 2018-12-09 1619 W8MET         599 OH PJ2ND         599 145
QSO: 28038 CW 2018-12-09 1623 W8MET         599 OH K3DMG         599 OH
QSO: 28034 CW 2018-12-09 1626 W8MET         599 OH P4/DL6RAI     599 461
QSO: 28043 CW 2018-12-09 1636 W8MET         599 OH W8PR          599 OH
END-OF-LOG:
