START-OF-LOG: 3.0
CALLSIGN: K3WWP
CONTEST: CQ-WPX-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 18232
CLUB:
LOCATION: WPA
CREATED-BY: GenLog v6.57
NAME: John H. Shannon, K3WWP
OPERATORS: K3WWP
SOAPBOX: A lot of fun as usual. However it seems every year this contest
SOAPBOX: is plaqued by some sort of geomagnetic storminess. Most QSO's
QSO: 21000 CW 2011-05-29 2230 K3WWP         599 0067   KZ7X          599 0524
QSO: 21000 CW 2011-05-29 2232 K3WWP         599 0068   WK5T          599 2833
QSO: 14000 CW 2011-05-29 2237 K3WWP         599 0069   AB3CX         599 0536
QSO: 14000 CW 2011-05-29 2238 K3WWP         599 0070   WK1Q          599 1914
QSO: 14000 CW 2011-05-29 2239 K3WWP         599 0071   AK1W          599 2128
QSO: 21000 CW 2011-05-29 2257 K3WWP         599 0072   KH7X          599 2382
QSO: 21000 CW 2011-05-29 2259 K3WWP         599 0073   KX7M          599 2336
QSO: 21000 CW 2011-05-29 2259 K3WWP         599 0074   KY0W          599 1500
QSO: 14000 CW 2011-05-29 2306 K3WWP         599 0075   K0PY          599 0994
QSO: 14000 CW 2011-05-29 2310 K3WWP         599 0076   G5O           599 1522
QSO: 14000 CW 2011-05-29 2311 K3WWP         599 0077   9A1A          599 2096
QSO: 14000 CW 2011-05-29 2313 K3WWP         599 0078   9A7A          599 3550
QSO: 14000 CW 2011-05-29 2316 K3WWP         599 0079   S59ABC        599 2529
QSO: 14000 CW 2011-05-29 2320 K3WWP         599 0080   S50R          599 2125
QSO: 14000 CW 2011-05-29 2322 K3WWP         599 0081   NX5M          599 1369
QSO: 14000 CW 2011-05-29 2324 K3WWP         599 0082   N3GD          599 0604
QSO: 14000 CW 2011-05-29 2325 K3WWP         599 0083   NR5M          599 1702
QSO: 14000 CW 2011-05-29 2327 K3WWP         599 0084   NR3X          599 1530
QSO:  7000 CW 2011-05-29 2333 K3WWP         599 0085   N4WW          599 0998
QSO:  7000 CW 2011-05-29 2334 K3WWP         599 0086   NQ4I          599 1386
QSO:  7000 CW 2011-05-29 2335 K3WWP         599 0087   KD2RD         599 0704
QSO:  7000 CW 2011-05-29 2337 K3WWP         599 0088   NK5Q          599 2241
QSO:  7000 CW 2011-05-29 2339 K3WWP         599 0089   NR3X          599 1197
QSO:  7000 CW 2011-05-29 2339 K3WWP         599 0090   K1CX          599 0941
QSO:  7000 CW 2011-05-29 2340 K3WWP         599 0091   NR4M          599 1433
QSO:  7000 CW 2011-05-29 2342 K3WWP         599 0092   WU3A          599 2331
QSO:  7000 CW 2011-05-29 2343 K3WWP         599 0093   VE3JM         599 2254
QSO:  7000 CW 2011-05-29 2344 K3WWP         599 0094   VE3IAE        599 0436
QSO:  7000 CW 2011-05-29 2345 K3WWP         599 0095   KW2O          599 0808
QSO:  7000 CW 2011-05-29 2346 K3WWP         599 0096   KT8K          599 0483
QSO:  7000 CW 2011-05-29 2346 K3WWP         599 0097   VE3KAO        599 0530
QSO:  7000 CW 2011-05-29 2347 K3WWP         599 0098   N4NO          599 1213
QSO:  7000 CW 2011-05-29 2348 K3WWP         599 0099   NN3Q          599 0241
QSO:  7000 CW 2011-05-29 2349 K3WWP         599 0100   K1GU          599 0581
QSO: 14000 CW 2011-05-29 2351 K3WWP         599 0101   VA7RR         599 1362
QSO: 14000 CW 2011-05-29 2355 K3WWP         599 0102   KT2Z          599 2630
QSO: 14000 CW 2011-05-29 2356 K3WWP         599 0103   WF6C          599 0096
QSO: 14000 CW 2011-05-29 2359 K3WWP         599 0104   WO4O          599 0174
QSO: 14000 CW 2011-05-29 2359 K3WWP         599 0105   KE1B          599 1106
END-OF-LOG:
