START-OF-LOG: 3.0
CONTEST: CQ-WPX-RTTY
CALLSIGN: EA8/HB9FIH
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-MODE: RTTY
CLAIMED-SCORE: 75000
CREATED-BY: UcxLog 7.82
OPERATORS: HB9FIH
NAME: Erich Rieder
SOAPBOX: Surprise of the weekend: 15m Band was vy good.
SOAPBOX: Between I made the PACC Contest in CW too.
SOAPBOX: RIG FT-991A 90 Watts , ANT ZS6BKW
SOAPBOX: TNX to all from Canary Island El Hierro 73 de Erich
QSO:  7056 RY 2018-02-10 0131 EA8/HB9FIH    599 022    K5DU          599 137    0
QSO:  7055 RY 2018-02-10 0132 EA8/HB9FIH    599 023    W3LL          599 092    0
QSO:  7054 RY 2018-02-10 0135 EA8/HB9FIH    599 024    CR5V          599 165    0
QSO:  7052 RY 2018-02-10 0137 EA8/HB9FIH    599 025    N2MM          599 100    0
QSO:  7051 RY 2018-02-10 0139 EA8/HB9FIH    599 026    SN2M          599 115    0
QSO:  7050 RY 2018-02-10 0142 EA8/HB9FIH    599 027    N6AR          599 092    0
QSO:  7050 RY 2018-02-10 0143 EA8/HB9FIH    599 028    KF5VRD        599 080    0
QSO:  7049 RY 2018-02-10 0145 EA8/HB9FIH    599 029    S51DD         599 011    0
QSO:  7048 RY 2018-02-10 0147 EA8/HB9FIH    599 030    DA0WRTC       599 074    0
QSO:  3580 RY 2018-02-10 0149 EA8/HB9FIH    599 031    LX7I          599 128    0
QSO:  3579 RY 2018-02-10 0154 EA8/HB9FIH    599 032    SZ1A          599 196    0
QSO:  7050 RY 2018-02-10 0157 EA8/HB9FIH    599 033    IQ3UD         599 075    0
QSO:  7055 RY 2018-02-10 0200 EA8/HB9FIH    599 034    K3WW          599 152    0
QSO:  7058 RY 2018-02-10 0204 EA8/HB9FIH    599 035    K7OM          599 068    0
QSO:  7058 RY 2018-02-10 0207 EA8/HB9FIH    599 036    KS7AA         599 292    0
QSO:  7059 RY 2018-02-10 0210 EA8/HB9FIH    599 037    SO4M          599 219    0
QSO:  3577 RY 2018-02-10 0758 EA8/HB9FIH    599 038    AA3B          599 695    0
QSO:  7042 RY 2018-02-10 0806 EA8/HB9FIH    599 039    9A1A          599 406    0
QSO:  7045 RY 2018-02-10 0814 EA8/HB9FIH    599 040    LX7I          599 430    0
QSO:  7046 RY 2018-02-10 0819 EA8/HB9FIH    599 041    V31RJ         599 233    0
QSO:  7048 RY 2018-02-10 0828 EA8/HB9FIH    599 042    M2E           599 059    0
QSO:  7049 RY 2018-02-10 0833 EA8/HB9FIH    599 043    EA1WS         599 096    0
QSO:  7050 RY 2018-02-10 0835 EA8/HB9FIH    599 044    W4UEF         599 239    0
QSO:  7053 RY 2018-02-10 0839 EA8/HB9FIH    599 045    LA5LJA        599 166    0
QSO:  7053 RY 2018-02-10 0841 EA8/HB9FIH    599 046    DL8ZU         599 053    0
QSO:  7054 RY 2018-02-10 0848 EA8/HB9FIH    599 047    5P9X          599 137    0
QSO:  7055 RY 2018-02-10 0852 EA8/HB9FIH    599 048    NX6T          599 038    0
QSO:  7055 RY 2018-02-10 0856 EA8/HB9FIH    599 049    OE9R          599 466    0
QSO:  7056 RY 2018-02-10 0858 EA8/HB9FIH    599 050    PD2GSP        599 070    0
QSO: 14073 RY 2018-02-10 1001 EA8/HB9FIH    599 051    YP0C          599 352    0
QSO: 14078 RY 2018-02-10 1004 EA8/HB9FIH    599 052    9A5D          599 561    0
QSO: 14080 RY 2018-02-10 1007 EA8/HB9FIH    599 053    R7DA          599 346    0
QSO: 14082 RY 2018-02-10 1008 EA8/HB9FIH    599 054    LZ7A          599 217    0
QSO: 14087 RY 2018-02-10 1015 EA8/HB9FIH    599 055    YL2CI         599 189    0
QSO: 14089 RY 2018-02-10 1017 EA8/HB9FIH    599 056    EM2G          599 314    0
QSO: 14091 RY 2018-02-10 1019 EA8/HB9FIH    599 057    TF1AM         599 180    0
QSO: 14101 RY 2018-02-10 1027 EA8/HB9FIH    599 058    EE5V          599 110    0
QSO: 14107 RY 2018-02-10 1029 EA8/HB9FIH    599 059    IZ8FWN        599 427    0
QSO: 14107 RY 2018-02-10 1032 EA8/HB9FIH    599 060    OH2HAN        599 465    0
QSO: 14113 RY 2018-02-10 1036 EA8/HB9FIH    599 061    UA0AGI        599 489    0
QSO: 14115 RY 2018-02-10 1037 EA8/HB9FIH    599 062    EB7DX         599 257    0
QSO: 14116 RY 2018-02-10 1039 EA8/HB9FIH    599 063    IU4CHE        599 198    0
QSO: 14123 RY 2018-02-10 1041 EA8/HB9FIH    599 064    IT9VCE        599 104    0
QSO: 14124 RY 2018-02-10 1042 EA8/HB9FIH    599 065    IW1PNJ        599 029    0
QSO: 14128 RY 2018-02-10 1044 EA8/HB9FIH    599 066    YL5T          599 128    0
QSO: 14130 RY 2018-02-10 1050 EA8/HB9FIH    599 067    Z60A          599 280    0
QSO: 14126 RY 2018-02-10 1056 EA8/HB9FIH    599 068    SV3DCX        599 134    0
QSO: 14124 RY 2018-02-10 1058 EA8/HB9FIH    599 069    RA7A          599 020    0
QSO: 14116 RY 2018-02-10 1104 EA8/HB9FIH    599 070    OG90AA        599 268    0
QSO: 14114 RY 2018-02-10 1107 EA8/HB9FIH    599 071    IZ8ESX        599 580    0
QSO: 14106 RY 2018-02-10 1109 EA8/HB9FIH    599 072    LY100CY       599 280    0
QSO: 21085 RY 2018-02-11 1237 EA8/HB9FIH    599 073    DF8AA         599 155    0
QSO: 21085 RY 2018-02-11 1237 EA8/HB9FIH    599 074    DO4OD         599 316    0
QSO: 21085 RY 2018-02-11 1238 EA8/HB9FIH    599 075    DL1HBT        599 032    0
QSO: 21085 RY 2018-02-11 1240 EA8/HB9FIH    599 076    DL5ARM        599 377    0
QSO: 21085 RY 2018-02-11 1241 EA8/HB9FIH    599 077    DO3ME         599 064    0
QSO: 21085 RY 2018-02-11 1243 EA8/HB9FIH    599 078    OK1VK         599 282    0
QSO: 21085 RY 2018-02-11 1244 EA8/HB9FIH    599 079    DJ2IA         599 219    0
QSO: 21085 RY 2018-02-11 1247 EA8/HB9FIH    599 080    PA0RDY        599 010    0
QSO: 21084 RY 2018-02-11 1252 EA8/HB9FIH    599 081    ON6SAT        599 042    0
QSO: 21084 RY 2018-02-11 1253 EA8/HB9FIH    599 082    PE1FTV        599 207    0
QSO: 21084 RY 2018-02-11 1254 EA8/HB9FIH    599 083    MM0AMW        599 052    0
QSO: 21084 RY 2018-02-11 1257 EA8/HB9FIH    599 084    DO9PL         599 101    0
QSO: 21084 RY 2018-02-11 1258 EA8/HB9FIH    599 085    MT0IXD        599 669    0
QSO: 21084 RY 2018-02-11 1259 EA8/HB9FIH    599 086    DO3ME         599 065    0
QSO: 21084 RY 2018-02-11 1300 EA8/HB9FIH    599 087    LY100CY       599 077    0
QSO: 21084 RY 2018-02-11 1300 EA8/HB9FIH    599 088    IQ2CU         599 745    0
QSO: 21084 RY 2018-02-11 1302 EA8/HB9FIH    599 089    G4ZOY         599 065    0
QSO: 21084 RY 2018-02-11 1303 EA8/HB9FIH    599 090    DJ9MH         599 131    0
QSO: 21084 RY 2018-02-11 1304 EA8/HB9FIH    599 091    UT4RZ         599 597    0
QSO: 21084 RY 2018-02-11 1305 EA8/HB9FIH    599 092    IQ3UD         599 1083   0
QSO: 21084 RY 2018-02-11 1306 EA8/HB9FIH    599 093    F4GDI         599 4135   0
QSO: 21084 RY 2018-02-11 1307 EA8/HB9FIH    599 094    I4LCK         599 163    0
QSO: 21084 RY 2018-02-11 1312 EA8/HB9FIH    599 096    HB3YGD        599 055    0
QSO: 21084 RY 2018-02-11 1313 EA8/HB9FIH    599 097    F5RD          599 320    0
QSO: 21084 RY 2018-02-11 1314 EA8/HB9FIH    599 098    ON4APU        599 200    0
QSO: 21084 RY 2018-02-11 1314 EA8/HB9FIH    599 099    DJ8VH         599 326    0
QSO: 21084 RY 2018-02-11 1331 EA8/HB9FIH    599 100    I2SVA         599 039    0
QSO: 21084 RY 2018-02-11 1332 EA8/HB9FIH    599 101    G3K           599 101    0
QSO: 21084 RY 2018-02-11 1333 EA8/HB9FIH    599 102    IT9BLB        599 254    0
QSO: 21084 RY 2018-02-11 1334 EA8/HB9FIH    599 103    SP1MGM        599 397    0
QSO: 21084 RY 2018-02-11 1335 EA8/HB9FIH    599 104    IW1CHX        599 054    0
QSO: 21084 RY 2018-02-11 1335 EA8/HB9FIH    599 105    I1NVU         599 304    0
QSO: 21084 RY 2018-02-11 1336 EA8/HB9FIH    599 106    OT1V          599 021    0
QSO: 21082 RY 2018-02-11 1345 EA8/HB9FIH    599 107    DK6CQ         599 216    0
QSO: 21082 RY 2018-02-11 1347 EA8/HB9FIH    599 108    F4FDR         599 459    0
QSO: 21082 RY 2018-02-11 1351 EA8/HB9FIH    599 109    WDA9A         599 153    0
QSO: 21082 RY 2018-02-11 1352 EA8/HB9FIH    599 110    DL3DW         599 089    0
QSO: 21082 RY 2018-02-11 1353 EA8/HB9FIH    599 111    S54E          599 047    0
QSO: 21082 RY 2018-02-11 1355 EA8/HB9FIH    599 112    S52GBB        599 112    0
QSO: 21082 RY 2018-02-11 1355 EA8/HB9FIH    599 113    DH8BQA        599 872    0
QSO: 21082 RY 2018-02-11 1357 EA8/HB9FIH    599 114    DJ6OZ         599 454    0
QSO: 21083 RY 2018-02-11 1404 EA8/HB9FIH    599 115    IK0FUX        599 048    0
QSO: 14083 RY 2018-02-11 1507 EA8/HB9FIH    599 116    EA1XT         599 655    0
QSO: 14104 RY 2018-02-11 1508 EA8/HB9FIH    599 117    IQ0RU         599 961    0
QSO: 14105 RY 2018-02-11 1513 EA8/HB9FIH    599 118    HB9ODP        599 748    0
QSO: 14106 RY 2018-02-11 1515 EA8/HB9FIH    599 119    SE6BG         599 243    0
QSO: 14110 RY 2018-02-11 1517 EA8/HB9FIH    599 120    WV1K          599 1392   0
QSO: 14114 RY 2018-02-11 1619 EA8/HB9FIH    599 121    K3WW          599 1175   0
QSO: 14117 RY 2018-02-11 1630 EA8/HB9FIH    599 122    N1MD          599 402    0
QSO: 14120 RY 2018-02-11 1642 EA8/HB9FIH    599 123    OZ11A         599 1006   0
QSO: 14121 RY 2018-02-11 1646 EA8/HB9FIH    599 124    SK7K          599 1225   0
QSO: 14121 RY 2018-02-11 1647 EA8/HB9FIH    599 125    SI6V          599 975    0
QSO: 14125 RY 2018-02-11 1651 EA8/HB9FIH    599 126    W1TO          599 426    0
QSO: 14132 RY 2018-02-11 1656 EA8/HB9FIH    599 127    WS9V          599 652    0
QSO: 14134 RY 2018-02-11 1659 EA8/HB9FIH    599 128    W9ILY         599 517    0
QSO: 14139 RY 2018-02-11 1701 EA8/HB9FIH    599 129    CU8FN         599 741    0
QSO: 14143 RY 2018-02-11 1708 EA8/HB9FIH    599 130    N2HMM         599 537    0
QSO: 14143 RY 2018-02-11 1711 EA8/HB9FIH    599 131    W4GO          599 949    0
QSO: 14148 RY 2018-02-11 1713 EA8/HB9FIH    599 132    EA1WS         599 1011   0
QSO: 14125 RY 2018-02-11 1717 EA8/HB9FIH    599 133    DL9YAJ        599 976    0
QSO: 14116 RY 2018-02-11 1721 EA8/HB9FIH    599 134    VE2GSO        599 368    0
QSO: 14115 RY 2018-02-11 1723 EA8/HB9FIH    599 135    WS7L          599 419    0
QSO: 14117 RY 2018-02-11 1731 EA8/HB9FIH    599 136    AA7CR         599 374    0
QSO: 14118 RY 2018-02-11 1732 EA8/HB9FIH    599 137    F1RHS         599 357    0
QSO: 14124 RY 2018-02-11 1736 EA8/HB9FIH    599 138    NU8Z          599 194    0
QSO: 14124 RY 2018-02-11 1737 EA8/HB9FIH    599 139    VE3DZ         599 557    0
QSO: 14126 RY 2018-02-11 1738 EA8/HB9FIH    599 140    VE2FK         599 932    0
QSO: 14129 RY 2018-02-11 1740 EA8/HB9FIH    599 141    K9NR          599 945    0
QSO: 14136 RY 2018-02-11 1741 EA8/HB9FIH    599 142    WA1ZYX        599 252    0
QSO: 14136 RY 2018-02-11 1743 EA8/HB9FIH    599 143    WB8SKP        599 119    0
QSO: 14140 RY 2018-02-11 1744 EA8/HB9FIH    599 144    WI7N          599 675    0
QSO: 14144 RY 2018-02-11 1748 EA8/HB9FIH    599 145    N8BJQ         599 941    0
QSO: 14144 RY 2018-02-11 1750 EA8/HB9FIH    599 146    N0BUI         599 432    0
QSO: 14146 RY 2018-02-11 1752 EA8/HB9FIH    599 147    EA5GX         599 089    0
QSO: 14124 RY 2018-02-11 1822 EA8/HB9FIH    599 148    KI1G          599 097    0
QSO: 14107 RY 2018-02-11 1826 EA8/HB9FIH    599 149    W4UEF         599 816    0
QSO: 14103 RY 2018-02-11 1828 EA8/HB9FIH    599 150    PZ5RA         599 827    0
QSO: 14103 RY 2018-02-11 2055 EA8/HB9FIH    599 151    NK7U          599 707    0
QSO: 14099 RY 2018-02-11 2057 EA8/HB9FIH    599 152    KA4RRU        599 676    0
END-OF-LOG:
