START-OF-LOG: 3.0
CALLSIGN: NC0O
CLUB: Eastern Iowa DX Association
CONTEST: CQ-WPX-CW
CLAIMED-SCORE: 563573
OPERATORS: NC0O
SOAPBOX: Had trouble with QRN the first hour, then had to shut down til
SOAPBOX: 1000 GMT because of  thunderstorms.  Still, I'm happy with my
QSO:  7024 CW 2012-05-26 0941 NC0O          599 0033   JS3CTQ        599 0540
QSO:  7033 CW 2012-05-26 0945 NC0O          599 0034   VE7UF         599 0231
QSO:  7008 CW 2012-05-26 0949 NC0O          599 0035   JH7XGN        599 0471
QSO:  7031 CW 2012-05-26 1009 NC0O          599 0036   KH6LC         599 0115
QSO:  7031 CW 2012-05-26 1013 NC0O          599 0037   P40H          599 0874
QSO:  7028 CW 2012-05-26 1015 NC0O          599 0038   PJ2T          599 0597
QSO:  7009 CW 2012-05-26 1019 NC0O          599 0039   JN1ILK        599 0468
QSO:  7034 CW 2012-05-26 1021 NC0O          599 0040   HD2A          599 0937
QSO: 14011 CW 2012-05-26 1024 NC0O          599 0041   HG1S          599 0871
QSO: 14031 CW 2012-05-26 1029 NC0O          599 0042   DQ4W          599 0679
QSO: 14035 CW 2012-05-26 1031 NC0O          599 0043   OQ5M          599 0301
QSO: 14041 CW 2012-05-26 1034 NC0O          599 0044   OK2D          599 0673
QSO: 14053 CW 2012-05-26 1036 NC0O          599 0045   GI0RQK        599 0422
QSO: 14018 CW 2012-05-26 1039 NC0O          599 0046   LZ2012KM      599 0181
QSO: 14020 CW 2012-05-26 1041 NC0O          599 0047   VK2DX         599 0135
QSO: 14050 CW 2012-05-26 1050 NC0O          599 0048   DP9A          599 0762
QSO: 14002 CW 2012-05-26 1051 NC0O          599 0049   OE3K          599 1176
QSO: 14026 CW 2012-05-26 1055 NC0O          599 0050   SO4M          599 0824
QSO: 14024 CW 2012-05-26 1056 NC0O          599 0051   PY7ZY         599 0075
QSO: 14048 CW 2012-05-26 1101 NC0O          599 0052   LZ9W          599 0991
QSO: 14010 CW 2012-05-26 1104 NC0O          599 0053   PB2JJ         599 0599
QSO: 14010 CW 2012-05-26 1105 NC0O          599 0054   CO8TW         599 0603
QSO: 14029 CW 2012-05-26 1109 NC0O          599 0055   DR1A          599 1078
QSO: 14008 CW 2012-05-26 1117 NC0O          599 0056   JT1CO         599 0352
QSO: 14063 CW 2012-05-26 1121 NC0O          599 0057   JH0EPI        599 0164
QSO: 14012 CW 2012-05-26 1124 NC0O          599 0058   KL7RA         599 0793
QSO: 14006 CW 2012-05-26 1126 NC0O          599 0059   VK6DXI        599 0729
QSO: 14018 CW 2012-05-26 1130 NC0O          599 0060   G6T           599 0276
QSO: 14009 CW 2012-05-26 1134 NC0O          599 0061   SO2R          599 0770
QSO: 14022 CW 2012-05-26 1135 NC0O          599 0062   VC3O          599 0789
QSO: 14029 CW 2012-05-26 1141 NC0O          599 0063   LX7I          599 1077
QSO: 14043 CW 2012-05-26 1144 NC0O          599 0064   TM5A          599 0717
QSO: 14026 CW 2012-05-26 1146 NC0O          599 0065   IR2T          599 0344
QSO: 14028 CW 2012-05-26 1150 NC0O          599 0066   NH2T          599 1364
QSO:  7019 CW 2012-05-26 1153 NC0O          599 0067   KH7AA         599 0901
QSO:  7014 CW 2012-05-26 1157 NC0O          599 0068   NF6A          599 1073
QSO:  7019 CW 2012-05-26 1158 NC0O          599 0069   KS7AA         599 0910
QSO: 14040 CW 2012-05-26 1200 NC0O          599 0070   JR6GIM        599 0148
QSO: 14042 CW 2012-05-26 1202 NC0O          599 0071   JR3NZC        599 0173
QSO: 14031 CW 2012-05-26 1204 NC0O          599 0072   JE4MHL        599 0128
QSO: 14025 CW 2012-05-26 1206 NC0O          599 0073   DR1D          599 0809
QSO: 14006 CW 2012-05-26 1208 NC0O          599 0074   HK1NA         599 1174
QSO: 14067 CW 2012-05-26 1212 NC0O          599 0075   W1UJ          599 0790
QSO: 14048 CW 2012-05-26 1226 NC0O          599 0076   JG2KKG        599 0129
QSO: 21016 CW 2012-05-26 1227 NC0O          599 0077   CQ3B          599 1607
QSO: 21038 CW 2012-05-26 1232 NC0O          599 0078   CR1X          599 0816
QSO: 21043 CW 2012-05-26 1237 NC0O          599 0079   9A22P         599 0134
QSO: 21044 CW 2012-05-26 1240 NC0O          599 0080   HG7T          599 0513
QSO: 21048 CW 2012-05-26 1241 NC0O          599 0081   TC7C          599 1388
QSO: 21051 CW 2012-05-26 1242 NC0O          599 0082   E7DX          599 1448
QSO: 21053 CW 2012-05-26 1246 NC0O          599 0083   LY8O          599 0816
QSO: 21055 CW 2012-05-26 1247 NC0O          599 0084   DM6V          599 1208
QSO: 21055 CW 2012-05-26 1248 NC0O          599 0085   DL4ZA         599 0278
QSO: 21057 CW 2012-05-26 1252 NC0O          599 0086   YU5A          599 0736
QSO: 21058 CW 2012-05-26 1254 NC0O          599 0087   YU0T          599 1056
QSO: 21016 CW 2012-05-26 1257 NC0O          599 0088   PA6XX         599 0349
QSO: 21017 CW 2012-05-26 1301 NC0O          599 0089   6V7S          599 1084
QSO: 21006 CW 2012-05-26 1305 NC0O          599 0090   UW3U          599 1531
QSO: 21039 CW 2012-05-26 1307 NC0O          599 0091   ES7A          599 0240
QSO: 21067 CW 2012-05-26 1313 NC0O          599 0092   ST2AR         599 1514
QSO: 21040 CW 2012-05-26 1315 NC0O          599 0093   HD2A          599 1061
QSO: 21056 CW 2012-05-26 1319 NC0O          599 0094   7Z1HL         599 0068
QSO: 21007 CW 2012-05-26 1321 NC0O          599 0095   OH2XX         599 0131
QSO: 21013 CW 2012-05-26 1323 NC0O          599 0096   E73W          599 0785
QSO: 21055 CW 2012-05-26 1325 NC0O          599 0097   RW7M          599 0191
QSO: 21054 CW 2012-05-26 1327 NC0O          599 0098   DL0GL         599 0795
QSO: 21063 CW 2012-05-26 1330 NC0O          599 0099   YR1C          599 1232
QSO: 21062 CW 2012-05-26 1332 NC0O          599 0100   UX2A          599 0899
QSO: 21065 CW 2012-05-26 1334 NC0O          599 0101   LN3Z          599 1011
QSO: 21018 CW 2012-05-26 1337 NC0O          599 0102   RC9O          599 1422
QSO: 21023 CW 2012-05-26 1340 NC0O          599 0103   S50C          599 0946
QSO: 21023 CW 2012-05-26 1348 NC0O          599 0104   6Y3W          599 1269
QSO: 21008 CW 2012-05-26 1356 NC0O          599 0105   RU5A          599 0913
QSO: 21007 CW 2012-05-26 1357 NC0O          599 0106   IK2AOO        599 0173
QSO: 21019 CW 2012-05-26 1401 NC0O          599 0107   3G1D          599 0300
QSO: 21025 CW 2012-05-26 1402 NC0O          599 0108   9A1A          599 0973
QSO: 21029 CW 2012-05-26 1404 NC0O          599 0109   9A5D          599 0688
QSO: 21042 CW 2012-05-26 1409 NC0O          599 0110   UA5A          599 1253
QSO: 21032 CW 2012-05-26 1410 NC0O          599 0111   OL7C          599 1075
QSO: 21037 CW 2012-05-26 1412 NC0O          599 0112   SP9LJD        599 0619
QSO: 21039 CW 2012-05-26 1416 NC0O          599 0113   ER6A          599 0829
QSO: 21044 CW 2012-05-26 1417 NC0O          599 0114   HG6W          599 0955
QSO: 21061 CW 2012-05-26 1419 NC0O          599 0115   OM7M          599 1408
QSO: 21069 CW 2012-05-26 1421 NC0O          599 0116   3Z2X          599 0800
QSO: 21055 CW 2012-05-26 1422 NC0O          599 0117   RM3F          599 1075
QSO: 21062 CW 2012-05-26 1427 NC0O          599 0118   ZX5J          599 0998
QSO: 21001 CW 2012-05-26 1429 NC0O          599 0119   HP1S          599 0716
QSO: 21016 CW 2012-05-26 1446 NC0O          599 0120   OH10X         599 0874
QSO: 21010 CW 2012-05-26 1450 NC0O          599 0121   G3P           599 0377
QSO: 21018 CW 2012-05-26 1453 NC0O          599 0122   EF2A          599 0765
QSO: 21018 CW 2012-05-26 1455 NC0O          599 0123   IR9Y          599 1074
QSO: 21025 CW 2012-05-26 1458 NC0O          599 0124   EA4KA         599 0092
QSO: 21028 CW 2012-05-26 1459 NC0O          599 0125   DL5GAC        599 0393
QSO: 21032 CW 2012-05-26 1500 NC0O          599 0126   S57AL         599 0927
QSO: 21036 CW 2012-05-26 1503 NC0O          599 0127   P49Y          599 1354
QSO: 21037 CW 2012-05-26 1504 NC0O          599 0128   RU1A          599 2277
QSO: 21037 CW 2012-05-26 1505 NC0O          599 0129   4O3A          599 1226
QSO: 21039 CW 2012-05-26 1506 NC0O          599 0130   SV1ENG        599 0750
QSO: 21041 CW 2012-05-26 1507 NC0O          599 0131   EC5CR         599 0560
QSO: 21042 CW 2012-05-26 1508 NC0O          599 0132   EF3A          599 0825
QSO: 21043 CW 2012-05-26 1511 NC0O          599 0133   IW1FNW        599 0511
QSO: 21043 CW 2012-05-26 1511 NC0O          599 0134   OE3K          599 1665
QSO: 21046 CW 2012-05-26 1513 NC0O          599 0135   II2E          599 0904
QSO: 21047 CW 2012-05-26 1515 NC0O          599 0136   ES9C          599 2275
QSO: 21051 CW 2012-05-26 1518 NC0O          599 0137   MD2C          599 0204
QSO: 21036 CW 2012-05-26 1526 NC0O          599 0138   OM3BH         599 1318
QSO: 21005 CW 2012-05-26 1528 NC0O          599 0139   UN9GD         599 1217
QSO: 21007 CW 2012-05-26 1529 NC0O          599 0140   S59ABC        599 1010
QSO: 21007 CW 2012-05-26 1530 NC0O          599 0141   ED1R          599 0817
QSO: 21008 CW 2012-05-26 1531 NC0O          599 0142   YT2R          599 0915
QSO: 21008 CW 2012-05-26 1533 NC0O          599 0143   DJ1YFK        599 1182
QSO: 21011 CW 2012-05-26 1534 NC0O          599 0144   HB75FG        599 0548
QSO: 21013 CW 2012-05-26 1539 NC0O          599 0145   9K2RA         599 1627
QSO: 21013 CW 2012-05-26 1540 NC0O          599 0146   EF7X          599 1607
QSO: 21014 CW 2012-05-26 1542 NC0O          599 0147   YE0X          599 0756
QSO: 21017 CW 2012-05-26 1543 NC0O          599 0148   PJ4Y          599 0581
QSO: 21018 CW 2012-05-26 1546 NC0O          599 0149   IO3X          599 0577
QSO: 21021 CW 2012-05-26 1547 NC0O          599 0150   S52OP         599 1111
QSO: 21030 CW 2012-05-26 1549 NC0O          599 0151   EF5Y          599 1046
QSO: 21031 CW 2012-05-26 1550 NC0O          599 0152   FM5BH         599 1240
QSO: 21034 CW 2012-05-26 1552 NC0O          599 0153   IQ2LS         599 0966
QSO: 21041 CW 2012-05-26 1555 NC0O          599 0154   IU9T          599 0897
QSO: 21031 CW 2012-05-26 1557 NC0O          599 0155   NP4Z          599 0160
QSO: 21033 CW 2012-05-26 1559 NC0O          599 0156   OP4K          599 0954
QSO: 21038 CW 2012-05-26 1602 NC0O          599 0157   OH8X          599 1220
QSO: 21004 CW 2012-05-26 1605 NC0O          599 0158   OM100IG       599 0746
QSO: 21006 CW 2012-05-26 1607 NC0O          599 0159   VU2PTT        599 0478
QSO: 21009 CW 2012-05-26 1608 NC0O          599 0160   KP2M          599 1868
QSO: 21012 CW 2012-05-26 1611 NC0O          599 0161   YB4IR         599 0161
QSO: 21017 CW 2012-05-26 1613 NC0O          599 0162   OK7X          599 0386
QSO: 21021 CW 2012-05-26 1615 NC0O          599 0163   CS2W          599 1141
QSO: 21025 CW 2012-05-26 1617 NC0O          599 0164   SN7Q          599 1317
QSO: 21027 CW 2012-05-26 1618 NC0O          599 0165   DL1VDL        599 0227
QSO: 21029 CW 2012-05-26 1619 NC0O          599 0166   OK1DX         599 0650
QSO: 21036 CW 2012-05-26 1621 NC0O          599 0167   F5VHY         599 1066
QSO: 21042 CW 2012-05-26 1624 NC0O          599 0168   VE3TA         599 0815
QSO: 21047 CW 2012-05-26 1627 NC0O          599 0169   DF9ZP         599 0869
QSO: 21048 CW 2012-05-26 1628 NC0O          599 0170   S54K          599 0768
QSO: 21039 CW 2012-05-26 1631 NC0O          599 0171   YT2B          599 0761
QSO: 21058 CW 2012-05-26 1632 NC0O          599 0172   V31UB         599 1162
QSO: 21013 CW 2012-05-26 1643 NC0O          599 0173   4Z5TK         599 0651
QSO: 21022 CW 2012-05-26 1644 NC0O          599 0174   SN10SLO       599 0623
QSO: 21044 CW 2012-05-26 1647 NC0O          599 0175   DM0B          599 0715
QSO: 21004 CW 2012-05-26 1659 NC0O          599 0176   PA73N         599 0899
QSO: 21006 CW 2012-05-26 1701 NC0O          599 0177   YU1KX         599 1139
QSO: 21032 CW 2012-05-26 1713 NC0O          599 0178   DK5DQ         599 0531
QSO: 21033 CW 2012-05-26 1714 NC0O          599 0179   EF8A          599 0886
QSO: 21034 CW 2012-05-26 1717 NC0O          599 0180   SQ6MS         599 0676
QSO: 21035 CW 2012-05-26 1718 NC0O          599 0181   A65BD         599 1402
QSO: 21036 CW 2012-05-26 1719 NC0O          599 0182   YU5R          599 0719
QSO: 21043 CW 2012-05-26 1723 NC0O          599 0183   SG6W          599 1251
QSO: 21004 CW 2012-05-26 1728 NC0O          599 0184   SP1NY         599 0731
QSO: 21027 CW 2012-05-26 1732 NC0O          599 0185   EO3Q          599 1097
QSO: 21024 CW 2012-05-26 1736 NC0O          599 0186   GQ8SRS        599 0484
QSO: 14022 CW 2012-05-26 1740 NC0O          599 0187   VE6TL         599 0574
QSO: 14032 CW 2012-05-26 1743 NC0O          599 0188   VC2W          599 0813
QSO: 14045 CW 2012-05-26 1755 NC0O          599 0189   8S6E          599 1015
QSO: 21040 CW 2012-05-26 2001 NC0O          599 0190   9A0Z          599 1370
QSO: 21037 CW 2012-05-26 2003 NC0O          599 0191   SE0X          599 1055
QSO: 21047 CW 2012-05-26 2005 NC0O          599 0192   ES0DJ         599 0403
QSO: 21060 CW 2012-05-26 2006 NC0O          599 0193   LZ2HR         599 0878
QSO: 21061 CW 2012-05-26 2009 NC0O          599 0194   MJ0CFW        599 1095
QSO: 21070 CW 2012-05-26 2011 NC0O          599 0195   SM6CNN        599 0595
QSO: 21088 CW 2012-05-26 2013 NC0O          599 0196   GB2FRA        599 0706
QSO: 21041 CW 2012-05-26 2017 NC0O          599 0197   IR1X          599 0141
QSO: 21050 CW 2012-05-26 2019 NC0O          599 0198   F4DXW         599 0681
QSO: 21048 CW 2012-05-26 2023 NC0O          599 0199   JN4MMO        599 0677
QSO: 21065 CW 2012-05-26 2026 NC0O          599 0200   EF8M          599 2188
QSO: 21001 CW 2012-05-26 2030 NC0O          599 0201   JH3AIU        599 0673
QSO: 21057 CW 2012-05-26 2032 NC0O          599 0202   KH6MB         599 0489
QSO: 21044 CW 2012-05-26 2033 NC0O          599 0203   AL9A          599 0423
QSO: 21017 CW 2012-05-26 2037 NC0O          599 0204   IR3W          599 0231
QSO: 21058 CW 2012-05-26 2038 NC0O          599 0205   G5W           599 1358
QSO: 21068 CW 2012-05-26 2045 NC0O          599 0206   YL6W          599 0600
QSO: 21064 CW 2012-05-26 2046 NC0O          599 0207   S53MM         599 1793
QSO: 21049 CW 2012-05-26 2048 NC0O          599 0208   PT5T          599 1721
QSO: 21053 CW 2012-05-26 2051 NC0O          599 0209   PZ5P          599 1784
QSO: 21054 CW 2012-05-26 2053 NC0O          599 0210   JA8RWU        599 1137
QSO: 21032 CW 2012-05-26 2054 NC0O          599 0211   KL7RA         599 1394
QSO: 21034 CW 2012-05-26 2056 NC0O          599 0212   UA6AA         599 0520
QSO: 21066 CW 2012-05-26 2058 NC0O          599 0213   GM5X          599 0080
QSO: 21049 CW 2012-05-26 2059 NC0O          599 0214   RT4F          599 3065
QSO: 14009 CW 2012-05-26 2101 NC0O          599 0215   YT1A          599 0788
QSO: 14033 CW 2012-05-26 2105 NC0O          599 0216   YP5A          599 0955
QSO: 14039 CW 2012-05-26 2106 NC0O          599 0217   9A8M          599 2023
QSO: 14064 CW 2012-05-26 2108 NC0O          599 0218   M7A           599 1110
QSO: 14066 CW 2012-05-26 2110 NC0O          599 0219   GM0F          599 2010
QSO: 14067 CW 2012-05-26 2112 NC0O          599 0220   RM5D          599 1073
QSO: 14044 CW 2012-05-26 2114 NC0O          599 0221   UA3RF         599 0867
QSO: 21008 CW 2012-05-26 2117 NC0O          599 0222   UV0I          599 1092
QSO: 21010 CW 2012-05-26 2119 NC0O          599 0223   OM7JG         599 1018
QSO: 21016 CW 2012-05-26 2120 NC0O          599 0224   JF2IWL        599 0170
QSO: 21019 CW 2012-05-26 2127 NC0O          599 0225   NY6N          599 1682
QSO: 21054 CW 2012-05-26 2132 NC0O          599 0226   JR3NZC        599 0344
QSO: 21040 CW 2012-05-26 2137 NC0O          599 0227   RT0C          599 1737
QSO: 21006 CW 2012-05-26 2140 NC0O          599 0228   CW5W          599 1444
QSO: 21033 CW 2012-05-26 2142 NC0O          599 0229   EA8CAC        599 0918
QSO: 21048 CW 2012-05-26 2143 NC0O          599 0230   YT4B          599 1422
QSO: 21050 CW 2012-05-26 2145 NC0O          599 0231   JH4UYB        599 1582
QSO: 21057 CW 2012-05-26 2147 NC0O          599 0232   JA6ZPR        599 0349
QSO: 21044 CW 2012-05-26 2148 NC0O          599 0233   JA7NVF        599 0585
QSO: 21025 CW 2012-05-26 2150 NC0O          599 0234   JA1JKG        599 0685
QSO: 21054 CW 2012-05-26 2154 NC0O          599 0235   JR1MQT        599 0074
QSO: 21051 CW 2012-05-26 2155 NC0O          599 0236   KH6LC         599 1102
QSO: 21058 CW 2012-05-26 2156 NC0O          599 0237   JA0FVU        599 0902
QSO: 21015 CW 2012-05-26 2157 NC0O          599 0238   UA3TCJ        599 0312
QSO: 21059 CW 2012-05-26 2159 NC0O          599 0239   JF1SQC        599 0512
QSO: 21059 CW 2012-05-26 2203 NC0O          599 0240   TM5A          599 1396
QSO: 21066 CW 2012-05-26 2207 NC0O          599 0241   JR2IOB        599 0405
QSO: 21069 CW 2012-05-26 2210 NC0O          599 0242   JE1LFX        599 0750
QSO: 28010 CW 2012-05-26 2212 NC0O          599 0243   PP1CZ         599 0595
QSO: 28012 CW 2012-05-26 2213 NC0O          599 0244   AY5F          599 1196
QSO: 28024 CW 2012-05-26 2216 NC0O          599 0245   PR7AB         599 0122
QSO: 28029 CW 2012-05-26 2216 NC0O          599 0246   HQ2N          599 0091
QSO: 28039 CW 2012-05-26 2219 NC0O          599 0247   J39BS         599 0330
QSO: 28043 CW 2012-05-26 2220 NC0O          599 0248   LU7HZ         599 0313
QSO: 28028 CW 2012-05-26 2221 NC0O          599 0249   PW5D          599 1449
QSO: 28047 CW 2012-05-26 2222 NC0O          599 0250   XQ1KZ         599 0778
QSO: 28019 CW 2012-05-26 2225 NC0O          599 0251   ZM3T          599 0370
QSO: 28016 CW 2012-05-26 2228 NC0O          599 0252   PT5T          599 1889
QSO: 28005 CW 2012-05-26 2231 NC0O          599 0253   PR3A          599 0712
QSO: 14005 CW 2012-05-26 2235 NC0O          599 0254   EA1ND         599 0091
QSO: 14042 CW 2012-05-26 2236 NC0O          599 0255   LY7A          599 1419
QSO: 14052 CW 2012-05-26 2238 NC0O          599 0256   YP9W          599 1861
QSO: 14005 CW 2012-05-26 2240 NC0O          599 0257   SP5GRM        599 0849
QSO: 14055 CW 2012-05-26 2242 NC0O          599 0258   OK1IC         599 0960
QSO: 14045 CW 2012-05-26 2244 NC0O          599 0259   II2E          599 1656
QSO: 14062 CW 2012-05-26 2245 NC0O          599 0260   TM51B         599 1210
QSO: 14065 CW 2012-05-26 2246 NC0O          599 0261   9A201AA       599 1335
QSO: 14006 CW 2012-05-26 2249 NC0O          599 0262   OK5Z          599 1136
QSO: 14023 CW 2012-05-26 2332 NC0O          599 0263   XP2I          599 0943
QSO: 14014 CW 2012-05-26 2334 NC0O          599 0264   YT0Z          599 1526
QSO: 14022 CW 2012-05-26 2337 NC0O          599 0265   4U1ITU        599 1787
QSO: 14029 CW 2012-05-26 2338 NC0O          599 0266   ED1R          599 1435
QSO: 14035 CW 2012-05-26 2340 NC0O          599 0267   VE9DX         599 0432
QSO: 14055 CW 2012-05-26 2341 NC0O          599 0268   SP2KPD        599 0913
QSO: 14001 CW 2012-05-26 2343 NC0O          599 0269   EM2G          599 1821
QSO: 14002 CW 2012-05-26 2345 NC0O          599 0270   YT7W          599 1045
QSO: 14013 CW 2012-05-26 2347 NC0O          599 0271   PW7T          599 0772
QSO: 14016 CW 2012-05-26 2348 NC0O          599 0272   YL5T          599 0621
QSO: 14020 CW 2012-05-26 2350 NC0O          599 0273   UZ4I          599 1491
QSO: 14045 CW 2012-05-26 2352 NC0O          599 0274   HG3R          599 1934
QSO: 14046 CW 2012-05-26 2353 NC0O          599 0275   UT3IZ         599 0485
QSO: 14011 CW 2012-05-26 2355 NC0O          599 0276   OP4K          599 1910
QSO: 14018 CW 2012-05-26 2356 NC0O          599 0277   DA2C          599 1730
QSO: 14035 CW 2012-05-27 0000 NC0O          599 0278   EU6AF         599 0726
QSO: 21004 CW 2012-05-27 0002 NC0O          599 0279   SF0530COH     599 0417
QSO: 21018 CW 2012-05-27 0005 NC0O          599 0280   PS2T          599 1211
QSO: 21024 CW 2012-05-27 0007 NC0O          599 0281   LZ3FN         599 2262
QSO: 21046 CW 2012-05-27 0016 NC0O          599 0282   JO3JIS        599 1188
QSO: 21058 CW 2012-05-27 0019 NC0O          599 0283   B1Z           599 0803
QSO: 21057 CW 2012-05-27 0021 NC0O          599 0284   TX8CW         599 0715
QSO: 21059 CW 2012-05-27 0022 NC0O          599 0285   JH1EAQ        599 0248
QSO: 21060 CW 2012-05-27 0023 NC0O          599 0286   7M4CLF        599 0408
QSO: 21032 CW 2012-05-27 0025 NC0O          599 0287   ZM4G          599 0949
QSO: 21060 CW 2012-05-27 0026 NC0O          599 0288   VK4CT         599 1332
QSO: 21067 CW 2012-05-27 0028 NC0O          599 0289   JE1ZWT        599 0702
QSO: 14016 CW 2012-05-27 0036 NC0O          599 0290   DK0IU         599 0094
QSO: 14026 CW 2012-05-27 0037 NC0O          599 0291   DM8D          599 1106
QSO: 14026 CW 2012-05-27 0038 NC0O          599 0292   I1NVU         599 0748
QSO: 14033 CW 2012-05-27 0039 NC0O          599 0293   HG4F          599 0920
QSO: 14041 CW 2012-05-27 0040 NC0O          599 0294   DR5N          599 1935
QSO: 14059 CW 2012-05-27 0045 NC0O          599 0295   IS0IGV        599 0123
QSO: 14034 CW 2012-05-27 0047 NC0O          599 0296   F1AKK         599 0195
QSO: 14061 CW 2012-05-27 0048 NC0O          599 0297   D3AA          599 1395
QSO: 14047 CW 2012-05-27 0051 NC0O          599 0298   LY6A          599 1757
QSO: 14050 CW 2012-05-27 0052 NC0O          599 0299   LZ7S          599 1058
QSO: 14051 CW 2012-05-27 0053 NC0O          599 0300   HA8JV         599 1466
QSO: 14007 CW 2012-05-27 0127 NC0O          599 0301   9A4WY         599 0995
QSO: 14010 CW 2012-05-27 0128 NC0O          599 0302   M2W           599 1647
QSO: 14017 CW 2012-05-27 0129 NC0O          599 0303   UW2M          599 1807
QSO: 14063 CW 2012-05-27 0133 NC0O          599 0304   RF9C          599 3203
QSO: 14064 CW 2012-05-27 0134 NC0O          599 0305   5C5W          599 0937
QSO: 14030 CW 2012-05-27 0136 NC0O          599 0306   9A1A          599 1757
QSO: 14040 CW 2012-05-27 0138 NC0O          599 0307   OH0X          599 2079
QSO: 21003 CW 2012-05-27 0140 NC0O          599 0308   ZL1BYZ        599 0720
QSO: 21036 CW 2012-05-27 0143 NC0O          599 0309   ZW5B          599 2014
QSO: 21019 CW 2012-05-27 0146 NC0O          599 0310   RL9I          599 0646
QSO:  7012 CW 2012-05-27 0158 NC0O          599 0311   P33W          599 3972
QSO:  7044 CW 2012-05-27 0201 NC0O          599 0312   PI4DX         599 0836
QSO:  7012 CW 2012-05-27 0204 NC0O          599 0313   UA2KW         599 1287
QSO:  7000 CW 2012-05-27 0206 NC0O          599 0314   EA6SX         599 0960
QSO:  7028 CW 2012-05-27 0209 NC0O          599 0315   P49Y          599 2559
QSO:  7026 CW 2012-05-27 0210 NC0O          599 0316   DQ4W          599 0820
QSO:  7032 CW 2012-05-27 0211 NC0O          599 0317   LZ9W          599 1309
QSO:  7034 CW 2012-05-27 0213 NC0O          599 0318   YP9W          599 2163
QSO:  7008 CW 2012-05-27 0215 NC0O          599 0319   AA3B          599 2187
QSO:  7018 CW 2012-05-27 0216 NC0O          599 0320   NR4M          599 0977
QSO: 14001 CW 2012-05-27 0219 NC0O          599 0321   US7L          599 1455
QSO: 14004 CW 2012-05-27 0221 NC0O          599 0322   4Z4AK         599 1540
