START-OF-LOG: 3.0
CATEGORY: Single-OP high
CONTEST: WAE SSB
SPECIFIC: C26
CREATED-BY: DXLog.net v2.6.6, modified by DXHF upload.
CALLSIGN: DJ4MX
GRID-LOCATOR: JN68AE
CLAIMED-SCORE: 2500
CLUB: Bavarian Contest Club
ADDRESS-COUNTRY: Germany
CERTIFICATE: YES
QSO: 28388 PH 2024-09-15 1732 DJ4MX         59  001    CT9ABO        59  2493
QTC: 28385 PH  2024-09-15 1735 DJ4MX         290/10     CR3W          1717 M7GXA         002
QTC: 28385 PH  2024-09-15 1735 DJ4MX         290/10     CR3W          1718 PD1BW         066
QTC: 28385 PH  2024-09-15 1735 DJ4MX         290/10     CR3W          1718 DL6CT         001
QTC: 28385 PH  2024-09-15 1735 DJ4MX         290/10     CR3W          1720 M3COY         005
QTC: 28385 PH  2024-09-15 1735 DJ4MX         290/10     CR3W          1721 PD2RG         004
QSO: 28585 PH 2024-09-15 1736 DJ4MX         59  003    CT9ABV        59  1319
QTC: 28585 PH  2024-09-15 1736 DJ4MX         241/6      CT9ABV        1730 ON6NL         201
QTC: 28585 PH  2024-09-15 1736 DJ4MX         241/6      CT9ABV        1731 IU5SEX        001
QTC: 28585 PH  2024-09-15 1736 DJ4MX         241/6      CT9ABV        1733 DL8PA         076
QTC: 28585 PH  2024-09-15 1736 DJ4MX         241/6      CT9ABV        1734 IU0SRH        093
QTC: 28585 PH  2024-09-15 1736 DJ4MX         241/6      CT9ABV        1734 PA3GRM        015
QTC: 28585 PH  2024-09-15 1736 DJ4MX         241/6      CT9ABV        1734 LX1NO         445
QSO: 28569 PH 2024-09-15 1737 DJ4MX         59  004    PU1JSV        59  229
QTC: 28569 PH  2024-09-15 1737 DJ4MX         025/4      PU1JSV        1735 DL5YS         190
QTC: 28569 PH  2024-09-15 1737 DJ4MX         025/4      PU1JSV        1736 DK9VA         103
QTC: 28569 PH  2024-09-15 1737 DJ4MX         025/4      PU1JSV        1736 DG1LS         089
QTC: 28569 PH  2024-09-15 1737 DJ4MX         025/4      PU1JSV        1736 DB2WD         008
QSO: 28366 PH 2024-09-15 1739 DJ4MX         59  005    ZX5D          59  867
QTC: 28366 PH  2024-09-15 1740 DJ4MX         165/4      ZX5D          1735 IK4DCX        267
QTC: 28366 PH  2024-09-15 1740 DJ4MX         165/4      ZX5D          1736 IU0SRH        094
QTC: 28366 PH  2024-09-15 1740 DJ4MX         165/4      ZX5D          1738 PA3GZR        018
QTC: 28366 PH  2024-09-15 1740 DJ4MX         165/4      ZX5D          1739 DK9VA         105
QSO: 28446 PH 2024-09-15 1741 DJ4MX         59  006    PT5J          59  1562
QTC: 28446 PH  2024-09-15 1742 DJ4MX         186/10     PT5J          1703 DL1FZ         013
QTC: 28446 PH  2024-09-15 1742 DJ4MX         186/10     PT5J          1703 DB2SK         001
QTC: 28446 PH  2024-09-15 1742 DJ4MX         186/10     PT5J          1703 S57F          001
QTC: 28446 PH  2024-09-15 1742 DJ4MX         186/10     PT5J          1704 SY1EOL        057
QTC: 28446 PH  2024-09-15 1742 DJ4MX         186/10     PT5J          1705 DG2SEG        031
QTC: 28446 PH  2024-09-15 1742 DJ4MX         186/10     PT5J          1705 IZ0EMY        006
QTC: 28446 PH  2024-09-15 1742 DJ4MX         186/10     PT5J          1705 IK4VET        055
QTC: 28446 PH  2024-09-15 1742 DJ4MX         186/10     PT5J          1706 G0UBX         016
QTC: 28446 PH  2024-09-15 1742 DJ4MX         186/10     PT5J          1706 F4FRG         036
QTC: 28446 PH  2024-09-15 1742 DJ4MX         186/10     PT5J          1707 OK1KUW        027
QSO: 28479 PH 2024-09-15 1742 DJ4MX         59  007    CT3KN         59  1016
QTC: 28479 PH  2024-09-15 1744 DJ4MX         110/10     CT3KN         1730 PD0OTH        011
QTC: 28479 PH  2024-09-15 1744 DJ4MX         110/10     CT3KN         1731 I2GGJ         010
QTC: 28479 PH  2024-09-15 1744 DJ4MX         110/10     CT3KN         1731 IU0SRH        092
QTC: 28479 PH  2024-09-15 1744 DJ4MX         110/10     CT3KN         1732 IZ5VCI        060
QTC: 28479 PH  2024-09-15 1744 DJ4MX         110/10     CT3KN         1732 IU1PSQ        122
QTC: 28479 PH  2024-09-15 1744 DJ4MX         110/10     CT3KN         1732 DJ9KH         011
QTC: 28479 PH  2024-09-15 1744 DJ4MX         110/10     CT3KN         1734 PA4GDR        057
QTC: 28479 PH  2024-09-15 1744 DJ4MX         110/10     CT3KN         1735 F5RAV         026
QTC: 28479 PH  2024-09-15 1744 DJ4MX         110/10     CT3KN         1735 EE3N          132
QTC: 28479 PH  2024-09-15 1744 DJ4MX         110/10     CT3KN         1737 DO2GT         004
QSO: 28483 PH 2024-09-15 1744 DJ4MX         59  008    PY5ZHP        59  278
QTC: 28483 PH  2024-09-15 1745 DJ4MX         053/4      PY5ZHP        1740 DL5L          174
QTC: 28483 PH  2024-09-15 1745 DJ4MX         053/4      PY5ZHP        1741 DL5ZBS        189
QTC: 28483 PH  2024-09-15 1745 DJ4MX         053/4      PY5ZHP        1742 DL1NKS        067
QTC: 28483 PH  2024-09-15 1745 DJ4MX         053/4      PY5ZHP        1743 DM1KM         174
QSO: 28497 PH 2024-09-15 1746 DJ4MX         59  009    PY4ZE         59  257
QTC: 28497 PH  2024-09-15 1746 DJ4MX         036/3      PY4ZE         1721 G0UBX         018
QTC: 28497 PH  2024-09-15 1746 DJ4MX         036/3      PY4ZE         1722 IV3ZXF        048
QTC: 28497 PH  2024-09-15 1746 DJ4MX         036/3      PY4ZE         1745 DL1NKS        068
QSO: 28511 PH 2024-09-15 1747 DJ4MX         59  010    PY5AMF        59  323
QTC: 28511 PH  2024-09-15 1748 DJ4MX         034/10     PY5AMF        1725 UW5Y          717
QTC: 28511 PH  2024-09-15 1748 DJ4MX         034/10     PY5AMF        1728 DB2WD         004
QTC: 28511 PH  2024-09-15 1748 DJ4MX         034/10     PY5AMF        1729 DK2TG         101
QTC: 28511 PH  2024-09-15 1748 DJ4MX         034/10     PY5AMF        1729 DL8PA         074
QTC: 28511 PH  2024-09-15 1748 DJ4MX         034/10     PY5AMF        1730 DJ5AN         319
QTC: 28511 PH  2024-09-15 1748 DJ4MX         034/10     PY5AMF        1733 PA3GRM        014
QTC: 28511 PH  2024-09-15 1748 DJ4MX         034/10     PY5AMF        1733 F4HGV         011
QTC: 28511 PH  2024-09-15 1748 DJ4MX         034/10     PY5AMF        1735 DQ55DIG       102
QTC: 28511 PH  2024-09-15 1748 DJ4MX         034/10     PY5AMF        1736 DM3O          218
QTC: 28511 PH  2024-09-15 1748 DJ4MX         034/10     PY5AMF        1736 DL2NBU        067
QSO: 28518 PH 2024-09-15 1749 DJ4MX         59  011    CE7VP         59  202
QTC: 28518 PH  2024-09-15 1750 DJ4MX         020/10     CE7VP         1728 UW5Y          719
QTC: 28518 PH  2024-09-15 1750 DJ4MX         020/10     CE7VP         1728 F5CBQ         060
QTC: 28518 PH  2024-09-15 1750 DJ4MX         020/10     CE7VP         1731 DL1BUG        398
QTC: 28518 PH  2024-09-15 1750 DJ4MX         020/10     CE7VP         1732 IK4DCX        264
QTC: 28518 PH  2024-09-15 1750 DJ4MX         020/10     CE7VP         1738 DO5DIG        103
QTC: 28518 PH  2024-09-15 1750 DJ4MX         020/10     CE7VP         1739 DK5KK         194
QTC: 28518 PH  2024-09-15 1750 DJ4MX         020/10     CE7VP         1744 DL5L          177
QTC: 28518 PH  2024-09-15 1750 DJ4MX         020/10     CE7VP         1746 DC7DX         049
QTC: 28518 PH  2024-09-15 1750 DJ4MX         020/10     CE7VP         1746 EB5A          1258
QTC: 28518 PH  2024-09-15 1750 DJ4MX         020/10     CE7VP         1747 DL5ZBS        194
QSO: 28525 PH 2024-09-15 1751 DJ4MX         59  012    LU2PWY        59  106
QTC: 28525 PH  2024-09-15 1752 DJ4MX         026/5      LU2PWY        1644 HB5AQ         038
QTC: 28525 PH  2024-09-15 1752 DJ4MX         026/5      LU2PWY        1649 DL7ON         651
QTC: 28525 PH  2024-09-15 1752 DJ4MX         026/5      LU2PWY        1651 DL7URH        122
QTC: 28525 PH  2024-09-15 1752 DJ4MX         026/5      LU2PWY        1652 S56M          044
QTC: 28525 PH  2024-09-15 1752 DJ4MX         026/5      LU2PWY        1749 DL5ZBS        193
QSO: 28533 PH 2024-09-15 1753 DJ4MX         59  013    LU9LZR        59  112
QSO: 28409 PH 2024-09-15 1753 DJ4MX         59  014    PV2K          59  1056
QTC: 28409 PH  2024-09-15 1754 DJ4MX         256/10     PV2K          1726 PD0WL         109
QTC: 28409 PH  2024-09-15 1754 DJ4MX         256/10     PV2K          1727 DF6EM         004
QTC: 28409 PH  2024-09-15 1754 DJ4MX         256/10     PV2K          1728 PD7V          052
QTC: 28409 PH  2024-09-15 1754 DJ4MX         256/10     PV2K          1728 PD1GH         005
QTC: 28409 PH  2024-09-15 1754 DJ4MX         256/10     PV2K          1732 PA3GZR        017
QTC: 28409 PH  2024-09-15 1754 DJ4MX         256/10     PV2K          1734 DL2VH         003
QTC: 28409 PH  2024-09-15 1754 DJ4MX         256/10     PV2K          1734 DL2RZ         208
QTC: 28409 PH  2024-09-15 1754 DJ4MX         256/10     PV2K          1735 DL8SAM        010
QTC: 28409 PH  2024-09-15 1754 DJ4MX         256/10     PV2K          1736 YU4PTL        022
QTC: 28409 PH  2024-09-15 1754 DJ4MX         256/10     PV2K          1738 OT7Q          017
QSO: 21385 PH 2024-09-15 1756 DJ4MX         59  015    K4AB          59  807
QSO: 21264 PH 2024-09-15 1757 DJ4MX         59  016    NN7CW         59  1243
QTC: 21264 PH  2024-09-15 1757 DJ4MX         150/2      NN7CW         1754 DL7SI         030
QTC: 21264 PH  2024-09-15 1757 DJ4MX         150/2      NN7CW         1756 LB2WD         076
QSO: 21209 PH 2024-09-15 1757 DJ4MX         59  017    K5ZD          59  1032
QTC: 21209 PH  2024-09-15 1759 DJ4MX         098/10     K5ZD          1736 DG5MEX        023
QTC: 21209 PH  2024-09-15 1759 DJ4MX         098/10     K5ZD          1737 DL1SRS/M      018
QTC: 21209 PH  2024-09-15 1759 DJ4MX         098/10     K5ZD          1739 F5CBQ         066
QTC: 21209 PH  2024-09-15 1759 DJ4MX         098/10     K5ZD          1739 DR5W          285
QTC: 21209 PH  2024-09-15 1759 DJ4MX         098/10     K5ZD          1742 DL7USW/P      023
QTC: 21209 PH  2024-09-15 1759 DJ4MX         098/10     K5ZD          1742 OK4RQ         016
QTC: 21209 PH  2024-09-15 1759 DJ4MX         098/10     K5ZD          1744 DL2NBU        073
QTC: 21209 PH  2024-09-15 1759 DJ4MX         098/10     K5ZD          1744 DM5WW         057
QTC: 21209 PH  2024-09-15 1759 DJ4MX         098/10     K5ZD          1748 F4HRG         099
QTC: 21209 PH  2024-09-15 1759 DJ4MX         098/10     K5ZD          1749 DO5BMO        038
END-OF-LOG:
