START-OF-LOG: 3.0
CATEGORY: Single-OP high
CONTEST: WAE SSB
SPECIFIC: C25
CREATED-BY: DXLog.net v2.6.6, modified by DXHF upload.
CALLSIGN: DK6SP
GRID-LOCATOR: JN68AE
CLAIMED-SCORE: 7038
CLUB: Bavarian Contest Club
ADDRESS-CITY: Erding
ADDRESS-POSTALCODE: 85435
ADDRESS-COUNTRY: Germany
CERTIFICATE: YES
QSO: 28585 PH 2024-09-15 1802 DK6SP         59  001    CT9ABV        59  1356
QSO: 28531 PH 2024-09-15 1808 DK6SP         59  006    PU2WDX        59  190
QSO: 28545 PH 2024-09-15 1808 DK6SP         59  007    PY2UD         59  821
QSO: 28525 PH 2024-09-15 1809 DK6SP         59  008    LU2PWY        59  109
QSO: 28451 PH 2024-09-15 1809 DK6SP         59  009    CT3KN         59  1049
QSO: 21264 PH 2024-09-15 1810 DK6SP         59  010    NN7CW         59  1259
QTC: 21264 PH  2024-09-15 1810 DK6SP         153/4      NN7CW         1808 OT7Q          024
QTC: 21264 PH  2024-09-15 1810 DK6SP         153/4      NN7CW         1808 SP1D          291
QTC: 21264 PH  2024-09-15 1810 DK6SP         153/4      NN7CW         1809 LA9TY         036
QTC: 21264 PH  2024-09-15 1810 DK6SP         153/4      NN7CW         1809 5Q2J          075
QSO: 21360 PH 2024-09-15 1810 DK6SP         59  011    VA3LR         59  457
QSO: 21385 PH 2024-09-15 1811 DK6SP         59  012    K4AB          59  830
QTC: 21385 PH  2024-09-15 1812 DK6SP         096/10     K4AB          1757 G5LSI         041
QTC: 21385 PH  2024-09-15 1812 DK6SP         096/10     K4AB          1757 DL1DAW        417
QTC: 21385 PH  2024-09-15 1812 DK6SP         096/10     K4AB          1758 DO4OD         898
QTC: 21385 PH  2024-09-15 1812 DK6SP         096/10     K4AB          1759 DL2RZ         216
QTC: 21385 PH  2024-09-15 1812 DK6SP         096/10     K4AB          1759 G1IBS         281
QTC: 21385 PH  2024-09-15 1812 DK6SP         096/10     K4AB          1759 M0KUL         006
QTC: 21385 PH  2024-09-15 1812 DK6SP         096/10     K4AB          1759 DF8V          176
QTC: 21385 PH  2024-09-15 1812 DK6SP         096/10     K4AB          1800 LA9TY         032
QTC: 21385 PH  2024-09-15 1812 DK6SP         096/10     K4AB          1800 GW8XMW        001
QTC: 21385 PH  2024-09-15 1812 DK6SP         096/10     K4AB          1801 M0LGW         013
QSO: 21380 PH 2024-09-15 1812 DK6SP         59  013    N1UR          59  694
QTC: 21380 PH  2024-09-15 1813 DK6SP         064/10     N1UR          1404 DK6WT         065
QTC: 21380 PH  2024-09-15 1813 DK6SP         064/10     N1UR          1405 DM1SV         076
QTC: 21380 PH  2024-09-15 1813 DK6SP         064/10     N1UR          1405 SN7D          512
QTC: 21380 PH  2024-09-15 1813 DK6SP         064/10     N1UR          1405 DF8TM         092
QTC: 21380 PH  2024-09-15 1813 DK6SP         064/10     N1UR          1405 SM3U          254
QTC: 21380 PH  2024-09-15 1813 DK6SP         064/10     N1UR          1406 DQ55DIG       072
QTC: 21380 PH  2024-09-15 1813 DK6SP         064/10     N1UR          1406 DL7YS         151
QTC: 21380 PH  2024-09-15 1813 DK6SP         064/10     N1UR          1407 DF5EN         206
QTC: 21380 PH  2024-09-15 1813 DK6SP         064/10     N1UR          1407 LX5M          169
QTC: 21380 PH  2024-09-15 1813 DK6SP         064/10     N1UR          1408 OT8M          658
QSO: 21214 PH 2024-09-15 1813 DK6SP         59  014    KU8E          59  188
QSO: 21205 PH 2024-09-15 1814 DK6SP         59  015    K1ZM          59  842
QTC: 21205 PH  2024-09-15 1815 DK6SP         145/4      K1ZM          1809 DD1OP         025
QTC: 21205 PH  2024-09-15 1815 DK6SP         145/4      K1ZM          1813 OL5Y          116
QTC: 21205 PH  2024-09-15 1815 DK6SP         145/4      K1ZM          1814 DF1DT         184
QTC: 21205 PH  2024-09-15 1815 DK6SP         145/4      K1ZM          1814 RN2FA         020
QSO: 21202 PH 2024-09-15 1815 DK6SP         59  016    NN3W          59  1253
QSO: 21328 PH 2024-09-15 1816 DK6SP         59  017    PY2VZ         59  126
QTC: 21328 PH  2024-09-15 1817 DK6SP         016/5      PY2VZ         1808 OM7M          1302
QTC: 21328 PH  2024-09-15 1817 DK6SP         016/5      PY2VZ         1812 HA3DX         642
QTC: 21328 PH  2024-09-15 1817 DK6SP         016/5      PY2VZ         1812 LX1NO         459
QTC: 21328 PH  2024-09-15 1817 DK6SP         016/5      PY2VZ         1813 DL1NGS        081
QTC: 21328 PH  2024-09-15 1817 DK6SP         016/5      PY2VZ         1814 DL4LAM        1099
QSO: 21230 PH 2024-09-15 1817 DK6SP         59  018    4X7M          59  1501
QTC: 21230 PH  2024-09-15 1819 DK6SP         159/10     4X7M          1602 MM2N          003
QTC: 21230 PH  2024-09-15 1819 DK6SP         159/10     4X7M          1605 DL9HB         062
QTC: 21230 PH  2024-09-15 1819 DK6SP         159/10     4X7M          1606 HB9BAS        219
QTC: 21230 PH  2024-09-15 1819 DK6SP         159/10     4X7M          1609 S52WW         083
QTC: 21230 PH  2024-09-15 1819 DK6SP         159/10     4X7M          1610 EC6DX         028
QTC: 21230 PH  2024-09-15 1819 DK6SP         159/10     4X7M          1613 HA1LS         010
QTC: 21230 PH  2024-09-15 1819 DK6SP         159/10     4X7M          1613 HA5BA         015
QTC: 21230 PH  2024-09-15 1819 DK6SP         159/10     4X7M          1614 DD4JK         002
QTC: 21230 PH  2024-09-15 1819 DK6SP         159/10     4X7M          1615 IK4VET        026
QTC: 21230 PH  2024-09-15 1819 DK6SP         159/10     4X7M          1617 UA4LCH        179
QSO: 21196 PH 2024-09-15 1820 DK6SP         59  019    VE9AA         59  199
QTC: 21196 PH  2024-09-15 1821 DK6SP         034/6      VE9AA         1815 UA7K          692
QTC: 21196 PH  2024-09-15 1821 DK6SP         034/6      VE9AA         1816 UA7K          693
QTC: 21196 PH  2024-09-15 1821 DK6SP         034/6      VE9AA         1819 M5S           406
QTC: 21196 PH  2024-09-15 1821 DK6SP         034/6      VE9AA         1819 MM1E          091
QTC: 21196 PH  2024-09-15 1821 DK6SP         034/6      VE9AA         1819 9A2EU         039
QTC: 21196 PH  2024-09-15 1821 DK6SP         034/6      VE9AA         1819 TF3W          134
QSO: 14201 PH 2024-09-15 1822 DK6SP         59  020    VY2TT         59  597
QTC: 14201 PH  2024-09-15 1823 DK6SP         078/6      VY2TT         1721 DR2Q          227
QTC: 14201 PH  2024-09-15 1823 DK6SP         078/6      VY2TT         1728 F4HRG         089
QTC: 14201 PH  2024-09-15 1823 DK6SP         078/6      VY2TT         1758 DL6WT         420
QTC: 14201 PH  2024-09-15 1823 DK6SP         078/6      VY2TT         1801 SV7QNV        019
QTC: 14201 PH  2024-09-15 1823 DK6SP         078/6      VY2TT         1803 IT9/NO9E      028
QTC: 14201 PH  2024-09-15 1823 DK6SP         078/6      VY2TT         1821 OL5Y          121
QSO: 14135 PH 2024-09-15 1823 DK6SP         59  021    P3CR          59  1936
QTC: 14135 PH  2024-09-15 1824 DK6SP         190/10     P3CR          1725 SP3BES        002
QTC: 14135 PH  2024-09-15 1824 DK6SP         190/10     P3CR          1729 IZ3NVR        010
QTC: 14135 PH  2024-09-15 1824 DK6SP         190/10     P3CR          1731 HB9DUR        050
QTC: 14135 PH  2024-09-15 1824 DK6SP         190/10     P3CR          1733 M7OTH         001
QTC: 14135 PH  2024-09-15 1824 DK6SP         190/10     P3CR          1734 OH7DIV        004
QTC: 14135 PH  2024-09-15 1824 DK6SP         190/10     P3CR          1737 SP9KJU        007
QTC: 14135 PH  2024-09-15 1824 DK6SP         190/10     P3CR          1738 PD1BW         069
QTC: 14135 PH  2024-09-15 1824 DK6SP         190/10     P3CR          1739 DH0DM         037
QTC: 14135 PH  2024-09-15 1824 DK6SP         190/10     P3CR          1745 DL9NDW        060
QTC: 14135 PH  2024-09-15 1824 DK6SP         190/10     P3CR          1745 TF3W          120
QSO: 14241 PH 2024-09-15 1825 DK6SP         59  022    9M2M          59  330
QSO: 14245 PH 2024-09-15 1825 DK6SP         59  023    E2A           59  1095
QTC: 14245 PH  2024-09-15 1826 DK6SP         167/4      E2A           1822 DB2WD         021
QTC: 14245 PH  2024-09-15 1826 DK6SP         167/4      E2A           1823 DK2AT         214
QTC: 14245 PH  2024-09-15 1826 DK6SP         167/4      E2A           1824 G0TYS         009
QTC: 14245 PH  2024-09-15 1826 DK6SP         167/4      E2A           1824 DF6QE         035
QSO: 14289 PH 2024-09-15 1827 DK6SP         59  024    JF2QNM        59  1020
QTC: 14289 PH  2024-09-15 1829 DK6SP         081/10     JF2QNM        1032 DO1ZB         053
QTC: 14289 PH  2024-09-15 1829 DK6SP         081/10     JF2QNM        1032 UZ1WW         036
QTC: 14289 PH  2024-09-15 1829 DK6SP         081/10     JF2QNM        1033 LB2WD         063
QTC: 14289 PH  2024-09-15 1829 DK6SP         081/10     JF2QNM        1036 EA7KBX        005
QTC: 14289 PH  2024-09-15 1829 DK6SP         081/10     JF2QNM        1036 LB1RJ         039
QTC: 14289 PH  2024-09-15 1829 DK6SP         081/10     JF2QNM        1036 5Q2J          049
QTC: 14289 PH  2024-09-15 1829 DK6SP         081/10     JF2QNM        1039 DP6K          110
QTC: 14289 PH  2024-09-15 1829 DK6SP         081/10     JF2QNM        1040 EA5JEB        027
QTC: 14289 PH  2024-09-15 1829 DK6SP         081/10     JF2QNM        1040 RZ3DOT        031
QTC: 14289 PH  2024-09-15 1829 DK6SP         081/10     JF2QNM        1041 OH8KIK        045
QSO: 14273 PH 2024-09-15 1829 DK6SP         59  025    JE6RPM        59  1051
QTC: 14273 PH  2024-09-15 1831 DK6SP         142/10     JE6RPM        1809 PE1RUS        009
QTC: 14273 PH  2024-09-15 1831 DK6SP         142/10     JE6RPM        1810 TF3W          129
QTC: 14273 PH  2024-09-15 1831 DK6SP         142/10     JE6RPM        1810 DL9NDW        069
QTC: 14273 PH  2024-09-15 1831 DK6SP         142/10     JE6RPM        1811 DL8NAS        359
QTC: 14273 PH  2024-09-15 1831 DK6SP         142/10     JE6RPM        1811 S58M          081
QTC: 14273 PH  2024-09-15 1831 DK6SP         142/10     JE6RPM        1812 G0TYS         007
QTC: 14273 PH  2024-09-15 1831 DK6SP         142/10     JE6RPM        1812 DF6PB         178
QTC: 14273 PH  2024-09-15 1831 DK6SP         142/10     JE6RPM        1813 DL9UN         136
QTC: 14273 PH  2024-09-15 1831 DK6SP         142/10     JE6RPM        1813 IK4DCX        385
QTC: 14273 PH  2024-09-15 1831 DK6SP         142/10     JE6RPM        1813 DJ2TG         110
QSO: 14210 PH 2024-09-15 1832 DK6SP         59  026    JH1GEX        59  192
QTC: 14210 PH  2024-09-15 1833 DK6SP         007/10     JH1GEX        1816 DL1BUG        208
QTC: 14210 PH  2024-09-15 1833 DK6SP         007/10     JH1GEX        1816 OM7M          536
QTC: 14210 PH  2024-09-15 1833 DK6SP         007/10     JH1GEX        1816 II8K          487
QTC: 14210 PH  2024-09-15 1833 DK6SP         007/10     JH1GEX        1816 II2Q          604
QTC: 14210 PH  2024-09-15 1833 DK6SP         007/10     JH1GEX        1817 E73U          068
QTC: 14210 PH  2024-09-15 1833 DK6SP         007/10     JH1GEX        1817 IU8LUM        075
QTC: 14210 PH  2024-09-15 1833 DK6SP         007/10     JH1GEX        1817 E7DX          707
QTC: 14210 PH  2024-09-15 1833 DK6SP         007/10     JH1GEX        1818 G2A           316
QTC: 14210 PH  2024-09-15 1833 DK6SP         007/10     JH1GEX        1818 SN7D          299
QTC: 14210 PH  2024-09-15 1833 DK6SP         007/10     JH1GEX        1818 UA7K          302
QSO: 14193 PH 2024-09-15 1834 DK6SP         59  027    NU4E          59  417
END-OF-LOG:
