START-OF-LOG: 3.0
CATEGORY: Single-OP high
CONTEST: WAE SSB
SPECIFIC: K04
CREATED-BY: DXLog.net v2.6.8, modified by DXHF upload.
CALLSIGN: DB2WD
GRID-LOCATOR: JN39VV
CLAIMED-SCORE: 7950
CLUB: BAVARIAN CONTEST CLUB
ADDRESS-CITY: Windesheim
ADDRESS-POSTALCODE: 55452
ADDRESS-COUNTRY: GERMANY
CERTIFICATE: YES
QSO: 28483 PH 2024-09-15 1707 DB2WD         59  001    PY5ZHP        59  231
QTC: 14169 CW  2024-09-15 1907 DB2WD         109/7      TA4A          1902 DM7EE         074
QTC: 14169 CW  2024-09-15 1907 DB2WD         109/7      TA4A          1902 IO0A          930
QTC: 14169 CW  2024-09-15 1907 DB2WD         109/7      TA4A          1904 IK0PHY        478
QTC: 14169 CW  2024-09-15 1907 DB2WD         109/7      TA4A          1904 DL5ALW        070
QTC: 14169 CW  2024-09-15 1907 DB2WD         109/7      TA4A          1904 SM2M          221
QTC: 14169 CW  2024-09-15 1907 DB2WD         109/7      TA4A          1905 DL9UN         158
QTC: 14169 CW  2024-09-15 1907 DB2WD         109/7      TA4A          1905 9A3YT         034
QSO: 14201 PH 2024-09-15 1909 DB2WD         59  039    4X0T          59  1455
QSO: 14290 PH 2024-09-15 1911 DB2WD         59  040    A61KZ         59  000
QSO: 14290 PH 2024-09-15 1914 DB2WD         59  041    HZ1MD         59  000
END-OF-LOG:
